Date,Open,High,Low,Close,Volume
2025-07-03,71,74.55,71,74.55,1798000
2025-07-04,78.25,78.25,70.85,78.15,1166000
2025-07-07,74.5,76,74.25,74.25,176000
2025-07-08,70.55,73.45,70.55,70.65,1100000
2025-07-09,69.1,71.3,67.8,69.65,44000
2025-07-10,70,70.4,67.75,70.4,38000
2025-07-11,70,73.9,69.95,73.85,266000
2025-07-14,73,77.5,70.15,76,208000
2025-07-15,72.35,75,72.2,72.85,46000
2025-07-16,72.5,75,70.5,72.25,46000
2025-07-17,70.25,71.95,70.25,70.75,28000
2025-07-18,71.5,73.8,68.05,70.4,202000
2025-07-21,75,75,71,72.4,76000
2025-07-22,73.95,74.2,71.8,71.85,32000
2025-07-23,71.85,77.5,70,74.85,124000
2025-07-24,76,83.5,76,81.25,290000
2025-07-25,79.9,83.9,77,82,122000
2025-07-28,82.25,83.9,78,78.95,60000
2025-07-29,70.35,76.9,65.95,70.4,248000
2025-07-30,71.5,84.45,68,82.9,598000
2025-07-31,80,82.95,77,77,74000
2025-08-01,80,81.55,77.5,77.85,32000
2025-08-04,79.5,79.5,79,79,6000
2025-08-05,77,77.6,76.35,76.55,24000
2025-08-06,76.55,76.55,76.55,76.55,4000
2025-08-07,74.35,74.35,70,72.6,116000
2025-08-08,72.4,77.05,71.95,73.15,98000
2025-08-11,73.2,75.5,73.15,75.5,12000
2025-08-12,73.2,73.2,71.55,71.85,18000
2025-08-13,71.25,74.4,70.6,72.05,96000
2025-08-14,72,72,72,72,2000
2025-08-18,72,80,72,76.7,76000
2025-08-19,80,80,73,73.25,126000
2025-08-20,75.4,75.4,75.4,75.4,2000
2025-08-21,73.4,73.4,73.4,73.4,2000
2025-08-22,73.4,76,73.4,76,8000
2025-08-25,75.75,75.75,72.05,72.2,6000
2025-08-26,70.2,73.8,70,70.55,80000
2025-08-28,71.05,72,68.75,70.15,28000
2025-08-29,70,74,70,73.75,28000
2025-09-01,71.05,73.25,70,70.4,52000
2025-09-02,71.2,71.2,70.5,70.5,4000
2025-09-03,70.5,70.5,68,69.6,36000
2025-09-04,69.6,71.4,68.5,71.4,14000
