Date,Open,High,Low,Close,Volume
2015-09-07,147.1,148,145.8,146.25,630640
2015-09-08,149,153.4,146.25,151.5,603650
2015-09-09,153.8,163.6,152.4,161.95,535560
2015-09-10,159.4,159.4,154,156.55,161600
2015-09-11,156.8,160.5,150.9,153.2,424420
2015-09-14,154,154.55,150.25,150.65,96615
2015-09-15,149.5,153.8,147.25,149.5,179420
2015-09-16,153.4,153.6,147,150.5,185245
2015-09-18,152,172.45,148,158.65,2848055
2015-09-21,155.6,157.4,154,155.55,174295
2015-09-22,156.2,162.4,156.2,158.4,284875
2015-09-23,157,160.5,154.4,158.35,191500
2015-09-24,159.6,163,156.45,159.65,273335
2015-09-28,160.8,162,158.8,159.5,167075
2015-09-29,156.2,161,156.2,160,331865
2015-09-30,160.2,161.8,158.45,159.7,182640
2015-10-01,159.9,161.8,158.25,159.5,112175
2015-10-05,161.8,161.8,157.3,159.45,163255
2015-10-06,159.6,160.8,157.2,159,438765
2015-10-07,158,160,158,159.5,156090
2015-10-08,158.4,160,157.1,158.75,70240
2015-10-09,160,160.2,158.95,159.7,233070
2015-10-12,161.6,161.6,156.8,158,71580
2015-10-13,159,159.6,156.25,157.55,133020
2015-10-14,159.8,161,158.45,159.45,1520570
2015-10-15,159.1,161.8,158,159.15,188150
2015-10-16,160,160,157.2,158.2,66120
2015-10-19,158.4,160,157.4,159.1,140900
2015-10-20,160.4,160.4,157.7,158.95,1219590
2015-10-21,158.4,159.55,157.25,157.9,86950
2015-10-23,159.15,159.35,157.05,157.85,86490
2015-10-26,158.6,158.6,151.65,152.15,396430
2015-10-27,152.6,154.6,152.25,153.05,145955
2015-10-28,153.2,154.05,151,152.85,211970
2015-10-29,152.05,152.6,147.85,148.55,810475
2015-10-30,150.75,152.15,149.5,151,160020
2015-11-02,150,153.8,146.3,151.8,165285
2015-11-03,151.6,151.6,147.2,147.65,576735
2015-11-04,148.05,151.95,147.8,148.1,2252485
2015-11-05,149.2,150,142.35,146.95,3696505
2015-11-06,145.3,146.4,140.6,142.5,571530
2015-11-09,142.5,146,140.6,145.8,105325
2015-11-10,146.75,152,145.8,146.8,209615
2015-11-11,146.8,150.9,146.8,149,28045
2015-11-13,149.95,152,147.6,150.2,185750
2015-11-16,151.75,151.75,148,149.25,88595
2015-11-17,148.6,153,148.6,152,296945
2015-11-18,152,156.75,151.55,155.75,325155
2015-11-19,156.8,163.6,156.8,160.6,495510
2015-11-20,160.6,165,159.3,163.4,411065
2015-11-23,162.5,166.2,162.5,165.05,288600
2015-11-24,165,165.6,161.15,165.3,247060
2015-11-26,163.65,164.75,160,163.95,570715
2015-11-27,165,167.95,162.4,162.95,93775
2015-11-30,165.8,181.8,162.7,178.9,1780285
2015-12-01,178,179.55,173,178.4,743085
2015-12-02,178.6,180.3,174.4,175.95,149205
2015-12-03,175.95,175.95,170.6,172.3,322780
2015-12-04,171.4,179,168.5,171.95,618205
2015-12-07,172.4,174,170,170.75,124010
2015-12-08,170.2,172.65,170,171.05,747645
2015-12-09,171.05,172.4,170.5,171.1,370995
2015-12-10,173.2,173.2,170.8,171.05,324370
2015-12-11,172,172,167,168.45,2954105
2015-12-16,166,169.95,165,167.45,227095
2015-12-17,166.1,180,165.1,174,1094790
2015-12-18,174,174,168,169.9,748720
2015-12-21,168.15,168.15,165.8,166.9,267015
2015-12-22,166.2,166.2,165,165.1,129500
2015-12-23,164,167.2,164,166.7,269570
2015-12-24,166.6,168.55,165,167.35,136120
2015-12-28,169,170.1,166.55,168.35,182895
2015-12-29,168,180.95,167.2,178.6,1377770
2015-12-30,178.4,178.8,171,172.55,472370
2015-12-31,172.95,175,168.6,170.65,232395
2016-01-01,171.8,176.8,170.2,176,187595
2016-01-04,175.2,175.2,165.6,166.55,410185
2016-01-05,166,168.45,163.8,164.4,212985
2016-01-06,166.15,167.2,160.45,162.3,473670
2016-01-07,162.4,166,157.05,163.85,230190
2016-01-08,163.85,169.7,161.95,168.9,287255
2016-01-11,165.1,167.25,163.6,164.7,182630
2016-01-12,164,165.4,163.25,163.8,247825
2016-01-13,164.3,173.6,164.3,167.35,344340
2016-01-14,166.8,166.8,160,161.75,409090
2016-01-15,163.05,167.35,157.75,159.25,242760
2016-01-18,158.25,161,153,160,538700
2016-01-19,156.6,159.85,156.6,158.6,204030
2016-01-20,158.8,161,155.95,160.1,127005
2016-01-21,160.1,162.5,157.3,160.7,158470
2016-01-22,162,162,156.9,159,650320
2016-01-25,162,162,158.05,160,1094780
2016-01-27,161.6,161.6,157.65,160.45,660520
2016-01-28,160.85,165.6,151.2,161,2400135
2016-01-29,160.25,160.8,154.4,158.8,809510
2016-02-01,160.6,160.6,155,157.9,861690
2016-02-02,156.6,161.1,152.1,153.7,69145
2016-02-03,152.05,154.6,149,153.85,484930
2016-02-04,159,159,152.2,156.4,221915
2016-02-05,158.2,160,155.45,156.6,413320
2016-02-08,157,158.4,154.65,156.15,521525
2016-02-09,153.6,155.35,152.6,153.75,160930
2016-02-10,152.25,154.8,151.2,153.35,256600
2016-02-11,151.7,152.8,148.95,149.95,1734710
2016-02-12,149,149.95,142.75,144.65,1458395
2016-02-15,145.45,150.6,145.45,146.85,173475
2016-02-16,147,152.85,143.2,151.25,247130
2016-02-17,150.4,150.4,144.9,145.95,669595
2016-02-18,148.75,149.45,145.4,148.2,436695
2016-02-19,147.2,147.2,143.6,146.1,171325
2016-02-22,144.4,148.25,144.4,147.7,32960
2016-02-23,146.25,147.7,144.4,145.45,1535975
2016-02-24,145.95,147.4,141.8,145,82795
2016-02-25,143.2,145.6,140.4,142.15,278480
2016-02-26,142.8,146,139,143.35,855890
2016-02-29,142,145,139,140,748190
2016-03-01,140.65,144.75,137.6,142.25,393165
2016-03-02,144,148.2,143.6,147,2062675
2016-03-03,147.75,150,145.8,147.65,2559505
2016-03-04,148.25,157,147.6,154.15,1394710
2016-03-08,153.6,168.3,152.2,165.75,1234200
2016-03-09,164.6,164.6,155.25,157.05,1262850
2016-03-10,158,161.3,155.35,156.45,157215
