Date,Open,High,Low,Close,Volume
2015-09-07,35.4,36.15,33.75,34,12156
2015-09-08,34,34.95,33.35,33.7,14180
2015-09-09,36.1,36.1,33.4,34.4,15004
2015-09-10,34,34.8,33.3,33.55,13388
2015-09-11,34.65,34.65,33.5,34,15112
2015-09-14,34.15,34.75,33.75,34.1,20512
2015-09-15,35.8,40.75,34.75,40.1,903620
2015-09-16,40.5,40.7,37.9,38.9,471472
2015-09-18,38.5,38.75,37.25,37.8,88420
2015-09-21,37.75,38.7,36,38.2,50396
2015-09-22,38.5,38.75,37,37.1,51860
2015-09-23,36.75,38.5,35.4,37.95,65116
2015-09-24,37.75,38.5,36.75,37.6,8276
2015-09-28,38.3,38.3,36.75,36.9,30320
2015-09-29,37.45,37.45,36.5,36.9,11640
2015-09-30,37.5,37.9,36.25,37.35,16632
2015-10-01,38,38.25,36.6,36.85,18220
2015-10-05,36.75,38.75,36.75,38,28400
2015-10-06,37.75,38.65,37.25,37.4,23380
2015-10-07,38,39,36.8,38.55,55660
2015-10-08,38.3,38.7,37.5,37.85,94968
2015-10-09,38.25,38.5,37.3,37.75,117264
2015-10-12,37.55,38.6,37.25,37.75,325672
2015-10-13,38.5,38.6,37.75,38.4,99640
2015-10-14,38,38.4,37.5,37.8,20916
2015-10-15,37.65,38.5,37,37.85,104784
2015-10-16,38.5,38.5,37.5,38.25,53996
2015-10-19,38.75,39,37.5,38.25,40868
2015-10-20,38.35,39.35,37.5,38.75,52032
2015-10-21,39.9,39.9,38.1,39.45,34332
2015-10-23,39.25,39.75,38.5,39.25,30144
2015-10-26,39,39.6,38.15,38.5,17968
2015-10-27,38.25,38.6,37.25,37.6,96168
2015-10-28,38.15,38.15,37.35,37.6,9928
2015-10-29,38.95,38.95,37.5,37.9,31184
2015-10-30,38.45,38.45,37.6,37.65,17056
2015-11-02,37.6,38.75,37,38,26116
2015-11-03,38.7,38.9,38,38.7,22940
2015-11-04,38.5,38.5,37.75,37.75,36132
2015-11-05,38.65,38.75,37.65,37.75,11724
2015-11-06,37.75,37.8,36.9,37.2,19868
2015-11-09,36.75,38,36.1,36.4,37436
2015-11-10,37.25,43.65,37.25,41.6,1291804
2015-11-11,42.1,42.3,40.5,40.75,98632
2015-11-13,40.7,40.7,39.25,39.6,95940
2015-11-16,39.6,43.9,39.6,41.5,280032
2015-11-17,41.5,42.5,40.3,40.6,514648
2015-11-18,40.25,40.9,39.6,40,250420
2015-11-19,40.15,40.25,39.75,40,32344
2015-11-20,40.25,41.6,40.05,40.8,198180
2015-11-23,41.95,42.75,40.75,41,377640
2015-11-24,41.75,42.4,40.8,41,159576
2015-11-26,40.75,41.75,40.25,41.4,165876
2015-11-27,41.25,41.5,40.8,40.95,39536
2015-11-30,41,41.75,40.8,40.95,124916
2015-12-01,41.25,41.5,40.85,41.25,61896
2015-12-02,41.1,42.25,41,41.75,963692
2015-12-03,42,42.1,41.25,41.6,1276864
2015-12-04,41.3,41.5,40.9,41.2,46296
2015-12-07,41.25,42.9,40.8,41.35,473324
2015-12-08,41.3,41.8,40.8,41.1,194664
2015-12-09,42.5,42.5,39.9,40.2,197848
2015-12-10,40,41.25,40,40.65,78156
2015-12-11,40.95,40.95,38.95,39.85,201476
2015-12-16,40.6,41.3,40.6,41,128148
2015-12-17,41.25,42.45,40.85,41.45,431300
2015-12-18,41.5,41.5,41,41.15,116828
2015-12-21,41.15,41.75,41,41.25,197948
2015-12-22,41.15,41.3,41,41.15,54912
2015-12-23,41,41.85,40.75,41.2,175740
2015-12-24,41.25,41.5,39.5,41.15,142052
2015-12-28,41.25,41.5,40.6,40.8,108988
2015-12-29,42,42,40.4,40.7,34124
2015-12-30,40.7,41.15,40.6,40.85,38060
2015-12-31,41.35,41.35,40.65,41.05,45708
2016-01-01,40.75,44.1,40.55,43.15,129664
2016-01-04,42.5,43,41.25,41.95,115748
2016-01-05,42.5,43.05,42.1,42.4,360236
2016-01-06,42.5,43,41.55,41.7,148308
2016-01-07,41.25,41.75,40.75,41.1,72260
2016-01-08,41.4,42.6,40.65,42.4,178952
2016-01-11,43.4,43.4,40.8,42.1,247388
2016-01-12,41.75,42.5,41.25,41.5,79380
2016-01-13,42.25,42.5,39.05,41.4,156308
2016-01-14,41.25,41.95,40,40.9,22924
2016-01-15,40.85,41.8,37.25,38.05,80040
2016-01-18,38.5,39.4,37.5,38.85,64328
2016-01-19,38.25,39.9,37.5,39,21888
2016-01-20,38.75,38.75,36.25,37.4,22904
2016-01-21,38.25,40.5,37.5,37.7,256236
2016-01-22,38,39.25,37.6,38.25,26444
2016-01-25,40.5,40.5,38,38.3,12012
2016-01-27,38.75,40,38.25,39.35,43292
2016-01-28,39.25,39.75,38.75,39.2,10256
2016-01-29,39,39.5,38.5,39.15,8388
2016-02-01,38.75,40.75,38.5,39.1,26320
2016-02-02,38.8,40.65,37.6,37.85,31956
2016-02-03,37.5,38.5,37.05,37.3,230396
2016-02-04,38.65,38.9,37.1,37.5,46256
2016-02-05,37.45,38.25,37,37.4,61772
2016-02-08,37.4,37.9,37.15,37.4,36972
2016-02-09,39.6,39.6,36.75,37.25,11356
2016-02-10,38.5,38.5,36.75,37.1,57628
2016-02-11,38.5,38.5,34.75,35.6,147916
2016-02-12,35.4,37.45,31.75,35.5,56668
2016-02-15,38.6,39,35.3,37.7,116176
2016-02-16,37.9,38.4,36.05,36.7,35128
2016-02-17,38.1,38.1,35.1,35.45,154036
2016-02-18,35.15,37.5,35.15,36,7140
2016-02-19,37.5,37.5,35.85,37.1,8240
2016-02-22,37.9,37.9,36,36.35,16340
2016-02-23,37,37.35,35.35,35.5,31824
2016-02-24,36.25,36.25,35.25,35.5,9564
2016-02-25,37.5,37.5,35,35.3,13940
2016-02-26,37.25,37.25,34.5,35,126000
2016-02-29,35.5,36.25,33.5,33.9,156004
2016-03-01,33.65,34.4,32.4,32.5,279008
2016-03-02,34,35.5,33,34.55,472296
2016-03-03,34.55,36,34.25,35,217968
2016-03-04,36,40.9,35,39.25,130024
2016-03-08,40.7,40.7,38.5,39.75,162200
2016-03-09,39.5,41.2,38.75,41,66072
2016-03-10,40.5,41.45,39.75,40.1,38344
2016-03-11,41,41,37.9,39.2,63012
2016-03-14,41,41,38.5,38.95,24012
2016-03-15,38.75,39.65,38.25,38.45,17800
2016-03-16,38.5,39.2,38.5,38.7,3260
2016-03-17,39.7,39.7,38.1,38.3,34680
2016-03-18,39.45,41.25,37.8,40.7,93484
2016-03-21,41,41.5,40.3,41.2,347476
2016-03-22,40.75,41.3,40.3,41.2,218996
2016-03-23,41.75,41.75,40.6,40.8,8644
2016-03-28,40.3,40.75,39.6,40.15,35324
2016-03-29,41.1,41.1,40,40,23268
2016-03-30,41.25,41.25,40,40.55,29432
2016-03-31,41,41,40.05,40.3,41172
2016-04-01,39.75,41,39.75,40.3,34572
2016-04-04,40.5,40.5,40,40.2,26776
2016-04-05,39.75,40.5,39.75,40.25,41908
2016-04-06,40.6,40.6,40.15,40.5,48784
2016-04-07,41.25,42.7,40.85,41.1,688456
2016-04-08,41.1,41.4,40.5,41.2,76600
2016-04-11,41,41.25,40,41.15,22404
2016-04-12,41,41.25,40.75,41.2,77656
2016-04-13,40.9,41.4,40.8,41,49116
2016-04-18,41,41,39.4,40.6,49356
2016-04-20,40.6,41.5,40.5,41,29144
2016-04-21,42.4,42.4,40.5,40.75,54760
2016-04-22,38.5,41.1,38.5,40.75,182028
2016-04-25,41.5,41.5,40.6,40.85,17648
2016-04-26,42.1,42.1,40.5,40.75,33856
2016-04-27,41.25,41.25,40.75,41,79496
2016-04-28,43,43,40.35,40.6,42772
2016-04-29,41.9,41.9,39.4,39.75,69076
2016-05-02,40.75,40.75,39.25,39.95,39024
2016-05-03,40.75,40.75,39.55,39.6,34004
2016-05-04,39.55,41.2,39.55,39.65,18548
2016-05-05,41.5,41.5,39.1,39.6,17164
2016-05-06,41.5,41.5,39.1,39.4,45204
2016-05-09,39.25,40.7,39.05,39.55,95880
2016-05-10,40.1,40.1,39.4,39.45,63940
2016-05-11,41.75,41.75,39.05,39.2,27812
2016-05-12,39.3,40,39.3,40,53900
2016-05-13,41.7,41.7,39.1,39.5,53772
2016-05-16,39.95,39.95,38.75,39,30068
2016-05-17,40.5,40.5,38.8,39.55,52428
2016-05-18,39.55,39.6,39,39.15,7968
2016-05-19,39.25,40.1,39.25,39.4,126744
2016-05-20,39.5,40.25,39.25,39.3,73264
2016-05-23,40.25,40.25,39.3,39.35,30668
2016-05-24,41,41,38.75,38.95,39944
2016-05-25,40,40,38.65,39,42600
2016-05-26,40.5,40.5,38.3,40.1,77832
2016-05-27,42.55,44.4,41.9,42.3,2499440
2016-05-30,42.3,43.75,40.5,41.45,523476
2016-05-31,43.6,47.25,43.45,45.2,3163372
2016-06-01,45.4,46.25,44,44.35,1001644
2016-06-02,44.25,45.1,43.85,44.25,585252
2016-06-03,44,45.95,43.75,44.4,525024
2016-06-06,44.7,48.2,44.6,46.9,1332256
2016-06-07,47.25,49.25,47.05,48.55,1474068
2016-06-08,48.75,48.75,47.4,47.55,386256
2016-06-09,47.5,48.35,46.75,47.3,604464
2016-06-10,47,47.7,46.25,46.35,232448
2016-06-13,46.25,47.25,46,46.75,521168
2016-06-14,47.15,48,46.15,46.55,706432
2016-06-15,47.2,55.85,47.15,54.4,9295620
2016-06-16,54.1,56.75,50.75,53.2,3128444
2016-06-17,53.3,54.7,50.75,51.1,1153512
2016-06-20,50.85,57.9,50.25,53.25,5563468
2016-06-21,53.9,54.5,51.6,52.95,2430284
2016-06-22,53.3,54.5,51.8,53,1960600
2016-06-23,52.9,54,52.1,53.35,1017856
2016-06-24,50.1,51.65,48.85,51.2,2844364
2016-06-27,51.5,54.75,51.05,54.2,2146980
2016-06-28,54.1,55.7,53.75,54.3,1509768
2016-06-29,54.75,56.05,54.75,55.25,1211164
2016-06-30,56.25,62.45,55.9,59.9,6651980
2016-07-01,60,60.5,57.9,58.85,1111300
2016-07-04,59.4,61.05,58.9,59.8,1159428
2016-07-05,60,60.65,58.1,58.7,1005320
2016-07-07,59.4,62.7,58.9,60.95,2620008
2016-07-08,61.2,61.35,59.3,60.25,762136
2016-07-11,60.5,62,60.5,61,1077840
2016-07-12,61,61.3,58.8,59.2,905036
2016-07-13,59.5,60.25,57.9,58.4,966696
2016-07-14,58.5,59,58,58.2,580592
2016-07-15,60.75,61.75,60.05,60.55,3134264
2016-07-18,61.35,63.45,60.25,60.6,2309428
2016-07-19,60.9,62.4,60.45,62,934752
2016-07-20,62.45,65,62.05,64.45,2246780
2016-07-21,65,66.4,64,65.55,2197772
2016-07-22,66.1,67.4,61.35,61.9,7238476
2016-07-25,62,63.6,62,63,1400092
2016-07-26,64.2,64.4,60.75,61.45,1451440
2016-07-27,61.7,62,58.4,59,1581528
2016-07-28,59.4,60.8,58.05,59.45,1426256
2016-07-29,59.45,59.85,58.4,58.65,644856
2016-08-01,58.8,59.25,57.75,58.9,613348
2016-08-02,59,60.75,58.5,59.7,1028636
2016-08-03,59.7,59.9,57.15,58.15,775148
2016-08-04,58.3,59.85,58.25,58.6,484368
2016-08-05,59,61.25,58.8,60.4,626972
2016-08-08,60.9,61.1,58.6,58.7,592280
2016-08-09,58.8,58.9,56.8,57.05,937424
2016-08-10,56.75,57.5,56.3,56.8,402516
2016-08-11,56.8,58.4,56.6,57.4,739488
2016-08-12,57.4,58.15,55.85,56.9,702704
2016-08-16,57,58,56.9,57.55,596084
2016-08-17,57.3,61.9,57.3,60.2,2588656
2016-08-18,60.7,63,60.1,62.1,1896960
2016-08-19,62,63.5,61,62.65,1264584
2016-08-22,63.3,66.05,63.3,65,2193612
2016-08-23,65.35,65.35,63,63.65,1066632
2016-08-24,64,64,57.5,59.75,5704000
2016-08-25,60.75,63.7,59.8,61.4,3325796
2016-08-26,61.75,62.5,60.05,60.3,1014272
2016-08-29,60.7,61.15,59.5,59.75,649508
2016-08-30,60.5,60.5,59.1,59.7,1275596
2016-08-31,60,60.1,59,59.65,2645984
2016-09-01,60,61.5,56.6,57.1,568052
2016-09-02,57.5,57.9,56.1,57,291958
2016-09-06,57.5,58,55.9,56.2,238994
2016-09-07,56.6,58.8,55.7,57.45,334938
2016-09-08,57.45,58.35,56.3,56.75,227914
2016-09-09,56.8,57.5,55.9,56.1,211440
2016-09-12,55.5,55.65,53.65,53.9,267418
2016-09-14,53.25,57.5,53.25,56.9,2132260
2016-09-15,56.9,61,55.6,56.3,8953896
2016-09-16,62.8,63.5,58.8,59.55,4050852
2016-09-19,60,60.1,58.05,58.3,490470
2016-09-20,58.05,61.95,57.6,60.05,1685340
2016-09-21,60,60.8,58.55,59.15,458810
2016-09-22,59.95,61,59.2,60.5,861156
2016-09-23,61.25,61.25,58.5,59.5,615002
2016-09-26,59.5,60.35,58.5,59.1,425230
2016-09-27,59.15,62.5,58.2,60.4,5407578
2016-09-28,60.75,64.25,59.6,63.7,2809888
2016-09-29,64,68.45,58.6,60.25,5069086
2016-09-30,59.5,67.9,59.25,66.15,5858316
2016-10-03,67,72.3,66.5,71.2,4971214
2016-10-04,71.8,72.65,70,72.15,2152462
2016-10-05,72.7,72.9,69.4,70.95,1713052
2016-10-06,71.65,71.85,67.6,68.25,1834838
2016-10-07,68.9,70.25,66.8,68.8,996040
2016-10-10,68.85,70.2,67.9,68.95,857062
2016-10-13,67.5,68.4,63.8,65.5,1296328
2016-10-14,66.35,68,65.35,67.4,1171020
2016-10-17,67.9,67.9,65.2,65.45,872808
2016-10-18,66.05,67.4,65.6,66.45,701884
2016-10-19,66.5,68.3,66.1,66.9,1003856
2016-10-20,67.1,68.3,66.6,66.85,679338
2016-10-21,67,67.4,66.4,66.7,483584
2016-10-24,66.7,69.5,66.6,68.75,1666020
