Date,Open,High,Low,Close,Volume
2017-05-30,1850,1900,1758.5,1790.32,140
2017-05-31,1775.5,1775.5,1751,1754.75,106
2017-06-01,1775,1842,1751.25,1820.5,450
2017-06-02,1871.5,1875,1837.5,1875,104
2017-06-05,1890,1890,1890,1890,2
2017-06-06,1967,1967,1805.5,1849.9,88
2017-06-07,1681,1969,1681,1875,18
2017-06-08,1875,1957.5,1687.5,1732.2,376
2017-06-09,1849,1849,1725,1750,22
2017-06-12,1844.5,1844.5,1775,1800,64
2017-06-13,1900,1980,1900,1969.75,1124
2017-06-14,1994.95,2075,1938.5,2026.75,212
2017-06-15,2210,2210,2080,2090,252
2017-06-16,2225,2225,1881,2006.72,174
2017-06-19,2165,2165,1915,2063.9,762
2017-06-20,2140,2255,2105,2167.25,2330
2017-06-21,2195,2195,2100,2108,54
2017-06-22,2108,2193.5,2100,2135.5,300
2017-06-23,2100,2100,2100,2100,50
2017-06-27,2008,2050,2008,2018.07,50
2017-06-28,2049.98,2049.98,1975,1975,22
2017-06-29,2040,2040,1955,1999.95,24
2017-06-30,2133,2133,1975.5,1999.95,42
2017-07-03,2094.95,2094.95,1999.95,1999.95,18
2017-07-04,2000,2000,1877.5,1932.82,16
2017-07-05,1975,1999.95,1902.53,1917.5,146
2017-07-06,1787.5,1950,1787.5,1905.85,68
2017-07-07,1875,1892.5,1857.5,1860.9,288
2017-07-10,1832.75,1832.75,1830,1830.62,20
2017-07-11,1875,1875,1850,1852.5,38
2017-07-12,1810,1879.5,1807.5,1809.55,152
2017-07-13,1837,1975,1837,1968.57,240
2017-07-14,2050,2100,1955,1980.5,68
2017-07-17,1964.5,2000,1947.5,1947.5,254
2017-07-18,1868,1924,1862.5,1908.32,244
2017-07-19,1932.5,1950,1932.5,1950,72
2017-07-20,1999,1999,1900,1900,8
2017-07-21,1960,1974,1960,1965.65,142
2017-07-24,1967.5,1999,1825,1842.12,612
2017-07-25,1850,1850,1828,1847.1,82
2017-07-26,1835,1844,1777.5,1831.53,304
2017-07-27,1800,2014.62,1775,1807.5,888
2017-07-28,1810.5,1945,1725,1818,458
2017-07-31,1825,1825,1819,1824.4,222
2017-08-01,1762.5,1800,1762.5,1800,48
2017-08-02,1797.5,1797.5,1797.5,1797.5,2
2017-08-03,1797.5,1797.5,1750,1797.5,30
2017-08-04,1665.5,1900,1665.5,1750,42
2017-08-07,1900,1900,1750.75,1787.5,40
2017-08-08,1850,1850,1750,1770.53,50
2017-08-09,1750,1750,1665,1677.5,244
2017-08-10,1677.5,1725,1677.5,1700,42
2017-08-11,1632,1798,1632,1645.5,18
2017-08-14,1590.55,1760,1572.5,1658.6,736
2017-08-16,1785,1850,1712.5,1786.95,568
2017-08-17,1899.5,1900,1800.5,1891.9,594
2017-08-18,1949.5,1949.5,1855.5,1867,440
2017-08-21,1895,1895,1792.5,1891.88,108
2017-08-22,1845,1870,1781.8,1855,10
2017-08-23,1777.75,1777.75,1627.5,1693.65,1296
2017-08-24,1792.5,1792.5,1700,1709.4,80
2017-08-28,1578.5,1773.5,1578.5,1677.9,44
2017-08-29,1678,1775,1675,1760.7,230
2017-08-30,1775,1775,1725.1,1750,48
2017-08-31,1725,1725,1665.47,1669.28,598
2017-09-01,1655.57,1735,1655.57,1723.82,404
2017-09-04,1701,1730,1701,1717.5,6
2017-09-05,1730,1770,1675,1717.72,76
2017-09-06,1743.47,1743.47,1681,1702.88,48
2017-09-07,1705,1800,1650.5,1660,388
2017-09-08,1660,1660,1650,1650,36
2017-09-11,1725,1725,1650,1702.18,56
2017-09-12,1702.5,1705,1665,1699.5,142
2017-09-13,1700,1734.5,1665,1703.75,226
2017-09-14,1705,1749.5,1659,1720,196
2017-09-15,1749.5,1825,1702.5,1720.07,710
2017-09-18,1849.5,1915,1750,1824.55,196
2017-09-19,1914.5,1915,1717.03,1805.93,226
2017-09-20,1834,1925,1834,1849.8,508
2017-09-21,1849.97,1850,1807.03,1813.3,246
2017-09-22,1800,1800,1676.5,1682.22,750
