Date,Open,High,Low,Close,Volume
2019-11-11,334.95,336,327.2,333.35,494
2019-11-13,327.2,331.95,324.05,326.7,731
2019-11-14,317.55,330,312.25,317.4,1056
2019-11-15,330.05,349,330.05,340.25,3833
2019-11-18,340.05,359.9,325.05,354.9,6214
2019-11-19,357,389.7,357,373.65,5101
2019-11-20,373.4,389.5,366.15,383.1,2773
2019-11-21,387,401.8,377.3,400.15,4340
2019-11-22,404,425,399,420.95,7851
2019-11-25,425,428.95,410.05,417.85,4566
2019-11-26,411,423.9,410,417.15,4344
2019-11-27,415,425.95,415,421.05,2782
2019-11-28,416.1,428.95,416.05,425.95,1633
2019-11-29,425,429.35,421,424,1266
2019-12-02,424.1,432.35,424.05,426,870
2019-12-03,416.1,430,416.05,424,3047
2019-12-04,420.85,425.05,420.15,420.35,3340
2019-12-05,420.05,424.3,416.15,418.35,1782
2019-12-06,405.1,418.85,405.05,414,887
2019-12-09,419.6,422,409.55,415.75,1651
2019-12-10,415.05,416.2,404.05,407.65,1331
2019-12-11,405.05,410,382.05,390.45,2072
2019-12-12,390.4,390.45,380.4,384.1,966
2019-12-13,380.15,389.45,377.05,378.9,4308
2019-12-16,381.95,387.9,375,377.7,1452
2019-12-17,374.55,385,374.55,377.85,729
2019-12-18,381.4,382.9,375,375,798
2019-12-19,375.95,382.05,375.95,382,336
2019-12-20,376.95,385.95,366.5,375.4,1368
2019-12-23,389.5,389.5,376.1,378.7,435
2019-12-24,380,380,369.5,373.35,1893
2019-12-26,375.4,389.8,372.4,375.85,1699
2019-12-27,366.65,383.4,366.65,370.45,431
2019-12-30,394.75,394.75,379,380.7,1645
2019-12-31,389.4,390,379,386.5,950
2020-01-01,389.95,394.9,375.05,388.4,1127
2020-01-02,385,389.5,379.05,384.5,390
2020-01-03,387,388,382,386,741
2020-01-06,379,388.6,379,385,1750
2020-01-07,385,392,385,391.3,818
2020-01-08,386,386,386,386,30
2020-01-09,386,401.45,382.5,384.9,1299
2020-01-10,385,400.3,384,390.3,1241
2020-01-13,400.3,400.3,386,389.35,1056
2020-01-14,390,399.95,386.1,386.35,233
2020-01-15,386.35,395,384.95,391.9,506
2020-01-16,390.05,390.05,387,387.05,458
2020-01-17,399,399,383.05,390.7,1681
2020-01-20,383.05,389,381.5,385.3,437
2020-01-21,385,395,385,391.25,583
2020-01-22,391.25,395.95,381.6,389,677
2020-01-23,393.95,395.8,388,389,554
