Date,Open,High,Low,Close,Volume
2023-07-27,947,952,876.05,910.4,17045692
2023-07-28,916.8,934.25,885.2,898.45,1687691
2023-07-31,900,900,857,875.55,752821
2023-08-01,879,898.95,872.15,881.15,432785
2023-08-02,881.4,888,849.85,856.65,389813
2023-08-03,845.65,911.55,845,890.3,670122
2023-08-04,898.8,905,885,892.8,491660
2023-08-07,893.8,899.9,880,887.95,225091
2023-08-08,886.1,889,854.45,858.65,168235
2023-08-09,861,866.9,849.8,852.05,181125
2023-08-10,850.05,869.95,840,860.8,197721
2023-08-11,865,882.8,856.7,871,254524
2023-08-14,811,879,811,849.2,352837
2023-08-16,849.2,856.25,823.3,826.15,175004
2023-08-17,830,836.55,811,823.1,137513
2023-08-18,825,832.95,810.05,815.1,302005
2023-08-21,816.45,823.9,782.7,796.3,306496
2023-08-22,799.9,812,789,792.5,102884
2023-08-23,794.95,828.7,792.05,806.85,426957
2023-08-24,810.1,887.5,810.05,887.5,575497
2023-08-25,900,920.7,851.05,865.25,471683
2023-08-28,868,892,853.1,863.75,142393
2023-08-29,876,876,843,847.25,67557
2023-08-30,856,859.8,832,837.15,192994
2023-08-31,856.95,874.9,835.2,846.2,509353
2023-09-01,850,854.95,844.1,845.8,83479
2023-09-04,846,851.5,824.85,840.1,281958
2023-09-05,842,858.5,841.2,845.2,101280
2023-09-06,849,866.15,843,846.8,123145
2023-09-07,849.5,853,839.15,842.4,58831
2023-09-08,842.55,849.75,837.45,838.85,62780
2023-09-11,842.95,854.95,832.1,845.3,120552
2023-09-12,849,849.1,824.85,835.75,179673
2023-09-13,834,839.95,806.85,820.75,200708
2023-09-14,825.2,837.15,812,816.2,60957
2023-09-15,822.45,824,811.1,816.55,64170
2023-09-18,816.55,820.45,806,808.35,46670
2023-09-20,808.35,815,803.4,811.15,44678
2023-09-21,810,815,804.2,810.4,46112
2023-09-22,810.95,818,803.1,809.9,49956
2023-09-25,814.3,814.3,800,804.05,30410
2023-09-26,807.05,808,795,804.2,62246
2023-09-27,790.1,830,790.1,815.3,127099
2023-09-28,823,823,806.7,809.85,33288
