Date,Open,High,Low,Close,Volume
2018-01-29,127.05,133.35,123.125,126.2,28016702
2018-01-30,125.35,130.5,117.2,126.475,4072884
2018-01-31,126,129,122.275,124.775,1317210
2018-02-01,122.5,130.5,121.25,126.475,1569362
2018-02-02,123.075,125.9,115.825,116.95,967486
2018-02-05,112.55,118.7,111.5,116.3,437386
2018-02-06,112,113.975,107.5,113.3,607310
2018-02-07,115,118.1,114.175,116.65,415514
2018-02-08,116.65,119.475,116.65,118.95,318680
2018-02-09,117.5,121.5,115.55,118.15,264570
2018-02-12,118.95,126,118.775,124.3,639302
2018-02-14,124.45,125.9,122.775,124.65,305388
2018-02-15,125,125.75,119,119.575,184698
2018-02-16,120.125,122,115.8,117.025,183854
2018-02-19,115.075,118.4,114.1,114.9,124816
2018-02-20,115.2,116.725,114,115,118974
2018-02-21,115.5,116.525,113.625,115.1,147378
2018-02-22,114.45,118.825,114.45,118.275,187254
2018-02-23,118.475,119.1,116.25,117,96720
2018-02-26,117.225,122.125,115.55,119.525,227608
2018-02-27,122.95,124,120.5,122.25,392614
2018-02-28,122.4,123,120,121.75,228566
2018-03-01,121.675,124,121.675,122.05,344384
2018-03-05,122.5,123.9,119.525,120.95,213998
2018-03-06,121.25,122.675,118.75,119.275,117204
2018-03-07,119,121,116,117.925,134202
2018-03-08,118.125,119.9,117.5,119.125,135362
2018-03-09,119.125,120.2,118.125,119.05,101176
2018-03-12,119.65,122.925,119.65,121.725,230308
2018-03-13,121.325,122.425,120.15,121.525,135182
2018-03-14,121.475,121.85,119.025,119.45,52490
2018-03-15,119.025,120.275,119,119.35,112524
2018-03-16,119.4,120.95,119,119.725,587442
2018-03-19,119.275,121,116.3,116.95,50194
2018-03-20,116.275,116.8,114.65,114.975,173574
2018-03-21,115.525,116.65,114.2,115.225,146134
2018-03-22,115.3,116.35,114,114.525,97958
2018-03-23,113.4,114.5,110.525,112.5,151792
2018-03-26,114.975,114.975,113.3,114.075,71888
2018-03-27,114.5,115.4,110.55,113.675,64358
2018-03-28,114.35,116.9,113.75,115.9,81336
2018-04-02,115.9,118.775,115,117.675,56316
2018-04-03,119.35,119.35,116.5,117.325,43690
2018-04-04,118.45,120,116.9,118.675,218496
2018-04-05,118.925,121,118,118.4,82672
2018-04-06,117.5,122.275,117.5,120.65,101284
2018-04-09,120.025,121.5,119.475,119.95,93276
2018-04-10,120,120.5,119,119.975,213348
2018-04-11,120.225,121.45,119.575,120.65,52836
2018-04-12,120.5,121.175,118,120.45,244630
2018-04-13,120,122.5,119.25,121.625,130728
2018-04-16,121.5,122,119.525,119.875,36904
2018-04-17,119.975,120.625,118.25,118.65,25632
2018-04-18,118.5,119.2,116.4,116.9,47332
2018-04-19,116.25,118.275,114.8,115.425,64816
2018-04-20,115.5,117.775,115.075,116.175,74484
2018-04-23,116.5,121.725,116.5,118.65,89102
2018-04-24,118.425,120.85,118.425,118.725,32690
2018-04-25,118.625,119.8,116.125,116.725,51820
2018-04-26,117.5,120.075,116.025,119.375,83310
2018-04-27,119,120.275,117.25,119.65,82836
2018-04-30,120.15,130.4,118.325,125.575,785570
2018-05-02,125.975,129.85,124.5,125.525,177010
2018-05-03,125.35,125.35,122,123.025,57962
2018-05-04,123.15,126,122.9,124.5,119454
2018-05-07,125.5,128,124.8,127.35,169046
2018-05-08,128.5,131.35,127.275,127.6,572346
2018-05-09,129.4,130.85,127.55,127.65,100862
2018-05-10,127.775,129.45,124.5,124.775,41320
2018-05-11,124.775,128.35,124.075,125.225,59862
2018-05-14,124.25,127,124.25,126.375,104968
2018-05-15,125.525,129.5,125.525,127.075,163748
2018-05-16,126.45,129,125.6,127.35,95260
2018-05-17,126.55,135,126.375,131.9,698566
2018-05-18,133.425,136,129,129.7,277622
2018-05-21,131,132.225,128.2,128.95,117572
2018-05-22,128.95,131,123.05,125.95,565754
2018-05-23,126,129.95,124,126.375,221546
2018-05-24,127.425,130.325,124.85,125.575,195322
2018-05-25,126.225,128.75,126.225,128.45,227640
2018-05-28,128.725,130,128.275,129.025,151166
2018-05-29,128.975,129.15,126,127.175,57088
2018-05-30,126,128.175,125.5,125.925,62132
2018-05-31,126.2,134,126.175,133.5,682666
2018-06-01,132,136,131.1,133.05,205114
2018-06-04,127.775,132,126,126.4,54504
2018-06-05,126.4,129.2,125,125.7,148318
2018-06-06,123.75,129.975,123.75,128.65,80642
2018-06-07,129.725,129.975,126.125,127.65,56478
2018-06-08,128.475,131.1,127,129.575,108602
2018-06-11,132.75,132.75,127.5,128.85,48436
2018-06-12,128.3,131.5,127.8,130.875,62520
2018-06-13,131.975,131.975,127,127.45,43128
2018-06-14,126.125,128,124.5,125.1,117582
2018-06-15,126.25,126.3,124.75,125.3,60142
2018-06-18,124.5,128.825,124.5,125.55,113130
2018-06-19,125.5,127.4,119,124.525,223440
2018-06-20,122.5,126.475,122.5,125.1,67560
2018-06-21,126,128.05,124.225,126.075,59188
2018-06-22,126.95,127.95,124.975,126.775,109740
2018-06-25,123.75,129.125,123.75,125.075,72242
2018-06-26,126.975,127.475,122.5,122.875,47416
2018-06-27,123.875,126.25,117.15,121.525,116092
2018-06-28,120.5,124.5,117.55,123.175,87304
2018-06-29,126.625,129.95,121.075,126.675,140414
2018-07-02,126.375,128.975,122.05,123.125,40436
2018-07-03,123.125,124.7,120.05,121.5,43490
2018-07-04,120.25,124.5,120.25,124.1,42822
2018-07-05,124.025,125,122,122.525,18724
2018-07-06,123.9,124.25,119.3,121.775,93166
2018-07-09,123.5,123.5,119.6,120.7,89446
2018-07-10,120,122.25,116.8,118.75,87404
2018-07-11,118.5,120.7,118.5,118.975,47264
