Date,Open,High,Low,Close,Volume
2015-09-07,15.62,15.82,14.8,14.98,5389026
2015-09-08,15.06,15.72,14.74,15.34,4717367
2015-09-09,15.76,16.07,15.46,15.56,4000677
2015-09-10,15.32,15.8,14.99,15.71,3608884
2015-09-11,15.85,16.68,15.84,16.04,6633604
2015-09-14,16.21,16.21,15.54,15.62,3616345
2015-09-15,15.79,16,15.35,15.46,3724983
2015-09-16,15.7,15.78,15.09,15.23,2147989
2015-09-18,15.46,15.64,15.26,15.33,2330184
2015-09-21,15.21,16.25,15.09,16.03,7296252
2015-09-22,16.07,16.4,15.57,15.65,5961241
2015-09-23,15.48,15.89,15.38,15.79,2126199
2015-09-24,15.84,16.91,15.55,16.22,11627924
2015-09-28,16.25,16.65,15.99,16.05,4419905
2015-09-29,15.89,16.67,15.64,16.54,6036532
2015-09-30,16.65,16.99,16.42,16.71,4370240
2015-10-01,16.98,17.14,16.64,16.81,9106169
2015-10-05,17.05,18.76,16.96,18.59,24756407
2015-10-06,18.93,22.25,18.54,21.04,75633102
2015-10-07,22.09,22.37,21.18,21.36,51165288
2015-10-08,21.45,22.87,20.68,22.11,57927054
2015-10-09,22.2,22.82,21.62,21.88,22892928
2015-10-12,21.91,21.95,20.62,20.76,15184984
2015-10-13,20.83,21.51,20.62,21.08,15228506
2015-10-14,21.01,21.53,20.76,20.89,10476591
2015-10-15,21,22.64,20.92,21.49,52831152
2015-10-16,21.63,22.14,21.49,21.87,18005851
2015-10-19,21.99,23.57,21.98,23.32,48251361
2015-10-20,23.44,23.84,22.44,22.81,22759601
2015-10-21,22.9,23.39,22.04,22.25,45552352
2015-10-23,22.5,22.72,21.14,21.2,17198226
2015-10-26,21.39,21.72,20.71,21.47,15645605
2015-10-27,21.58,21.8,21.25,21.54,11769473
2015-10-28,21.5,21.68,20.68,21.56,8501486
2015-10-29,21.5,22.42,21.41,21.84,13808597
2015-10-30,21.71,22.11,20.91,21.31,9701490
2015-11-02,21.4,21.59,21.14,21.48,6280868
2015-11-03,21.54,21.59,20.41,20.64,10212532
2015-11-04,20.82,21.17,20.7,20.76,5642732
2015-11-05,20.82,20.9,19.95,20.08,4647264
2015-11-06,20.15,20.5,19.82,20.32,6184407
2015-11-09,19.48,20.54,19.48,19.95,8012881
2015-11-10,19.95,20.37,19.37,19.49,5728308
2015-11-11,19.7,20.29,19.65,20.2,3325191
2015-11-13,20,20.13,19.5,19.7,3798122
2015-11-16,19.55,20.09,19.24,19.83,4672102
2015-11-17,19.98,21,19.62,20.72,18712026
2015-11-18,20.86,21.32,20.59,20.83,12480400
2015-11-19,21.08,21.48,20.91,21.05,6722378
2015-11-20,20.91,21.2,20.75,20.83,4330158
2015-11-23,20.89,21.46,20.7,21.15,6850162
2015-11-24,21.06,21.59,20.84,21.34,10877887
2015-11-26,21.48,21.54,20.87,20.99,4832793
2015-11-27,20.99,22.46,20.8,22.22,23170756
2015-11-30,22.23,22.83,22.16,22.53,16220504
2015-12-01,22.59,22.65,21.84,22.09,6931246
2015-12-02,22.23,22.25,21.41,21.73,4470269
2015-12-03,21.72,22.45,21.37,21.94,9366052
2015-12-04,21.71,22.39,21.41,21.54,8111286
2015-12-07,21.76,22.22,21.31,21.61,8886404
2015-12-08,21.57,21.82,20.9,21.03,3528336
2015-12-09,21.12,21.43,20.03,20.57,14821267
2015-12-10,20.68,21.21,20.47,21.08,4654690
2015-12-11,21.2,21.3,20.59,20.83,3611563
2015-12-16,21.46,21.71,21.01,21.07,3805156
2015-12-17,21.2,22.62,21.16,22.31,15290995
2015-12-18,22.2,23.28,22.09,22.84,20345556
2015-12-21,22.83,23.13,22.41,22.75,8066078
2015-12-22,22.91,23.01,21.94,22.24,6614845
2015-12-23,22.37,22.57,22.14,22.29,3868001
2015-12-24,22.46,22.8,22.05,22.29,7119064
2015-12-28,22.37,24.3,22.21,24.06,34375511
2015-12-29,24.19,24.41,23.25,23.38,15787313
2015-12-30,23.47,23.51,22.69,22.76,10624897
2015-12-31,22.8,22.89,22.34,22.51,5444101
2016-01-01,22.51,22.94,22.42,22.51,4458474
2016-01-04,22.42,22.8,21.2,21.84,7484606
2016-01-05,21.97,22.17,21.59,21.82,4654518
2016-01-06,21.84,22.37,21.25,21.37,5798051
2016-01-07,21.08,21.12,20.46,20.55,5215234
2016-01-08,20.73,21.23,20.68,20.76,4680879
2016-01-11,20.41,20.96,19.8,20.87,10800766
2016-01-12,21.01,21.55,20.75,21.45,9980119
2016-01-13,21.82,21.98,19.29,20.17,24876320
2016-01-14,19.74,20.21,19.09,19.55,6713641
2016-01-15,19.8,20.2,18.3,18.68,5049101
2016-01-18,17.98,19.03,17.05,17.2,7204592
2016-01-19,17.38,17.9,16.78,17.22,8108998
2016-01-20,17.05,18.57,16.42,17.92,30460326
2016-01-21,18.3,19.72,18.3,19.05,17512991
2016-01-22,19.28,19.45,18.93,19.11,6102720
2016-01-25,19.28,19.67,18.98,19.34,4076293
2016-01-27,19.53,21.12,19.24,20.28,14427758
2016-01-28,20.36,20.55,19.73,19.87,3857667
2016-01-29,19.99,20.09,19.37,19.45,4443961
2016-02-01,19.64,19.87,19.25,19.36,3411432
2016-02-02,19.34,19.51,18.15,18.29,4166154
2016-02-03,18.06,18.28,17.76,17.88,3405092
2016-02-04,17.98,18.26,17.12,17.33,3239267
2016-02-05,17.28,18.62,16.98,18.42,9204253
2016-02-08,18.49,18.75,17.84,17.92,3616719
2016-02-09,17.73,18.16,17.43,17.88,2421383
2016-02-10,17.73,18.73,17.32,18.09,5276851
2016-02-11,17.95,18.06,16.17,16.5,4820185
2016-02-12,16.82,16.85,15.32,16.18,6246478
2016-02-15,16.53,17.39,16.53,17.25,3787871
2016-02-16,17.48,17.89,16.28,16.4,3735735
2016-02-17,16.37,16.66,15.76,16.45,3583886
2016-02-18,16.7,17.07,16.4,16.63,4867874
2016-02-19,16.68,17.18,16.3,16.49,4854174
2016-02-22,16.59,16.8,16.32,16.57,1945958
2016-02-23,16.59,16.84,16.14,16.26,2902976
2016-02-24,16.25,16.25,15.74,15.8,3102795
2016-02-25,16,16.09,15.68,15.76,1691895
2016-02-26,16.09,16.13,15.63,15.74,2826616
2016-02-29,15.74,16.41,15.66,15.98,6100780
2016-03-01,16.03,17.22,16.03,17.07,8940745
2016-03-02,17.47,17.75,17.21,17.42,9316595
2016-03-03,17.6,17.9,17.33,17.74,5164575
2016-03-04,17.73,18.05,17.37,17.7,3263121
2016-03-08,17.68,17.78,17.39,17.49,1854434
2016-03-09,17.46,18.41,17.21,18.13,5598026
2016-03-10,18.49,18.73,18.21,18.29,7045088
2016-03-11,18.21,18.3,17.8,17.98,2436477
2016-03-14,18.12,18.49,17.98,18.09,2692317
2016-03-15,18.3,18.39,17.89,18.01,2803551
2016-03-16,17.96,18.07,17.39,17.73,3608536
2016-03-17,17.95,18.64,17.73,17.87,3832701
2016-03-18,17.99,19.48,17.8,19.16,17232545
2016-03-21,19.16,19.16,18.54,18.71,4247296
