Date,Open,High,Low,Close,Volume
2025-06-03,90,92.5,85.5,90.45,547200
2025-06-04,87.3,88.95,85.95,88.8,183600
2025-06-05,85.2,90.95,84.6,90.4,153600
2025-06-06,88.5,94.9,88.5,94.9,159600
2025-06-09,99.6,99.6,99.6,99.6,16800
2025-06-10,104.55,104.55,95.05,102,459600
2025-06-11,96.9,101.7,96.9,98.25,273600
2025-06-12,98,100,93.75,98,128400
2025-06-13,95.1,101.6,94,100.35,57600
2025-06-16,98.25,101,98.05,99.3,31200
2025-06-17,101,104.8,98.55,102.7,415200
2025-06-18,103.8,106.9,102.05,103.8,506400
2025-06-19,104,106.3,100.5,103.15,290400
2025-06-20,103.15,105,102.3,102.3,48000
2025-06-23,102.25,104.8,98.05,102.7,120000
2025-06-24,101.75,103.4,100.05,101.55,50400
2025-06-25,100.15,100.7,98,98.1,39600
2025-06-26,96.15,98,95.5,95.65,18000
2025-06-27,94.5,100.8,94.5,97.3,9600
2025-06-30,97.3,97.3,95.05,95.5,22800
2025-07-01,96,96.75,91.05,91.7,37200
2025-07-02,91.5,95,88,91.2,45600
2025-07-03,89.5,91.45,89.3,90.95,16800
2025-07-04,90.1,90.2,90,90.05,6000
2025-07-07,91.95,92.5,90,90.65,26400
2025-07-08,90.05,90.95,90,90.45,20400
2025-07-09,89.55,93.8,89.55,92.75,159600
2025-07-10,91.55,93.4,90.9,93.05,178800
2025-07-11,93.5,93.5,90.85,92.2,135600
2025-07-14,92.9,94,91.7,92.1,16800
2025-07-15,94,94,91.25,91.6,9600
2025-07-16,90.5,95,90,93.05,357600
2025-07-17,91.8,92,90.15,91.4,141600
2025-07-18,90.4,90.95,90.3,90.3,20400
2025-07-21,92,92,89.5,90.8,25200
2025-07-22,92,92,89,89,22800
2025-07-23,88,91,82.2,86.75,43200
2025-07-24,87.4,87.4,84.1,84.5,18000
2025-07-25,84.85,84.85,81.95,82.1,16800
2025-07-28,81.7,82,80.1,80.2,18000
2025-07-29,79.9,80,77.5,79.9,58800
2025-07-30,79.85,85.85,77.15,83.45,458400
2025-07-31,82,87.2,81.7,86.1,49200
2025-08-01,86.2,93.9,86.2,92.8,133200
2025-08-04,93,96.95,93,94.6,74400
2025-08-05,94.1,96.9,93.05,96.05,50400
2025-08-06,97,98.2,95.85,98.1,109200
2025-08-07,97.95,97.95,95.5,96,20400
2025-08-08,95.5,104,94,100.15,72000
2025-08-11,105,106.2,100,104.8,724800
2025-08-12,104.9,107.9,101.25,107,255600
2025-08-13,106.45,114,104.5,111.55,351600
2025-08-14,111.4,118,109.15,116.15,343200
2025-08-18,116.4,117.5,110.15,115.1,92400
2025-08-19,112.1,125,111.05,122.9,266400
2025-08-20,122,127.5,118.75,125.3,117600
2025-08-21,127.4,133.3,123,126,434400
2025-08-22,125.5,129,115.15,117.7,146400
2025-08-25,116.75,129.5,116.1,125.1,115200
2025-08-26,121.15,124.5,120,122,136800
2025-08-28,119,128.9,119,128.2,84000
2025-08-29,128,128,115.4,120.2,92400
2025-09-01,120.05,128,120,124.65,410400
2025-09-02,124,126,118,120.45,406800
2025-09-03,120.1,124,119.75,119.95,328800
