Date,Open,High,Low,Close,Volume
2015-10-12,9.25,9.35,9.25,9.35,1250
2015-10-13,8.9,9.25,8.9,9.25,232
2015-10-16,8.8,8.8,8.8,8.8,20
2015-10-19,8.4,8.4,8.4,8.4,878
2015-10-21,8.4,8.4,8.4,8.4,800
2015-10-29,8,8.4,8,8.4,2256
2015-10-30,8,8,8,8,200
2015-11-02,8.2,8.35,8.2,8.35,2000
2015-11-06,7.95,7.95,7.95,7.95,10
2015-11-09,7.95,8,7.95,7.95,300
2015-11-10,8.3,8.3,8,8,806
2015-11-11,8.4,8.4,8.4,8.4,300
2015-11-13,8.1,8.1,8.1,8.1,200
2015-11-16,8.3,8.4,7.7,7.7,1119
2015-11-17,7.75,7.75,7.75,7.75,400
2015-11-18,7.5,7.75,7.4,7.4,3698
2015-11-19,7.4,7.4,7.05,7.05,402
2015-11-20,7.4,7.4,6.7,7.4,2188
2015-11-23,7.1,7.75,7.1,7.75,1650
2015-11-24,7.4,7.5,7.4,7.5,850
2015-11-26,7.5,7.5,7.25,7.25,320
2015-11-27,7.6,7.6,7.15,7.5,1400
2015-11-30,7.35,7.35,7.35,7.35,201
2015-12-01,7.1,7.6,7.1,7.6,1262
2015-12-02,7.9,7.95,7.5,7.95,785
2015-12-03,8,8,8,8,719
2015-12-04,7.9,7.9,7.8,7.8,610
2015-12-07,7.55,8.15,7.45,7.9,1200
2015-12-08,8.25,8.25,7.9,7.9,550
2015-12-09,8.25,8.25,7.55,7.7,1610
2015-12-10,7.7,7.7,7.5,7.5,120
2015-12-16,7.9,7.9,7.8,7.8,113
2015-12-17,8,8,7.5,7.5,991
2015-12-18,7.15,7.85,7.15,7.85,2140
2015-12-21,7.6,7.85,7.5,7.7,2975
2015-12-22,7.55,7.75,7.35,7.75,2910
2015-12-24,7.85,7.9,7.4,7.4,250
2015-12-28,7.4,7.75,7.15,7.75,5160
2015-12-29,7.55,8.1,7.5,8.05,1900
2015-12-30,7.75,7.75,7.7,7.7,1010
2015-12-31,7.55,8,7.35,8,10062
2016-01-01,8.4,8.4,7.75,8.4,8808
2016-01-04,8,8.8,8,8.3,4861
2016-01-05,8.6,8.7,8.35,8.7,6698
2016-01-06,8.5,9.1,8.45,9.1,14067
2016-01-07,8.7,8.9,8.7,8.8,3045
2016-01-08,8.8,9.1,8.7,9,1961
2016-01-11,8.55,9.3,8.55,9,3082
2016-01-12,8.65,9.2,8.65,8.65,933
2016-01-13,8.3,8.3,8.25,8.25,9029
2016-01-15,8,8.65,7.85,8.55,3645
2016-01-18,8.95,8.95,8.15,8.15,2241
2016-01-19,7.8,8.5,7.8,7.8,405
2016-01-20,8,8,7.45,8,5038
2016-01-21,7.65,8.2,7.6,7.85,1822
2016-01-25,8.15,8.15,7.5,7.5,1096
2016-01-27,7.35,7.85,7.35,7.8,247
2016-01-28,7.6,8.1,7.6,8.1,1100
2016-01-29,7.7,8.4,7.7,8.3,800
2016-02-01,8,8.7,8,8.7,681
2016-02-02,8.3,8.9,8.3,8.9,319
2016-02-03,8.5,9.05,8.5,9.05,450
2016-02-04,9,9.05,8.6,8.6,544
2016-02-05,8.2,9,8.2,8.6,1156
2016-02-08,9,9,8.25,8.7,1403
2016-02-09,9.1,9.1,8.3,8.4,197
2016-02-10,8,8.7,8,8.7,311
2016-02-11,8.5,8.5,8.5,8.5,3
2016-02-12,8.5,8.5,8.5,8.5,100
2016-02-15,8.8,8.8,8.1,8.35,393
2016-02-16,8,8.4,7.95,8.4,2000
2016-02-17,8,8,8,8,82
2016-02-18,7.65,8.4,7.65,8.35,368
2016-02-19,8.35,8.5,7.95,8.4,320
2016-02-23,8,8.35,8,8.05,202
2016-02-24,7.65,7.65,7.65,7.65,582
2016-02-25,8,8,7.3,7.95,52
2016-02-26,8.25,8.25,8.25,8.25,200
2016-02-29,8,8,8,8,100
2016-03-03,7.6,8,7.6,7.6,672
2016-03-04,7.4,8.05,6.95,8.05,510
2016-03-08,7.25,8.45,7.25,8.3,3449
2016-03-09,7.6,9.1,7.55,8.95,1980
2016-03-10,8.25,8.95,8.15,8.9,1189
2016-03-11,9.75,9.75,8.05,8.5,2146
2016-03-14,8.2,8.2,8,8,595
2016-03-15,8.8,8.8,7.35,8,6208
2016-03-16,7.35,8.4,7.35,7.65,2532
2016-03-17,7.35,8.4,7.25,8.4,5978
2016-03-18,9.2,9.2,7.7,7.75,2800
2016-03-21,7.75,8.5,7.5,8.45,13254
2016-03-22,7.85,8.4,7.8,8.05,700
2016-03-23,8.8,8.8,7.8,8.55,1502
2016-03-28,7.8,8.6,7.8,7.8,1263
2016-03-29,7.4,7.45,7.4,7.45,992
2016-03-30,8.15,8.15,7.75,7.85,210
2016-03-31,8,8,8,8,1
2016-04-01,7.55,8,7.55,8,957
2016-04-04,7.45,8.8,7.45,8.45,4416
2016-04-05,8.95,8.95,7.75,8.5,3501
2016-04-06,7.9,8.35,7.9,8.35,901
2016-04-07,7.75,8.6,7.75,8.4,1015
2016-04-08,7.65,8.35,7.65,7.8,1552
2017-03-08,7.65,7.8,7.55,7.8,685
2017-03-09,8.15,8.15,7.45,7.45,3165
2017-03-10,7.5,7.55,7.5,7.55,101
2017-03-15,7.55,7.9,7.55,7.55,702
2017-03-16,7.55,7.55,7.5,7.5,3715
2017-03-17,7.5,7.8,7.45,7.5,4384
2017-03-20,7.6,7.85,7.5,7.5,1396
2017-03-21,7.6,7.6,7.5,7.5,500
2017-03-22,7.6,7.85,7.15,7.85,802
2017-03-24,7.8,7.8,7.5,7.5,700
2017-03-27,7.6,7.7,7.15,7.15,900
2017-03-28,6.85,6.85,6.8,6.8,500
2017-03-30,6.8,6.8,6.8,6.8,300
2017-04-03,6.9,6.9,6.5,6.7,800
2017-04-05,6.6,7,6.4,7,3092
2017-04-06,7,7.35,6.65,6.65,1902
2017-04-07,6.75,6.85,6.5,6.75,1052
2018-04-09,6.95,7.1,6.95,7.05,2727
2018-04-10,7,7.25,7,7.05,209
2018-04-13,7.4,7.4,7.4,7.4,100
2018-04-16,7.35,7.75,7.35,7.5,296
2018-04-19,7.4,7.8,7.4,7.4,704
2018-04-20,7.4,7.7,7.4,7.7,390
2018-04-23,7.8,8.05,7.8,8,4027
2018-04-24,8,8.4,8,8.4,1264
2018-04-25,8.1,8.8,8.1,8.8,3135
2018-04-26,8.8,9.2,8.4,9,6969
2018-04-27,9.45,9.45,8.8,9,2275
2018-04-30,9,9,8.8,8.8,508
2018-05-02,9.2,9.2,9,9,1272
2018-05-03,9,9,8.8,8.8,700
2018-05-07,8.5,8.5,8.5,8.5,100
2018-05-08,8.4,8.9,8.4,8.5,1674
2018-05-09,8.45,8.75,8.45,8.75,1100
2018-05-10,8.35,8.45,8.35,8.35,239
2018-05-11,8.5,8.5,8.5,8.5,20
2018-05-14,8.75,8.8,8.15,8.15,2070
2018-05-15,8.2,8.45,8.2,8.2,2049
2018-05-16,7.9,8.25,7.9,8.25,43
2018-05-17,8.25,8.25,8.25,8.25,242
2018-05-21,8.15,8.15,8.05,8.05,949
2018-05-22,7.7,7.7,7.65,7.65,101
2018-05-24,7.65,7.65,7.65,7.65,4
2018-05-28,7.35,7.35,7.3,7.3,300
2018-05-29,6.95,7.3,6.95,7.3,101
2018-05-30,7.45,7.45,6.95,7.05,320
2018-05-31,7,7,7,7,228
2018-06-01,6.65,6.65,6.65,6.65,102
2018-06-04,6.65,6.95,6.65,6.65,1945
2018-06-05,6.8,6.8,6.65,6.65,1508
2018-06-06,6.65,6.8,6.65,6.8,331
2018-06-07,6.8,6.95,6.5,6.85,3719
2018-06-08,6.85,7.15,6.8,7,2226
2018-06-11,7.1,7.25,7,7,1758
2018-06-14,7,7.1,7,7,2500
2018-06-15,7.3,7.3,7.3,7.3,250
2018-06-18,7.5,7.5,7.3,7.3,2024
2018-06-19,7.5,7.5,7.45,7.45,510
2018-06-20,7.65,7.8,7.5,7.6,2743
2018-06-21,7.8,7.8,7.6,7.6,2030
2018-06-22,7.6,7.8,7.6,7.65,2000
2018-06-25,7.65,7.85,7.65,7.7,2000
2018-06-26,8.05,8.05,7.75,7.75,2220
2018-06-27,7.95,7.95,7.8,7.9,2200
2018-06-28,8.1,8.1,8,8.05,1020
2018-06-29,8.45,8.45,8.3,8.3,275
2018-07-02,8.3,8.7,8.3,8.7,2029
2018-07-03,8.7,8.7,8.65,8.65,2396
2018-07-04,8.5,9.05,8.5,9.05,5944
2018-07-05,9.1,9.5,8.6,9,3508
2018-07-06,9.35,9.4,8.65,8.8,2796
2018-10-10,6.7,6.7,6.7,6.7,104
2018-10-11,6.8,6.8,6.75,6.75,400
2018-10-12,6.75,6.8,6.75,6.8,796
2018-10-15,6.85,6.85,6.8,6.8,200
2018-10-16,6.8,6.8,6.7,6.7,1100
2018-10-19,6.8,6.8,6.7,6.7,1098
2018-10-22,6.75,6.75,6.75,6.75,155
2018-10-23,6.8,6.8,6.8,6.8,100
2018-10-24,6.85,6.85,6.85,6.85,1200
2018-10-26,6.8,6.85,6.8,6.8,986
2018-10-29,6.8,6.8,6.8,6.8,10
2018-11-01,6.8,6.8,6.8,6.8,100
2018-11-02,6.85,6.85,6.8,6.8,201
2018-11-09,6.8,6.8,6.8,6.8,15
2018-11-15,6.8,6.8,6.8,6.8,1
2018-11-19,6.8,6.8,6.5,6.8,554
2018-11-20,6.8,6.8,6.8,6.8,5
2018-11-22,6.85,6.85,6.8,6.8,700
2018-11-27,6.8,6.8,6.8,6.8,5
2018-11-28,6.8,6.8,6.8,6.8,160
2018-11-29,6.8,6.8,6.75,6.8,1200
2018-11-30,6.8,6.8,6.5,6.75,726
2018-12-03,6.8,6.8,6.6,6.6,1424
2018-12-04,6.75,6.75,6.7,6.75,320
2018-12-05,6.75,6.75,6.75,6.75,100
2018-12-06,6.75,6.75,6.75,6.75,324
2018-12-10,6.7,6.7,6.7,6.7,1382
2018-12-12,6.75,6.75,6.7,6.7,200
2018-12-14,6.7,6.7,6.7,6.7,200
2018-12-17,6.7,6.7,6.7,6.7,1001
2018-12-18,6.75,6.95,6.4,6.4,3960
2018-12-19,6.1,6.7,6.1,6.6,350
2018-12-28,6.7,6.7,6.6,6.65,1600
2018-12-31,6.35,6.35,6.35,6.35,201
2019-01-01,6.1,6.1,6.05,6.05,400
2019-01-02,5.75,5.75,5.75,5.75,200
2019-01-03,5.8,5.85,5.8,5.85,400
2019-01-07,5.6,5.6,5.6,5.6,300
2019-01-08,5.6,5.6,5.35,5.35,300
2019-01-09,5.35,5.35,5.1,5.1,1415
2019-01-10,5.1,5.25,5.1,5.2,450
2019-01-11,5.3,5.3,5.3,5.3,101
2020-07-13,3.05,3.2,2.9,3.2,1050
2020-07-14,3.35,3.35,3.35,3.35,300
2020-07-15,3.5,3.5,3.35,3.5,5735
2020-07-16,3.65,3.65,3.65,3.65,1487
2020-07-17,3.8,3.8,3.8,3.8,1024
2020-07-20,3.95,3.95,3.95,3.95,419
2020-07-21,4.1,4.1,4.1,4.1,1816
2020-07-22,4.3,4.3,4.3,4.3,1067
2020-07-23,4.5,4.5,4.5,4.5,5367
2020-07-24,4.7,4.7,4.7,4.7,2186
2020-07-27,4.9,4.9,4.9,4.9,1060
2020-07-28,5.1,5.1,5.1,5.1,4076
2020-07-29,5.35,5.35,5.35,5.35,112
2020-07-30,5.6,5.6,5.6,5.6,1303
2020-07-31,5.85,5.85,5.85,5.85,1160
2020-08-03,6.1,6.1,6.1,6.1,1575
2020-08-04,6.4,6.4,6.4,6.4,1508
2020-08-05,6.7,6.7,6.7,6.7,555
2020-08-06,7,7,7,7,351
2020-08-07,7.35,7.35,7.35,7.35,4163
2020-08-10,7.7,7.7,7.7,7.7,2283
2020-08-11,8.05,8.05,8.05,8.05,841
2020-08-12,8.45,8.45,8.45,8.45,3338
2020-08-13,8.85,8.85,8.85,8.85,1071
2020-08-14,9.25,9.25,9.25,9.25,2944
2020-08-17,9.7,9.7,9.7,9.7,2415
2020-08-18,10.15,10.15,10.15,10.15,2534
