Date,Open,High,Low,Close,Volume
2018-04-10,4.706,4.736,4.706,4.736,16610
2018-04-11,4.722,4.737,4.722,4.737,1090
2018-04-12,4.767,4.788,4.749,4.774,5290
2018-04-13,4.809,4.809,4.795,4.797,730
2018-04-16,4.77,4.77,4.758,4.758,6750
2018-04-17,4.771,4.792,4.771,4.789,7600
2018-04-18,4.786,4.792,4.777,4.777,1850
2018-04-19,4.784,4.79,4.769,4.769,12330
2018-04-20,4.811,4.811,4.805,4.805,2940
2018-04-23,4.818,4.848,4.818,4.823,24640
2018-04-24,4.813,4.846,4.813,4.819,4190
2018-04-25,4.828,4.839,4.815,4.815,7300
2018-04-26,4.838,4.838,4.829,4.829,6300
2018-04-27,4.912,4.918,4.909,4.909,1890
2018-04-30,4.903,4.921,4.9,4.903,3170
2018-05-02,4.874,4.877,4.838,4.839,4140
2018-05-03,4.837,4.837,4.834,4.834,5420
2018-05-04,4.824,4.827,4.81,4.81,1610
2018-05-07,4.838,4.853,4.835,4.835,3930
2018-05-08,4.896,4.914,4.89,4.895,6280
2018-05-09,4.895,4.904,4.886,4.898,15220
2018-05-10,4.914,4.926,4.887,4.887,4850
2018-05-11,4.895,4.944,4.895,4.944,4270
2018-05-14,4.945,4.951,4.939,4.951,2310
2018-05-15,4.99,5.006,4.945,4.945,7320
2018-05-16,5,5,4.899,4.91,12750
2018-05-17,4.895,4.899,4.877,4.877,6430
2018-05-18,4.852,4.876,4.852,4.867,1920
2018-05-21,4.86,4.86,4.828,4.828,29940
2018-05-22,4.84,4.84,4.831,4.831,320
2018-05-23,4.857,4.857,4.836,4.854,7080
2018-05-24,4.848,4.854,4.848,4.854,3590
2018-05-25,4.901,4.907,4.901,4.907,320
2018-05-28,4.916,4.916,4.898,4.913,11860
2018-05-29,4.908,4.908,4.884,4.884,5360
2018-05-30,4.86,4.865,4.851,4.86,6250
2018-05-31,4.872,4.9,4.86,4.895,7820
2018-06-01,4.926,4.926,4.917,4.92,1970
2018-06-04,4.911,4.911,4.9,4.9,2040
2018-06-05,4.887,4.887,4.86,4.86,8020
2018-06-06,4.892,4.901,4.886,4.901,10590
2018-06-07,4.957,4.963,4.957,4.963,6330
2018-06-08,4.965,4.974,4.938,4.974,11670
2018-06-11,4.987,4.999,4.978,4.978,13220
2018-06-12,4.991,4.995,4.99,4.995,4410
2018-06-13,5.036,5.04,5.036,5.04,10400
2018-06-14,5.04,5.04,4.956,4.98,135650
2018-06-15,5.021,5.021,5,5,2220
2018-06-18,5.1,5.3,4.96,5.038,8970
2018-06-19,5.004,5.004,4.959,4.961,21330
2018-06-20,4.993,5.005,4.984,4.996,8320
2018-06-21,5.006,5.01,4.993,4.994,12750
2018-06-22,4.995,4.995,4.974,4.974,3500
2018-06-25,5.019,5.019,4.979,4.997,1630
2018-06-26,4.962,4.977,4.962,4.971,18760
2018-06-27,4.961,4.961,4.906,4.906,4900
2018-06-28,4.9,4.906,4.855,4.855,4320
2018-06-29,4.891,4.939,4.879,4.939,4630
2018-07-02,4.929,4.94,4.9,4.94,4420
2018-07-03,5.1,5.49,5,5.4,4050
2018-07-04,5.2,5.3,4.937,4.955,39390
2018-07-05,4.955,4.955,4.933,4.933,5410
2018-07-06,5.1,5.1,4.962,4.965,3600
2018-07-09,5.2,5.3,5,5,6460
2018-07-10,5.023,5.05,5.023,5.05,11760
2018-07-11,5.064,5.085,5.064,5.085,4160
2018-07-12,5.2,5.39,5.123,5.135,20260
2018-07-13,5.3,5.49,5.1,5.119,24720
2018-07-16,5,5.49,5,5.1,10450
2018-07-17,5.2,5.2,5.09,5.142,1780
2018-07-18,5.05,5.3,4.72,5.121,14930
2018-07-19,5.098,5.13,5.098,5.116,12100
2018-07-20,5.169,5.175,5.143,5.162,18440
2018-07-23,5.172,5.172,5.137,5.158,12450
2018-07-24,5.166,5.186,5.151,5.177,6090
2018-07-25,5.169,5.175,5.15,5.15,23590
2018-07-26,5.15,5.193,5.15,5.19,12440
2018-07-27,5.203,5.224,5.195,5.216,5140
2018-07-30,5.3,5.3,5.232,5.291,21220
2018-07-31,5.291,5.323,5.278,5.318,11850
2018-08-01,5.343,5.343,5.308,5.325,6440
2018-08-02,5.299,5.311,5.29,5.299,7160
2018-08-03,5.5,5.5,5.32,5.367,62710
2018-08-06,5.403,5.413,5.369,5.412,12040
2018-08-07,5.5,5.5,5.363,5.375,138180
2018-08-08,5.38,5.443,5.38,5.443,13310
2018-08-09,5.482,5.5,5.477,5.478,34080
2018-08-10,5.4,5.494,5.4,5.467,39420
2018-08-13,5.44,5.467,5.425,5.434,50740
2018-08-14,5.458,5.5,5.458,5.496,104120
2018-08-16,5.48,5.532,5.48,5.494,23890
2018-08-17,5.52,5.535,5.51,5.516,12530
2018-08-20,5.551,5.56,5.53,5.554,17880
2018-08-21,5.552,5.57,5.528,5.57,18890
2018-08-23,5.57,5.598,5.546,5.597,46360
2018-08-24,5.592,5.592,5.545,5.567,23120
2018-08-27,5.6,5.8,5.57,5.656,23690
2018-08-28,5.681,5.681,5.656,5.669,8540
2018-08-29,5.667,5.685,5.645,5.649,31480
2018-08-30,5.65,5.655,5.62,5.648,21160
2018-08-31,5.65,5.673,5.625,5.648,25930
2018-09-03,5.7,5.99,5.5,5.645,35830
2018-09-04,5.6,5.618,5.563,5.563,34370
2018-09-05,5.577,5.582,5.53,5.548,24470
2018-09-06,5.575,5.596,5.55,5.594,312590
2018-09-07,5.585,5.636,5.585,5.636,22940
2018-09-10,5.642,5.642,5.574,5.593,25650
2018-09-11,5.596,5.617,5.51,5.53,65350
2018-09-12,5.539,5.558,5.503,5.528,21680
2018-09-14,5.542,5.582,5.542,5.568,12230
2018-09-17,5.545,5.545,5.522,5.531,42060
2018-09-18,5.53,5.542,5.489,5.489,27520
