Date,Open,High,Low,Close,Volume
2019-04-01,1000,1000,1000,1000,0
2019-04-02,996.23,996.23,996.23,996.23,0
2019-04-03,985.3,985.3,985.3,985.3,0
2019-04-04,980.42,980.42,980.42,980.42,0
2019-04-05,1000.08,1000.08,1000.08,1000.08,0
2019-04-08,997.78,997.78,997.78,997.78,0
2019-04-09,988.18,988.18,988.18,988.18,0
2019-04-10,991.19,991.19,991.19,991.19,0
2019-04-11,989.21,989.21,989.21,989.21,0
2019-04-12,980.21,980.21,980.21,980.21,0
2019-04-15,975.79,975.79,975.79,975.79,0
2019-04-16,983.74,983.74,983.74,983.74,0
2019-04-18,974.96,974.96,974.96,974.96,0
2019-04-22,951.41,951.41,951.41,951.41,0
2019-04-23,954.63,954.63,954.63,954.63,0
2019-04-24,960.45,960.45,960.45,960.45,0
2019-04-25,965.6,965.6,965.6,965.6,0
2019-04-26,963.17,963.17,963.17,963.17,0
2019-04-30,943.97,943.97,943.97,943.97,0
2019-05-02,940.17,940.17,940.17,940.17,0
2019-05-03,934.45,934.45,934.45,934.45,0
2019-05-06,919.18,919.18,919.18,919.18,0
2019-05-07,907.81,907.81,907.81,907.81,0
2019-05-08,901.39,901.39,901.39,901.39,0
2019-05-09,906.36,906.36,906.36,906.36,0
2019-05-10,915.81,915.81,915.81,915.81,0
2019-05-13,904.98,904.98,904.98,904.98,0
2019-05-14,901.16,901.16,901.16,901.16,0
2019-05-15,896.42,896.42,896.42,896.42,0
2019-05-16,896.06,896.06,896.06,896.06,0
2019-05-17,915.62,915.62,915.62,915.62,0
2019-05-20,970.89,970.89,970.89,970.89,0
2019-05-21,977.87,977.87,977.87,977.87,0
2019-05-22,975.59,975.59,975.59,975.59,0
2019-05-23,973.64,973.64,973.64,973.64,0
2019-05-24,991.55,991.55,991.55,991.55,0
2019-05-27,990.88,990.88,990.88,990.88,0
2019-05-28,999.04,999.04,999.04,999.04,0
2019-05-29,991.18,991.18,991.18,991.18,0
2019-05-30,1006.07,1006.07,1006.07,1006.07,0
2019-05-31,1011.54,1011.54,1011.54,1011.54,0
2019-06-03,1023.53,1023.53,1023.53,1023.53,0
2019-06-04,1019.13,1019.13,1019.13,1019.13,0
2019-06-06,989.07,989.07,989.07,989.07,0
2019-06-07,984.07,984.07,984.07,984.07,0
2019-06-10,977,977,977,977,0
2019-06-11,978.01,978.01,978.01,978.01,0
2019-06-12,964.07,964.07,964.07,964.07,0
2019-06-13,981.74,981.74,981.74,981.74,0
2019-06-14,978.44,978.44,978.44,978.44,0
2019-06-17,964.35,964.35,964.35,964.35,0
2019-06-18,942.57,942.57,942.57,942.57,0
2019-06-19,929.2,929.2,929.2,929.2,0
2019-06-20,950.13,950.13,950.13,950.13,0
2019-06-21,958.47,958.47,958.47,958.47,0
2019-06-24,952.68,952.68,952.68,952.68,0
2019-06-25,951.49,951.49,951.49,951.49,0
2019-06-26,963.68,963.68,963.68,963.68,0
2019-06-27,974.23,974.23,974.23,974.23,0
2019-06-28,971.45,971.45,971.45,971.45,0
2019-07-01,968.73,968.73,968.73,968.73,0
2019-07-02,963.5,963.5,963.5,963.5,0
2019-07-03,978.78,978.78,978.78,978.78,0
2019-07-04,991.96,991.96,991.96,991.96,0
2019-07-05,991.73,991.73,991.73,991.73,0
2019-07-08,954.2,954.2,954.2,954.2,0
2019-07-09,949.18,949.18,949.18,949.18,0
2019-07-10,954.48,954.48,954.48,954.48,0
2019-07-11,962.03,962.03,962.03,962.03,0
2019-07-12,966.2,966.2,966.2,966.2,0
2019-07-15,964.63,964.63,964.63,964.63,0
2019-07-16,969.73,969.73,969.73,969.73,0
2019-07-17,961.92,961.92,961.92,961.92,0
2019-07-18,961.93,961.93,961.93,961.93,0
2019-07-19,953.9,953.9,953.9,953.9,0
2019-07-22,927.95,927.95,927.95,927.95,0
2019-07-23,924.32,924.32,924.32,924.32,0
2019-07-24,913.16,913.16,913.16,913.16,0
2019-07-25,913.34,913.34,913.34,913.34,0
2019-07-26,916.74,916.74,916.74,916.74,0
2019-07-29,902.36,902.36,902.36,902.36,0
2019-07-30,884.18,884.18,884.18,884.18,0
2019-07-31,887.83,887.83,887.83,887.83,0
2019-08-01,866.6,866.6,866.6,866.6,0
2019-08-02,846.51,846.51,846.51,846.51,0
2019-08-05,822.99,822.99,822.99,822.99,0
2019-08-06,833.52,833.52,833.52,833.52,0
2019-08-07,832.8,832.8,832.8,832.8,0
2019-08-08,846.05,846.05,846.05,846.05,0
2019-08-09,856.84,856.84,856.84,856.84,0
2019-08-13,849.15,849.15,849.15,849.15,0
2019-08-14,855.53,855.53,855.53,855.53,0
2019-08-16,848.69,848.69,848.69,848.69,0
2019-08-19,852.8,852.8,852.8,852.8,0
2019-08-20,833.31,833.31,833.31,833.31,0
2019-08-21,809.26,809.26,809.26,809.26,0
2019-08-22,789.22,789.22,789.22,789.22,0
2019-08-23,784.62,784.62,784.62,784.62,0
2019-08-26,810.39,810.39,810.39,810.39,0
2019-08-27,839.75,839.75,839.75,839.75,0
2019-08-28,840.56,840.56,840.56,840.56,0
2019-08-29,832.54,832.54,832.54,832.54,0
2019-08-30,840.96,840.96,840.96,840.96,0
2019-09-03,847.07,847.07,847.07,847.07,0
2019-09-04,832.31,832.31,832.31,832.31,0
2019-09-05,833.41,833.41,833.41,833.41,0
2019-09-06,829.72,829.72,829.72,829.72,0
2019-09-09,838.16,838.16,838.16,838.16,0
2019-09-11,834.54,834.54,834.54,834.54,0
2019-09-12,839.97,839.97,839.97,839.97,0
2019-09-13,830.53,830.53,830.53,830.53,0
2019-09-16,833.36,833.36,833.36,833.36,0
2019-09-17,820.11,820.11,820.11,820.11,0
2019-09-18,828.52,828.52,828.52,828.52,0
2019-09-19,817.01,817.01,817.01,817.01,0
2019-09-20,887.59,887.59,887.59,887.59,0
2019-09-23,925.89,925.89,925.89,925.89,0
2019-09-24,911.93,911.93,911.93,911.93,0
2019-09-25,886.58,886.58,886.58,886.58,0
2019-09-26,890.57,890.57,890.57,890.57,0
2019-09-27,865.73,865.73,865.73,865.73,0
2019-09-30,825.3,825.3,825.3,825.3,0
2019-10-01,816.11,816.11,816.11,816.11,0
2019-10-03,808.4,808.4,808.4,808.4,0
