Date,Open,High,Low,Close,Volume
2018-04-02,1000,1000,1000,1000,0
2018-04-03,1009.03,1009.03,1009.03,1009.03,0
2018-04-04,1005.66,1005.66,1005.66,1005.66,0
2018-04-05,1020.97,1020.97,1020.97,1020.97,0
2018-04-06,1022.47,1022.47,1022.47,1022.47,0
2018-04-09,1024.76,1024.76,1024.76,1024.76,0
2018-04-10,1019.36,1019.36,1019.36,1019.36,0
2018-04-11,1022.33,1022.33,1022.33,1022.33,0
2018-04-12,1021.65,1021.65,1021.65,1021.65,0
2018-04-13,1022.83,1022.83,1022.83,1022.83,0
2018-04-16,1027.13,1027.13,1027.13,1027.13,0
2018-04-17,1025.71,1025.71,1025.71,1025.71,0
2018-04-18,1021.34,1021.34,1021.34,1021.34,0
2018-04-19,1028.25,1028.25,1028.25,1028.25,0
2018-04-20,1031.92,1031.92,1031.92,1031.92,0
2018-04-23,1043.41,1043.41,1043.41,1043.41,0
2018-04-24,1043.09,1043.09,1043.09,1043.09,0
2018-04-25,1042.88,1042.88,1042.88,1042.88,0
2018-04-26,1046.1,1046.1,1046.1,1046.1,0
2018-04-27,1051.29,1051.29,1051.29,1051.29,0
2018-04-30,1052.76,1052.76,1052.76,1052.76,0
2018-05-02,1042.32,1042.32,1042.32,1042.32,0
2018-05-03,1036.6,1036.6,1036.6,1036.6,0
2018-05-04,1025.73,1025.73,1025.73,1025.73,0
2018-05-07,1032.34,1032.34,1032.34,1032.34,0
2018-05-08,1040.25,1040.25,1040.25,1040.25,0
2018-05-09,1037.03,1037.03,1037.03,1037.03,0
2018-05-10,1028.14,1028.14,1028.14,1028.14,0
2018-05-11,1027.35,1027.35,1027.35,1027.35,0
2018-05-14,1016.98,1016.98,1016.98,1016.98,0
2018-05-15,1006.62,1006.62,1006.62,1006.62,0
2018-05-16,1002.7,1002.7,1002.7,1002.7,0
2018-05-17,1005.47,1005.47,1005.47,1005.47,0
2018-05-18,989.02,989.02,989.02,989.02,0
2018-05-21,969.25,969.25,969.25,969.25,0
2018-05-22,979.66,979.66,979.66,979.66,0
2018-05-23,984.79,984.79,984.79,984.79,0
2018-05-24,974.57,974.57,974.57,974.57,0
2018-05-25,993.45,993.45,993.45,993.45,0
2018-05-28,1003.8,1003.8,1003.8,1003.8,0
2018-05-29,1001.82,1001.82,1001.82,1001.82,0
2018-05-30,1001.66,1001.66,1001.66,1001.66,0
2018-05-31,1002.69,1002.69,1002.69,1002.69,0
2018-06-01,993.58,993.58,993.58,993.58,0
2018-06-04,982.88,982.88,982.88,982.88,0
2018-06-05,967.79,967.79,967.79,967.79,0
2018-06-06,987.33,987.33,987.33,987.33,0
2018-06-07,997.29,997.29,997.29,997.29,0
2018-06-08,1003.3,1003.3,1003.3,1003.3,0
2018-06-11,1000.19,1000.19,1000.19,1000.19,0
2018-06-12,1007.18,1007.18,1007.18,1007.18,0
2018-06-13,1008.37,1008.37,1008.37,1008.37,0
2018-06-14,1009.8,1009.8,1009.8,1009.8,0
