Date,Open,High,Low,Close,Volume
2015-09-07,1932.31,1932.31,1932.31,1932.31,0
2015-09-08,1953.02,1953.02,1953.02,1953.02,0
2015-09-09,1998.41,1998.41,1998.41,1998.41,0
2015-09-10,1993.13,1993.13,1993.13,1993.13,0
2015-09-11,1996.2,1996.2,1996.2,1996.2,0
2015-09-14,2033.44,2033.44,2033.44,2033.44,0
2015-09-15,2019.09,2019.09,2019.09,2019.09,0
2015-09-16,2015.3,2015.3,2015.3,2015.3,0
2015-09-18,2001.64,2001.64,2001.64,2001.64,0
2015-09-21,2013.11,2013.11,2013.11,2013.11,0
2015-09-22,2017.42,2017.42,2017.42,2017.42,0
2015-09-23,2031.63,2031.63,2031.63,2031.63,0
2015-09-24,2031.14,2031.14,2031.14,2031.14,0
2015-09-28,2024.77,2024.77,2024.77,2024.77,0
2015-09-29,2004.21,2004.21,2004.21,2004.21,0
2015-09-30,2011.12,2011.12,2011.12,2011.12,0
2015-10-01,2033.79,2033.79,2033.79,2033.79,0
2015-10-05,2074.83,2074.83,2074.83,2074.83,0
2015-10-06,2077.23,2077.23,2077.23,2077.23,0
2015-10-07,2093.3,2093.3,2093.3,2093.3,0
2015-10-08,2074.09,2074.09,2074.09,2074.09,0
2015-10-09,2088.18,2088.18,2088.18,2088.18,0
2015-10-12,2077.11,2077.11,2077.11,2077.11,0
2015-10-13,2074.43,2074.43,2074.43,2074.43,0
2015-10-14,2093.99,2093.99,2093.99,2093.99,0
2015-10-15,2102.03,2102.03,2102.03,2102.03,0
2015-10-16,2105.4,2105.4,2105.4,2105.4,0
2015-10-19,2111.76,2111.76,2111.76,2111.76,0
2015-10-20,2128.69,2128.69,2128.69,2128.69,0
2015-10-21,2124.63,2124.63,2124.63,2124.63,0
2015-10-23,2129.73,2129.73,2129.73,2129.73,0
2015-10-26,2119.87,2119.87,2119.87,2119.87,0
2015-10-27,2146.28,2146.28,2146.28,2146.28,0
2015-10-28,2159.45,2159.45,2159.45,2159.45,0
2015-10-29,2168.93,2168.93,2168.93,2168.93,0
2015-10-30,2170.04,2170.04,2170.04,2170.04,0
2015-11-02,2152.79,2152.79,2152.79,2152.79,0
2015-11-03,2152.21,2152.21,2152.21,2152.21,0
2015-11-04,2136.65,2136.65,2136.65,2136.65,0
2015-11-05,2083.78,2083.78,2083.78,2083.78,0
2015-11-06,2080.93,2080.93,2080.93,2080.93,0
2015-11-09,2108.16,2108.16,2108.16,2108.16,0
2015-11-10,2074.89,2074.89,2074.89,2074.89,0
2015-11-11,2102.84,2102.84,2102.84,2102.84,0
2015-11-13,2066.66,2066.66,2066.66,2066.66,0
2015-11-16,2098.29,2098.29,2098.29,2098.29,0
2015-11-17,2102.95,2102.95,2102.95,2102.95,0
2015-11-18,2112.17,2112.17,2112.17,2112.17,0
2015-11-19,2130.75,2130.75,2130.75,2130.75,0
2015-11-20,2124.52,2124.52,2124.52,2124.52,0
2015-11-23,2130.74,2130.74,2130.74,2130.74,0
2015-11-24,2174.92,2174.92,2174.92,2174.92,0
2015-11-26,2205.88,2205.88,2205.88,2205.88,0
2015-11-27,2201.24,2201.24,2201.24,2201.24,0
2015-11-30,2238.52,2238.52,2238.52,2238.52,0
2015-12-01,2234.99,2234.99,2234.99,2234.99,0
2015-12-02,2324.12,2324.12,2324.12,2324.12,0
2015-12-03,2360.41,2360.41,2360.41,2360.41,0
2015-12-04,2262.51,2262.51,2262.51,2262.51,0
2015-12-07,2259.13,2259.13,2259.13,2259.13,0
2015-12-08,2233.88,2233.88,2233.88,2233.88,0
2015-12-09,2196.41,2196.41,2196.41,2196.41,0
2015-12-10,2234.69,2234.69,2234.69,2234.69,0
2015-12-11,2204.36,2204.36,2204.36,2204.36,0
2015-12-14,2207.62,2207.62,2207.62,2207.62,0
2015-12-15,2228.6,2228.6,2228.6,2228.6,0
2015-12-16,2223.19,2223.19,2223.19,2223.19,0
2015-12-17,2266.48,2266.48,2266.48,2266.48,0
2015-12-18,2246.1,2246.1,2246.1,2246.1,0
2015-12-21,2263.85,2263.85,2263.85,2263.85,0
2015-12-22,2265.85,2265.85,2265.85,2265.85,0
2015-12-23,2303.76,2303.76,2303.76,2303.76,0
2015-12-24,2351.01,2351.01,2351.01,2351.01,0
2015-12-28,2342.28,2342.28,2342.28,2342.28,0
2015-12-29,2330.63,2330.63,2330.63,2330.63,0
2015-12-30,2333.56,2333.56,2333.56,2333.56,0
2015-12-31,2357,2357,2357,2357,0
2016-01-01,2378.97,2378.97,2378.97,2378.97,0
2016-01-04,2341.4,2341.4,2341.4,2341.4,0
2016-01-05,2343.55,2343.55,2343.55,2343.55,0
2016-01-06,2330.23,2330.23,2330.23,2330.23,0
2016-01-07,2255.02,2255.02,2255.02,2255.02,0
2016-01-08,2277.84,2277.84,2277.84,2277.84,0
2016-01-11,2275.21,2275.21,2275.21,2275.21,0
2016-01-12,2250.03,2250.03,2250.03,2250.03,0
2016-01-13,2200.17,2200.17,2200.17,2200.17,0
2016-01-14,2159.96,2159.96,2159.96,2159.96,0
2016-01-15,2090.51,2090.51,2090.51,2090.51,0
2016-01-18,2009.44,2009.44,2009.44,2009.44,0
2016-01-19,2030.6,2030.6,2030.6,2030.6,0
2016-01-20,1985.31,1985.31,1985.31,1985.31,0
2016-01-21,1970.5,1970.5,1970.5,1970.5,0
2016-01-22,2032.1,2032.1,2032.1,2032.1,0
2016-01-25,2073.85,2073.85,2073.85,2073.85,0
2016-01-27,2076.23,2076.23,2076.23,2076.23,0
2016-01-28,2067.65,2067.65,2067.65,2067.65,0
2016-01-29,2113.76,2113.76,2113.76,2113.76,0
2016-02-01,2090.34,2090.34,2090.34,2090.34,0
2016-02-02,2065.15,2065.15,2065.15,2065.15,0
2016-02-03,2014.05,2014.05,2014.05,2014.05,0
2016-02-04,2001.05,2001.05,2001.05,2001.05,0
2016-02-05,2023.06,2023.06,2023.06,2023.06,0
2016-02-08,2042.43,2042.43,2042.43,2042.43,0
2016-02-09,2009.96,2009.96,2009.96,2009.96,0
2016-02-10,1983.59,1983.59,1983.59,1983.59,0
2016-02-11,1857.64,1857.64,1857.64,1857.64,0
2016-02-12,1791.61,1791.61,1791.61,1791.61,0
2016-02-15,1848.26,1848.26,1848.26,1848.26,0
2016-02-16,1812.08,1812.08,1812.08,1812.08,0
2016-02-17,1817.4,1817.4,1817.4,1817.4,0
2016-02-18,1813.44,1813.44,1813.44,1813.44,0
2016-02-19,1814.58,1814.58,1814.58,1814.58,0
2016-02-22,1812.27,1812.27,1812.27,1812.27,0
2016-02-23,1800.4,1800.4,1800.4,1800.4,0
2016-02-24,1809.93,1809.93,1809.93,1809.93,0
2016-02-25,1782.24,1782.24,1782.24,1782.24,0
2016-02-26,1778.49,1778.49,1778.49,1778.49,0
2016-02-29,1767.9,1767.9,1767.9,1767.9,0
2016-03-01,1831.7,1831.7,1831.7,1831.7,0
2016-03-02,1855.19,1855.19,1855.19,1855.19,0
2016-03-03,1891.27,1891.27,1891.27,1891.27,0
2016-03-04,1886.87,1886.87,1886.87,1886.87,0
2016-03-08,1904.62,1904.62,1904.62,1904.62,0
2016-03-09,1902.38,1902.38,1902.38,1902.38,0
2016-03-10,1871.22,1871.22,1871.22,1871.22,0
2016-03-11,1874.37,1874.37,1874.37,1874.37,0
2016-03-14,1876.07,1876.07,1876.07,1876.07,0
2016-03-15,1845.36,1845.36,1845.36,1845.36,0
2016-03-16,1848.91,1848.91,1848.91,1848.91,0
2016-03-17,1865.51,1865.51,1865.51,1865.51,0
2016-03-18,1897.5,1897.5,1897.5,1897.5,0
2016-03-21,1930.51,1930.51,1930.51,1930.51,0
2016-03-22,1924.1,1924.1,1924.1,1924.1,0
2016-03-23,1923.28,1923.28,1923.28,1923.28,0
2016-03-28,1890.95,1890.95,1890.95,1890.95,0
2016-03-29,1916.93,1916.93,1916.93,1916.93,0
2016-03-30,1933.86,1933.86,1933.86,1933.86,0
2016-03-31,1939.05,1939.05,1939.05,1939.05,0
2016-04-01,1966.78,1966.78,1966.78,1966.78,0
2016-04-04,1979.84,1979.84,1979.84,1979.84,0
2016-04-05,1947.2,1947.2,1947.2,1947.2,0
2016-04-06,1974.5,1974.5,1974.5,1974.5,0
