Date,Open,High,Low,Close,Volume
2015-09-07,5573.42,5573.42,5573.42,5573.42,0
2015-09-08,5593.52,5593.52,5593.52,5593.52,0
2015-09-09,5681.55,5681.55,5681.55,5681.55,0
2015-09-10,5684.26,5684.26,5684.26,5684.26,0
2015-09-11,5705.11,5705.11,5705.11,5705.11,0
2015-09-14,5800.68,5800.68,5800.68,5800.68,0
2015-09-15,5740.02,5740.02,5740.02,5740.02,0
2015-09-16,5703.76,5703.76,5703.76,5703.76,0
2015-09-18,5721.89,5721.89,5721.89,5721.89,0
2015-09-21,5781.71,5781.71,5781.71,5781.71,0
2015-09-22,5693.31,5693.31,5693.31,5693.31,0
2015-09-23,5763.83,5763.83,5763.83,5763.83,0
2015-09-24,5784.27,5784.27,5784.27,5784.27,0
2015-09-28,5801.49,5801.49,5801.49,5801.49,0
2015-09-29,5816.54,5816.54,5816.54,5816.54,0
2015-09-30,5843.8,5843.8,5843.8,5843.8,0
2015-10-01,5833.95,5833.95,5833.95,5833.95,0
2015-10-05,5906.85,5906.85,5906.85,5906.85,0
2015-10-06,5916.05,5916.05,5916.05,5916.05,0
2015-10-07,5951.89,5951.89,5951.89,5951.89,0
2015-10-08,5931.89,5931.89,5931.89,5931.89,0
2015-10-09,5929.86,5929.86,5929.86,5929.86,0
2015-10-12,5940.47,5940.47,5940.47,5940.47,0
2015-10-13,5941.96,5941.96,5941.96,5941.96,0
2015-10-14,5903.17,5903.17,5903.17,5903.17,0
2015-10-15,5916.64,5916.64,5916.64,5916.64,0
2015-10-16,5930.24,5930.24,5930.24,5930.24,0
2015-10-19,5955.57,5955.57,5955.57,5955.57,0
2015-10-20,5950.76,5950.76,5950.76,5950.76,0
2015-10-21,5850.09,5850.09,5850.09,5850.09,0
2015-10-23,5850.37,5850.37,5850.37,5850.37,0
2015-10-26,5816.27,5816.27,5816.27,5816.27,0
2015-10-27,5823.3,5823.3,5823.3,5823.3,0
2015-10-28,5806.13,5806.13,5806.13,5806.13,0
2015-10-29,5788.02,5788.02,5788.02,5788.02,0
2015-10-30,5763.2,5763.2,5763.2,5763.2,0
2015-11-02,5801.18,5801.18,5801.18,5801.18,0
2015-11-03,5814.04,5814.04,5814.04,5814.04,0
