Date,Open,High,Low,Close,Volume
2015-09-07,2993.9,3010.55,2931.7,2937.2,0
2015-09-08,2951.95,3014.85,2911.7,2990.75,0
2015-09-09,3038.75,3079.2,3027.1,3062.9,0
2015-09-10,3015.85,3070.4,2985.05,3062.15,0
2015-09-11,3087.3,3102.25,3051.25,3062.75,0
2015-09-14,3080.1,3126.25,3067.8,3123.25,0
2015-09-15,3124.85,3146.2,3085.7,3096.5,0
2015-09-16,3121.3,3127.3,3081.85,3092.85,0
2015-09-18,3113.85,3148.4,3107.25,3118.1,0
2015-09-21,3099.6,3180.6,3095.2,3174.8,0
2015-09-22,3197.35,3205.75,3105.35,3118.3,0
2015-09-23,3073.95,3155.45,3070.25,3149.35,0
2015-09-24,3150.05,3172.2,3130.2,3160.35,0
2015-09-28,3175.7,3196.9,3149.65,3154.25,0
2015-09-29,3115.55,3185.85,3083.75,3153.8,0
2015-09-30,3179.9,3204.3,3174.8,3201.35,0
2015-10-01,3228.7,3236.7,3188.55,3201.2,0
2015-10-05,3228.4,3281.9,3228.4,3276.05,0
2015-10-06,3297.4,3317.05,3273.8,3306.35,0
2015-10-07,3307.9,3324.4,3299,3314.55,0
2015-10-08,3320.45,3325.55,3276.95,3295.65,0
2015-10-09,3318.85,3339.55,3284.25,3299.9,0
2015-10-12,3307.95,3334.3,3280.85,3303.75,0
2015-10-13,3310.75,3327.25,3296,3321.65,0
2015-10-14,3324.05,3345.35,3313.5,3320.6,0
2015-10-15,3338.1,3353.55,3337.1,3348.15,0
2015-10-16,3364.05,3372.25,3341.6,3367.2,0
2015-10-19,3374.65,3389.7,3361.6,3385.1,0
2015-10-20,3396.95,3423.4,3385.3,3399.1,0
2015-10-21,3404.3,3414.8,3358.75,3380.55,0
2015-10-23,3409.2,3412.3,3376.55,3381.2,0
2015-10-26,3395.9,3395.9,3351.1,3356.55,0
2015-10-27,3348.25,3370.15,3341.1,3367.35,0
2015-10-28,3358.3,3374.2,3332.35,3348.3,0
2015-10-29,3346.25,3353.45,3323.75,3327.45,0
2015-10-30,3337.2,3357.05,3291.9,3307.3,0
