Date,Open,High,Low,Close,Volume
2015-09-07,5107.57,5107.57,5107.57,5107.57,0
2015-09-08,5168.27,5168.27,5168.27,5168.27,0
2015-09-09,5292.76,5292.76,5292.76,5292.76,0
2015-09-10,5320.12,5320.12,5320.12,5320.12,0
2015-09-11,5321.95,5321.95,5321.95,5321.95,0
2015-09-14,5365.67,5365.67,5365.67,5365.67,0
2015-09-15,5311.68,5311.68,5311.68,5311.68,0
2015-09-16,5297.06,5297.06,5297.06,5297.06,0
2015-09-18,5347.25,5347.25,5347.25,5347.25,0
2015-09-21,5329.79,5329.79,5329.79,5329.79,0
2015-09-22,5247.92,5247.92,5247.92,5247.92,0
2015-09-23,5262.12,5262.12,5262.12,5262.12,0
2015-09-24,5261.76,5261.76,5261.76,5261.76,0
2015-09-28,5214.99,5214.99,5214.99,5214.99,0
2015-09-29,5213.02,5213.02,5213.02,5213.02,0
2015-09-30,5298.59,5298.59,5298.59,5298.59,0
2015-10-01,5297.42,5297.42,5297.42,5297.42,0
2015-10-05,5413.18,5413.18,5413.18,5413.18,0
2015-10-06,5441.93,5441.93,5441.93,5441.93,0
2015-10-07,5495.67,5495.67,5495.67,5495.67,0
2015-10-08,5463.63,5463.63,5463.63,5463.63,0
2015-10-09,5461.51,5461.51,5461.51,5461.51,0
2015-10-12,5469.32,5469.32,5469.32,5469.32,0
2015-10-13,5475.58,5475.58,5475.58,5475.58,0
2015-10-14,5466.75,5466.75,5466.75,5466.75,0
2015-10-15,5544.6,5544.6,5544.6,5544.6,0
2015-10-16,5575.62,5575.62,5575.62,5575.62,0
2015-10-19,5600.61,5600.61,5600.61,5600.61,0
2015-10-20,5588.86,5588.86,5588.86,5588.86,0
2015-10-21,5590.98,5590.98,5590.98,5590.98,0
2015-10-23,5562.33,5562.33,5562.33,5562.33,0
2015-10-26,5545.52,5545.52,5545.52,5545.52,0
2015-10-27,5551.05,5551.05,5551.05,5551.05,0
2015-10-28,5496.96,5496.96,5496.96,5496.96,0
2015-10-29,5463.99,5463.99,5463.99,5463.99,0
2015-10-30,5418.46,5418.46,5418.46,5418.46,0
2015-11-02,5420.7,5420.7,5420.7,5420.7,0
2015-11-03,5436.15,5436.15,5436.15,5436.15,0
2015-11-04,5473.12,5473.12,5473.12,5473.12,0
2015-11-05,5433.98,5433.98,5433.98,5433.98,0
2015-11-06,5427.02,5427.02,5427.02,5427.02,0
2015-11-09,5458.04,5458.04,5458.04,5458.04,0
2015-11-10,5398.01,5398.01,5398.01,5398.01,0
2015-11-11,5436.72,5436.72,5436.72,5436.72,0
2015-11-13,5396.19,5396.19,5396.19,5396.19,0
2015-11-16,5409.96,5409.96,5409.96,5409.96,0
2015-11-17,5432.22,5432.22,5432.22,5432.22,0
2015-11-18,5398.05,5398.05,5398.05,5398.05,0
2015-11-19,5476.22,5476.22,5476.22,5476.22,0
2015-11-20,5532.45,5532.45,5532.45,5532.45,0
2015-11-23,5582.12,5582.12,5582.12,5582.12,0
2015-11-24,5564.49,5564.49,5564.49,5564.49,0
2015-11-26,5608.64,5608.64,5608.64,5608.64,0
2015-11-27,5613.36,5613.36,5613.36,5613.36,0
2015-11-30,5620.48,5620.48,5620.48,5620.48,0
2015-12-01,5611.66,5611.66,5611.66,5611.66,0
2015-12-02,5613.61,5613.61,5613.61,5613.61,0
2015-12-03,5571.28,5571.28,5571.28,5571.28,0
2015-12-04,5511.53,5511.53,5511.53,5511.53,0
