Date,Open,High,Low,Close,Volume
2015-09-07,4186.83,4186.83,4186.83,4186.83,0
2015-09-08,4160.7,4160.7,4160.7,4160.7,0
2015-09-09,4238.43,4238.43,4238.43,4238.43,0
2015-09-10,4229.92,4229.92,4229.92,4229.92,0
2015-09-11,4249.3,4249.3,4249.3,4249.3,0
2015-09-14,4290.22,4290.22,4290.22,4290.22,0
2015-09-15,4295.19,4295.19,4295.19,4295.19,0
2015-09-16,4288.57,4288.57,4288.57,4288.57,0
2015-09-18,4277.36,4277.36,4277.36,4277.36,0
2015-09-21,4263.74,4263.74,4263.74,4263.74,0
2015-09-22,4194.08,4194.08,4194.08,4194.08,0
2015-09-23,4178.39,4178.39,4178.39,4178.39,0
2015-09-24,4204.33,4204.33,4204.33,4204.33,0
2015-09-28,4183.04,4183.04,4183.04,4183.04,0
2015-09-29,4186.8,4186.8,4186.8,4186.8,0
2015-09-30,4297.34,4297.34,4297.34,4297.34,0
2015-10-01,4318.64,4318.64,4318.64,4318.64,0
2015-10-05,4383.8,4383.8,4383.8,4383.8,0
2015-10-06,4435.13,4435.13,4435.13,4435.13,0
2015-10-07,4432.1,4432.1,4432.1,4432.1,0
2015-10-08,4412.92,4412.92,4412.92,4412.92,0
2015-10-09,4408.28,4408.28,4408.28,4408.28,0
2015-10-12,4393.93,4393.93,4393.93,4393.93,0
2015-10-13,4379.13,4379.13,4379.13,4379.13,0
2015-10-14,4365.44,4365.44,4365.44,4365.44,0
2015-10-15,4398.8,4398.8,4398.8,4398.8,0
2015-10-16,4407.39,4407.39,4407.39,4407.39,0
2015-10-19,4455.29,4455.29,4455.29,4455.29,0
2015-10-20,4454.3,4454.3,4454.3,4454.3,0
2015-10-21,4453.59,4453.59,4453.59,4453.59,0
2015-10-23,4426.51,4426.51,4426.51,4426.51,0
2015-10-26,4398.42,4398.42,4398.42,4398.42,0
2015-10-27,4405.95,4405.95,4405.95,4405.95,0
2015-10-28,4421.71,4421.71,4421.71,4421.71,0
2015-10-29,4396.2,4396.2,4396.2,4396.2,0
2015-10-30,4348.71,4348.71,4348.71,4348.71,0
2015-11-02,4364.11,4364.11,4364.11,4364.11,0
2015-11-03,4362.19,4362.19,4362.19,4362.19,0
2015-11-04,4365.96,4365.96,4365.96,4365.96,0
2015-11-05,4317.63,4317.63,4317.63,4317.63,0
2015-11-06,4315.52,4315.52,4315.52,4315.52,0
2015-11-09,4335.66,4335.66,4335.66,4335.66,0
2015-11-10,4272.36,4272.36,4272.36,4272.36,0
2015-11-11,4295.29,4295.29,4295.29,4295.29,0
2015-11-13,4232.09,4232.09,4232.09,4232.09,0
2015-11-16,4220.79,4220.79,4220.79,4220.79,0
2015-11-17,4265.29,4265.29,4265.29,4265.29,0
2015-11-18,4275.03,4275.03,4275.03,4275.03,0
2015-11-19,4330.52,4330.52,4330.52,4330.52,0
2015-11-20,4349.28,4349.28,4349.28,4349.28,0
2015-11-23,4348.08,4348.08,4348.08,4348.08,0
2015-11-24,4360.59,4360.59,4360.59,4360.59,0
2015-11-26,4399.95,4399.95,4399.95,4399.95,0
2015-11-27,4393.44,4393.44,4393.44,4393.44,0
2015-11-30,4347.95,4347.95,4347.95,4347.95,0
2015-12-01,4374.01,4374.01,4374.01,4374.01,0
2015-12-02,4379.99,4379.99,4379.99,4379.99,0
2015-12-03,4345.33,4345.33,4345.33,4345.33,0
2015-12-04,4309.64,4309.64,4309.64,4309.64,0
2015-12-07,4320.94,4320.94,4320.94,4320.94,0
2015-12-08,4297.46,4297.46,4297.46,4297.46,0
2015-12-09,4230.71,4230.71,4230.71,4230.71,0
2015-12-10,4280.06,4280.06,4280.06,4280.06,0
2015-12-11,4257.32,4257.32,4257.32,4257.32,0
2015-12-14,4291.04,4291.04,4291.04,4291.04,0
2015-12-15,4336.62,4336.62,4336.62,4336.62,0
2015-12-16,4335.08,4335.08,4335.08,4335.08,0
2015-12-17,4376.63,4376.63,4376.63,4376.63,0
2015-12-18,4369.64,4369.64,4369.64,4369.64,0
2015-12-21,4397.03,4397.03,4397.03,4397.03,0
