Date,Open,High,Low,Close,Volume
2015-09-07,2627.26,2627.26,2627.26,2627.26,0
2015-09-08,2676.25,2676.25,2676.25,2676.25,0
2015-09-09,2728.44,2728.44,2728.44,2728.44,0
2015-09-10,2720.27,2720.27,2720.27,2720.27,0
2015-09-11,2718.83,2718.83,2718.83,2718.83,0
2015-09-14,2752.33,2752.33,2752.33,2752.33,0
2015-09-15,2730.26,2730.26,2730.26,2730.26,0
2015-09-16,2759.14,2759.14,2759.14,2759.14,0
2015-09-18,2781.24,2781.24,2781.24,2781.24,0
2015-09-21,2779.76,2779.76,2779.76,2779.76,0
2015-09-22,2717.87,2717.87,2717.87,2717.87,0
2015-09-23,2729.89,2729.89,2729.89,2729.89,0
2015-09-24,2725.73,2725.73,2725.73,2725.73,0
2015-09-28,2690.37,2690.37,2690.37,2690.37,0
2015-09-29,2714.2,2714.2,2714.2,2714.2,0
2015-09-30,2754.63,2754.63,2754.63,2754.63,0
2015-10-01,2738.98,2738.98,2738.98,2738.98,0
2015-10-05,2794.84,2794.84,2794.84,2794.84,0
2015-10-06,2818.58,2818.58,2818.58,2818.58,0
2015-10-07,2827.14,2827.14,2827.14,2827.14,0
2015-10-08,2809.6,2809.6,2809.6,2809.6,0
2015-10-09,2829.43,2829.43,2829.43,2829.43,0
2015-10-12,2819.88,2819.88,2819.88,2819.88,0
2015-10-13,2809.28,2809.28,2809.28,2809.28,0
2015-10-14,2798.02,2798.02,2798.02,2798.02,0
2015-10-15,2829.97,2829.97,2829.97,2829.97,0
2015-10-16,2853.66,2853.66,2853.66,2853.66,0
2015-10-19,2866.56,2866.56,2866.56,2866.56,0
2015-10-20,2860.79,2860.79,2860.79,2860.79,0
2015-10-21,2859.19,2859.19,2859.19,2859.19,0
2015-10-23,2870.69,2870.69,2870.69,2870.69,0
2015-10-26,2857.82,2857.82,2857.82,2857.82,0
2015-10-27,2851.86,2851.86,2851.86,2851.86,0
2015-10-28,2836.01,2836.01,2836.01,2836.01,0
2015-10-29,2809,2809,2809,2809,0
2015-10-30,2792.64,2792.64,2792.64,2792.64,0
2015-11-02,2795.54,2795.54,2795.54,2795.54,0
2015-11-03,2797.14,2797.14,2797.14,2797.14,0
2015-11-04,2802.04,2802.04,2802.04,2802.04,0
2015-11-05,2775.04,2775.04,2775.04,2775.04,0
2015-11-06,2784.59,2784.59,2784.59,2784.59,0
2015-11-09,2780.21,2780.21,2780.21,2780.21,0
2015-11-10,2736.53,2736.53,2736.53,2736.53,0
2015-11-11,2753.77,2753.77,2753.77,2753.77,0
2015-11-13,2733.48,2733.48,2733.48,2733.48,0
2015-11-16,2743.03,2743.03,2743.03,2743.03,0
2015-11-17,2758.13,2758.13,2758.13,2758.13,0
2015-11-18,2724.33,2724.33,2724.33,2724.33,0
2015-11-19,2759.23,2759.23,2759.23,2759.23,0
2015-11-20,2759.93,2759.93,2759.93,2759.93,0
2015-11-23,2751.9,2751.9,2751.9,2751.9,0
2015-11-24,2748.47,2748.47,2748.47,2748.47,0
2015-11-26,2777.03,2777.03,2777.03,2777.03,0
2015-11-27,2795.66,2795.66,2795.66,2795.66,0
2015-11-30,2790.48,2790.48,2790.48,2790.48,0
2015-12-01,2791.25,2791.25,2791.25,2791.25,0
2015-12-02,2778.3,2778.3,2778.3,2778.3,0
2015-12-03,2751.02,2751.02,2751.02,2751.02,0
2015-12-04,2727.13,2727.13,2727.13,2727.13,0
2015-12-07,2719.28,2719.28,2719.28,2719.28,0
2015-12-08,2700.31,2700.31,2700.31,2700.31,0
2015-12-09,2670.75,2670.75,2670.75,2670.75,0
2015-12-10,2686.41,2686.41,2686.41,2686.41,0
2015-12-11,2656.48,2656.48,2656.48,2656.48,0
2015-12-14,2665.83,2665.83,2665.83,2665.83,0
2015-12-15,2690.9,2690.9,2690.9,2690.9,0
2015-12-16,2706.14,2706.14,2706.14,2706.14,0
2015-12-17,2735.52,2735.52,2735.52,2735.52,0
2015-12-18,2707.21,2707.21,2707.21,2707.21,0
2015-12-21,2732.95,2732.95,2732.95,2732.95,0
2015-12-22,2718.82,2718.82,2718.82,2718.82,0
2015-12-23,2749.23,2749.23,2749.23,2749.23,0
2015-12-24,2747.88,2747.88,2747.88,2747.88,0
2015-12-28,2771.82,2771.82,2771.82,2771.82,0
2015-12-29,2769.29,2769.29,2769.29,2769.29,0
2015-12-30,2756.27,2756.27,2756.27,2756.27,0
2015-12-31,2777.88,2777.88,2777.88,2777.88,0
2016-01-01,2785.5,2785.5,2785.5,2785.5,0
2016-01-04,2723.87,2723.87,2723.87,2723.87,0
2016-01-05,2716.54,2716.54,2716.54,2716.54,0
2016-01-06,2696.45,2696.45,2696.45,2696.45,0
2016-01-07,2633.34,2633.34,2633.34,2633.34,0
2016-01-08,2640.85,2640.85,2640.85,2640.85,0
2016-01-11,2626.66,2626.66,2626.66,2626.66,0
2016-01-12,2608.1,2608.1,2608.1,2608.1,0
2016-01-13,2628.84,2628.84,2628.84,2628.84,0
2016-01-14,2610.61,2610.61,2610.61,2610.61,0
2016-01-15,2574.32,2574.32,2574.32,2574.32,0
2016-01-18,2545.73,2545.73,2545.73,2545.73,0
2016-01-19,2577,2577,2577,2577,0
2016-01-20,2533.34,2533.34,2533.34,2533.34,0
2016-01-21,2510.6,2510.6,2510.6,2510.6,0
2016-01-22,2567.87,2567.87,2567.87,2567.87,0
2016-01-25,2571.45,2571.45,2571.45,2571.45,0
2016-01-27,2570.83,2570.83,2570.83,2570.83,0
2016-01-28,2570.18,2570.18,2570.18,2570.18,0
2016-01-29,2616.59,2616.59,2616.59,2616.59,0
2016-02-01,2610.43,2610.43,2610.43,2610.43,0
2016-02-02,2573.27,2573.27,2573.27,2573.27,0
2016-02-03,2544.02,2544.02,2544.02,2544.02,0
2016-02-04,2564.67,2564.67,2564.67,2564.67,0
2016-02-05,2594.13,2594.13,2594.13,2594.13,0
2016-02-08,2559.18,2559.18,2559.18,2559.18,0
2016-02-09,2523.72,2523.72,2523.72,2523.72,0
2016-02-10,2502.04,2502.04,2502.04,2502.04,0
2016-02-11,2414.32,2414.32,2414.32,2414.32,0
2016-02-12,2427.33,2427.33,2427.33,2427.33,0
2016-02-15,2503.2,2503.2,2503.2,2503.2,0
2016-02-16,2457.98,2457.98,2457.98,2457.98,0
2016-02-17,2476.52,2476.52,2476.52,2476.52,0
2016-02-18,2506.17,2506.17,2506.17,2506.17,0
2016-02-19,2510.31,2510.31,2510.31,2510.31,0
2016-02-22,2523.9,2523.9,2523.9,2523.9,0
2016-02-23,2475.17,2475.17,2475.17,2475.17,0
2016-02-24,2444.76,2444.76,2444.76,2444.76,0
2016-02-25,2435.11,2435.11,2435.11,2435.11,0
2016-02-26,2460.6,2460.6,2460.6,2460.6,0
2016-02-29,2432.7,2432.7,2432.7,2432.7,0
2016-03-01,2508.23,2508.23,2508.23,2508.23,0
2016-03-02,2553.53,2553.53,2553.53,2553.53,0
2016-03-03,2591.82,2591.82,2591.82,2591.82,0
2016-03-04,2594.21,2594.21,2594.21,2594.21,0
2016-03-08,2582.23,2582.23,2582.23,2582.23,0
2016-03-09,2602.42,2602.42,2602.42,2602.42,0
2016-03-10,2588.69,2588.69,2588.69,2588.69,0
2016-03-11,2594.84,2594.84,2594.84,2594.84,0
2016-03-14,2598.87,2598.87,2598.87,2598.87,0
2016-03-15,2579.74,2579.74,2579.74,2579.74,0
2016-03-16,2591.71,2591.71,2591.71,2591.71,0
2016-03-17,2595.48,2595.48,2595.48,2595.48,0
2016-03-18,2625.82,2625.82,2625.82,2625.82,0
2016-03-21,2666.46,2666.46,2666.46,2666.46,0
2016-03-22,2671.45,2671.45,2671.45,2671.45,0
2016-03-23,2671.76,2671.76,2671.76,2671.76,0
2016-03-28,2627.57,2627.57,2627.57,2627.57,0
2016-03-29,2629.88,2629.88,2629.88,2629.88,0
2016-03-30,2673.37,2673.37,2673.37,2673.37,0
2016-03-31,2666.27,2666.27,2666.27,2666.27,0
2016-04-01,2653.77,2653.77,2653.77,2653.77,0
2016-04-04,2669.59,2669.59,2669.59,2669.59,0
2016-04-05,2607.2,2607.2,2607.2,2607.2,0
2016-04-06,2610.87,2610.87,2610.87,2610.87,0
2016-04-07,2589.49,2589.49,2589.49,2589.49,0
2016-04-08,2587.48,2587.48,2587.48,2587.48,0
2016-04-11,2627.16,2627.16,2627.16,2627.16,0
2016-04-12,2641.86,2641.86,2641.86,2641.86,0
2016-04-13,2696.71,2696.71,2696.71,2696.71,0
