Date,Open,High,Low,Close,Volume
2015-09-07,4139.74,4139.74,4139.74,4139.74,0
2015-09-08,4179.4,4179.4,4179.4,4179.4,0
2015-09-09,4260.38,4260.38,4260.38,4260.38,0
2015-09-10,4247.93,4247.93,4247.93,4247.93,0
2015-09-11,4265.29,4265.29,4265.29,4265.29,0
2015-09-14,4305.83,4305.83,4305.83,4305.83,0
2015-09-15,4280.66,4280.66,4280.66,4280.66,0
2015-09-16,4275.05,4275.05,4275.05,4275.05,0
2015-09-18,4321.23,4321.23,4321.23,4321.23,0
2015-09-21,4350.1,4350.1,4350.1,4350.1,0
2015-09-22,4289.05,4289.05,4289.05,4289.05,0
2015-09-23,4315.34,4315.34,4315.34,4315.34,0
2015-09-24,4336.67,4336.67,4336.67,4336.67,0
2015-09-28,4321.38,4321.38,4321.38,4321.38,0
2015-09-29,4327.46,4327.46,4327.46,4327.46,0
2015-09-30,4386.97,4386.97,4386.97,4386.97,0
2015-10-01,4389.23,4389.23,4389.23,4389.23,0
2015-10-05,4469.54,4469.54,4469.54,4469.54,0
2015-10-06,4495.36,4495.36,4495.36,4495.36,0
2015-10-07,4510.02,4510.02,4510.02,4510.02,0
2015-10-08,4491.74,4491.74,4491.74,4491.74,0
2015-10-09,4504.45,4504.45,4504.45,4504.45,0
2015-10-12,4501.59,4501.59,4501.59,4501.59,0
2015-10-13,4513.52,4513.52,4513.52,4513.52,0
2015-10-14,4514.74,4514.74,4514.74,4514.74,0
2015-10-15,4538.96,4538.96,4538.96,4538.96,0
2015-10-16,4551.06,4551.06,4551.06,4551.06,0
2015-10-19,4579.81,4579.81,4579.81,4579.81,0
2015-10-20,4588.29,4588.29,4588.29,4588.29,0
2015-10-21,4578.62,4578.62,4578.62,4578.62,0
2015-10-23,4576.25,4576.25,4576.25,4576.25,0
2015-10-26,4551.92,4551.92,4551.92,4551.92,0
2015-10-27,4551.84,4551.84,4551.84,4551.84,0
2015-10-28,4530.95,4530.95,4530.95,4530.95,0
2015-10-29,4509.46,4509.46,4509.46,4509.46,0
2015-10-30,4482.51,4482.51,4482.51,4482.51,0
2015-11-02,4475.06,4475.06,4475.06,4475.06,0
