Date,Open,High,Low,Close,Volume
2015-09-07,147.3167,149.6333,143.4333,144.2333,1080502
2015-09-08,144.3833,147.2667,142.3333,144.9667,557500
2015-09-09,146.6333,148.35,145.0333,145.65,771190
2015-09-10,145.65,148.9667,144.5,148.0167,2072095
2015-09-11,149.3,150,147.6833,148.1333,1325599
2015-09-14,149.3,149.65,146.2,148.9167,400648
2015-09-15,149,150.2167,148.5333,149.3333,1154167
2015-09-16,146.1667,148,144.3667,147.2833,530068
2015-09-18,146.3333,148.3333,144.4,145,910411
2015-09-21,144.3667,146.6167,143.4333,144.85,532783
2015-09-22,146.8333,146.8333,143.5,144.6333,660604
2015-09-23,144,144,142,142.5667,741121
2015-09-24,143.3333,145,141.6667,144.1,574036
2015-09-28,144,144,140.3333,140.6333,702514
2015-09-29,140.6333,143.1333,139.3667,142.4,1377571
2015-09-30,143.3167,143.3167,137.35,141.1167,1407802
2015-10-01,141.8333,144,141.1667,143.75,368431
2015-10-05,144.1,147.9,143.2667,146.8833,793579
2015-10-06,146.9,149.5667,146,148.2833,652636
2015-10-07,149.5667,153.1333,148.7667,151.8167,1018519
2015-10-08,153.3333,154.6667,151.0833,154.4667,509812
2015-10-09,155.4,155.6667,150.8333,151.6333,572446
2015-10-12,151.5167,153.3333,146.7167,149.1,635374
2015-10-13,148.7333,151,148,149.7667,548734
2015-10-14,149.65,150.2333,147.3333,147.9667,419302
2015-10-15,147.6,149.3,147.0167,147.3167,529147
2015-10-16,147.6667,148.6667,147.0833,147.65,568513
2015-10-19,148.5,149.6667,147.0833,147.65,342781
2015-10-20,147.3333,148.35,145.0167,146.2833,655144
2015-10-21,146,146.1833,143.8333,145.1167,489016
2015-10-23,145,147.15,144.3,144.9167,631252
2015-10-26,144.1,144.65,138.6833,139.05,1501912
2015-10-27,139.6833,139.6833,135.55,136.05,1761973
2015-10-28,136.3333,136.3333,132.7167,133.6333,1858918
2015-10-29,135,137,133.2,134.3833,2106691
2015-10-30,134.3333,135.8333,134.3333,135.3,1751326
2015-11-02,134.8333,135.5,132.35,133.9833,1203703
2015-11-03,134.9833,135.95,133.7833,134.6833,408289
2015-11-04,135.3333,135.9333,134.5,134.8167,331624
2015-11-05,134.4167,136.3167,133.6833,134.9333,1255399
2015-11-06,134.5,134.9,132.7,134.0167,586774
2015-11-09,132.1833,134.7333,131.35,132.9667,1443514
2015-11-10,133.2667,134,129.5167,130.3167,2095654
2015-11-11,130.3333,134.2167,130.3333,131.05,239629
2015-11-13,129.5,129.5,120.35,123.05,6527830
2015-11-16,123.05,123.05,113.7,119.3833,10381744
2015-11-17,120.9667,121.5667,119.6667,121.0667,6590452
2015-11-18,121.0667,121.9667,120.05,121.45,1378870
2015-11-19,122.6667,122.8833,119.8333,121.0167,2807227
2015-11-20,120.35,121.55,119.3333,120.9667,2559337
2015-11-23,121,123.6,121,123.2833,1879282
2015-11-24,123.9,124.8,121.1667,123.65,3091588
2015-11-26,124.4667,127.6667,122.2,126.8,3631705
2015-11-27,127.1667,127.1667,124.55,126.2,2658010
2015-11-30,126.5333,127.1167,123.5,125.8333,37389504
2015-12-01,126.6333,129.6667,126.2167,129.4333,2287183
2015-12-02,129.4333,129.75,125.8,128.5833,1023070
2015-12-03,127.3333,130.8667,126.9,128.8333,5806354
2015-12-04,126.7333,132.2167,126.7333,131.5,4359151
2015-12-07,130.55,133.3,127.35,129.0333,6120238
2015-12-08,127.3667,128.6667,123.4833,124.7333,1618756
2015-12-09,124.7333,125.6333,122.35,124.4,1862362
2015-12-10,125,125.3333,120.3333,122.2833,2106250
2015-12-11,123,125.4,121.7333,124.6,2303611
2015-12-16,122.3333,126.2833,121.6667,125.4,1562041
2015-12-17,125.4,127.45,124.8,125.55,971305
2015-12-18,125.1667,126.8333,124.3,125.05,1208350
2015-12-21,124.2167,126.1167,123.8,125.35,1714471
2015-12-22,125.05,126.6,124.1667,124.6667,1479250
2015-12-23,124.7,125.9667,124.1167,125.4833,720805
2015-12-24,125.6667,130,125.6667,129.1833,1621381
2015-12-28,129.4333,135.55,128.55,133.2333,3164392
2015-12-29,134.3333,134.3333,127.7333,130.3333,2694388
2015-12-30,130.6833,132.4667,129.35,130.9667,1885762
2015-12-31,131,131.3,121.4667,127.6667,15521812
2016-01-01,130.0333,131.3167,128.3333,129.6833,843937
2016-01-04,129.3333,134.3,129.3333,132.9833,2052046
2016-01-05,133.3333,135.2,132.3333,134.1,1080241
2016-01-06,134,137.4667,132.5333,133.25,1482847
2016-01-07,132.6333,132.6333,128.7667,129.4667,1955065
2016-01-08,129.6667,132,129.3333,131.2833,2401891
2016-01-11,128.3333,129.5167,125,125.4167,1764967
2016-01-12,124.9667,126.0333,122.9333,124.8,2201542
2016-01-13,125.0333,126.1667,119.75,120.9333,4380466
2016-01-14,118.3333,121.3,118.3333,119.35,2460133
2016-01-15,119.9667,121,117.7,118.3833,1387075
2016-01-18,117.9667,118.1167,114.3333,115.6667,1143241
2016-01-19,114.9333,114.9333,110.6,114.3833,1681078
2016-01-20,111.8667,114,111.3333,113.2833,1063570
2016-01-21,113.2833,114,110.4167,111.2333,6332737
2016-01-22,112.3333,115.4833,110.85,114.6667,943468
2016-01-25,116.65,116.65,113.7667,115.35,1770922
2016-01-27,113.9333,115.9167,113.4833,115.6833,768913
2016-01-28,116.3333,116.75,114.0167,116.0833,2072473
