Date,Open,High,Low,Close,Volume
2015-09-07,32.4,34.1,30.4,32.75,91016
2015-09-08,33,34.05,32,33.5,77971
2015-09-09,33.05,38.95,32.65,34.5,162270
2015-09-10,34.6,34.6,32.1,33.95,56528
2015-09-11,34.65,38.8,34.65,38.25,434266
2015-09-14,38.85,43.4,38.05,38.5,407176
2015-09-15,39.8,39.8,37.5,38.6,100310
2015-09-16,38.25,40.75,38,40.2,181659
2015-09-18,40.35,41.7,39.9,41.05,108536
2015-09-21,41,43,40.1,41.25,79238
2015-09-22,40.95,42.45,40.1,40.4,75375
2015-09-23,40.15,48.45,40,48.45,401727
2015-09-24,50.5,52.25,47.5,48.65,461949
2015-09-28,50,50.9,48.4,50.15,196531
2015-09-29,48.85,50.95,47.5,49.8,193309
2015-09-30,49.95,51,49,49.55,59006
2015-10-01,50.35,54.1,48.6,52.05,356186
2015-10-05,52.85,54.9,52.85,53.8,138596
2015-10-06,54.45,54.5,51.8,52.1,96723
2015-10-07,52.05,58.5,51.5,53.4,225361
2015-10-08,54.2,60,54.15,59.05,516767
2015-10-09,59.75,61.9,58,58.5,285444
2015-10-12,60.2,60.4,58.3,58.9,68905
2015-10-13,59.05,65.95,59,64.6,562768
2015-10-14,65.5,68,63.5,64.35,567979
2015-10-15,64.65,66.5,63.55,63.85,127806
2015-10-16,64.85,76.6,63.3,76.6,1060251
2015-10-19,77.9,80,72,75.55,833624
2015-10-20,77,79,73,76.05,213320
2015-10-21,77.95,78,75.35,76.4,160104
2015-10-23,76.25,83.55,73.2,74.3,1068371
2015-10-26,74.3,78.2,68.2,69.15,582129
2015-10-27,69.85,71.9,68,68.35,323275
2015-10-28,68.85,70.4,68,68.45,168970
2015-10-29,68.8,69.75,68,68.05,132409
2015-10-30,68.6,68.65,66.5,66.65,441060
2015-11-02,67,67.9,66.75,66.9,205983
2015-11-03,67.35,68,66.75,66.85,126906
2015-11-04,67.1,68.2,58.25,59.6,397546
2015-11-05,59.25,69.9,54.55,64.35,735689
2015-11-06,63.7,67.9,62.1,63.8,198435
2015-11-09,59,64.8,53,63.4,132632
2015-11-10,64.95,70.05,61.5,64.45,540022
2015-11-11,66,68.95,66,67,35311
2015-11-13,68,68,63,63.45,77950
2015-11-16,64.1,64.6,57,62.2,76945
2015-11-17,63.5,66.2,61,62.1,173110
2015-11-18,61.75,63.8,54,56.35,214103
2015-11-19,56.45,60.7,56.45,58.3,344471
2015-11-20,59.15,59.9,56.75,57.45,210568
2015-11-23,58,60.25,57.7,58.2,123764
2015-11-24,57.75,59.7,55.3,57.25,81698
2015-11-26,58,59.1,56.8,57.5,89313
2015-11-27,58.05,67.15,57.5,64.35,884504
2015-11-30,64.2,70.4,63.95,69.3,691846
2015-12-01,69.95,73.5,67.65,68.45,272261
2015-12-02,69.25,70.8,66.65,68.45,365470
2015-12-03,68.45,71.95,68.4,71.1,172437
2015-12-04,68.5,75.8,68.5,70.6,487591
2015-12-07,72.8,77.25,70.05,73.15,427984
2015-12-08,73.35,75.5,70.55,71.25,138411
2015-12-09,71.65,72.3,65.45,65.95,164645
2015-12-10,66.15,69.8,65.7,66.55,166582
2015-12-11,67.2,67.35,63.5,64.1,80797
2015-12-16,64.05,65.9,62.5,63.3,185546
2015-12-17,63.6,68.65,61,61.75,292974
2015-12-18,62.35,64.95,60.8,61.2,222515
2015-12-21,61.5,63,59,61.65,71671
2015-12-22,62.55,62.9,61.5,62.1,65569
2015-12-23,62.95,63.95,62.1,63.2,124908
2015-12-24,63.9,64.4,59.9,60.6,198403
2015-12-28,60.45,61.7,58.1,58.55,168841
2015-12-29,58.65,60.65,58.1,59.55,94103
2015-12-30,60,61.2,59.2,60.45,147112
2015-12-31,60.25,61.2,59,60.35,50451
2016-01-01,60.8,63.4,59.3,60.35,129176
2016-01-04,59.7,61.5,59.3,60.1,77360
2016-01-05,60.85,61.5,59.05,59.4,101361
2016-01-06,60.45,60.7,58.05,58.4,87333
2016-01-07,57.75,58,55,55.7,54188
2016-01-08,57.05,57.8,56.35,56.75,32632
2016-01-11,56.05,57.35,55.25,56.05,21298
2016-01-12,56.55,60.25,53.9,54.55,175376
2016-01-13,55.7,56.5,50.2,51.05,109376
2016-01-14,50.5,50.5,48.7,49.15,32272
2016-01-15,49.85,51.7,44.7,45.4,49351
2016-01-18,45.7,46.9,36.35,36.4,215027
2016-01-19,36.8,38.05,34.75,36.55,128860
2016-01-20,35,35,32.9,33.3,137837
2016-01-21,33.7,36,32,35.25,119526
2016-01-22,36,37,34.25,36.05,77364
2016-01-25,36.8,36.9,35,35.35,44815
2016-01-27,36.15,38.85,35.1,38.85,204277
2016-01-28,39.5,41.3,38.2,38.6,147461
2016-01-29,37.9,39.45,37.9,38.6,29223
2016-02-01,38.75,39.6,38.05,38.7,44814
2016-02-02,39.1,39.5,37.25,37.9,21061
2016-02-03,36.6,36.6,34.4,35.4,39479
2016-02-04,35.8,36.5,34.3,34.75,32223
2016-02-05,34.25,35,31.8,34.75,27422
2016-02-08,35.25,36.9,34.25,35.3,35310
2016-02-09,34,34.75,33.25,34.15,30167
2016-02-10,33.75,35.75,33.1,33.3,39714
2016-02-11,33.3,33.3,30,31.1,40320
2016-02-12,31.85,31.85,26.65,30.5,65281
2016-02-15,32.35,33.3,31,32.7,28606
2016-02-16,33.25,33.25,30.65,31.4,17272
2016-02-17,31.35,31.4,29.5,29.85,38605
2016-02-18,30.05,32,30,30.75,48329
2016-02-19,30.15,31.3,30,30.7,23882
2016-02-22,32.1,32.15,30.5,30.85,20035
2016-02-23,30.55,31.65,29,29.9,26845
2016-02-24,30.1,30.3,28.95,29.35,19570
2016-02-25,29,30.2,28.1,28.6,43673
2016-02-26,28.45,29.7,28.1,29.05,27795
2016-02-29,30.45,30.45,28.5,29,28176
2016-03-01,30.4,30.4,29,30.05,18350
2016-03-02,30.6,36.05,30.6,36.05,120002
2016-03-03,39.8,41.5,36.35,40.25,552646
2016-03-04,40,40,36.4,37,254165
2016-03-08,37.2,37.9,35.2,36.15,57332
2016-03-09,35.1,38.5,33.5,35,133203
2016-03-10,35.9,36.5,35.1,35.6,38766
2016-03-11,35.4,36.15,33.2,33.95,63693
2016-03-14,35.25,35.3,32.5,33.25,63158
2016-03-15,33.25,34.45,33,33.65,35608
2016-03-16,33.95,34,32.1,32.95,19708
2016-03-17,33.45,34,32.8,33.15,21190
2016-03-18,33.7,33.75,32.3,33,26813
2016-03-21,33.95,34,32,33.1,60954
2016-03-22,32.95,33.5,32.35,32.55,19867
2016-03-23,32.6,33.95,31.75,32.55,75988
2016-03-28,32.45,36,32.4,33,69763
2016-03-29,32.55,33.9,30.4,31.9,106854
2016-03-30,32.7,34,31.35,33.35,65061
2016-03-31,33.05,33.9,31.7,32.45,31045
2016-04-01,32.4,34.15,32.25,33.15,28327
2016-04-04,33.4,34,32.7,33.5,43915
2016-04-05,33.1,37,29.25,30.1,703943
2016-04-06,30.75,31.45,29.55,30.2,128264
2016-04-07,30.55,30.8,29.25,29.8,51728
2016-04-08,30.4,30.45,28.1,29.65,45960
2016-04-11,29.95,29.95,28.6,29.15,52639
2016-04-12,28.7,29.9,28.4,28.8,31424
2016-04-13,29,30,28.8,29.1,42522
2016-04-18,29.05,29.5,28.6,28.95,28062
2016-04-20,28.95,31.25,28.8,30.05,88803
2016-04-21,30,30.9,29.95,30.2,31805
2016-04-22,30.3,31,30,30.2,29039
2016-04-25,30.35,30.5,28,29.2,29175
2016-04-26,29.7,29.9,28.95,29.6,25326
2016-04-27,29.25,30.5,29,29.65,22573
2016-04-28,29.8,29.9,29.2,29.4,20506
2016-04-29,29.3,30.9,29.15,29.35,23185
2016-05-02,29.1,29.2,28.65,28.9,12353
2016-05-03,29,29.4,28.35,28.55,17381
2016-05-04,28.6,28.8,28.15,28.25,17197
2016-05-05,28.15,28.45,27.55,27.75,16639
2016-05-06,27.85,28.2,27,27.4,23474
2016-05-09,27.6,28.5,26.8,27.1,32438
2016-05-10,27.1,27.1,26.5,26.75,27674
2016-05-11,26.3,27.2,26.15,26.45,30192
2016-05-12,26.25,26.85,26.15,26.4,14725
2016-05-13,26.35,26.5,25.1,25.5,28300
2016-05-16,26.15,28.85,25.35,27.8,65812
2016-05-17,28.2,29.4,27.6,27.75,35607
2016-05-18,27.6,28.2,26.8,27.05,17204
2016-05-19,27.75,28.9,26.5,26.95,18283
2016-05-20,27.65,27.7,26.6,26.9,6939
2016-05-23,27.05,28.85,26,27.05,21012
2016-05-24,27.1,27.1,25.8,26.05,17111
2016-05-25,26.65,26.7,25.7,26.05,28823
2016-05-26,25.85,27.1,25.75,26.8,22857
2016-05-27,26.5,26.85,26.1,26.7,18544
2016-05-30,26.3,28.85,25.8,27.05,13988
2016-05-31,26.25,30,26.1,28.5,170217
2016-06-01,27.75,29.45,27.1,27.6,23888
2016-06-02,27.45,27.8,26.75,27,14024
2016-06-03,27.05,27.55,26.4,26.55,8929
2016-06-06,26.45,26.95,26,26.25,22202
2016-06-07,26.9,30.5,26.55,28.9,306695
2016-06-08,28.6,29.3,27.1,27.6,43962
2016-06-09,27.85,28.9,27.05,28.05,33735
2016-06-10,27.95,29.3,26.5,27.25,34219
2016-06-13,27.45,27.9,26.7,27.35,22782
2016-06-14,27.7,27.9,27.1,27.4,14091
2016-06-15,27.65,28.45,27.2,27.55,31046
2016-06-16,27.75,28.45,27.05,27.4,17231
2016-06-17,27.85,27.85,26.65,26.9,22067
2016-06-20,26.7,29,26.7,27.8,115266
2016-06-21,27.6,28.15,27.25,27.4,10556
2016-06-22,27.25,27.7,26.3,27.05,26818
2016-06-23,27.15,27.5,26.6,26.9,13968
2016-06-24,26.6,26.85,25.15,26,25349
2016-06-27,26,27.15,25.1,26.15,22295
2016-06-28,25.8,26.8,25.8,26.65,23370
2016-06-29,27.3,27.5,26.5,26.6,40707
2016-06-30,26.9,27.7,26.9,27.15,28326
2016-07-01,27.5,28,27.15,27.8,35691
2016-07-04,28,28,26.8,27.65,22450
2016-07-05,27.95,28,27.3,27.8,14238
2016-07-07,27.4,27.9,27,27.7,16769
2016-07-08,27.4,28,27,27.25,13596
2016-07-11,27.45,31,27.1,29.65,145452
2016-07-12,30.45,34.8,29.2,33.75,597573
2016-07-13,33.3,34.95,32.3,32.85,139217
2016-07-14,33.3,33.4,30.8,31.4,52380
2016-07-15,31.8,32.25,30.05,30.15,39034
2016-07-18,30.25,31.5,29.55,30.15,29699
2016-07-19,29.8,31,29.4,29.6,24570
2016-07-20,30.25,32.9,30.1,31.6,89870
2016-07-21,33.95,36.45,33.95,35.35,524493
2016-07-22,35.45,36.7,34.05,34.4,92656
2016-07-25,34.05,34.75,32.55,33.55,47547
2016-07-26,33.5,34.65,32,32.4,36867
2016-07-27,32.95,33.4,31.3,32.75,36933
2016-07-28,32.5,34.15,32.5,33,38308
2016-07-29,33.15,33.15,32,32.15,20860
2016-08-01,33.55,34,31.2,31.45,35119
2016-08-02,31.6,32.9,30.5,31.85,38072
2016-08-03,32,32.5,29.7,30.75,30297
2016-08-04,31.5,31.65,30.3,30.6,17716
2016-08-05,31,31.35,28,30.3,28499
2016-08-08,31.1,31.1,29.9,30.15,14563
2016-08-09,29.9,30.8,29.9,30.05,27988
2016-08-10,30,30.6,29.1,29.75,18774
2016-08-11,30.05,30.25,28.85,29.25,14559
2016-08-12,29.45,31.7,29,29.4,31892
2016-08-16,29.95,30.5,29,29.35,22911
2016-08-17,29.2,29.2,28.25,28.55,19046
2016-08-18,29.2,29.25,28.5,28.85,7992
2016-08-19,29.35,29.7,28.3,28.55,11316
2016-08-22,28.65,29.15,28.25,28.35,16533
2016-08-23,28.9,28.9,28.25,28.4,16152
2016-08-24,28.4,29.55,28.4,28.65,31881
2016-08-25,28.65,30.45,28.4,29.15,69562
2016-08-26,29.4,29.75,28.4,28.65,19682
2016-08-29,28.2,28.6,28.05,28.15,14237
2016-08-30,28,28.45,27.9,28,15060
2016-08-31,28,28.4,27,27.95,22822
2016-09-01,27.6,29,27.5,27.6,31002
2016-09-02,27.45,28.9,27.45,28.1,16394
2016-09-06,28.75,28.85,28.3,28.45,18560
2016-09-07,28.1,28.85,28,28.45,13895
2016-09-08,28.75,29,27.5,28.25,18157
2016-09-09,28.8,29.8,28.05,28.35,28760
2016-09-12,28.05,28.65,27.9,28,10471
2016-09-14,27.6,28.35,27.6,27.8,8779
2016-09-15,27.75,28.5,27.75,28.15,16801
2016-09-16,29.45,29.45,28.1,28.3,14708
2016-09-19,28.3,28.35,27.65,28.1,9562
2016-09-20,28.45,28.45,27.6,27.75,8961
2016-09-21,27.75,28.4,27.55,27.85,9445
2016-09-22,27.7,28.35,27.7,28,10164
2016-09-23,28.3,28.5,27.6,27.8,16451
2016-09-26,27.7,28.25,27.35,27.55,10069
2016-09-27,28.3,28.3,27.5,27.65,11676
2016-09-28,27.7,28.45,27.3,28.15,16977
2016-09-29,27.7,28.15,25.85,26.15,25779
2016-09-30,27.35,27.45,25.45,26.5,13546
2016-10-03,27.25,27.9,26.45,27.3,21228
2016-10-04,27.65,27.65,27.05,27.15,10099
2016-10-05,27.25,27.75,27.1,27.3,11180
2016-10-06,27.45,27.45,26.7,26.85,11223
2016-10-07,26.7,27,22,26.15,17690
2016-10-10,25.85,26.75,25.8,26.65,4210
2016-10-13,26.65,26.9,25.2,25.9,6819
2016-10-14,25.3,26.55,25.3,26.05,5357
2016-10-17,25.6,26.65,25.25,25.3,17043
2016-10-18,25.5,26.3,25.3,25.85,19567
2016-10-19,26.4,26.6,25.65,26.15,6839
2016-10-20,26.35,26.95,26.1,26.75,19837
2016-10-21,26.9,27.7,26.75,27.2,20309
2016-10-24,27.9,27.9,26.7,26.8,5010
2016-10-25,26.55,27.4,26.25,26.65,8399
2016-10-26,26.4,27.9,26.25,27.2,19278
2016-10-27,27.2,27.4,26,26.5,7987
2016-10-28,26.6,26.9,26,26.35,6445
2016-10-30,26.7,27,26.55,26.9,659
2016-11-01,26.4,26.9,26.1,26.3,6217
2016-11-02,26.1,26.5,25.8,25.95,5135
2016-11-03,25.6,26.5,25.6,25.95,9576
2016-11-04,26,26.3,24.2,24.9,17446
2016-11-07,24.3,25.7,24.3,25.05,7219
2016-11-08,25.7,25.7,24.25,24.7,9798
2016-11-09,23,23.95,21.25,23.15,21187
2016-11-10,23.35,24.9,23.35,24.25,13346
2016-11-11,24,24.5,22.6,23.1,11157
2016-11-15,23.5,23.65,21.2,22,14990
2016-11-16,22.1,22.3,21.4,22,7035
2016-11-17,23.1,23.1,21,21.05,10287
2016-11-18,21.05,21.2,19.6,20.1,18659
2016-11-21,19.6,19.95,16.3,18.05,17726
2016-11-22,18.15,19.7,18.1,19.25,14455
2016-11-23,19.3,19.9,18.4,19.65,11334
2016-11-24,19.8,22.6,19.1,20.75,23883
2016-11-25,21.5,24.9,21.5,24.9,103256
2016-11-28,25.8,26.85,24,25.5,107300
2016-11-29,24.6,26.4,23.1,24.2,36403
2016-11-30,24.65,25.4,23.75,24.45,9112
2016-12-01,23.25,25.2,23.25,24.05,6721
2016-12-02,24,24.3,23.1,23.35,6398
2016-12-05,23.1,23.7,22.6,23,6122
2016-12-06,22.95,23.95,22.15,22.8,5608
2016-12-07,22.55,23.85,22.55,23,7277
2016-12-08,23,24,23,23.2,8190
2016-12-09,23.2,24.55,23.2,23.7,12499
2016-12-12,23.5,24.8,22.35,23.9,13804
2016-12-13,23.5,24.45,22.5,22.95,4652
2016-12-14,22.8,23.5,22.35,22.9,6283
2016-12-15,22.6,24.6,22.3,23.8,17930
2016-12-16,23.9,24.15,23,23.05,5846
2016-12-19,22.45,23.85,22.45,23.05,4554
2016-12-20,23.05,23.75,21.4,22.5,6586
2016-12-21,23.5,23.5,22.25,22.7,2294
2016-12-22,22,23.25,21.4,21.65,11678
2016-12-23,21.7,23.8,20.25,23.15,20675
2016-12-26,23.85,23.85,21.05,21.65,8956
2016-12-27,22.45,22.45,21.8,21.8,7186
2016-12-28,21.8,22.9,21.6,21.85,8546
2016-12-29,21.3,21.95,21.3,21.6,3791
2016-12-30,22.4,23.25,21.35,22.15,6682
2017-01-02,21.1,22.5,21.1,21.35,23241
2017-01-03,21.55,21.95,20.65,21.75,6656
2017-01-04,22,22.15,21.65,21.7,4861
2017-01-05,21.45,22.25,21.15,21.85,5082
2017-01-06,21.9,23.2,21.4,22.9,20260
2017-01-09,23.8,23.85,20.7,22.8,16179
2017-01-10,22.45,22.8,22.05,22.7,4718
2017-01-11,22.1,23.9,21.9,23.35,19789
2017-01-12,23,23.6,22.1,22.6,6215
2017-01-13,22.3,23.85,22.3,22.8,2799
2017-01-16,22.8,23.5,22.8,23,4306
2017-01-17,23,23.45,22.35,22.6,4581
2017-01-18,22.45,23.75,22.4,22.9,6119
2017-01-19,22.45,22.9,22.25,22.7,10966
2017-01-20,22.35,22.9,22.2,22.3,3291
2017-01-23,22.35,22.5,21.95,22.05,3204
2017-01-24,22.1,22.45,21.6,21.7,3458
2017-01-25,21.75,23.1,21.75,22.6,6538
2017-01-27,22.4,22.7,22.1,22.3,9037
2017-01-30,23.35,23.35,21.75,22.2,10020
2017-01-31,22.5,22.9,22.1,22.25,4193
2017-02-01,21.35,22.95,21.35,21.95,9086
2017-02-02,23.6,23.6,22.25,22.7,6617
2017-02-03,23.2,23.2,22.15,22.65,4449
2017-02-06,21.3,23.05,21.3,22.7,7903
2017-02-07,22,22.9,22,22.35,7058
2017-02-08,23.7,23.7,22.2,22.9,11216
2017-02-09,22.85,23,22.55,22.6,9429
2017-02-10,22.45,23.5,22.4,22.9,6602
2017-02-13,22.35,23.8,22.35,22.95,11801
2017-02-14,22.7,23.5,22.6,23.5,17553
2017-02-15,23.45,23.45,22.5,22.7,5149
2017-02-16,22.95,22.95,22.5,22.7,1853
2017-02-17,23,23.45,22.8,22.85,3774
2017-02-20,22.8,23.6,22.6,23.5,12266
2017-02-21,23.6,24,23.25,23.9,22968
2017-02-22,24.3,25,24,24.4,19019
2017-02-23,24,24.45,23.3,24.25,7893
2017-02-27,24,24.5,23.3,23.5,10004
2017-02-28,23.55,24,23.3,23.35,3768
2017-03-01,23.55,23.9,23.15,23.25,5605
2017-03-02,23.3,23.75,22.95,23.05,5354
2017-03-03,23.05,23.55,22.6,22.9,6610
2017-03-06,22.8,23.45,22.55,22.95,8030
2017-03-07,23,23,22.25,22.5,4888
2017-03-08,22.1,23.45,21.8,22.35,9712
2017-03-09,23.2,23.2,22,22,8786
2017-03-10,22.85,22.85,21.5,21.7,4141
2017-03-14,22,22,17.55,19.15,29311
2017-03-15,19.45,22.95,19.4,22.95,155762
2017-03-16,24.2,26.4,24.2,25.65,248079
2017-03-17,26,26.8,24.3,25.2,66360
2017-03-20,25.05,25.05,23.5,23.85,21291
2017-03-21,23.4,24.3,23,23.2,9805
2017-03-22,23,23.1,22.5,22.9,10493
2017-03-23,23.4,26.3,22.55,22.75,26312
2017-03-24,23,23,21.5,22.35,20846
2017-03-27,22.5,26.8,22.5,26.8,158295
2017-03-28,28.8,31.75,28.2,31.25,544912
2017-03-29,31.2,32.4,28.35,29.1,264848
2017-03-30,29.05,31,28.6,29,105899
2017-03-31,30.4,30.4,27.4,28.35,58296
2017-04-03,28,29.7,28,28.55,24827
2017-04-05,29.6,33.8,28.5,32.6,279305
2017-04-06,32.7,33.75,31,32.35,78585
2017-04-07,32.25,33,29.4,32.05,60192
2017-04-10,32.55,33.35,31.7,32.6,53128
2017-04-11,32.45,32.45,30.6,31.05,41286
2017-04-12,31.8,31.8,30,30.55,21397
2017-05-30,21.05,23,21.05,22.25,2837
2017-05-31,23.1,23.25,22.4,22.7,6881
2017-06-01,22.5,22.85,22.5,22.5,1000
2017-06-02,22.6,23.6,21.55,23.5,19412
2017-06-05,22.6,24.65,22.6,23.85,17295
2017-06-06,24,24,23.5,24,5563
2017-06-07,24.8,26,24,25.1,12612
2017-06-08,25.1,26.5,23.85,24.1,11397
2017-06-09,23.8,24.5,23.8,23.95,1978
2017-06-12,23.4,24.9,23.4,23.65,2688
2017-06-13,24,24.5,23.5,23.95,3780
2017-06-14,24.9,25,22.8,23.75,3667
2017-06-15,23.4,24.4,23.2,24,3900
2017-06-16,24.7,24.7,23.6,24,8733
2017-06-19,23.5,24,22.8,23.4,11022
2017-06-20,23.2,23.8,22.6,23,3570
2017-06-21,23.95,23.95,22.2,22.6,3093
2017-06-22,22.7,23.5,22.7,23.05,6608
2017-06-23,23,23.1,21.15,22.3,3111
2017-06-27,22.3,23.4,21.3,22.4,5318
2017-06-28,22.5,23,21.5,22.05,3003
2017-06-29,22,22.35,21,21.2,19348
2017-06-30,20.8,22.35,20.5,21.15,10623
2017-07-03,21,22.75,21,22.4,5556
2017-07-04,22.95,23.4,22.15,23.25,4418
2017-07-05,22.65,23.05,21.15,22.45,12423
2017-07-06,23.05,23.05,22.55,23,2525
2017-07-07,22.75,23,22,22.65,4145
2017-07-10,22.65,23,22.25,22.7,1540
2017-07-11,22.6,24.1,22,23.5,13209
2017-07-12,22.8,23.45,22.65,23.05,2553
2017-07-13,23,24,22.7,23.1,6242
2017-07-14,23.9,23.9,22.5,22.7,2374
2017-07-17,22.9,23.7,22.2,22.3,9836
2017-07-18,22.5,23,22.05,22.6,5076
2017-07-19,23.8,23.8,22,22.2,8066
2017-07-20,22,22.8,22,22.3,1820
2017-07-21,21.2,22.65,21.2,22.25,2976
2017-07-24,21.9,23,21.25,21.75,18976
2017-07-25,22.25,22.25,21.5,21.9,4626
2017-07-26,20.9,22.4,20.9,21.55,6963
2017-07-27,22,22.3,21.1,21.25,11413
2017-07-28,21.5,21.5,21.05,21.25,956
2017-07-31,21.25,21.25,20.7,21.15,5359
2017-08-01,21.15,21.5,20.6,20.9,6923
2017-08-02,21.5,21.55,20.5,20.7,8277
2017-08-03,20.95,21,20.3,20.75,4842
2017-08-04,21,21,20.1,20.3,1349
2017-08-07,20.5,24.35,20.5,24.35,76863
2017-08-08,25.55,29,25.55,26.6,162499
2017-08-09,30.8,30.8,23.8,24.3,90832
2017-08-10,24.3,25.35,22,22.35,32310
2017-08-11,22.35,22.35,20.2,21.65,23850
2017-08-14,23.9,25.8,21.95,24.25,64620
2017-08-16,24.45,24.45,23,23.15,11347
2017-08-17,23.7,24,22.1,22.85,16656
2017-08-18,22.35,24.1,22,23,17955
2017-08-21,22.85,23.3,22.1,22.5,10455
2017-08-22,22.25,23.4,21.75,21.95,7577
2017-08-23,21.7,22.3,21.7,22.15,7589
2017-08-24,22.6,22.6,21.8,22.1,6274
2017-08-28,22.5,22.8,21.7,22.2,5311
2017-08-29,22,22.45,21.8,22.3,2476
2017-08-30,22.3,23,22.2,22.35,5839
2017-08-31,22.35,22.8,21.5,22.7,4657
2017-09-01,23.65,23.65,22.1,22.65,1360
2017-09-04,23.3,23.5,22.1,22.45,9242
2017-09-05,23.1,23.15,22.3,22.65,3668
2017-09-06,22.5,23.25,22.5,23,10551
2017-09-07,22.9,27.6,22.5,27.6,138626
2017-09-08,28.75,32,25.45,25.9,178783
2017-09-11,25.9,28,25.7,27.05,26857
2017-09-12,27.1,28,25.75,26.05,12911
2017-09-13,26,30.95,26,29.9,246163
2017-09-14,29.35,30.2,26.8,27.75,75486
2017-09-15,28.75,29.4,27.4,29,33797
2017-09-18,29.7,29.7,28,28.35,27356
2017-09-19,28.35,29.4,27.7,28.1,29021
2017-09-20,28.5,28.95,26.9,27.25,15883
2017-09-21,27.65,28.05,26.65,26.9,9753
2017-09-22,26.55,27,24.55,24.85,18937
2017-09-25,25.25,25.45,24.05,24.65,10429
2017-09-26,24.6,28,24.5,25.95,15969
2017-09-27,26.75,26.75,23.2,23.65,43719
2017-09-28,24.5,24.5,23.7,24.45,8161
2017-09-29,25.95,25.95,23.1,24.4,10551
2017-10-03,25,25.2,24.1,24.5,8681
2017-10-04,25.1,26.25,24.25,24.6,22396
2017-10-05,25.45,25.55,24.25,24.55,7725
2017-10-06,24.3,25.8,23.55,24.75,7865
2017-10-09,25.95,26.5,24.65,25.7,20378
2017-10-10,25.75,26.3,25.2,25.8,6001
2017-10-11,25.8,26.5,24.2,25.35,8604
2017-10-12,25,26.45,24.2,25.1,10791
2017-10-13,26.25,26.25,24.6,24.85,5589
2017-10-16,24.85,29.8,24.7,29.8,176701
2017-10-17,31.4,35.75,30.8,35.25,969840
2017-10-18,34.4,34.75,32,32.6,233557
2017-10-19,32,32.45,30.4,31.3,40040
2017-10-23,31.3,35.9,30.1,33.4,245199
2017-10-24,32.4,34,32.3,32.65,66643
2017-10-25,33.9,34.2,32.2,32.9,56290
2018-02-07,26,26.95,26,26.75,9201
2018-02-08,26.75,27.3,26.5,27,1932
2018-02-09,25.8,27.5,25.8,27,1991
2018-02-12,27.35,28.35,26.65,28.35,15964
2018-02-14,29.75,29.75,27.9,28.35,11279
2018-02-15,27.9,29.25,26.95,27.05,26048
2018-02-16,28.3,28.3,26,26.5,5014
2018-02-19,26.4,26.4,25.9,26.35,7730
2018-02-20,26.1,26.6,25.6,25.7,875
2018-02-21,25.8,26.25,25,25.15,4625
2018-02-22,25.5,25.7,24.2,25.15,1592
