Date,Open,High,Low,Close,Volume
2025-01-24,1800,1800,1710,1710,1533351
2025-01-27,1624.5,1624.5,1624.5,1624.5,4576
2025-01-28,1543.3,1550,1543.3,1543.3,511792
2025-01-29,1466.15,1620.45,1466.15,1609.95,901579
2025-01-30,1599,1638,1530,1623.7,546234
2025-01-31,1601,1601,1542.55,1581.5,8529452
2025-02-01,1525,1579,1502.45,1502.45,68447
2025-02-03,1427.55,1524.7,1427.35,1499.05,335284
2025-02-04,1500,1540,1500,1533.6,621393
2025-02-05,1505.05,1569,1500,1553.4,495580
2025-02-06,1540,1599.7,1509,1545.7,736532
2025-02-07,1539.25,1545.95,1474.9,1523.1,249544
2025-02-10,1523,1555.85,1485.1,1542.25,548371
2025-02-11,1511,1549,1485,1508.05,618580
2025-02-12,1500,1500,1339.9,1461.4,528867
2025-02-13,1460.05,1504.4,1421.75,1442.15,476914
2025-02-14,1449.9,1473.95,1403.15,1442.3,206894
2025-02-17,1400.1,1424.8,1301.35,1333.2,339686
2025-02-18,1334.95,1368,1272.55,1358.95,185621
2025-02-19,1349,1364.95,1320,1333.3,103230
2025-02-20,1349.8,1349.8,1278.6,1330.6,167176
2025-02-21,1300,1300,1255.3,1274.3,327981
2025-02-24,1251,1450,1246.25,1310.7,307752
2025-02-25,1309.95,1367.5,1251.5,1348.75,557484
2025-02-27,1344,1344,1270.1,1283.6,261098
2025-02-28,1259,1277.5,1211.5,1238.2,356308
2025-03-03,1241.95,1348.75,1209.95,1326.75,219171
2025-03-04,1299.95,1392,1283.6,1382.45,198666
2025-03-05,1370,1440.95,1370,1424.4,186634
2025-03-06,1433,1452.05,1390,1440.95,180860
2025-03-07,1440,1440.95,1401.1,1419,88163
2025-03-10,1427,1534.4,1399.3,1458.6,446919
2025-03-11,1458.6,1515,1420.1,1509.3,170868
2025-03-12,1486.65,1525,1463.5,1509.55,147333
2025-03-13,1523,1550,1492.6,1507.2,150159
2025-03-17,1502,1514.7,1450,1468.25,84868
2025-03-18,1474.9,1535,1473,1507.15,220519
2025-03-19,1524.95,1628,1520,1597.15,299802
2025-03-20,1615,1685,1602,1662.95,202082
2025-03-21,1674,1705.95,1600.05,1648.45,220580
2025-03-24,1678.1,1722.75,1620.2,1707.3,88765
2025-03-25,1724.4,1735.4,1680,1720.15,227560
2025-03-26,1720.15,1744.45,1635,1719.1,142224
2025-03-27,1684.4,1724.25,1645.55,1717.65,120511
2025-03-28,1702,1763.55,1680,1752.25,204475
2025-04-01,1730,1763.7,1612.05,1629.2,144356
2025-04-02,1621,1625.55,1582,1591.25,91069
2025-04-03,1610,1700,1560.1,1573.85,150993
2025-04-04,1544.5,1564.7,1452.8,1498.4,207000
2025-04-07,1379.95,1408,1319.5,1376.4,284502
2025-04-08,1422.45,1624.7,1363.05,1553.35,331732
2025-04-09,1522.3,1535.55,1444,1485.9,283732
2025-04-11,1559,1559,1476.5,1502.2,183153
2025-04-15,1490,1579.4,1490,1567.6,96210
2025-04-16,1560,1600,1543.6,1581.9,83955
2025-04-17,1555,1598.9,1554.1,1564.6,65693
2025-04-21,1584.9,1584.9,1507.2,1519,82802
2025-04-22,1521,1544.7,1501,1524.8,68561
2025-04-23,1530,1585,1524.8,1575.9,120691
2025-04-24,1575.9,1664,1563.8,1575.4,225039
2025-04-25,1577,1611.3,1494,1557.9,156605
2025-04-28,1539,1611.9,1530.2,1591.5,245085
2025-04-29,1591.3,1633.9,1563.1,1585.9,81909
2025-04-30,1649.5,1677.2,1593.7,1625.5,285446
2025-05-02,1638.5,1650.2,1575.4,1596.9,84522
2025-05-05,1602,1674.4,1602,1659,102962
2025-05-06,1750,1750,1615,1627.1,466600
2025-05-07,1611,1648.7,1580.4,1633.4,128370
2025-05-08,1639.9,1645.9,1589.7,1600.3,103379
2025-05-09,1580,1619,1552.6,1589.3,60117
2025-05-12,1621.1,1645.1,1584,1591.1,94361
2025-05-13,1599,1659,1584,1648.9,257102
2025-05-14,1647,1654.8,1590.5,1599.2,65159
2025-05-15,1618,1620.1,1561,1590.2,101902
2025-05-16,1606.7,1625.2,1575,1596.5,153457
2025-05-19,1607.8,1670,1591.1,1629.1,167932
2025-05-20,1626,1665,1594.1,1653.6,262480
2025-05-21,1661,1699,1635.2,1678.8,233591
2025-05-22,1686.9,1692,1661,1670,74970
2025-05-23,1686.9,1699,1650,1686.7,130078
2025-05-26,1702,1779.7,1683,1764.5,494459
2025-05-27,1779.9,1834,1748.6,1779.2,423726
2025-05-28,1797,1817,1747,1754.6,190945
2025-05-29,1760,1840,1760,1801.5,353503
2025-05-30,1817.6,1959,1786.7,1922,843404
2025-06-02,1893.2,1949.9,1829.9,1888.3,317978
2025-06-03,1890,1917,1845,1871.4,207510
2025-06-04,1863.9,1961.9,1858.6,1948.7,217430
2025-06-05,1963,1989.1,1951.5,1963.5,148203
2025-06-06,1969,2002.5,1915.2,1934.4,218798
2025-06-09,1921,2010.2,1913.9,1933,164149
2025-06-10,1935,2043,1935,2025.3,308497
2025-06-11,2035,2115,1976,2051.5,179998
2025-06-12,2053,2053,1956.2,1976.7,198374
2025-06-13,1907.5,2030.1,1906.1,2025.3,206291
2025-06-16,2025.3,2178,1997.9,2165.9,370733
2025-06-17,2185,2225.1,2059.7,2170.2,328014
2025-06-18,2151,2248,2116.5,2195,232499
2025-06-19,2183,2217.5,2090.1,2111.3,129568
2025-06-20,2090.1,2192.8,1991.1,2029.7,2287398
2025-06-23,1985,1985.6,1852.2,1947.5,452235
2025-06-24,1967,2000,1911.8,1991.1,191533
2025-06-25,2008.8,2029.3,1934,1999.5,155646
2025-06-26,1999.5,2020.1,1961.2,2002.7,120311
2025-06-27,2014.9,2201.2,1983.8,2194,661411
2025-06-30,2198.4,2200.4,2162.1,2197.8,129992
2025-07-01,2201.3,2231.9,2090,2119.8,346609
2025-07-02,2119,2139.8,1990,2013,332907
2025-07-03,2000,2019.8,1956,1999.5,166631
2025-07-04,1999.1,2035,1982.9,2021.5,187309
2025-07-07,2004.1,2065.6,1982,1998.2,165729
2025-07-08,2029,2044,1992.9,2001.1,431632
2025-07-09,2000,2031.4,1976.2,2020.5,129016
2025-07-10,2006,2041.1,1980,1994.1,60102
2025-07-11,1983.5,2007,1972.4,1979.4,114359
2025-07-14,1979.1,2014.5,1968.1,2002.5,62055
2025-07-15,2015,2047,1980.3,1994.3,184097
2025-07-16,2012.9,2088,1966,1973.7,408774
2025-07-17,1979,2021.8,1979,2002.2,282763
2025-07-18,2008,2008,1981,1995.4,47767
2025-07-21,1995.4,2017.5,1989.6,2000.2,123043
2025-07-22,2001.5,2013.5,1940,1948.2,95069
2025-07-23,1947.8,2010.8,1940,2000.3,112627
2025-07-24,1999,2017.2,1969,1981.7,213510
2025-07-25,1970,2001,1947,1953.9,92319
2025-07-28,1963,2003.7,1930.1,1995.9,201435
2025-07-29,1995.2,1995.2,1954.3,1969.3,121530
2025-07-30,1969.3,2026.5,1965,1973.9,180565
2025-07-31,1969.8,1980.7,1938.2,1974,126035
2025-08-01,1960,1964.3,1832,1855.4,249994
2025-08-04,1847,1946.1,1830,1917.9,167473
2025-08-05,1851,1925.8,1826.1,1895.6,315304
2025-08-06,1890,1897.2,1830.4,1877.3,246033
2025-08-07,1868.5,1900,1840,1874.2,244809
2025-08-08,1874,1901,1860,1891.4,189444
2025-08-11,1869,1900,1826.1,1894.2,160063
2025-08-12,1894,1903,1890.3,1899.9,167061
2025-08-13,1899,1900.5,1872.6,1896.1,99221
2025-08-14,1892,1900,1872.1,1877.1,99734
2025-08-18,1884.9,1897.9,1792.4,1830.2,173072
2025-08-19,1836,1859.6,1825.3,1834.5,41729
2025-08-20,1840,1841.4,1805.1,1813.8,37004
2025-08-21,1820.9,1857,1820.8,1841,68258
2025-08-22,1841,1873.8,1811.2,1859.6,92027
2025-08-25,1855.9,1893.1,1821.1,1883.6,94829
2025-08-26,1883.8,1883.8,1828.1,1861.8,236688
2025-08-28,1861.8,1882.9,1846.8,1855,195394
