Date,Open,High,Low,Close,Volume
2015-09-07,151.333,152.233,149.033,150.7,5324035
2015-09-08,151.967,153.667,149.4,153.267,6841087
2015-09-09,155.367,155.733,152.833,153.6,11075229
2015-09-10,152.333,153.233,149.133,151.267,6478406
2015-09-11,152.433,154.6,151.467,152.233,5834527
2015-09-14,153.267,153.6,150.667,153.1,3143677
2015-09-15,153.267,154.6,150.533,152.867,3661399
2015-09-16,155.2,155.2,152.167,153.667,4234243
2015-09-18,154.067,160.8,153.267,159.467,9682537
2015-09-21,157.2,159.9,156.667,159.3,2754551
2015-09-22,161.2,161.2,155.433,156.333,5576615
2015-09-23,153.4,158.633,153.167,157.7,3247757
2015-09-24,157.733,157.733,150.733,151.667,8968651
2015-09-28,152.167,152.3,149.4,150.067,4326611
2015-09-29,149.2,151.6,145.133,150.933,7599778
2015-09-30,152.333,153.867,148.067,152.9,7694695
2015-10-01,152.9,156,152,154.9,4161730
2015-10-05,156,160.8,152.667,160.333,5283104
2015-10-06,160.667,165.767,159.733,164.9,7663976
2015-10-07,167.333,173.9,167.333,171.833,9901196
2015-10-08,173.6,173.6,168.167,171.767,5335414
2015-10-09,174,176.667,173.467,175.767,8515355
2015-10-12,175.833,178.5,174.867,175.6,4243084
2015-10-13,173.033,174.167,168.167,169.267,4640855
2015-10-14,169.333,175.533,168.933,170,4440331
2015-10-15,171.4,174,169.4,173.433,3456407
2015-10-16,174,176.867,171.333,176.067,3212585
2015-10-19,176.067,176.233,170.667,171.9,2694019
2015-10-20,170.4,171.5,168,168.767,3579358
2015-10-21,168,171.933,167.667,168.967,2408054
2015-10-23,170,174,169.967,171.533,3416213
2015-10-26,171.333,173.867,169.6,170.967,3776110
2015-10-27,168.967,169.467,164.833,165.267,7387658
2015-10-28,163.733,168.333,162.233,167.867,8681942
2015-10-29,170,170.167,166.7,167.233,11317209
2015-10-30,166.6,167,162.733,164.633,5076523
2015-11-02,164.633,165.867,161.433,164.933,2028091
2015-11-03,164.8,167.667,163.533,167.133,2764397
2015-11-04,169.033,169.467,166.533,168.067,3672545
2015-11-05,166.667,169.2,166.433,167.1,4845283
2015-11-06,165.8,171.067,165.333,167.633,6014387
2015-11-09,164.133,167.333,163.367,166.2,4072976
2015-11-10,163.4,165.2,157.067,157.8,5841889
2015-11-11,159.267,159.6,157.667,158,364487
2015-11-13,155.367,155.667,152,152.6,6878204
2015-11-16,152.267,153.933,147.5,153.433,6538864
2015-11-17,154,155.5,151.133,154.9,9435518
2015-11-18,154.033,155.167,152.633,153.8,3862231
2015-11-19,155.167,155.8,152.833,155.333,2849843
2015-11-20,155.867,157.167,154.233,156.033,2601568
2015-11-23,156.667,157.267,154,154.467,2296133
2015-11-24,154.667,158.9,153.167,155.2,5179723
2015-11-26,155.4,157.933,154.533,156.567,8200903
2015-11-27,157.667,159.167,156.233,156.933,2854024
2015-11-30,156,157.267,153.467,156.1,5898439
2015-12-01,156.367,158.967,155.367,157.067,3545680
2015-12-02,158.067,158.667,155.533,157.2,3121283
2015-12-03,155.4,155.933,152.067,153.133,7426180
2015-12-04,151.833,154.067,150.7,151.467,5123203
2015-12-07,152.033,152.333,148.533,149.267,3621073
2015-12-08,148,148.167,142.7,143.833,8794702
2015-12-09,143.333,145.333,141.933,144.733,6323689
2015-12-10,145.267,147.267,143.2,146.533,6848702
2015-12-11,146.333,147.2,142.933,143.567,6528895
2015-12-16,146.467,151.733,144.9,151.1,8363692
2015-12-17,150.667,150.867,146.667,149.867,9229493
2015-12-18,148.667,149.867,147.467,148.833,7201576
2015-12-21,148.667,154.033,147.8,153.633,4999316
2015-12-22,153.633,155,152.2,153.7,4596821
2015-12-23,155.267,157.6,154.167,157.033,6021352
2015-12-24,158.667,159.867,155.533,155.9,4388542
2015-12-28,156,160.867,156,160.133,5296622
2015-12-29,160,161.233,158.3,159.833,3552853
2015-12-30,160,161.867,159.6,159.933,3927881
2015-12-31,159.667,162.533,156.767,161.167,6598664
2016-01-01,159.933,162.267,158.733,161.667,2771977
2016-01-04,160.667,163.2,157.1,158.7,3125131
2016-01-05,160,162.833,159.367,161.233,3646312
2016-01-06,161.333,161.533,156.433,158.367,3007210
2016-01-07,154,155.933,149.367,151.067,7609385
2016-01-08,152,154.533,150.433,153.433,6898318
2016-01-11,150.667,151.5,148.1,150.333,6413395
2016-01-12,149.333,149.533,146.667,147.567,5543672
2016-01-13,148.667,149.3,145.033,148.8,5384575
2016-01-14,147.3,150.333,144.4,148.833,6523576
2016-01-15,149.6,149.6,145.2,146.3,4512581
2016-01-18,144.667,145.333,140.833,142.933,5734034
2016-01-19,143.733,146.267,141,145.333,3797908
2016-01-20,142.733,143.4,139.467,142.2,6518908
2016-01-21,142.433,143.167,137.3,138.2,8879593
2016-01-22,141.3,144.667,139.867,144.167,7253737
2016-01-25,146.933,147.5,144.367,146.433,4864043
2016-01-27,146.467,147.833,144.667,145.6,6744064
2016-01-28,145.333,147.2,143.5,146.6,8761006
2016-01-29,147.533,151.9,147.333,150.833,12759738
2016-02-01,151.867,151.867,147.7,150.033,3822740
2016-02-02,148.133,149.6,143.6,144.367,6900479
2016-02-03,142.467,144.667,140.2,142.033,4843966
2016-02-04,145.267,147,144.167,146.667,6016540
2016-02-05,146.867,147.9,145.033,146.633,5710669
2016-02-08,146.667,146.8,141.1,142.7,2764109
2016-02-09,140.6,146.367,140.333,145.433,3651745
2016-02-10,142.567,144,140.533,142.333,4066759
2016-02-11,142.533,142.6,133.367,135.433,8787047
2016-02-12,133.333,133.333,125.167,128.833,10102653
2016-02-15,132.4,134.133,129.767,133.567,7157804
2016-02-16,135.767,137.4,132.067,133.3,10491012
2016-02-17,133.333,134.667,131.467,133.567,7290019
2016-02-18,135.767,140.4,135.333,139.4,7799662
2016-02-19,137.967,141.4,137.333,140.767,5419069
2016-02-22,141.333,143.4,140.467,142.933,3601841
2016-02-23,143.8,145.2,141.233,143.067,3593366
2016-02-24,141.867,141.867,138.8,139.6,2618155
2016-02-25,141.6,145.2,139.733,144.167,5778484
2016-02-26,144.933,145.7,142.733,144.033,4205824
2016-02-29,144.833,147.4,128.333,129.4,23809855
2016-03-01,129.267,129.267,125.7,127.667,23118145
2016-03-02,129.6,131.533,128.067,129.967,15524955
2016-03-03,131,133.9,129.167,131.467,16866744
2016-03-04,133.267,136.267,132.667,133.8,22523044
2016-03-08,135.167,137.567,134,134.567,12258795
2016-03-09,134.667,137.333,134.2,136.833,7688815
2016-03-10,139.3,139.3,136.233,137.133,13467872
2016-03-11,138.4,138.4,134.8,136.733,14262114
2016-03-14,138.333,139.333,137.167,138.833,7498646
2016-03-15,137.333,138.6,136.7,138.267,5504455
2016-03-16,138.2,139.167,136.6,137.667,5188654
2016-03-17,139.033,143.267,139,141.5,8394323
2016-03-18,142.5,143.333,141.667,143.067,6776230
2016-03-21,142.667,145,142,144.433,5801744
2016-03-22,144.433,146.1,143.333,144.067,6610556
2016-03-23,144.267,145.167,141.267,143.067,5978227
2016-03-28,144.333,145.8,141.6,142.633,7205974
2016-03-29,143.967,144,140.467,141.5,5003185
2016-03-30,142,146,141.533,145.267,5849822
2016-03-31,143.133,145.033,141.433,142.733,18261629
2016-04-01,143,143.3,138.733,139.2,10266194
2016-04-04,138.967,139.1,136.367,138.2,5494027
2016-04-05,137.333,139,136.033,137,4906771
2016-04-06,137.8,138.667,136,137.4,4317508
2016-04-07,139.367,139.667,137.8,138.5,5045077
2016-04-08,138.533,139.633,137.1,137.433,2418253
2016-04-11,139.067,139.5,136.8,138.4,5192644
2016-04-12,138.567,141.767,138.1,140.9,6343279
2016-04-13,143.333,143.6,141.867,142.233,6437621
2016-04-18,141.167,141.167,137.4,138.367,4950200
2016-04-20,139.267,140.467,138.7,139.9,4820408
2016-04-21,141.433,142.967,141.167,141.967,7037138
2016-04-22,143.933,144.9,141.767,144.067,4497202
2016-04-25,144.3,144.3,141.133,141.533,2813825
2016-04-26,141.467,143.733,140.633,142.867,4140094
2016-04-27,144,149.167,143.933,147.867,10536441
2016-04-28,148.2,150.267,143.5,144.567,11597840
2016-04-29,145.367,147.167,143.733,144.833,6088466
2016-05-02,145.333,147.267,144,145.167,4911860
2016-05-03,146.033,146.467,142,143.533,5806391
2016-05-04,143.2,143.533,140,140.433,4247746
2016-05-05,141.3,142.167,140,140.333,4590194
2016-05-06,140.367,140.433,138.067,138.967,3327823
2016-05-09,139.933,141.667,139.4,141.067,4008649
2016-05-10,141.3,141.3,137.533,138.6,3924151
2016-05-11,137.967,137.967,135.4,136.833,5481086
2016-05-12,138.733,138.967,136.5,137.533,7061336
2016-05-13,137.3,137.3,134.667,135.833,7262069
2016-05-16,136.267,136.6,133.333,135.067,10092504
2016-05-17,137.067,141.333,136.733,140.167,14657427
2016-05-18,140.2,143.533,139.733,142.833,8832224
2016-05-19,142,142.167,139.467,140.033,6740377
2016-05-20,141.2,143.1,140.3,142.067,4576982
2016-05-23,142.8,143,138.333,138.767,5845633
2016-05-24,139,139.133,136.367,137.767,4087501
2016-05-25,139.133,140.5,138.767,140.1,3108448
2016-05-26,140.667,147.433,140.467,144.033,13519850
2016-05-27,145.333,145.933,141.2,142,10044086
2016-05-30,142.667,143.8,142,142.3,4589129
2016-05-31,143.333,143.667,139.867,140.5,8791201
2016-06-01,140.933,142.2,140.067,140.433,4521806
2016-06-02,140.333,142.567,139.433,141.867,4079509
2016-06-03,142.533,143,140.733,141.233,4345934
2016-06-06,141.8,142.233,140.2,140.533,3665348
2016-06-07,141.333,142.633,141.167,141.967,5568472
2016-06-08,143,144.833,142.667,143.833,5491937
2016-06-09,144.7,148.2,144.667,147.1,10532685
2016-06-10,146.667,148.467,144.667,145.467,4451983
2016-06-13,144,144.267,141.667,142.167,2914852
2016-06-14,142.633,143.2,140.8,141.867,3050000
2016-06-15,142.2,143,141.7,142.467,2865533
2016-06-16,142,142.033,140.367,141.133,3296191
2016-06-17,141.767,141.833,140.133,140.5,4717604
2016-06-20,140.433,143.5,140.233,142.567,5253388
2016-06-21,143.867,145.467,143.333,145.033,4754095
2016-06-22,144.967,146.267,144,145.567,4300168
2016-06-23,145.333,146.367,142.8,145.667,4451146
2016-06-24,142.4,142.6,138,139.6,6098569
2016-06-27,138.667,141.567,138.467,140.1,3541858
2016-06-28,140,141.233,139.667,140.9,3242284
2016-06-29,141.833,143.433,141.4,143.167,3248849
2016-06-30,143.867,146.333,143.333,144.2,7536646
2016-07-01,144.6,153.2,144.3,150,8428420
2016-07-04,153,156.867,153,154.7,16861304
2016-07-05,153.733,157.6,152.367,153.833,6551590
2016-07-07,153.833,154.567,150.767,151.067,5971877
2016-07-08,150,150.2,148.167,148.867,3248257
2016-07-11,150,151.733,149.033,150,6210182
2016-07-12,150.067,152.967,150.067,151.933,4319642
2016-07-13,155.767,161.033,154.767,156.1,17397437
2016-07-14,156.267,156.5,152.733,153.7,9416404
2016-07-15,154.067,154.867,152.367,153.5,8673332
2016-07-18,152.667,152.667,144.733,145.733,11088224
2016-07-19,145,148.333,144.667,147.333,10601103
2016-07-20,147.333,149.6,146.5,149.267,9715894
2016-07-21,149.867,151.167,148,148.4,4614313
2016-07-22,148.6,149.1,147.2,148.3,4734196
2016-07-25,147.867,151.467,147.8,151.2,5161390
2016-07-26,151.267,153.067,148.733,149.567,6075611
2016-07-27,149.467,151.667,146.7,148.833,3982969
2016-07-28,148.833,150.2,147.067,147.567,12199316
2016-07-29,148,149.233,146.433,146.733,4943548
2016-08-01,148.2,148.967,145.333,145.867,4868153
2016-08-02,145.833,147.933,145.067,147.4,5714404
2016-08-03,148,148.6,145.333,145.833,6926821
2016-08-04,149.267,149.267,145.767,146.567,5368087
2016-08-05,147.333,151.133,146.867,150.633,4722490
2016-08-08,150.933,151.333,149.433,150.733,3995137
2016-08-09,152.533,153.233,151.4,152.667,11431886
2016-08-10,152.667,154,151,152.7,10287927
2016-08-11,152.5,154.6,151.5,154.267,9320215
2016-08-12,154.867,156.267,153.2,155.733,5870230
2016-08-16,156.667,157.567,154.867,156.8,5039549
2016-08-17,156.933,158.933,156.167,158.533,5430908
2016-08-18,158.867,161.433,158.333,160.9,5751254
2016-08-19,161.533,162.333,160.367,161.067,5606353
2016-08-22,161.067,162.6,158.867,159.567,3785410
