Date,Open,High,Low,Close,Volume
2015-09-07,185.05,189.375,176,177.625,14294
2015-09-08,180,195,174,193.525,47016
2015-09-09,195,200.5,190.025,192.325,22198
2015-09-10,188.025,197,186.275,193.7,6480
2015-09-11,189.8,196.5,189.8,193.525,11286
2015-09-14,197.85,198.45,190.95,197.1,15328
2015-09-15,197,201,191.075,194.975,16410
2015-09-16,191.475,198.3,191.475,192.825,4880
2015-09-18,195.025,198.4,191.5,194.775,7370
2015-09-21,196.95,198,195,197.45,10754
2015-09-22,195.475,199.8,191.5,193.75,5914
2015-09-23,193.5,194.625,187.125,193,3708
2015-09-24,198,198,191.7,195.85,7194
2015-09-28,195.525,199.5,191,197.625,5260
2015-09-29,195.125,205.5,195.125,198.225,18870
2015-09-30,196,201.5,195.6,196.25,13628
2015-10-01,196.25,212,196.25,205.925,42894
2015-10-05,206.05,206.625,200,203.825,10258
2015-10-06,204.95,206.75,200.6,202.375,8968
2015-10-07,205.475,205.5,196.575,202.875,11294
2015-10-08,204.375,204.375,198,202.55,3262
2015-10-09,206,206,200.55,200.55,3582
2015-10-12,202.5,203,196.475,202.325,14668
2015-10-13,206.5,206.5,198,198.85,15206
2015-10-14,200.475,201.85,194,194.85,17984
2015-10-15,199.475,202.5,196.825,199.25,7020
2015-10-16,197.475,200.95,196.75,199,3326
2015-10-19,199.025,205.5,195,203.8,16422
2015-10-20,205,206.95,200.275,203.55,7866
2015-10-21,204.75,206,200,200.825,6124
2015-10-23,204.925,206.625,200.5,201.85,9468
2015-10-26,201.5,204.5,197.8,201.425,3410
2015-10-27,199.7,203.45,197.6,202,2942
2015-10-28,203.45,204.875,197.5,198.15,5036
2015-10-29,196.15,201,195,200.3,4004
2015-10-30,200.3,203.5,198.025,202.6,3570
2015-11-02,203,203,192.65,200.375,10830
2015-11-03,199.975,203,196.25,200.525,9608
2015-11-04,200.025,202.475,187.65,197.25,9620
2015-11-05,197.5,200.5,194.525,197.725,10828
2015-11-06,194.5,199.95,175.675,195.1,93184
2015-11-09,187.55,193.95,187.5,191,12566
2015-11-10,191,194.5,182.55,185.25,22490
2015-11-11,193.45,193.475,189.975,190.9,1142
2015-11-13,190.9,203,190.9,196.525,28422
2015-11-16,195,199.4,192.525,193.675,8672
2015-11-17,191.5,197.5,191.5,196.025,9100
2015-11-18,195,195,192.5,193.225,10884
2015-11-19,196.5,196.5,191.7,192.625,45412
2015-11-20,199,199.975,193.5,193.525,9702
2015-11-23,193.525,195.95,190.125,191.9,19110
2015-11-24,191.75,194.375,185.5,191.6,9824
2015-11-26,190,192.5,189.5,191.875,10258
2015-11-27,191.875,192.5,188.25,189.4,8518
2015-11-30,192.425,192.425,188.525,190.05,5080
2015-12-01,189,193.525,188.75,191.425,10986
2015-12-02,192.5,192.5,189,189.5,8954
2015-12-03,190,190,186.5,187.325,14358
2015-12-04,189.7,189.7,185.525,186.275,6310
2015-12-07,186.275,190.5,183.9,185.1,13754
2015-12-08,187.5,187.5,181.5,182.775,8948
2015-12-09,182.775,184.375,177.025,180.45,6128
2015-12-10,182,185,176.5,184.925,7826
2015-12-11,180.675,184.325,174.25,179.95,18792
2015-12-16,176.175,184,175.65,182.05,4034
2015-12-17,196.7,199.95,185.55,189.375,81244
2015-12-18,189.375,191.5,172.35,189.2,18098
2015-12-21,199.5,199.5,191,193.575,66242
2015-12-22,196.85,196.85,190.5,192.35,22560
2015-12-23,193.675,195.5,190.5,193.55,29432
2015-12-24,194.475,200,194.1,199.175,33762
2015-12-28,197,210,196.625,199.725,86152
2015-12-29,195,204.95,195,197.325,28770
2015-12-30,202.4,202.4,195,195.925,9048
2015-12-31,193.125,197.375,190.5,193.525,9648
2016-01-01,195.625,199.4,192.55,194.325,5800
2016-01-04,192.5,198,191,191.975,6962
2016-01-05,192,192,188.5,190.8,12972
2016-01-06,191.5,193.5,188.05,188.6,10144
2016-01-07,185.825,188.45,181.65,184.675,10268
2016-01-08,185,187.5,182.475,186.675,12658
2016-01-11,191.7,191.7,184.05,190.65,15930
2016-01-12,187.5,190.5,181.5,183.575,9948
2016-01-13,182.6,190,176.025,183.325,13350
2016-01-14,182.225,182.475,176.25,178.725,12014
2016-01-15,182,182,167.5,173.025,11402
2016-01-18,176.5,176.5,165.525,167.35,13136
2016-01-19,165.75,173,165.5,170.475,14442
2016-01-20,169,173.5,162.55,165.2,14076
2016-01-21,171.825,171.825,161.525,163.95,4174
2016-01-22,164.025,173.45,162.5,168.125,12126
2016-01-25,174.5,183.5,170.275,177.85,12172
2016-01-27,183.975,184,178.05,179.25,3036
2016-01-28,182,182.5,179.05,180.125,750
2016-01-29,180.1,180.1,172.55,177.675,6172
2016-02-01,175,181.5,173.525,174.875,5204
2016-02-02,175.5,178.5,172.5,174,5818
2016-02-03,173,174,165.525,172.65,8326
2016-02-04,174.5,179.8,167.625,175.825,15468
2016-02-05,177.5,178.5,173.5,174.1,3976
