Date,Open,High,Low,Close,Volume
2015-09-07,120.85,122.05,115.15,116.5,4047
2015-09-08,115.1,118.85,112.05,114.95,2903
2015-09-09,121,125,116.2,122,6308
2015-09-10,120.65,121.25,116.3,118.15,4864
2015-09-11,122.2,123,118.1,119.9,5105
2015-09-14,122.95,123,111,112,29265
2015-09-15,113.2,115.85,105.65,109.25,56988
2015-09-16,112,112.95,107,108.7,12881
2015-09-18,110,115.5,108.65,112.4,10341
2015-09-21,112.4,125,111.1,120.7,13729
2015-09-22,120.7,122.5,117,117.25,6579
2015-09-23,116,121.65,113,120.85,4070
2015-09-24,121.95,121.95,120,121.05,3042
2015-09-28,117,122.25,115,115.7,4226
2015-09-29,115.25,126.6,115.25,123.55,17832
2015-09-30,136.9,136.9,124.15,127.2,4405
2015-10-01,128.7,132.5,125.15,126.65,4991
2015-10-05,126,129.85,125.35,126.8,4063
2015-10-06,128,132,128,130.25,2953
2015-10-07,129.65,131,127.2,129.05,8382
2015-10-08,128.25,133.6,122.8,125.3,6178
2015-10-09,126.1,127.5,122.3,124.45,2817
2015-10-12,124,130.95,118,122.3,14135
2015-10-13,122.1,129,122.1,127,4014
2015-10-14,127.1,152.4,127.05,149.55,50172
2015-10-15,156,164.45,148.75,152.55,177240
2015-10-16,152.6,154.8,142,145.9,31898
2015-10-19,148.1,152.85,140.75,142.6,17592
2015-10-20,144.95,160.05,144.5,156.85,53608
2015-10-21,156.95,162.5,147,152.5,32962
2015-10-23,156,164.8,150.3,155.25,45141
2015-10-26,159.7,160,146.35,148.9,22571
2015-10-27,149.5,151.5,143,143.5,21455
2015-10-28,145.05,145.35,140.5,142.75,12721
2015-10-29,146.8,154.75,144,146.8,32510
2015-10-30,148.75,151.6,140.75,141.85,17300
2015-11-02,142.55,145.15,136.4,138.75,10510
2015-11-03,140,144.3,137.15,140.25,11725
2015-11-04,140.05,143.5,138.75,139.65,9957
2015-11-05,142.7,143,137.3,139.15,4638
2015-11-06,138.65,141.65,136.5,137.3,7135
2015-11-09,135,139,131.1,137.85,7550
2015-11-10,139.4,150,136.35,139.45,7305
2015-11-11,138.1,143.9,138.05,141.05,2235
2015-11-13,141.05,145,136.55,137.65,3807
2015-11-16,137,139.2,135,137.7,3531
2015-11-17,140.75,141.75,135.2,136.65,4572
2015-11-18,135.55,138.95,135.5,137.45,5352
2015-11-19,138,144.1,137,141.55,13770
2015-11-20,143.75,150,140.15,146.85,15357
2015-11-23,148.55,151.95,143,147.95,9185
2015-11-24,147.45,154.9,147,151.95,17974
2015-11-26,150.05,154,147.5,148.05,10766
2015-11-27,148.5,152,146.3,147.8,10403
2015-11-30,151.25,164,148,154.15,78221
2015-12-01,154.15,161.8,154.15,160.15,47778
2015-12-02,160.15,162.95,156,156.45,27473
2015-12-03,159.7,159.75,151.25,154.75,10283
2015-12-04,154.15,157.8,152.05,154.35,8644
2015-12-07,154.55,156.7,147.1,152.5,9729
2015-12-08,151.05,152.95,145,146.1,15354
2015-12-09,145.05,146.9,140.4,141.55,5782
2015-12-10,141.15,144.9,140,143.35,4819
2015-12-11,144.9,147.7,142.5,143.95,7215
2015-12-16,158.5,162.95,157.05,159.5,38503
2015-12-17,155.2,166.95,155.2,163.1,45414
2015-12-18,163.55,186.5,162.5,182,259563
2015-12-21,183,198.95,179.4,197.15,242924
2015-12-22,196,204.75,187.25,194.4,155132
2015-12-23,193.05,205,185.3,196.95,161947
2015-12-24,193.95,202,190.95,197.4,101315
2015-12-28,197.05,197.05,189,191.05,29606
2015-12-29,186,192,182.1,186.7,59309
2015-12-30,187.1,190.95,177.2,178.75,86416
2015-12-31,177,183,175.25,176.5,77195
2016-01-01,173.3,181.35,173.3,176.35,46997
2016-01-04,173,179.85,169,170.6,24516
2016-01-05,169.05,179.7,169.05,177.5,10773
2016-01-06,178.75,178.8,169.3,171.85,21721
2016-01-07,169.9,171.8,161.65,162.35,31469
2016-01-08,167,176,163.7,173.75,53574
2016-01-11,172,173,164.55,166.5,29920
2016-01-12,168.15,170.95,162,163.45,19794
2016-01-13,165.8,168.95,148,157.3,46943
2016-01-14,154,156.75,148.3,151.35,20840
2016-01-15,153.05,156.95,143.65,146,15783
2016-01-18,149,149,136.3,140.5,26163
2016-01-19,142.95,151,140.25,149.25,22737
2016-01-20,147.05,147.05,136.5,141.05,15986
2016-01-21,146.5,148.45,137.25,139.15,25503
2016-01-22,142.95,158.4,142.5,154.3,22056
2016-01-25,156.95,165.8,154.95,159.35,20300
2016-01-27,163.7,165.35,156.5,159.95,8689
2016-01-28,159.1,162.5,156.6,158.65,4555
2016-01-29,161.55,161.9,150.95,152.85,7440
2016-02-01,155,156.95,145.8,148.1,7726
2016-02-02,148.1,153,145.35,150.15,9713
2016-02-03,145,153.9,145,148.05,4182
2016-02-04,149.2,153,144.15,147.6,17883
2016-02-05,149.9,151,145.6,147.05,8064
2016-02-08,147.1,156,146.6,149.4,18928
2016-02-09,148,151.35,145.05,149.2,12065
2016-02-10,150.95,150.95,139.05,141.1,23366
2016-02-11,147,147,122.35,127.8,21142
2016-02-12,126.05,126.25,115,118.55,26398
2016-02-15,129.2,129.2,122.5,125.6,14810
2016-02-16,126,134.7,116.5,117.5,9262
2016-02-17,123.95,123.95,114.05,118.45,11275
2016-02-18,124,124.8,120,120.85,5826
