Date,Open,High,Low,Close,Volume
2020-10-05,7.3457,8.3984,7.3457,8.3984,20480
2020-10-06,7.8125,7.8125,7.8125,7.8125,10240
2020-10-07,7.8125,7.8125,7.8125,7.8125,10240
2020-10-12,7.7734,7.7734,7.7734,7.7734,655360
2020-10-16,7.7734,7.7734,7.7734,7.7734,655360
2020-10-26,7.8125,9.2969,7.8125,8.2031,112640
2020-11-02,8.125,8.125,8.125,8.125,10240
2020-11-20,7.8125,7.8125,7.8125,7.8125,10240
2020-12-04,7.8125,7.8125,7.8125,7.8125,10240
2020-12-09,8.7891,8.7891,8.7891,8.7891,10240
2020-12-10,7.4219,8.0078,7.2285,8.0078,102400
2020-12-18,8.0078,8.0078,8.0078,8.0078,20480
2020-12-21,6.4063,8.9844,6.4063,7.4219,40960
2021-01-04,7.4609,7.4609,7.4609,7.4609,10240
2021-01-15,7.4219,7.4219,7.4219,7.4219,20480
2021-01-19,7.4219,7.4219,7.4219,7.4219,10240
2021-01-20,7.2266,7.2266,7.2266,7.2266,10240
2021-02-09,7.2266,7.4219,7.2266,7.4219,20480
2021-02-18,6.0078,7.6172,6.0078,7.4219,40960
2021-02-22,7.4219,7.8066,6.0645,7.334,40960
2021-02-23,7.4219,7.4219,7.4219,7.4219,10240
2021-02-24,7.0313,7.0313,7.0313,7.0313,10240
2021-02-25,7.4219,7.4219,7.0313,7.0313,20480
2021-02-26,6.5234,7.0313,6.25,7.0313,51200
2021-03-01,6.4453,6.4453,6.0547,6.25,30720
2021-03-02,6.3281,6.3281,6.25,6.25,20480
2021-03-03,6.0547,6.0547,6.0547,6.0547,61440
2021-03-04,5.9375,6.25,5.5078,5.6641,327680
2021-03-05,5.5078,6.7188,4.8828,6.0273,133120
2021-03-08,5.0781,5.7031,5.0781,5.2266,133120
2021-03-09,5.2344,5.2344,5.1172,5.1172,61440
2021-03-10,5.0781,5.4688,5.0781,5.209,204800
2021-03-12,5.1172,5.625,5.0781,5.3125,153600
2021-03-15,5.3516,5.3516,5.2734,5.3516,92160
2021-03-16,5.2793,5.2832,5.2793,5.2832,20480
2021-03-17,5.3125,6.0156,5.2949,5.5313,163840
2021-03-18,6.0156,6.0156,5.8574,5.8594,30720
2021-03-19,5.8594,5.8594,5.8594,5.8594,10240
2021-03-22,5.5664,5.5664,5.5469,5.5469,163840
2021-03-24,5.5508,5.8594,5.5508,5.6641,51200
2021-03-30,5.4922,5.4922,5.4688,5.4688,727040
2021-03-31,5.8203,5.8203,5.2734,5.4688,757760
2021-04-06,4.6699,5.8281,4.6699,5.6484,40960
2021-04-09,5.8398,6.207,5.8398,6.1895,61440
2021-04-12,5.4727,5.4727,5.4727,5.4727,10240
2021-04-20,4.5703,5.7813,4.5703,5.377,30720
2021-04-22,5.4668,5.4688,5.4668,5.4688,20480
2021-04-26,5.4688,5.4688,5.4688,5.4688,20480
2021-05-04,5.4688,5.4688,5.4688,5.4688,20480
2021-05-05,5.4688,5.8594,5.4688,5.5996,30720
2021-05-06,5.6641,5.6641,5.4746,5.4746,30720
2021-05-11,5.4746,5.4746,5.4746,5.4746,10240
2021-05-14,5.6641,5.6641,5.6641,5.6641,40960
2021-05-17,5.8594,5.8594,4.6875,4.6875,51200
2021-05-18,5.625,5.625,5.625,5.625,20480
2021-05-19,6.25,6.6406,6.25,6.5625,153600
