Date,Open,High,Low,Close,Volume
2025-06-20,634,652,622.25,625.35,16374659
2025-06-23,615.5,634.9,614.25,620.05,2631664
2025-06-24,628.2,639.4,622,632,2167879
2025-06-25,634.7,675.9,630.25,657.7,5856114
2025-06-26,666,696,660.05,677.2,4993014
2025-06-27,682,697.8,661.25,692.7,2525016
2025-06-30,693.5,718,684.25,704.3,2442653
2025-07-01,705,713.4,665,673.55,1871154
2025-07-02,676,682.8,660.1,671,1124982
2025-07-03,672.95,688.2,649.15,684.85,1259572
2025-07-04,684.1,703.9,677.9,693.75,1089991
2025-07-07,698,713.75,690,701.65,1200968
2025-07-08,704,740,700.1,736.9,2644736
2025-07-09,742.2,764.2,731.1,738.3,2940817
2025-07-10,744,754.2,730.25,735.65,1313819
2025-07-11,714.9,725.9,685,689.5,3599076
2025-07-14,692.95,696.8,676.6,683.15,966259
2025-07-15,686,694.8,674.75,680.45,781186
2025-07-16,680.45,693,679.05,685.9,927591
2025-07-17,690,712.15,684,703.95,1672361
2025-07-18,704,729,687.2,724.3,1811755
2025-07-21,735,750.1,721,741.75,2262002
2025-07-22,752,774,736,756.1,2107113
2025-07-23,766,781.15,762.55,769.4,1424100
2025-07-24,769.4,774.9,750.2,757.85,591509
2025-07-25,754.9,760,736.1,743,501215
2025-07-28,739.95,740.95,710,715.15,741440
2025-07-29,710.75,727,692.15,717.75,696292
2025-07-30,726,736.15,717.2,719.8,511285
2025-07-31,703,747,702.05,743.2,702910
2025-08-01,744.95,754.2,721.1,726.2,627601
2025-08-04,732,752.1,718.85,748.8,766823
2025-08-05,785,787.7,747,753.8,2267272
2025-08-06,759.9,765,720.25,730.95,606230
2025-08-07,725,780.8,707.6,776.2,1715111
2025-08-08,782.85,795,769.15,777.3,1351697
2025-08-11,781.9,789.25,757,762,566985
2025-08-12,760,779,755.65,769.45,559597
2025-08-13,775,819,772.95,803.95,1870255
2025-08-14,807.5,807.5,785.15,794.45,516087
2025-08-18,825,825,795.4,807.65,593188
2025-08-19,807.65,857.7,790.9,845.85,1279935
2025-08-20,849,864.7,836.5,852.9,835193
2025-08-21,859,888.4,852.05,865.85,840831
2025-08-22,865,881.8,860.3,873.8,519750
2025-08-25,874,884,840.6,844.35,637801
2025-08-26,844.4,856.3,830,834.95,299398
2025-08-28,831.75,839,809,811.35,464129
2025-08-29,806.05,829.7,788.4,792.55,436249
2025-09-01,798.25,832.05,793.95,828.05,436678
2025-09-02,830,838.65,806.75,816.25,440341
2025-09-03,816.75,846,816.75,837.7,431958
