Date,Open,High,Low,Close,Volume
2015-09-07,132.05,133.5,125.35,128.95,4906
2015-09-08,130,130,126,128.65,5637
2015-09-09,130.25,132.95,129.55,131.55,12259
2015-09-10,130,134.1,128,132.5,8819
2015-09-11,135,136,132,134.7,9400
2015-09-14,135,137.4,130.25,133.8,5303
2015-09-15,132.65,133.95,130.05,132.05,8975
2015-09-16,134.8,135,131.15,132.25,4975
2015-09-18,134.7,134.8,131.6,132.7,8215
2015-09-21,131.6,134,131.55,132.7,10313
2015-09-22,133.05,135,132.1,132.65,6250
2015-09-23,133.65,134,130.45,131.85,7099
2015-09-24,133.85,134,130.5,130.75,9254
2015-09-28,132.3,133.45,130.45,132.25,7919
2015-09-29,131.35,132.5,125.35,129.95,9022
2015-09-30,132.75,134,130.65,131.9,8521
2015-10-01,133.95,134.95,131.2,133.2,9747
2015-10-05,134.05,136.85,132.6,135.9,7893
2015-10-06,135,140,134.15,137.4,13263
2015-10-07,140,141.8,135.15,137.6,16531
2015-10-08,136.1,140,136.1,139.15,12504
2015-10-09,140.4,142.4,138.9,140.5,17953
2015-10-12,143.05,146.45,138.25,141.65,13274
2015-10-13,144.75,145,140.5,141.25,6066
2015-10-14,143.45,144.05,139.1,140,6613
2015-10-15,141.1,143.45,139.1,140.65,11481
2015-10-16,141.1,143.8,135.2,136.5,25431
2015-10-19,138.1,140.9,135,138.25,17554
2015-10-20,138.75,141.6,137.2,138.05,170335
2015-10-21,140.25,142.55,139,140.5,13914
2015-10-23,142.6,158.6,139.85,147.65,425688
2015-10-26,151,158.85,147.65,149.15,63539
2015-10-27,148.8,149.3,141.5,143.1,16812
2015-10-28,142.95,148.95,142,145.55,13901
2015-10-29,144.6,145.4,141.35,142.25,8252
2015-10-30,144.65,148.7,139.95,140.75,13175
2015-11-02,141.8,142,135.35,137.9,25772
2015-11-03,138.65,140.35,134.25,138.05,14725
2015-11-04,138.95,139.5,136,136.4,8098
2015-11-05,136.45,139,134.5,135.1,7969
2015-11-06,137,137,132.1,132.9,8333
2015-11-09,128,130.5,127.1,128.95,21413
2015-11-10,129.55,132.4,128,128.95,18882
2015-11-11,133.7,133.7,131.5,132.8,2001
2015-11-13,147,147,132,133.05,20103
2015-11-16,129.25,136.5,129.25,135.05,12158
2015-11-17,134.5,137,130.1,136.1,20278
2015-11-18,135.45,138,133.7,136,13572
2015-11-19,134.15,141.2,134.15,140.1,13479
2015-11-20,139.05,140.5,139.05,139.9,5991
2015-11-23,139.15,142.3,136.1,139.8,28876
2015-11-24,144.95,144.95,139.8,142.6,10113
2015-11-26,143,145,136.85,140.1,19868
2015-11-27,142.55,142.85,140,140.2,6651
2015-11-30,142.4,146.1,140.8,145.05,11663
2015-12-01,144,146.8,141.75,144.1,9470
2015-12-02,143,146.6,141.1,144.6,8734
2015-12-03,143.55,146.2,143.15,144,6482
2015-12-04,143.05,172.8,140.25,153.5,137981
2015-12-07,155,156.95,146,147.35,27123
2015-12-08,148.8,150.9,138.3,139.25,23249
2015-12-09,141.95,142,134,135.95,15719
2015-12-10,135.25,140,133.65,139.2,13293
2015-12-11,140,140,135.1,136.4,6430
2015-12-16,138.95,139.25,137,137.6,7450
2015-12-17,137.55,139.65,137.45,138.05,7172
2015-12-18,137.95,139.15,136.2,136.95,7142
2015-12-21,137.5,138.65,137.25,137.55,4977
2015-12-22,138.45,140,137.6,138.65,9834
2015-12-23,139.9,140,136.65,137.55,8426
2015-12-24,139.25,139.95,137.25,137.75,5771
2015-12-28,136.1,140,136.1,138.9,20233
2015-12-29,139.85,139.9,136.5,136.7,8871
2015-12-30,138.45,138.45,135,135.4,11934
2015-12-31,137.55,137.75,133.1,134.2,8583
2016-01-01,135.75,136.95,135,136.05,4700
2016-01-04,136.25,136.45,134.15,134.8,7562
2016-01-05,134.95,137.25,134.3,135.4,6946
2016-01-06,136,142.4,135.6,136.2,39917
2016-01-07,136.2,136.2,128.6,129.35,22713
2016-01-08,133.9,134.8,129.7,132.8,9265
2016-01-11,136,136,128.8,129.45,7028
2016-01-12,131.85,131.85,128,128.4,15390
2016-01-13,126.5,130.7,126,128.15,19761
2016-01-14,128,128.85,126.2,127.4,13762
