Date,Open,High,Low,Close,Volume
2015-09-07,2.3,2.3,1.9,2,33015
2015-09-08,2.3,2.3,1.8,2.15,13401
2015-09-09,2.3,2.3,1.9,2.1,16673
2015-09-10,1.95,2.25,1.95,2.25,2834
2015-09-11,2,2.7,2,2.2,59251
2015-09-14,2.2,2.25,2.1,2.25,6960
2015-09-15,2.15,2.25,2.15,2.25,560
2015-09-16,2.25,2.25,2.1,2.2,5300
2015-09-18,2.15,2.25,2.1,2.25,51246
2015-09-21,2.1,2.65,2.1,2.3,7176
2015-09-22,2.45,2.45,2.15,2.2,3854
2015-09-23,2.15,2.45,2.15,2.2,14584
2015-09-24,2.15,2.35,2.1,2.3,13800
2015-09-28,2.45,2.45,2.15,2.2,12441
2015-09-29,2.2,2.25,2.1,2.2,12473
2015-09-30,2.45,2.45,2.1,2.25,14341
2015-10-01,2.3,2.3,2,2.25,13125
2015-10-05,2.2,2.4,2.15,2.25,7694
2015-10-06,2.15,2.4,2.15,2.2,1550
2015-10-07,2.15,2.4,2.15,2.2,8541
2015-10-08,2.15,2.4,2.15,2.3,3297
2015-10-09,2.2,2.25,2.15,2.25,6528
2015-10-12,2.25,2.4,2.2,2.2,1701
2015-10-13,2.2,2.4,2.1,2.2,7271
2015-10-14,2.1,2.4,2.1,2.15,3853
2015-10-15,2.15,2.55,2.1,2.3,18110
2015-10-16,2.25,2.45,2.2,2.2,7074
2015-10-19,2.2,2.25,2.15,2.2,9254
2015-10-20,2.2,2.3,2.1,2.15,29826
2015-10-21,2.1,2.2,2.1,2.15,8459
2015-10-23,2,2.2,2,2.15,8235
2015-10-26,2.1,2.2,2.05,2.15,30952
2015-10-27,2.2,2.2,2.1,2.2,22400
2015-10-28,2.35,2.35,2.1,2.2,15430
2015-10-29,2.2,2.3,2.05,2.2,22392
2015-10-30,2.35,2.35,2.25,2.25,11621
2015-11-02,2.05,2.2,2.05,2.15,16055
2015-11-03,2,2.4,2,2.15,40192
2015-11-04,2.15,2.25,2.05,2.2,10331
2015-11-05,2.05,2.3,2.05,2.15,2005
2015-11-06,2.25,2.25,2.2,2.2,10150
2015-11-09,1.9,2.2,1.9,2.2,9041
2015-11-10,2.05,2.3,2.05,2.15,16301
2015-11-13,2.05,2.45,2,2.25,38509
2015-11-16,2.25,2.3,2.15,2.2,21240
2015-11-17,2.1,2.4,2,2.15,6594
2015-11-18,2.25,2.3,2.05,2.15,19294
2015-11-19,2.05,2.25,2.05,2.2,4660
2015-11-20,2.35,2.35,2.1,2.1,14807
2015-11-23,2.15,2.3,2.05,2.25,26575
2015-11-24,2.15,2.3,2.15,2.3,16596
2015-11-26,2.65,2.65,2.15,2.3,20218
2015-11-27,2.25,2.3,2.15,2.3,9872
2015-11-30,2.2,2.25,2.15,2.25,6100
2015-12-01,2.15,2.45,2.15,2.25,42523
2015-12-02,2.2,2.5,2.2,2.35,27002
2015-12-03,2.25,2.65,2.25,2.45,42786
2015-12-04,2.45,2.55,2.45,2.5,22630
2015-12-07,2.55,2.55,2.3,2.4,8480
2015-12-08,2.5,2.5,2.4,2.4,21900
2015-12-09,2.2,2.5,2.2,2.4,2851
2015-12-10,2.25,2.45,2.2,2.45,2105
2015-12-11,2.3,2.5,2.25,2.3,2637
2015-12-16,2.1,2.6,2.1,2.55,29775
2015-12-17,2.5,2.65,2.5,2.55,19844
2015-12-18,2.55,2.65,2.5,2.6,18196
2015-12-21,2.6,3.1,2.6,3.1,100602
2015-12-22,3.4,3.4,3.35,3.4,142606
2015-12-23,3.65,3.7,3.5,3.7,47522
2015-12-24,4.05,4.05,4.05,4.05,30148
2015-12-28,4.25,4.25,4.25,4.25,43012
2015-12-29,4.45,4.45,4.45,4.45,18088
2015-12-30,4.65,4.65,4.5,4.65,337915
2015-12-31,4.85,4.85,4.8,4.85,40386
2016-01-01,5.05,5.05,5.05,5.05,23126
2016-01-04,5.3,5.3,4.8,4.8,232560
2016-01-05,4.6,4.6,4.6,4.6,70578
2016-01-06,4.4,4.4,4.4,4.4,19420
2016-01-07,4.2,4.2,4.2,4.2,17570
2016-01-08,4,4.3,4,4.05,179498
2016-01-11,3.85,4,3.85,3.9,50855
2016-01-12,3.9,4.05,3.8,4.05,64164
2016-01-13,4.25,4.25,3.85,4.05,120309
2016-01-14,3.85,4.15,3.85,3.95,75929
2016-01-15,4.1,4.1,3.8,3.8,80670
2016-01-18,3.8,3.8,3.65,3.75,38026
2016-01-19,3.85,3.85,3.6,3.6,25664
2016-01-20,3.45,3.7,3.45,3.45,32083
2016-01-21,3.5,3.6,3.5,3.6,15195
2016-01-22,3.75,3.75,3.75,3.75,4680
2016-01-25,3.9,3.9,3.65,3.9,23681
2016-01-27,4.05,4.05,3.75,3.75,29069
2016-01-28,3.7,3.8,3.65,3.75,5750
2016-01-29,3.65,3.8,3.65,3.8,6624
2016-02-01,3.7,3.7,3.65,3.65,51159
2016-02-02,3.5,3.5,3.5,3.5,20828
2016-02-03,3.5,3.65,3.35,3.45,58889
2016-02-04,3.3,3.6,3.3,3.35,70998
2016-02-05,3.35,3.35,3.05,3.05,127990
2016-02-08,2.95,3,2.75,2.75,44793
2016-02-09,2.6,2.9,2.6,2.75,34906
2016-02-10,2.85,2.85,2.6,2.75,2485
2016-02-11,2.65,2.8,2.65,2.65,43056
2016-02-12,2.65,2.75,2.55,2.55,36811
2016-02-15,2.6,2.65,2.6,2.65,2092
2016-02-16,2.75,2.75,2.65,2.75,30334
2016-02-17,2.75,2.85,2.65,2.65,40250
2016-02-18,2.75,2.75,2.75,2.75,17678
2016-02-19,2.75,2.85,2.75,2.85,26400
2016-02-22,2.75,2.95,2.75,2.95,38345
2016-02-23,2.9,2.95,2.85,2.95,6578
2016-02-24,2.9,3,2.9,2.95,41909
