Date,Open,High,Low,Close,Volume
2024-09-18,110,114,106,107.3,32400
2024-09-19,108.55,108.55,104,104.1,21600
2024-09-20,105,106.2,103.05,106.2,19200
2024-09-23,106,106.2,105.5,105.5,10800
2024-09-24,106,107.5,106,106.9,8400
2024-09-25,105.5,107.9,104,104.7,22800
2024-09-26,105,105,104.95,105,4800
2024-09-27,103.25,104,103,103.5,9600
2024-09-30,105,110.1,105,106.65,32400
2024-10-01,104,112.4,103.65,108.5,26400
2024-10-03,105.55,112,104.65,109,34800
2024-10-04,111.4,111.4,105,108,21600
2024-10-07,106,108.5,104,108.25,10800
2024-10-08,109.1,109.9,104.05,107.95,20400
2024-10-09,105.25,108.5,105.25,108.5,2400
2024-10-10,106,108.45,106,108.4,4800
2024-10-11,108.4,108.4,105.5,105.5,4800
2024-10-14,105.5,105.5,104.15,104.3,9600
2024-10-15,104.15,104.15,102.1,103.95,7200
2024-10-17,103,103,100,100.05,8400
2024-10-18,96.55,100.55,96.55,100.5,6000
2024-10-21,97.5,97.55,96.8,97.4,8400
2024-10-22,93.55,93.55,93.5,93.5,3600
2024-10-23,96,97.6,96,97.6,4800
2024-10-25,108,108,86.1,99.3,8400
2024-10-28,92,96,92,96,3600
2024-10-29,95.1,97.05,95.1,97.05,3600
2024-10-30,103.7,103.7,103.55,103.55,3600
2024-11-04,103.55,103.55,103.5,103.5,2400
2024-11-06,102.5,108,95.55,102.3,15600
2024-11-07,104.95,105,104.95,104.95,2400
2024-11-08,106,106.55,97.05,102,7200
2024-11-11,99,99.35,98.5,99.25,7200
2024-11-12,96.1,98,96.1,98,3600
2024-11-13,98,104,98,101.8,10800
2024-11-14,100.05,100.05,100.05,100.05,6000
2024-11-18,90.05,105.05,90.05,105.05,16800
2024-11-19,101.05,107.95,101.05,104.5,21600
2024-11-21,107.6,108,105.9,105.95,13200
2024-11-29,105.3,110,98.2,109,32400
2024-12-02,108,108,104.1,104.1,3600
2024-12-03,101.05,101.05,101.05,101.05,1200
2024-12-04,100.05,101,100.05,100.55,6000
2024-12-06,99.25,99.25,99.25,99.25,1200
2024-12-11,100,100,100,100,1200
2024-12-12,92.05,96,92.05,95.75,4800
2024-12-13,98.9,98.9,98.25,98.25,2400
2024-12-16,97,97,97,97,2400
2024-12-17,97,101,97,101,3600
2024-12-19,101,106,101,102,13200
2024-12-20,97.05,98,97.05,98,4800
2024-12-26,90.5,90.5,90.5,90.5,1200
2024-12-27,92,92,92,92,1200
2024-12-31,92,92.2,92,92.2,13200
2025-01-01,96,96,96,96,1200
2025-01-02,96,96.5,96,96.5,4800
2025-01-08,98.9,99.5,98.9,99.05,9600
2025-01-09,99,99,92.5,92.5,3600
2025-01-10,106,111,94.35,101.9,62400
2025-01-13,96,96,95.45,95.45,4800
2025-01-14,97,97,94.1,94.1,3600
2025-01-15,94.2,94.2,94.2,94.2,3600
2025-01-16,94.2,94.2,94.2,94.2,3600
2025-01-17,91.85,104.1,91.85,104.1,7200
2025-01-22,93,93,89.65,90,12000
2025-01-23,94,94,94,94,1200
2025-01-24,87.55,87.55,87.55,87.55,1200
2025-01-28,87.55,89.95,71,89.95,7200
2025-01-29,90,94.45,90,94.45,3600
2025-01-30,85.3,85.3,85.3,85.3,2400
2025-01-31,86.65,87.55,86.65,87.45,4800
2025-02-01,84.5,84.5,84.5,84.5,1200
2025-02-03,99,99,99,99,1200
2025-02-05,86.75,91.3,86.75,90.7,6000
2025-02-06,88,88,88,88,2400
2025-02-07,90.9,96,90.9,96,3600
2025-02-13,88,89,87.5,88.6,38400
2025-02-14,88.6,89,75,89,30000
2025-02-17,76,82.5,76,82.5,2400
2025-02-18,90,90,85,85,12000
2025-02-19,95,95,95,95,8400
2025-02-20,85.05,85.1,85,85,6000
2025-02-24,83,98.95,82.7,82.7,8400
2025-02-25,84,84,84,84,1200
2025-02-27,82.9,82.9,82.9,82.9,1200
2025-02-28,83.5,84,83.5,83.8,3600
2025-03-03,82.35,82.35,82.35,82.35,1200
2025-03-04,82.5,82.5,82.5,82.5,1200
2025-03-05,81,81,81,81,3600
2025-03-06,82.1,84,82.1,83,6000
2025-03-07,83.15,85,82,84.9,7200
2025-03-10,85.1,85.1,80,80.25,9600
2025-03-11,80.25,80.25,76,77.25,9600
2025-03-12,77,77,76.6,76.6,3600
2025-03-13,87.3,87.3,78,78,6000
2025-03-17,83.95,83.95,78.05,78.05,6000
2025-03-18,75.75,79.95,75.75,79.95,7200
2025-03-19,80,80,72.5,76.15,6000
2025-03-20,75.05,75.05,72.2,74.6,10800
2025-03-21,71.3,73,71,72.5,8400
2025-03-24,72.5,72.5,68.25,68.65,26400
2025-03-25,66.6,78,63.6,73.6,70800
2025-03-26,68,70,68,68.75,42000
2025-03-27,67.6,74.45,63.7,64.4,75600
2025-03-28,65,76,65,69.15,51600
2025-04-02,75.95,75.95,75.5,75.5,2400
2025-04-03,77.75,89.5,72.25,86.7,39600
2025-04-04,84,84,84,84,1200
2025-04-08,88,88,88,88,1200
2025-04-09,87.9,87.9,87.9,87.9,2400
2025-04-11,89.75,93.75,89,91.7,19200
2025-04-15,96.1,108.95,96.1,100.5,22800
2025-04-16,105,105,100,102,9600
2025-04-17,102,107.85,102,106.85,43200
2025-04-21,103,105,100.05,100.05,15600
2025-04-22,100.5,103.45,97.5,97.5,15600
2025-04-23,100,104,100,103,8400
2025-04-24,104.95,104.95,101,102.5,4800
2025-04-25,102.5,102.5,89.95,90.85,46800
2025-04-28,93,94,93,93,6000
2025-04-30,103,103,97.05,98.7,12000
2025-05-02,92.05,94.55,92.05,93.35,4800
2025-05-05,95,95,95,95,1200
2025-05-06,95,95,95,95,1200
2025-05-07,98,98,98,98,2400
2025-05-08,85,96,85,96,7200
2025-05-09,91,92.5,88,88,7200
2025-05-12,91,91,90.5,90.9,4800
2025-05-13,91,91,91,91,1200
2025-05-15,91,91,91,91,1200
2025-05-19,95.8,95.8,92,92,4800
2025-05-20,101.95,101.95,97,99.9,19200
2025-05-21,101.95,102.05,98.05,98.55,19200
2025-05-22,102,102,98.25,100,8400
2025-05-23,97,102.95,97,101.15,8400
2025-05-26,101,103,101,101.25,6000
2025-05-28,101,101,100,100,2400
2025-06-02,101,101,95.4,99.85,3600
2025-06-03,99.85,99.85,96.85,98,18000
2025-06-04,100,100.9,100,100.9,6000
2025-06-05,100.9,104,100.9,102.35,9600
2025-06-06,102.9,104,99.1,102.25,13200
2025-06-09,106,106,100.05,104,7200
2025-06-10,104.95,104.95,100.1,100.1,8400
2025-06-12,100.5,100.5,100.5,100.5,1200
2025-06-13,98,98,97,97,10800
2025-06-16,96.5,100.9,96,98,7200
2025-06-18,101,101,95.05,95.05,3600
2025-06-19,97.95,97.95,97.95,97.95,4800
2025-06-20,102,102,96.3,97.15,3600
2025-06-23,85.05,90,85.05,90,2400
2025-06-25,94.95,96,94.95,96,3600
2025-06-27,97.8,97.8,97,97,2400
2025-06-30,98.5,98.5,97,97.3,4800
2025-07-01,97,98,97,97.5,6000
2025-07-04,97,97,97,97,1200
2025-07-07,90,90.05,85.25,85.7,10800
2025-07-09,87.1,87.1,87.05,87.05,2400
2025-07-11,87.05,87.05,87.05,87.05,1200
2025-07-14,84.9,84.9,84.9,84.9,3600
2025-07-15,85,95.6,85,95.55,3600
2025-07-16,95.4,95.4,95.4,95.4,1200
2025-07-17,83,88,83,88,3600
2025-07-23,84.1,92,84.1,90.35,7200
2025-07-24,88,91,87.6,91,3600
2025-07-28,85.15,85.4,84.4,85.1,7200
2025-07-29,86.05,86.05,85.1,85.1,4800
2025-07-31,85,93,85,85.65,4800
2025-08-01,84.8,84.8,84.8,84.8,1200
2025-08-04,88.45,90,88.45,90,4800
2025-08-08,78.4,83.5,76.1,81.2,20400
2025-08-11,76.05,78,76.05,78,2400
2025-08-12,84.35,84.35,84,84,27600
2025-08-14,90.8,90.8,90.8,90.8,3600
2025-08-18,87.55,88.5,82.2,83.3,10800
2025-08-19,85.2,85.5,85.2,85.5,3600
2025-08-21,83,83,83,83,1200
2025-08-29,88,88.2,85.1,85.1,6000
2025-09-01,79.05,82,79.05,82,2400
2025-09-02,82,87,82,87,2400
