Date,Open,High,Low,Close,Volume
2021-10-01,234.5,246.22,230,246.22,4264066
2021-10-04,258.52,258.52,258.52,258.52,459332
2021-10-05,271.45,271.45,271.45,271.45,1197282
2021-10-06,285,285,285,285,175770
2021-10-07,299.25,299.25,299.25,299.25,41854
2021-10-08,314.2,314.2,314.2,314.2,37610
2021-10-11,329.9,329.9,329.9,329.9,25372
2021-10-12,346.38,346.38,313.42,313.42,1545204
2021-10-13,297.77,297.77,297.77,297.77,265938
2021-10-14,287.72,312.65,287.72,312.65,1724484
2021-10-18,321.95,375.18,308.58,375.18,7341634
2021-10-19,415.5,450.2,405.9,450.2,3332700
2021-10-20,489,495.2,412.82,495.2,12311854
2021-10-21,495.2,544.7,467.68,544.7,8355340
2021-10-22,589.35,599.15,576.8,599.15,532496
2021-10-25,622.5,629.1,569.2,569.2,2016522
2021-10-26,540.75,540.75,540.75,540.75,162468
2021-10-27,531.05,539,513.72,513.72,1632762
2021-10-28,488.05,488.05,488.05,488.05,94226
2021-10-29,463.65,463.65,463.65,463.65,99096
2021-11-01,440.48,440.48,440.48,440.48,96422
2021-11-02,418.48,418.48,418.48,418.48,114232
2021-11-03,419.5,439.38,397.58,399.1,9720942
2021-11-04,406.95,412.5,390.02,407.8,1130274
2021-11-08,410,412.4,387.42,387.42,1264898
2021-11-09,377.15,406.78,371.18,406.78,6539804
2021-11-10,406.5,418.75,399,402.32,3067372
2021-11-11,404,406,391.2,394.8,1466048
2021-11-12,399,403.5,392.32,394.52,776694
2021-11-15,406,410,392.85,394.58,1170706
2021-11-16,395,399,387.5,388.12,806282
2021-11-17,389,389,375.5,376.65,975610
2021-11-18,377.6,384.1,358.05,360.68,955226
2021-11-22,363,363.65,342.65,342.65,890626
2021-11-23,332.6,353.45,325.52,341.22,2383982
2021-11-24,343.35,358.28,342.02,358.28,441126
2021-11-25,367.48,376.18,366.48,376.18,1701674
2021-11-26,384,394.98,377.5,387.08,3511984
2021-11-29,377.5,379.32,367.72,367.72,675530
2021-11-30,355,366.35,351.15,352.62,902990
2021-12-01,358,363.95,353.12,355.95,442074
2021-12-02,355.95,373.72,355,373.72,601972
2021-12-03,381.5,392.4,373.5,379.95,1789558
2021-12-06,380.1,383.98,363.4,365.35,805580
2021-12-07,373,380.4,365.88,369.12,847756
2021-12-08,372.4,378,366.98,368,525930
2021-12-09,373,373.48,367.5,368.35,364876
2021-12-10,369,371.98,363.7,365.68,403220
2021-12-13,368.2,375,362.5,364.25,512426
2021-12-14,364.5,372,361,362.92,391784
2021-12-15,363.08,365.85,355.5,357.85,343222
2021-12-16,357,362.18,350,351.25,417246
2021-12-17,357,357,341.75,345.95,430648
2021-12-20,342.7,345,325.08,331.88,522052
2021-12-21,333.05,347,333.05,340.08,393286
2021-12-22,344.5,357,344.5,349.85,492956
2021-12-23,353.5,356.5,347.52,349.08,235318
2021-12-24,348.7,352.22,341.5,343,332770
2021-12-27,325.5,377.3,325.5,366.45,923766
2021-12-28,385,394.95,370.72,376.78,2514368
2021-12-29,379,379.35,367.25,369.05,603368
2021-12-30,369.05,387.5,366.6,371.25,682872
2021-12-31,374,375.82,369,371.5,324570
2022-01-03,371.5,378,367.68,370.35,582774
2022-01-04,372,372.95,365.52,366.72,335850
2022-01-05,367,369.4,361.2,362.38,297506
2022-01-06,355.25,368.48,355.25,363.22,493226
2022-01-07,367.35,373,361.5,363.3,572772
2022-01-10,364,366.18,359.65,361.28,388044
2022-01-11,362.35,377.4,359.32,368.22,1054606
2022-01-12,370,373.45,364.38,366.05,293186
2022-01-13,369.5,369.5,360,362.55,281496
2022-01-14,362.55,371,360.78,366.12,430436
2022-01-17,369.15,369.72,364.25,364.9,379242
2022-01-18,366.48,367.38,355,356.3,369528
2022-01-19,355,355,345,349.2,457086
2022-01-20,347,352.32,346.98,348.85,279128
2022-01-21,349.45,351.98,342.65,344.55,268334
2022-01-24,342.42,342.52,327.5,331.8,558904
2022-01-25,325,342.25,320,339.68,443226
2022-01-27,340,340,331,336,296988
2022-01-28,336,340.38,332.5,333.48,277030
2022-01-31,342.5,361,335.95,355.98,924102
2022-02-01,360,367.5,347.22,351.22,1155794
2022-02-02,355.95,361.95,353.02,355.85,376242
2022-02-03,357.5,358.5,350.85,351.28,227622
2022-02-04,351,352.88,346.52,347.48,182390
2022-02-07,352,352.35,343.3,345.08,166636
2022-02-08,346,349.55,336.52,340.1,219228
2022-02-09,343,349.28,343,345.75,130384
2022-02-10,357.5,357.75,338.58,340.95,590012
2022-02-11,338.45,342.5,335,335.62,218014
2022-02-14,332.5,334.32,324,326.32,308066
2022-02-15,327.5,334.52,325.22,331.82,209202
2022-02-16,335,337.9,330,332.1,168278
2022-02-17,335,336.65,328.28,329.8,162946
2022-02-18,329.8,329.8,326.12,327.02,95894
2022-02-21,327,327,315,315.92,212700
2022-02-22,312.25,312.25,303.5,306.48,265282
2022-02-23,307.5,313.98,307.5,309.22,129322
2022-02-24,295,301.7,280.35,282.8,554934
2022-02-25,287.8,306.7,287.8,302.45,357750
2022-02-28,302.5,321,295.55,316.2,380454
2022-03-02,312.5,324.92,311.18,320.65,313006
2022-03-03,329.25,329.25,320,320.42,290300
2022-03-04,320,320.32,310.05,313.3,160430
2022-03-07,307.4,314.92,303.32,310.18,332078
2022-03-08,310,324,309.02,315.77,216614
2022-03-09,322.5,322.8,317.5,321.2,130050
2022-03-10,327.5,328.3,320.5,321.32,249256
2022-03-11,325,328.95,322.5,325.88,241800
2022-03-14,325.88,328.85,321.5,322.25,148558
2022-03-15,325.82,328.5,316.42,318.62,170414
2022-03-16,320,333,320,322.12,317704
2022-03-17,325.98,330,322.5,324.52,350506
2022-03-21,327.98,332.42,320.45,325.8,353858
2022-03-22,327.3,328.7,317.75,320.05,302444
2022-03-23,337.48,354.5,334.48,342.3,2885264
2022-03-24,341.9,341.9,332.6,334.38,372804
2022-03-25,337.48,341.3,325,325.9,331600
2022-03-28,327.95,328.35,318,319.25,271238
2022-03-29,321.85,324.75,312.5,314.3,345556
2022-03-30,318.45,323.32,315,315.95,269952
2022-03-31,316.45,319.98,311.5,312.85,224560
