Date,Open,High,Low,Close,Volume
2021-03-24,8.3,8.35,8.3,8.3,112000
2021-03-25,8.25,8.25,8.25,8.25,160000
2021-03-26,8.25,8.25,8.25,8.25,64000
2021-03-30,8.3,8.3,8.25,8.3,64000
2021-03-31,8.25,8.25,8.25,8.25,112000
2021-04-01,8.25,8.25,8.25,8.25,96000
2021-04-05,8.25,8.25,8.25,8.25,192000
2021-04-06,8.25,8.25,8.25,8.25,128000
2021-04-07,8.25,8.25,8.25,8.25,112000
2021-04-08,8.25,8.25,8.25,8.25,64000
2021-04-09,8.25,8.25,8.25,8.25,128000
2021-04-12,8.25,8.25,8.25,8.25,416000
2021-04-13,8.25,8.25,8.25,8.25,16000
2021-04-15,8.25,8.25,8.25,8.25,144000
2021-04-16,8.25,8.3,8.25,8.3,112000
2021-04-19,8.25,8.25,8.25,8.25,32000
2021-04-20,8.25,8.25,8.25,8.25,48000
2021-04-22,8.25,8.25,8.25,8.25,80000
2021-04-23,8.25,8.3,8.25,8.3,96000
2021-04-26,8.25,8.25,8.25,8.25,96000
2021-04-27,8.25,8.25,8.25,8.25,64000
2021-04-28,8.25,8.25,8.25,8.25,128000
2021-04-29,8.25,8.3,8.25,8.3,80000
2021-04-30,8.3,8.3,8.25,8.25,64000
2021-05-03,8.25,8.4,8.25,8.4,48000
2021-05-04,8.25,8.4,8.25,8.4,96000
2021-05-05,8.3,8.3,8.25,8.25,64000
2021-05-06,8.25,8.25,8.25,8.25,32000
2021-05-07,8.25,8.35,8.25,8.35,32000
2021-05-10,8.25,8.35,8.25,8.25,48000
2021-05-11,8.25,8.25,8.25,8.25,32000
2021-05-12,8.25,8.25,8.25,8.25,16000
2021-05-14,8.4,8.4,8.25,8.25,48000
2021-05-17,8.25,8.25,8.25,8.25,16000
2021-05-18,8.25,8.25,8.25,8.25,48000
2021-05-20,8.25,8.6,8.25,8.3,128000
2021-05-21,8.25,8.25,8.25,8.25,16000
2021-05-24,8.6,8.6,8.4,8.4,32000
2021-05-25,8.4,8.4,8.35,8.35,64000
2021-05-26,8.35,8.35,8.3,8.35,48000
2021-05-27,8.35,8.35,8.35,8.35,32000
2021-05-28,8.35,8.35,8.35,8.35,16000
2021-05-31,8.3,8.3,8.25,8.25,32000
2021-06-01,8.35,8.4,8.35,8.4,64000
2021-06-02,8.35,8.35,8.35,8.35,16000
2021-06-03,8.35,8.35,8.35,8.35,16000
2021-06-04,8.35,8.4,8.25,8.3,64000
