Date,Open,High,Low,Close,Volume
2015-09-07,49.9,51.4,48.5,48.9,315828
2015-09-08,49,50,48.6,49.1,59085
2015-09-09,51.7,51.7,48.5,48.6,54237
2015-09-10,48,49.95,48,49.5,17473
2015-09-11,49.5,50.75,48.5,49,43173
2015-09-14,49,50.5,48.5,49.95,98316
2015-09-15,49.5,50.7,49.1,50.15,94069
2015-09-16,49.65,50.5,49,49.45,77598
2015-09-18,49.1,50.25,47.3,49.45,278710
2015-09-21,49,51.55,48.5,51.2,171748
2015-09-22,51.55,51.55,49.95,50.5,55293
2015-09-23,50.5,51.35,49.2,51.1,42651
2015-09-24,51.95,56.8,51,53.6,1244448
2015-09-28,54,54,51.05,52.5,171171
2015-09-29,51,52.5,50.8,51.85,72153
2015-09-30,51.25,52.65,50.8,52.25,29968
2015-10-01,52.5,52.75,51.05,51.95,55023
2015-10-05,51.4,52.4,50.25,51.95,67494
2015-10-06,51.6,51.6,49.6,50.4,79688
2015-10-07,51,53,50.25,51.85,101596
2015-10-08,52.5,52.5,49.4,49.65,28022
2015-10-09,50.5,51,49.5,50.1,24327
2015-10-12,49.7,50.45,49.25,49.45,12450
2015-10-13,49.05,50.9,49.05,50.05,14800
2015-10-14,49.75,50.25,48.55,48.85,16573
2015-10-15,49,49.55,48.9,49.15,14365
2015-10-16,48.7,50.35,48.5,49.5,35616
2015-10-19,49.2,50.85,48.55,50.35,37805
2015-10-20,50,51.9,49.1,50,47967
2015-10-21,49.6,51.25,49.6,50.95,55859
2015-10-23,50.55,51,49.55,49.85,6645
2015-10-26,49.6,51.45,48.65,49.7,106671
2015-10-27,49.4,49.85,46.95,48.1,32913
2015-10-28,48,51.4,48,50.3,72283
2015-10-29,51,55.3,49.2,54.35,161768
2015-10-30,54.05,57,54.05,55,170778
2015-11-02,54.7,55.3,52.65,55,67768
2015-11-03,54.7,54.7,50.55,51.8,55147
2015-11-04,54.85,55.6,51,55,1463196
2015-11-05,55,55.65,53.25,54.95,548589
2015-11-06,53.3,55,53.3,54.15,7868
2015-11-09,53,54.8,51.65,54,12035
2015-11-10,53.7,55,52.5,53,8388
2015-11-11,53,54.05,51.65,53.5,7817
2015-11-13,53,54.9,51.5,52.75,34987
2015-11-16,52.75,54,51.8,52.35,14173
2015-11-17,53.2,54.95,51.55,52.6,18983
2015-11-18,53,53,50.5,51.55,23104
2015-11-19,52.4,52.4,50.65,50.9,17199
2015-11-20,51.05,51.95,48.55,49.35,41346
2015-11-23,49.05,53.5,49.05,50.3,57132
2015-11-24,50,52.5,49.15,51.1,42760
2015-11-26,51.5,51.5,49.75,50.9,21215
2015-11-27,50.8,50.95,50,50.2,9019
2015-11-30,50,52,50,50.95,19661
2015-12-01,51,53.5,50.1,50.8,64559
2015-12-02,50.4,51.4,50.1,50.75,54927
2015-12-03,51.25,51.65,50.15,50.6,19503
2015-12-04,50.4,51.5,49.7,50.75,18307
2015-12-07,51.95,51.95,50.6,50.7,13182
2015-12-08,50.7,51.25,49.25,49.55,11126
2015-12-09,50.05,50.05,47,47.35,27022
2015-12-10,48,49.85,46.65,48.75,20156
2015-12-11,48.4,48.6,47.1,47.55,14239
2015-12-16,49.25,49.5,48.1,48.75,29565
2015-12-17,48.55,49.3,47.4,47.95,57794
2015-12-18,48.4,57,48.4,56.05,644178
2015-12-21,56.45,63.1,55.1,61.5,1006100
2015-12-22,62.05,64,58.1,59.3,425296
2015-12-23,59.9,60.4,56.85,57.3,93780
2015-12-24,58,61.4,57,60.85,187217
2015-12-28,60.45,61.4,59,59.4,54979
2015-12-29,58.25,60,54.6,55,142006
2015-12-30,54.9,57.5,54.9,55.95,50406
2015-12-31,56.6,56.6,55.4,55.85,51369
2016-01-01,56.8,58.6,55.75,57.85,100084
2016-01-04,58.4,59,55.4,55.8,65741
2016-01-05,57,58.5,56,56.7,45562
2016-01-06,57.5,59,56,56.3,40264
2016-01-07,56.3,56.9,53.6,54.75,59114
2016-01-08,55.95,57.45,54.5,55.7,40269
2016-01-11,55,56,50.25,53.1,85478
2016-01-12,53.2,54.5,50.75,51.35,78242
2016-01-13,51.35,53.25,50,52.1,100475
2016-01-14,51,53.7,50.15,51.7,19882
2016-01-15,53.85,53.85,47.5,48.2,81425
2016-01-18,47,49.9,45.15,46.3,109320
2016-01-19,47.9,48.5,45.6,48.05,12022
2016-01-20,47.5,47.5,45.1,46.5,11054
2016-01-21,48.85,48.85,45.75,45.95,6483
2016-01-22,46.25,47.8,46.25,46.7,9949
2016-01-25,46.7,48,46,47.85,13726
2016-01-27,47.3,48,47.1,47.6,3555
2016-01-28,47.6,53.2,47.6,49.65,170418
2016-01-29,49.9,50.25,48.3,48.85,9790
2016-02-01,49.45,51.9,49,50.85,61394
2016-02-02,50.4,50.5,48.65,48.85,15878
2016-02-03,48.3,48.3,46,46.35,14122
2016-02-04,47.75,49.7,44.8,45.5,45011
2016-02-05,46.7,48.1,45.65,47.85,28277
2016-02-08,50.7,50.7,47.05,47.45,4152
2016-02-09,47.3,48.5,44.7,46.7,15979
2016-02-10,47,47.75,44.6,45.05,17806
2016-02-11,47,47,42,42.35,33678
2016-02-12,42.6,50.25,40.2,47.95,194452
2016-02-15,48.75,55.45,47.15,53.45,315632
2016-02-16,54,54,49.85,52.5,130825
2016-02-17,52,55.3,50.15,53.65,137027
2016-02-18,53,53.7,51.6,52.7,38491
2016-02-19,52.85,53.45,50.5,51.8,59013
