Date,Open,High,Low,Close,Volume
2022-05-10,12.98,12.98,12.65,12.67,140461
2022-05-11,13.2,13.2,12.5,12.63,146947
2022-05-12,12.8,12.8,12.36,12.49,353218
2022-05-13,12.6,12.87,12.41,12.74,1161751
2022-05-16,12.75,12.85,12.6,12.68,86685
2022-05-17,12.84,12.84,12.5,12.79,161321
2022-05-18,12.87,13,12.85,12.97,301791
2022-05-19,12.81,12.96,12.67,12.69,141458
2022-05-20,12.8,13.14,12.77,13.09,210006
2022-05-23,13.5,13.5,12.92,12.99,1178611
2022-05-24,13.25,13.25,12.76,12.79,169835
2022-05-25,12.96,12.96,12.56,12.63,119765
2022-05-26,12.7,12.77,12.47,12.66,203314
2022-05-27,12.8,12.8,12.6,12.73,81451
2022-05-30,12.89,12.99,12.7,12.76,247704
2022-05-31,12.86,12.86,12.63,12.7,269398
2022-06-01,12.89,12.89,12.49,12.53,360919
2022-06-02,15.2,15.2,12.47,12.57,463458
2022-06-03,12.76,12.76,12.49,12.5,1176843
2022-06-06,12.59,12.66,12.45,12.5,326317
2022-06-07,12.64,12.64,12.28,12.37,468584
2022-06-08,12.37,12.47,12.27,12.39,282720
2022-06-09,12.39,12.65,12.3,12.5,70933
2022-06-10,12.64,12.64,12.4,12.49,337308
2022-06-13,12.59,12.59,12.21,12.27,403137
2022-06-14,12.44,12.44,12.22,12.3,263806
2022-06-15,12.4,12.49,12.28,12.37,113202
2022-06-16,12.47,12.49,12.08,12.14,329476
2022-06-17,12.23,12.3,11.83,11.94,1082879
2022-06-20,13.52,13.52,11.75,11.93,189428
2022-06-21,12.1,12.2,12,12.14,168247
2022-06-22,12.24,12.24,11.96,12,56170
2022-06-23,12,12.2,11.92,12.15,62147
2022-06-24,12.25,12.3,12.15,12.25,207379
2022-06-27,12.25,12.45,12.21,12.32,111595
2022-06-28,12.4,12.47,11.93,12.3,375899
2022-06-29,12.39,12.39,12.1,12.27,34485
2022-06-30,12.35,12.35,12.15,12.25,38192
