Date,Open,High,Low,Close,Volume
2015-09-07,59.05,61,55.9,56.35,35648
2015-09-08,57.05,58,53.1,55.95,68899
2015-09-09,57.3,60.2,55.35,58.75,40156
2015-09-10,58.7,61.5,56,60.85,38090
2015-09-11,61.15,63,60.2,60.85,31252
2015-09-14,62.95,62.95,59.6,60.2,18557
2015-09-15,61.7,64.45,59.85,62.35,45759
2015-09-16,62.5,62.5,59.5,60.05,28721
2015-09-18,60.05,62,60.05,60.65,42239
2015-09-21,62.8,62.8,58.65,60.3,33133
2015-09-22,60.35,61.9,58.75,59.35,28310
2015-09-23,58.9,59.95,58.15,58.55,32008
2015-09-24,58.3,60.4,58.25,59.25,22684
2015-09-28,60.5,61.7,58.2,59.05,20131
2015-09-29,58.55,59.85,58.25,58.75,24327
2015-09-30,59.35,61.3,58.6,59.65,38455
2015-10-01,59.7,60.6,56.15,58.35,38863
2015-10-05,58.9,60,58.25,59.25,27205
2015-10-06,59.9,66,59.75,62.9,92541
2015-10-07,63.9,64.5,62.55,63.95,46892
2015-10-08,63.95,64.3,62.85,63.3,28679
2015-10-09,63.2,64.85,63.2,64.05,25750
2015-10-12,64.05,65.3,61,61.85,31898
2015-10-13,63.8,63.8,61.1,61.95,21199
2015-10-14,61.2,63.25,60.65,61.55,40824
2015-10-15,61.25,62.8,61.1,61.3,22054
2015-10-16,63.6,63.6,61.1,61.8,18043
2015-10-19,62,63,61.4,62.5,14456
2015-10-20,62,63,61.35,62.15,18685
2015-10-21,62.45,62.5,61.1,61.75,24085
2015-10-23,62.2,62.85,62,62.25,8929
2015-10-26,62.3,62.7,61.3,61.65,10669
2015-10-27,61.25,61.3,58.6,59.35,34375
2015-10-28,59.25,63.6,59.1,61.6,34976
2015-10-29,63,66.9,63,64.2,183542
2015-10-30,64.85,65,60.1,60.35,87849
2015-11-02,61.95,62.3,60.65,61.8,61302
2015-11-03,61.85,63.1,60.55,60.8,26333
2015-11-04,61.2,61.5,60.2,60.4,36839
2015-11-05,60.8,61,58,58.25,61005
2015-11-06,59,59.5,56.75,57,56691
2015-11-09,56,59.5,54.5,58.7,59895
2015-11-10,58.05,60.6,57.95,58.75,22574
2015-11-11,60,60,58.55,59.55,20117
2015-11-13,60.5,60.5,58.5,59.1,38468
2015-11-16,54,54,47.8,49,248439
2015-11-17,48.15,50.7,48.15,49.65,51275
2015-11-18,49.85,49.85,48,48.25,40664
2015-11-19,49.4,49.4,47.2,47.5,38469
2015-11-20,47.3,47.95,46.7,47,53678
2015-11-23,48.45,48.45,45.15,46.1,55173
2015-11-24,45.75,47,45.75,46.8,35205
2015-11-26,47,51.75,46.1,49.9,109848
2015-11-27,49.1,52.4,49.1,51.45,89889
2015-11-30,52,53.4,51.05,52.4,64294
2015-12-01,52.75,54.1,52.7,53.55,47380
2015-12-02,54.8,55,52.65,54.85,50130
2015-12-03,55.2,55.35,54,54.45,28470
2015-12-04,54.4,54.5,53.25,53.6,19082
