Date,Open,High,Low,Close,Volume
2015-09-07,163.85,163.975,151.575,152.875,14792
2015-09-08,154.025,161.275,151.625,159.05,28550
2015-09-09,159.5,174,159.5,164.775,17216
2015-09-10,165,165,156.725,160.85,6536
2015-09-11,164.25,164.25,160,160.425,8302
2015-09-14,161.025,164,159.025,159.925,13458
2015-09-15,161.925,161.95,157.775,158.825,2914
2015-09-16,162.425,162.45,157.8,160.425,8302
2015-09-18,161.125,163.05,161,162.3,6642
2015-09-21,161.025,162.4,157.5,161.025,5224
2015-09-22,161.025,164.45,160.5,161.075,5386
2015-09-23,160.25,161.725,158.075,160.675,4940
2015-09-24,160.325,171.925,152.775,169,8290
2015-09-28,167.25,171.95,163.525,165.825,3660
2015-09-29,163.75,164.75,161.5,163.55,6750
2015-09-30,163.425,164.7,161.5,164.15,8736
2015-10-01,164.3,175.45,164.275,170.25,37636
2015-10-05,174.975,177.5,172.5,173.075,14834
2015-10-06,173.35,175.95,172,175,2346
2015-10-07,171.275,172.5,170.05,170.875,10978
2015-10-08,172.875,176,167.75,170.025,12286
2015-10-09,167.525,173.975,164.9,170.5,7050
2015-10-12,172.475,173,169.05,169.575,4026
2015-10-13,168.675,174.475,168.5,170.55,5270
2015-10-14,167.125,174.475,167.125,174.075,10052
2015-10-15,174.725,177.5,171.575,176.725,26364
2015-10-16,178.575,192.5,175.25,188.175,64270
2015-10-19,185.775,193.15,183.55,191.175,46164
2015-10-20,190.175,192.5,188,189.9,16198
2015-10-21,190.025,191.05,186.3,187.475,6552
2015-10-23,186.275,189.925,184.025,187.975,10984
2015-10-26,190.025,191,183.025,184.825,5160
2015-10-27,183.775,186.475,182.5,184.8,2092
2015-10-28,184.025,187.475,178.95,180.1,17938
2015-10-29,181.125,188.325,181.125,183,7492
2015-10-30,185.025,187.4,182.775,185.875,4380
2015-11-02,187.375,187.375,178.275,181.075,17168
2015-11-03,182.525,182.525,179,179.8,5234
2015-11-04,184.475,184.475,172.5,176.625,10988
2015-11-05,189,199.125,185.025,190.875,88970
2015-11-06,191.925,192.25,167.525,178.175,73054
2015-11-09,173.75,178.925,165.55,177.275,34914
2015-11-10,177.475,182.475,175.5,178.225,285318
2015-11-11,182.375,184.5,180,182.825,209892
2015-11-13,180,180,172.525,177.15,14832
2015-11-16,179.85,181.7,177.2,181.125,9572
2015-11-17,181.55,186,180.5,182.55,9260
2015-11-18,185.4,187,179.7,181.9,10824
2015-11-19,182.075,185,180.25,184.7,14104
2015-11-20,188.475,188.5,182.5,185.025,12618
2015-11-23,183.8,188.9,182.75,187.55,12012
2015-11-24,184.925,213.45,183.725,201.6,420558
2015-11-26,204.5,212.5,204.5,208.1,71476
2015-11-27,210.5,212.225,198.625,202.65,27882
2015-11-30,204.95,212.55,203.65,205.6,64370
2015-12-01,210.5,210.5,207.5,207.7,55228
2015-12-02,207.975,209.25,203.05,205.05,18736
2015-12-03,207.35,207.35,197.65,200.875,13624
2015-12-04,199.525,204.75,197.5,200.9,5234
2015-12-07,203.775,203.775,195.525,198.975,5792
2015-12-08,199.5,199.5,192.5,193.625,10644
2015-12-09,191.025,191.075,183.025,184.35,16254
2015-12-10,185.625,196.325,180,188.5,16838
2015-12-11,186.875,190,183.275,186.925,16902
2015-12-16,191.175,194.975,190.5,192.675,13974
2015-12-17,196.075,196.075,188.525,194.25,13264
2015-12-18,193.375,194.5,187.5,191.125,9192
2015-12-21,192.975,197.5,185.15,197.425,33192
2015-12-22,197.5,197.5,190.525,195.35,17614
2015-12-23,195,197.5,193,195.95,9362
2015-12-24,201,214.9,201,210.175,139410
2015-12-28,214.25,226,211.375,223.225,189514
2015-12-29,224.85,226,216,218.425,59922
2015-12-30,220,224.5,216.5,222.25,25946
2015-12-31,219.975,224.45,218.85,219.65,18652
2016-01-01,224.225,224.45,220,221.15,17522
2016-01-04,222.5,249,220.5,245.125,213396
2016-01-05,247.5,261.625,245.05,247.35,207596
2016-01-06,248.45,248.45,235,240.775,51648
2016-01-07,237.525,237.525,228.5,230.025,52456
2016-01-08,233.9,240,228.975,232.025,23170
2016-01-11,230,235,221.15,230.025,29266
2016-01-12,233.275,237.5,225.525,228.65,24480
2016-01-13,231.475,238,210.5,220.525,71602
2016-01-14,215.5,225,207.5,213.45,21978
2016-01-15,217.475,222,210,213.125,18470
2016-01-18,206,209.975,197.55,200.325,50306
2016-01-19,201,207.5,198,202.75,25736
2016-01-20,202.45,202.45,192.5,194.9,16772
2016-01-21,205.475,205.5,192.5,194.45,13662
2016-01-22,198,205,198,202.575,17912
2016-01-25,201.025,214.5,200,212.125,26394
2016-01-27,217,217,205.075,209.5,12676
2016-01-28,211.95,214.9,205.5,209.1,10574
2016-01-29,212.475,212.475,205,205.95,7008
2016-02-01,206.025,215,201,203.175,12718
2016-02-02,201,204.875,193,194.325,19156
2016-02-03,193.125,199.475,187.5,195.15,20526
2016-02-04,195.5,200,191,192.575,6254
2016-02-05,196.025,200,194,197.325,10778
2016-02-08,198.9,204.35,195.025,198.5,7638
2016-02-09,195.075,198.95,190.3,193.4,28846
2016-02-10,197.525,205,183.5,187.575,28248
2016-02-11,190,190,177.55,180.125,35904
2016-02-12,182.075,187.95,166.85,185.6,36682
2016-02-15,189.925,192.5,182.5,187.9,10130
2016-02-16,189.025,191,176,177.8,13234
2016-02-17,178.55,180.25,170,178.375,11048
2016-02-18,183.525,185,175.025,180.45,7596
2016-02-19,180.475,181.75,178,180.35,4636
2016-02-22,177.65,188,173.55,179.125,27606
2016-02-23,184.975,184.975,173.05,175.3,10668
2016-02-24,175.025,175.025,168.075,170.7,14764
2016-02-25,170.05,176.45,167.65,174.1,10480
2016-02-26,174.7,176.25,166.85,168.7,12956
2016-02-29,170,174.45,161.15,171.05,13798
2016-03-01,170,177.975,170,175.8,8468
2016-03-02,179.5,186.15,179.5,184.475,17924
2016-03-03,189.925,192.5,184.2,188.425,16302
2016-03-04,189.5,191.95,186.625,189.6,5598
2016-03-08,191,204.975,182.55,194.85,27874
2016-03-09,195,198.95,191.325,196.975,8472
2016-03-10,201,201.4,196,199.45,10632
2016-03-11,197.15,207.5,195.5,205.075,17870
2016-03-14,205.05,213.5,205.05,211.55,21556
2016-03-15,212.5,212.5,204,204.975,6240
2016-03-16,202.5,202.525,191.375,201.975,7172
2016-03-17,202.5,204.45,195,196.225,4252
