Date,Open,High,Low,Close,Volume
2015-09-07,95.06,97.06,90.25,93.74,54545
2015-09-08,93,94,92,93.91,45075
2015-09-09,94.97,96.8,91.64,96.22,165720
2015-09-10,93.61,94.8,93.12,94.02,62880
2015-09-11,95.4,95.6,93.82,94.45,28145
2015-09-14,93.59,93.77,91.02,91.69,231860
2015-09-15,91.12,91.88,90,91.32,42645
2015-09-16,91.69,94.2,90.83,93.44,166770
2015-09-18,91.01,96.97,89.11,96.02,79185
2015-09-21,96.02,96.69,94.2,95.93,29265
2015-09-22,97,98,94.19,94.81,37735
2015-09-23,96.33,96.33,92,94.43,41145
2015-09-24,94,99.6,92.54,97.29,45290
2015-09-28,97.01,98.4,94.3,97.33,32410
2015-09-29,97.33,99.7,95.01,97.4,45120
2015-09-30,98.59,100,97.04,99.73,41070
2015-10-01,100.84,101.2,98.4,100.16,32225
2015-10-05,108.6,108.6,100.2,103.09,38170
2015-10-06,104.4,104.4,100.11,103.07,284495
2015-10-07,102,106,102,104.27,425025
2015-10-08,103.02,104.2,101.2,103.81,40360
2015-10-09,107.6,107.6,103.21,104.02,549795
2015-10-12,104.1,106,102,104.21,32965
2015-10-13,102.98,105.79,102.98,104.55,14130
2015-10-14,103.51,104.77,102.53,103.9,10640
2015-10-15,103.99,104.79,101.02,102.99,47770
2015-10-16,101.41,105.8,100,103.53,58255
2015-10-19,103.2,106,101.52,103.4,61920
2015-10-20,101.23,103.49,100.6,102.53,57835
2015-10-21,102.4,103.8,98.8,101.73,73870
2015-10-23,104.36,105.6,102,103.46,131360
2015-10-26,101.2,104,101.2,103.15,60900
2015-10-27,103,103.58,99.4,102.9,90765
2015-10-28,102.99,102.99,100.06,101.69,57800
2015-10-29,101.19,103.4,100.31,101.7,76705
2015-10-30,102.7,102.9,100.28,102.03,73545
2015-11-02,102.03,103.38,101,102.79,45525
2015-11-03,103.4,105.6,102.09,105.17,273785
2015-11-04,107.6,108,104.02,105.95,109535
2015-11-05,103.91,105.8,100.75,103.43,1880575
2015-11-06,103,105.4,102.01,104.5,1323170
2015-11-09,103,105.8,102.4,105.42,73730
2015-11-10,104.4,106.8,104.2,105.53,58825
2015-11-11,107.4,107.6,104.6,106.55,19390
2015-11-13,109.04,109.04,104.22,105.29,16930
2015-11-16,104.65,106,103.8,105.59,105680
2015-11-17,103.02,106,103.02,105.78,40230
2015-11-18,103,105.8,103,105.57,102475
2015-11-19,104.25,107.4,104.25,106.95,77950
2015-11-20,107,109,105.29,107.35,1358425
2015-11-23,104.41,108.94,104.41,107.9,93010
2015-11-24,104.62,108.26,104.62,106.22,29230
2015-11-26,107.6,107.89,105,106.3,44980
2015-11-27,106.89,107.95,105.2,106.22,32385
2015-11-30,107.98,107.98,104.8,106.19,47460
2015-12-01,106,108.79,105.23,107.94,340030
2015-12-02,109,110.8,107.8,108.47,65120
2015-12-03,108.8,108.8,106.2,107.76,43270
2015-12-04,107.01,108.79,106.02,107.11,33280
2015-12-07,109.79,109.79,103.41,105.48,140010
2015-12-08,105.2,107,104,106,64865
2015-12-09,106.2,107,104.6,106.54,362315
2015-12-10,105.12,106.62,104.01,105.98,83530
2015-12-11,106.95,107.4,103.27,106.57,87770
2015-12-16,105.97,108,105.95,106.47,50715
2015-12-17,107.78,108.75,105.45,108.04,81105
2015-12-18,109.69,109.69,107.1,108,31880
2015-12-21,108.98,108.98,106,106.61,180850
2015-12-22,106.61,109,104.02,107.38,640625
2015-12-23,106.01,108,106.01,107.78,11985
