Date,Open,High,Low,Close,Volume
2016-07-07,950,950,925.2,936.3,1707
2016-07-08,925.15,930.05,911.2,928.6,3287
2016-07-11,930,974,906,949.6,4059
2016-07-12,938,971,938,957.05,2648
2016-07-13,979.95,979.95,934.1,945.05,3662
2016-07-14,964.9,964.9,916,918.3,3608
2016-07-15,930,946.95,908,909.75,8926
2016-07-18,944.9,944.9,875.1,900.95,1951
2016-07-19,908.9,910,882.05,891.8,854
2016-07-20,885.1,912,885.1,889.25,4615
2016-07-21,885.1,890,875.05,878.7,921
2016-07-22,929.9,929.9,865,872,2759
2016-07-25,889,889,846,853.75,15893
2016-07-26,870,885,823,828.35,4834
2016-07-27,836,859,830.1,833.1,5303
2016-07-28,871.7,871.7,821.05,845.85,3422
2016-07-29,833.6,873.8,830,852.15,1925
2016-08-01,860,880,850,859.75,8840
2016-08-02,874.4,874.4,840,847.25,3802
2016-08-03,855,855,830,835.7,1523
2016-08-04,836,845,826,830.9,1148
2016-08-05,825,867.9,810,828.95,3613
2016-08-08,870,870,825,852.8,11972
2016-08-09,869.4,870,845,849.35,10120
2016-08-10,869,869,825.05,839.4,3062
2016-08-11,808,825,803,804.55,13297
2016-08-12,806,824.8,800,815.1,6579
2016-08-16,805.35,818,800,808.75,4303
2016-08-17,805,838.9,801,816.1,6071
2016-08-18,807,834,780,782.05,17921
2016-08-19,795.3,795.3,770,779.85,4018
2016-08-22,774,784.4,741,760.25,14575
2016-08-23,761.1,765,745,746.1,6889
2016-08-24,735,779,702.25,729.4,13170
2016-08-25,735,789.95,730.05,776.15,10718
2016-08-26,824,825,775.7,800.35,11459
2016-08-29,819.9,819.9,770,783.65,6222
2016-08-30,809,819,785,788.15,3832
2016-08-31,800,805,774,780.15,4583
2016-09-01,797.2,810,780,805.8,6044
2016-09-02,818.95,829,790,796.05,11792
2016-09-06,838.9,850,788,799.05,9126
2016-09-07,810,813,775,807.55,5850
2016-09-08,799.85,818.35,789.95,794.8,1467
2016-09-09,812.95,812.95,775.5,780.8,2088
2016-09-12,775,790,760.1,769.25,3848
2016-09-14,761,787.95,761,769.7,2511
2016-09-15,784.9,785,771,780,1640
2016-09-16,780,793,774.9,774.95,1441
2016-09-19,790,810,770,788.4,2129
2016-09-20,798,798,769,769.95,4365
2016-09-21,764.05,785,761.05,772.7,4155
2016-09-22,788,796,775.05,793.75,2108
2016-09-23,795,833,785.2,823.4,6754
2016-09-26,826.65,837.3,805.6,816.3,2521
2016-09-27,800.05,820.05,792,799.05,2201
2016-09-28,833.95,833.95,787,823.4,3695
2016-09-29,829.5,829.5,765,792.4,6086
2016-09-30,800,808,772.05,789.75,5156
2016-10-03,772.2,814.7,760,790.85,3906
2016-10-04,805,805,790,796,704
2016-10-05,804,804,775,777.95,2156
2016-10-06,780,805,755,772.55,2326
2016-10-07,785.15,785.2,755,772.45,1330
2016-10-10,795,795,768,770.05,2116
2016-10-13,795,795,740,751.1,5448
2016-10-14,778.85,778.85,751,759.35,529
2016-10-17,778,778,761.25,763.15,3453
2016-10-18,783.9,783.9,755,760.7,2627
2016-10-19,761,778.65,756,771.35,5235
2016-10-20,778.95,925.6,776.75,888.05,172316
2016-10-21,835.1,898,835.1,882.1,18131
2016-10-24,875,904,875,887.2,11091
2016-10-25,894.5,909,870,899.7,14260
2016-10-26,890,898.6,869.95,887.2,10290
2016-10-27,870.1,897.85,822,870.6,2629
2016-10-28,885.95,886.75,846.05,876.15,4939
2016-10-30,876,886.8,870,878.85,1118
2016-11-01,901.15,950,886.75,932.95,25760
2016-11-02,901,924.35,890,897.8,6016
2016-11-03,889,909,877.05,895.15,1907
2016-11-04,880.3,892.5,855,881.45,4433
2016-11-07,920,978,920,954.8,35382
2016-11-08,880.25,970,880.25,919.7,8475
2016-11-09,821.2,923.95,735.8,905.85,12805
2016-11-10,902,958.6,902,930.7,2923
2016-11-11,903,943,880.3,898.35,4578
2016-11-15,858,924,802.35,878.8,7058
2016-11-16,950,950,835.15,880.25,2422
2016-11-17,899,899,857,862.25,1494
2016-11-18,890,890,839.95,848.15,3051
2016-11-21,860,860,802,809.4,5836
2016-11-22,853.95,853.95,815,840.35,10183
2016-11-23,850,850,826.2,838.9,955
2016-11-24,847,847,801,812.9,4788
2016-11-25,890,960,860,890.3,25485
2016-11-28,943.3,962,926,940,17475
2016-11-29,955,959.8,925.05,931.6,3902
2016-11-30,940,949.35,910,921.95,2264
2016-12-01,949,949,902,909.65,1954
2016-12-02,936,936,880,919,1174
2016-12-05,948,950,905,914.35,946
2016-12-06,929,929,897,904.15,2438
2016-12-07,928.9,928.9,895.1,900.25,1703
2016-12-08,913.75,929.45,900,924.45,4106
2016-12-09,946.95,1000,907,910.65,5661
2016-12-12,936.3,936.3,918.05,920.8,970
2016-12-13,915.1,931.7,914,916.1,452
2016-12-14,881,924,881,916.8,949
2016-12-15,924,924.05,894,900.5,1901
2016-12-16,944.95,944.95,877,918.35,5299
2016-12-19,929.95,929.95,900.2,916,623
2016-12-20,918,918,886.05,887.1,1093
