Date,Open,High,Low,Close,Volume
2015-09-07,204,209,196,197.2,16218
2015-09-08,197,205.45,192.25,198.85,10257
2015-09-09,205.65,208.8,201,203.3,6509
2015-09-10,202,202,195,199.1,6171
2015-09-11,197.5,205,197.05,201.3,8249
2015-09-14,201.6,208.95,201.1,204.4,8938
2015-09-15,202.6,207.05,201.6,204.3,6509
2015-09-16,203.15,205.5,199.3,201,11988
2015-09-18,204.25,210,201.25,208.25,13664
2015-09-21,206,221,205.5,219,25008
2015-09-22,221.95,225.3,212,214.6,25827
2015-09-23,212.65,223,208.4,219,18829
2015-09-24,223.85,244.6,220.1,236.05,66826
2015-09-28,235.8,238.9,226.3,230.1,27452
2015-09-29,229,229.1,223.1,227.25,11215
2015-09-30,232,232,224.55,226.55,5913
2015-10-01,229.75,235,226.95,229.9,16513
2015-10-05,233.75,239,227.5,237.8,13177
2015-10-06,239,251,235,245.7,52736
2015-10-07,245.95,252,244,245.25,27679
2015-10-08,245.05,246.3,239.1,242.4,29250
2015-10-09,240.4,245.8,240.4,243.85,7152
2015-10-12,252,256.95,239.1,241.4,8595
2015-10-13,239.1,245.45,238.4,241.35,8510
2015-10-14,240,247.9,238.2,242.45,20741
2015-10-15,242,244.05,240.3,241.95,7738
2015-10-16,241.65,244.9,240.3,241.7,8896
2015-10-19,241,254.9,239.5,252.8,46612
2015-10-20,255.4,265.3,254.15,261.9,72487
2015-10-21,262.75,266.8,253.55,257.5,28018
2015-10-23,257.5,262.8,252.15,252.5,34724
2015-10-26,251.55,255.75,246.1,248.8,14250
2015-10-27,248.1,263.5,242,256.55,47418
2015-10-28,256.4,262.45,251,254.9,33267
2015-10-29,255,258.05,251.1,252.4,14676
2015-10-30,251.4,254.15,250,251.25,46798
2015-11-02,239,240,223.2,226.8,75189
2015-11-03,230.5,235.7,226.6,229.15,18105
2015-11-04,227.55,234.5,227.2,229.75,32273
2015-11-05,230,231.5,225,225.7,10821
2015-11-06,226.15,227.5,223.1,225.45,8693
2015-11-09,223,233.9,223,232.15,17641
2015-11-10,234.85,235.3,225,228.65,7119
2015-11-11,233.65,234,229.95,233.55,8349
2015-11-13,230,234.55,223.1,229.15,7442
2015-11-16,232,236.6,229.5,232.3,6870
2015-11-17,235,235.9,231.2,231.8,5691
2015-11-18,231.2,234.5,225.15,226.8,16630
2015-11-19,225.15,229,224,225.55,14146
2015-11-20,225.1,229.9,221.1,226.1,13496
2015-11-23,229,229,224,226.3,8102
2015-11-24,224.6,234.5,224.2,229.95,8990
2015-11-26,233.9,236.25,230.35,234.95,9645
2015-11-27,234,242.2,234,241.1,13432
2015-11-30,239.2,249.1,239,247.45,10371
2015-12-01,248,256.05,245,248.95,34760
2015-12-02,248.65,256,248,249.75,22786
2015-12-03,249.75,255.8,243,244.6,31011
2015-12-04,246,248,242.6,244.85,9529
2015-12-07,245.1,253.2,243.85,250.85,13443
2015-12-08,249.8,262.4,247.2,255.45,41890
2015-12-09,256.25,256.75,244.1,247.4,17599
2015-12-10,247,250.8,245.4,249.45,9127
2015-12-11,248.15,252.6,247,248.35,10349
2015-12-16,250,254,247.3,249.95,5346
2015-12-17,250.3,252.2,248,251.4,7009
2015-12-18,249,252,246.5,249.1,10224
2015-12-21,247,252.6,247,249.4,4180
2015-12-22,250.6,255,248.5,249.75,2895
2015-12-23,249.55,252,246.3,248.3,6437
2015-12-24,246.8,248.7,245.15,246.95,5666
2015-12-28,245.2,248.15,243.2,247.35,3973
2015-12-29,245.3,256,245.2,248.4,13827
