Date,Open,High,Low,Close,Volume
2021-01-22,20.8,20.8,20.8,20.8,6400
2021-02-19,16.7,24.7125,16.7,24.675,19200
2021-02-22,24.675,24.675,24.675,24.675,12800
2021-03-12,19.875,24.625,19.875,23.75,19200
2021-03-18,20,23.7875,20,23.7875,12800
2021-07-05,23.7875,23.7875,23.7875,23.7875,6400
2021-07-13,24.15,24.15,24.15,24.15,6400
2021-07-14,24.15,24.15,20.0375,23.975,25600
2021-07-16,23.975,23.975,23.975,23.975,6400
2021-07-20,23.6375,23.6375,23.5,23.5,19200
2021-07-23,25.5,25.5,25.5,25.5,6400
2021-07-26,25,26.875,25,26.875,19200
2021-07-27,27.475,29.75,27.475,29.75,25600
2021-07-28,32.25,35.5,30,35.5,38400
2021-07-29,36.25,39.05,36.25,39.05,25600
2021-07-30,42.875,42.95,42.875,42.95,12800
2021-08-02,47.2375,47.2375,47,47.2375,44800
2021-08-03,49.5,49.5,49.5,49.5,6400
2021-08-04,49.375,49.375,49.375,49.375,6400
2021-08-06,46.9125,47,46.9125,46.9125,38400
2021-08-09,44.75,45,44.575,44.75,25600
2021-08-12,42.625,42.625,42.625,42.625,32000
2021-08-13,40.5,44.75,40.5,44.75,134400
2021-08-16,46.9875,46.9875,46.9875,46.9875,128000
2021-08-17,48.75,49.25,47.5,48.55,44800
2021-08-20,50.925,50.925,46.125,46.2625,134400
2021-08-23,46.525,46.525,46,46,19200
2021-08-24,47.25,47.25,47.25,47.25,6400
2021-08-26,47,47.375,47,47.375,38400
2021-08-27,47.5,47.5,46.025,46.075,19200
2021-08-30,48.375,48.375,48.375,48.375,140800
2021-08-31,50.7875,50.7875,49.275,50.5,128000
2021-09-01,51.75,51.75,50.5,51.5,64000
2021-09-02,50.375,52,50.375,51.9125,83200
2021-09-03,53,54.5,52.625,54.5,262400
2021-09-06,56.25,56.25,52.5,53.3875,89600
2021-09-07,52.25,53.65,52,53.65,38400
2021-09-08,53.875,56.225,53.125,53.5625,166400
2021-09-09,55.025,56.2375,55,55.15,160000
2021-09-13,56.9875,57.9,56.9875,57.5625,153600
2021-09-14,58.4,59.9875,57.525,57.525,198400
2021-09-15,57.375,59.5,57.25,58.5,83200
2021-09-16,58.25,60.375,58.25,59.4875,83200
2021-09-17,57.275,59.2375,57.275,59.2375,25600
2021-09-20,59.2375,61.25,59.2375,59.9875,134400
2021-09-21,60.75,62.85,60.75,61.5,89600
2021-09-22,62,63.3625,62,62.8625,83200
2021-09-23,63.75,66,63.725,65.525,262400
2021-09-24,66,67.625,66,67.625,147200
