Date,Open,High,Low,Close,Volume
2023-06-09,3090,3149.95,2950,3070.15,7308
2023-06-12,3132,3684.15,3129.95,3684.15,28360
2023-06-13,3768,3975,3550,3655.65,44403
2023-06-14,3787.95,3787.95,3450,3491.45,8669
2023-06-15,3525,3840.55,3484.05,3726.95,56911
2023-06-16,3750,3784.8,3672,3737.25,9569
2023-06-19,3783,4050,3750,4032.35,21915
2023-06-20,4048,4297.65,3955,4212.2,17679
2023-06-21,4250,4633.4,4232.15,4454.1,52319
2023-06-22,4490,4674.3,4335,4527.25,21867
2023-06-23,4527.25,4600,4352.7,4518.85,9082
2023-06-26,4552,4650,4333.3,4602.2,14958
2023-06-27,4586,4640.2,4552,4592.85,2561
2023-06-28,4560,4626.45,4480,4598.75,4926
2023-06-30,4700,4700,4551,4602.15,4133
2023-07-03,4585.05,4586.05,4491,4519.5,2726
2023-07-04,4485,4500,4311.35,4350.75,4928
2023-07-05,4280,4313.95,4133.25,4140.75,6327
2023-07-06,4304.9,4304.9,3935.05,3949.5,10074
2023-07-07,3930,3979.9,3850,3870.75,5507
2023-07-10,3860,4064.25,3755,4064.25,4942
2023-07-11,4240,4267.45,4127.55,4166.55,7093
2023-07-12,4170,4304,4102.7,4234.05,3690
2023-07-13,4318.75,4318.75,4100,4142.55,2442
2023-07-14,4081.05,4166.95,3935.45,4014.75,6129
2023-07-17,4015,4070,3990,4030.05,1200
2023-07-18,4123.25,4123.25,3950,3993,2235
2023-07-19,4055,4086,3965,3977.1,1430
2023-07-20,3940,4030,3862,3896.7,2259
2023-07-21,3860,4049,3804.05,3896.15,4507
2023-07-24,3975,3975,3830,3903.3,3030
2023-07-25,3898,3964.25,3825,3910.15,1748
2023-07-26,3889.95,3990,3865.5,3891.3,1042
2023-07-27,3980,3994.9,3876,3897.5,1494
2023-07-28,3877,4000,3877,3971.3,1167
2023-07-31,3902,4169.85,3902,4169.85,6430
2023-08-01,4270,4378.3,4178.75,4378.3,3762
2023-08-02,4597,4597.2,4327.55,4455.35,12253
2023-08-03,4631,4678.1,4631,4678.1,2598
2023-08-04,4840,4912,4622.8,4802.15,9012
2023-08-07,4900,4947,4768.65,4780.95,3482
2023-08-08,4852.65,4852.8,4537.1,4575.35,6277
2023-08-09,4570,4687,4451.1,4492.55,2771
2023-08-10,4551.6,4699.5,4495,4548.95,3560
2023-08-11,4688,5003.8,4617.65,5003.8,25559
2023-08-14,5199.9,5504.15,5160.2,5491.8,54568
2023-08-16,5481,6040.95,5321.8,6040.35,41659
2023-08-17,6139.9,6342.35,6025,6165.3,31596
2023-08-18,6199,6199,5857.05,5857.05,12818
2023-08-21,5681,5729.95,5564.2,5564.2,10586
2023-08-22,5639.6,5842.4,5484.15,5842.4,4739
2023-08-23,6134.5,6134.5,5779.15,5902.2,20537
2023-08-24,6000,6038.95,5830.05,5901.05,5472
2023-08-25,5934.7,5989.95,5846,5908.1,5001
2023-08-28,6049,6100,5755.55,5885.65,7522
2023-08-29,5990,6019,5849.95,5901.2,5922
2023-08-30,5999,5999,5700,5783.15,3095
2023-08-31,5840,6040.4,5701.2,5997.95,45444
2023-09-01,6199,6199,5855.2,5960.4,2673
2023-09-04,6048,6123,5801.15,5850.5,3108
2023-09-05,5996,6049.95,5850,5875.7,1757
2023-09-06,5875.7,5985,5750,5804.1,1741
2023-09-07,5850,5850,5680,5758.7,3449
2023-09-08,5758.7,6046.6,5670.05,6046.6,5369
2023-09-11,6100,6185,5858.35,5922.95,5227
2023-09-12,5852.7,5984.95,5626.8,5632.15,9918
2023-09-13,5747,5747,5550,5646.55,5297
2023-09-14,5664.8,5928.85,5620,5902.65,5655
2023-09-15,5902.65,6024,5801.15,5887.35,3162
2023-09-18,5910.5,5910.5,5683.45,5787.1,3628
2023-09-20,5787.1,5887,5652.05,5744.5,1865
2023-09-21,5756,5756,5457.3,5567.9,3719
2023-09-22,5597.9,5656.65,5500,5531.45,1204
2023-09-25,5535.25,5695,5376,5420.2,1933
2023-09-26,5491.55,5550,5400.25,5452.2,2090
2023-09-27,5499.35,5724.8,5420,5708.05,3648
2023-09-28,5708.05,5993.45,5708.05,5941.2,6242
2023-09-29,6098.7,6139.85,5707,5884,3934
2023-10-03,5884,5928.15,5740,5805.35,1415
2023-10-04,5801,5801,5516,5650.35,5179
2023-10-05,5702.55,5750,5470,5511.4,4084
2023-10-06,5558.7,5627.9,5424.05,5486.5,1926
2023-10-09,5520.3,5565,5355.1,5393,1254
2023-10-10,5455.55,5494.4,5376,5444.15,1889
2023-10-11,5454.1,5480,5386,5404.25,1368
2023-10-12,5449.95,5463.95,5370.8,5413.65,1093
2023-10-13,5430.6,5431.95,5145.15,5215.45,5886
2023-10-16,5156,5460,5156,5315.75,2951
2023-10-17,5351.2,5455.95,5280,5308.15,1238
2023-10-18,5380,5380,5199.2,5287.65,1413
2023-10-19,5325,5325,5085.85,5243,10625
2023-10-20,5340,5340,5047,5084.1,8237
2023-10-23,5084,5138.95,4829.9,4829.95,6936
2023-10-25,4976,4999,4840.05,4938.95,2533
2023-10-26,4999,4999,4692,4883.05,4626
2023-10-27,5024,5087.95,4747.5,5013.15,5581
2023-10-30,5088,5090,4848,5006.4,4828
2023-10-31,5090,5144,5021.95,5112.5,1479
2023-11-01,5180,5180,5081,5117.7,1222
2023-11-02,5038.35,5198,4891.55,5028.4,5942
2023-11-03,5155,5155,5002,5045.5,2565
2023-11-06,5126.25,5169.85,5045,5078.75,1323
2023-11-07,5111.75,5175,5080,5123.25,1241
2023-11-08,5149.35,5164.6,5077,5113.85,1625
2023-11-09,5124.4,5147,4910,4938.75,2278
2023-11-10,4871.25,4999.95,4799.25,4952.15,3449
2023-11-12,4704.55,4704.55,4704.55,4704.55,3498
2023-11-13,4470,4939.75,4469.35,4932,22733
2023-11-15,5099.95,5178.6,5099.95,5178.6,8512
2023-11-16,5437.5,5437.5,5333.9,5437.5,19308
2023-11-17,5709.35,5709.35,5690,5709.35,12277
2023-11-20,5920,5920,5440.25,5698,20292
2023-11-21,5897.9,5898,5607.05,5635.45,4481
2023-11-22,5699.3,5699.3,5463,5513.05,3071
2023-11-23,5537.9,5584.4,5456,5478.45,1255
2023-11-24,5481.4,5639.9,5430,5540.6,1870
2023-11-28,5680,5697,5540,5553.65,3888
2023-11-29,5685,5700,5509.9,5545.25,3619
2023-11-30,5584.15,5587,5460,5487.3,5651
2023-12-01,5650,5678.25,5509.95,5606.25,4339
2023-12-04,5790,5790,5498.45,5612.35,4710
2023-12-05,5610,5675.95,5505.2,5558,1738
2023-12-06,5616.6,5623.55,5520.55,5538.7,1554
2023-12-07,5500,5558.15,5478.05,5511.15,1605
2023-12-08,5547.85,5550,5380,5459.6,3515
2023-12-11,5459.6,5467.45,5381.2,5410.3,1993
2023-12-12,5356.25,5472,5325,5457.95,3657
2023-12-13,5500,6003.7,5440,6003.7,19625
2023-12-14,6450,6604.05,6115.2,6604.05,30048
2023-12-15,6700,6741.9,6023,6079.1,28917
2023-12-18,6295,6295,6010,6061.75,6242
2023-12-19,6051.05,6115.95,5944.4,5975.45,2939
2023-12-20,6097.9,6097.9,5700,5787.8,5601
2023-12-21,5800,5879.45,5550,5779.95,8996
2023-12-22,5895,5945.4,5798.05,5893.6,3665
2023-12-26,5757,6050,5757,6005.05,2993
2023-12-27,5998.95,6100,5800,6060.05,11296
2023-12-28,6100,6280,5941.35,5996.4,8126
2023-12-29,5990,6144,5951.15,6000.15,2720
2024-01-01,6097,6600.15,6097,6600.15,11712
2024-01-02,6944.9,7260.15,6745,7227.1,72808
2024-01-03,7339,7499,6940,7114.15,68258
2024-01-04,7230,7268.4,6970,7014.65,17176
2024-01-05,7099,7180,7000,7070.05,14051
2024-01-08,7170,7180,7000,7030.4,8012
2024-01-09,7100,7360,6867.2,6913.2,16534
2024-01-10,7045,7090,6861.25,6908.9,6644
2024-01-11,7000,7024.3,6900,6954.95,4224
2024-01-12,7025,7028.75,6748.05,6931.9,6480
2024-01-15,6979.7,7110,6852,6963.95,11773
2024-01-16,6963.95,7070.65,6900,6984.15,3809
2024-01-17,6852,7682.55,6852,7166,70591
2024-01-18,7240,7299.4,6924.1,7157.15,10975
2024-01-19,7230,7306.65,7055.1,7095.1,8456
2024-01-20,7190,7190,7015.1,7092.9,2767
2024-01-23,7011.5,7109.95,6835.25,6916.6,5155
2024-01-24,6880,7189,6836.05,7081.6,5298
2024-01-25,7157.5,7195,7000,7009.9,3019
2024-01-29,7099,7140,6980,7037.5,2954
2024-01-30,7118.95,7388.75,7069.9,7242.45,12996
2024-01-31,7242.45,7966.65,7200,7966.65,18031
2024-02-01,8150,8242.2,7701,7983,20991
2024-02-02,8200,8443.45,7983,8143.55,16354
2024-02-05,8147.55,8224.9,7931.1,7995.45,7374
2024-02-06,8033.75,8794.95,8030,8653.65,31766
2024-02-07,9030,9400,8700,8878.7,28594
2024-02-08,8800,9540,8800,8907.05,41957
2024-02-09,8960,8969,8310.2,8609,20487
2024-02-12,9000,9000,8251.2,8428.5,10414
2024-02-13,8428.5,8680,8090,8618.75,10805
2024-02-14,8600,8600,8325,8452.15,5851
2024-02-15,8390,8669,8390,8527.5,5032
2024-02-16,8500,8699,8399,8418.15,5671
2024-02-19,8544.4,8674.15,8418.35,8468.9,5367
2024-02-20,8468,8468,8278,8312.25,4713
2024-02-21,8395.35,8404.05,8156,8204.2,4113
2024-02-22,8301,8327.5,8058.9,8224.85,3226
2024-02-23,8350,8465,8224.85,8347.95,4621
2024-02-26,8340,8807.95,8300,8631.9,14257
2024-02-27,8675.05,8768.45,8555,8597.7,7673
2024-02-28,8597,8597,8050,8127.45,6968
2024-02-29,8130,8888,8071.15,8460.9,15998
2024-03-01,8496.2,8803.5,8430.3,8496.65,9683
2024-03-02,8306,8669.95,8300,8344.3,1622
2024-03-04,8344.3,8451,8100,8358.8,2412
2024-03-05,8315,8462.2,8161.6,8302.95,4638
2024-03-06,8302.95,8356.45,8020.3,8150.5,7613
2024-03-07,8148,8304.1,8073.25,8120.4,96147
2024-03-11,8179,8273.1,8039.75,8169.1,7937
2024-03-12,8090,8144.95,7514.1,7732.45,12119
2024-03-13,7831.85,7838.95,7100.05,7162.3,9046
2024-03-14,7117.7,7978.85,7111.25,7901.9,7993
2024-03-15,7860,7957.4,7610,7844.2,6671
2024-03-18,7808.3,8099,7791.05,8002.35,3248
2024-03-19,8000,8054.2,7625,7716.25,4222
2024-03-20,7700,7716.25,7510,7613.65,4101
2024-03-21,7650,7815,7500,7648.25,7359
2024-03-22,7688.75,7777.4,7560,7630.35,2366
2024-03-26,7672.65,7713.15,7300,7469.05,6427
2024-03-27,7490,7697,7300.05,7356.75,7894
2024-03-28,7430.35,7478.85,7222.45,7334.15,8868
2024-04-01,7480,7797,7466.55,7765.5,4813
2024-04-02,7765,7805.75,7590,7638.15,3945
2024-04-03,7641,7800,7601,7742.95,4727
2024-04-04,7701,7890,7660,7794.3,9177
2024-04-05,7750,7900,7741,7789.15,3507
2024-04-08,7700,7890,7602,7625.1,3382
2024-04-09,7548.85,7650.45,7462,7534.6,2843
2024-04-10,7534.6,7650.85,7534.6,7579.45,3151
2024-04-12,7579.4,7661.45,7421.3,7533.85,3595
2024-04-15,7531.05,7600,7300,7485.6,4361
2024-04-16,7490,7600,7355,7392.4,3489
2024-04-18,7649,8383.85,7500,7865.6,55306
2024-04-19,7865.6,7865.65,7600,7661.35,13428
2024-04-22,7709.4,7788.7,7650.1,7692.25,8212
2024-04-23,7714.5,7730.75,7523.85,7570.9,6840
2024-04-24,7573.3,7631.25,7450,7497.2,7483
2024-04-25,7599.95,7987,7450,7831.1,14537
2024-04-26,7700,7832.3,7650.05,7677.6,5715
2024-04-29,8044.45,8044.45,7683.95,7822.65,7866
2024-04-30,7938,7948.15,7743.75,7801.55,6344
2024-05-02,7817.15,7881.45,7725,7765.15,5073
2024-05-03,7700,7873.5,7619.15,7648.85,3882
2024-05-06,7694.55,7768.1,7401,7417.5,6564
2024-05-07,7650,7650,7200,7257.1,10254
2024-05-08,7329.65,7388,7200,7340.55,5235
2024-05-09,7301,7376.8,7224.95,7271.15,21290
2024-05-10,7271.15,7380.95,7174.4,7326.75,6244
2024-05-13,7400,7400,7149.6,7284,8465
2024-05-14,7298,7397.9,7226.05,7371.95,3308
2024-05-15,7396,7487.95,7341.25,7391.15,3405
2024-05-16,7400.65,7480,7381.1,7410.55,2856
2024-05-17,7400,7500,7382.25,7416.6,3188
2024-05-18,7475.95,7498.05,7400,7449.9,1290
2024-05-21,7450,8290.95,7351,8153.4,55792
2024-05-22,8153.4,8250,7981.15,8116.85,12211
2024-05-23,8060,8250.5,7934.15,8076.45,5998
2024-05-24,8099.55,8477.85,8079.85,8134.95,13083
2024-05-27,8183.75,8204.15,7830.05,7892.8,10253
2024-05-28,8005,8169.95,7801.1,7828.05,6162
2024-05-29,8144.45,8144.45,7680,7731.8,9579
2024-05-30,7700,8045.6,7700,7800.7,10983
2024-05-31,8500,8665.55,8250,8379.6,122689
2024-06-03,8599,10055.5,8470.05,9878.9,161678
2024-06-04,10000,10174.85,8000,8226,105783
2024-06-05,8476,9871.2,8150,9871.2,171800
2024-06-06,10200,11300,10050.25,10787.9,125318
2024-06-07,10700,11099.95,10527.95,10934.7,19747
2024-06-10,11101,11350,10605,11137.1,14978
2024-06-11,11600,11800,11452.45,11710.5,16439
2024-06-12,11796.5,12350,11621.1,12244.35,16302
2024-06-13,12290,13139.95,12244.95,12525.8,32297
2024-06-14,12525.8,14930.95,12525.8,14729.6,79446
2024-06-18,14950,15240,13666,13853.7,36638
2024-06-19,14000,14380,13500,13755.25,19017
2024-06-20,13899.8,14261,13454.05,13603.15,6848
2024-06-21,13677.95,13743.25,12960,13504.2,8866
2024-06-24,13200,13909,13115,13651.45,7567
2024-06-25,13699,13798.75,13390,13459.7,3926
2024-06-26,13459.7,13649.65,12702,13250.55,26674
2024-06-27,13250.55,13900,13000.55,13746,11924
2024-06-28,13980,14150,13450,13742.3,9432
2024-07-01,13949.95,14598.9,13757,13995.8,12501
2024-07-02,14227,14267.95,13310.1,14189.65,13871
2024-07-03,14322.25,15299.9,13937.45,14845.1,28450
2024-07-04,15115,15251,14811.15,14997.7,13026
2024-07-05,15000,15000,14511.15,14789.1,10564
2024-07-08,14800,14899.95,14570,14645.05,6339
2024-07-09,14650,15000,14488.35,14724.05,9533
2024-07-10,14800,15702.1,14200,14752.1,28299
2024-07-11,14952,15700,14720,14854.45,21984
2024-07-12,15000,15211,13369,14547.85,27410
2024-07-15,14950,14990,14100,14202.8,17148
2024-07-16,14300,14500,13800,14335.7,7817
2024-07-18,14335.7,14350,13850,14242.55,6657
2024-07-19,14200,14200,13530.45,13721.5,6231
2024-07-22,13500,14190,13150,13878,7920
2024-07-23,13905.8,14000,13198,13775.1,5837
2024-07-24,13775.1,14099,13400,13744.7,1968
2024-07-25,13700,13799,13250,13683.7,2453
2024-07-26,13683.7,14190,13500,13990.7,5781
