Date,Open,High,Low,Close,Volume
2024-03-05,260,273,247,247,2235200
2024-03-06,234.65,234.65,234.65,234.65,25600
2024-03-07,222.95,246.35,222.95,246.35,1416000
2024-03-11,248,253.5,234.05,234.05,160000
2024-03-12,222.35,222.35,222.35,222.35,12800
2024-03-13,211.25,211.25,211.25,211.25,1600
2024-03-14,200.7,221.8,200.7,204.35,376000
2024-03-15,200.2,209.9,195.3,204.4,73600
2024-03-18,211.3,211.5,205.5,210,62400
2024-03-19,214.6,214.6,205,207,80000
2024-03-20,214,230.6,214,221.5,72000
2024-03-21,230.4,240,228,230.65,80000
2024-03-22,235,235,227.55,231,28800
2024-03-26,229.5,229.5,220,225,20800
2024-03-27,216.1,230,210.1,211.65,84800
2024-03-28,210,216.65,208.05,209.95,33600
2024-04-01,211.55,220,211.55,219.1,22400
2024-04-02,238,238,227,232.85,67200
2024-04-03,231,231,225,225,16000
2024-04-04,225,225,220,220,4800
2024-04-05,220,224,214.1,224,14400
2024-04-08,217.6,223,217.1,220.4,20800
2024-04-09,218.35,223,218.35,222.9,28800
2024-04-10,223,223.25,219,222.4,48000
2024-04-12,222.3,235,222.3,227.35,216000
2024-04-15,221.65,231.75,194.1,227.5,107200
2024-04-16,226.95,226.95,222,223,49600
2024-04-18,222,226,219,222.5,136000
2024-04-19,213,221.65,211.65,221.55,16000
2024-04-22,222,228.6,221.15,224.95,65600
2024-04-23,224.95,224.95,219.25,221.2,16000
2024-04-24,229,237,221,231.35,169600
2024-04-25,238.9,238.9,230,230,28800
2024-04-26,220.55,227,220.55,226.95,12800
2024-04-29,226.95,226.95,221.8,222.4,11200
2024-04-30,221.8,223.95,201.05,218,20800
2024-05-02,223,226.8,217.5,223.35,73600
2024-05-03,227.85,228,218.5,220,24000
2024-05-06,225,225,212,217,36800
2024-05-07,218,218,218,218,16000
2024-05-08,218.5,221.95,216.25,218.6,83200
2024-05-09,221,226.95,215,215,59200
2024-05-10,215.25,218,210,212.6,12800
2024-05-13,212,212,210,210,20800
2024-05-14,202,214.95,202,205.15,11200
2024-05-15,214.95,214.95,208,208,9600
2024-05-16,208,211.6,208,211.6,8000
2024-05-17,211,211,208,208,3200
2024-05-18,208,218,208,217.2,11200
2024-05-21,217.2,218,212.1,217,12800
2024-05-22,214,214,211,211.25,8000
2024-05-23,203,210.7,203,206.1,11200
2024-05-24,205,214.9,205,210,12800
2024-05-27,206,211.5,206,211.5,3200
2024-05-28,211,215,205,209.8,17600
2024-05-29,201.05,206.9,201.05,206.45,8000
2024-05-30,205,205,205,205,3200
2024-05-31,180.8,203,178.5,190,49600
2024-06-03,190,190,180,187.5,28800
2024-06-04,182,182,150,172.7,20800
2024-06-05,160.55,190,160.55,175.45,176000
2024-06-06,182.1,193,182.1,189.95,120000
2024-06-07,189.95,191,189.95,190.5,24000
2024-06-10,185.5,185.5,185,185,4800
2024-06-11,184,184,179,179,3200
2024-06-12,180.05,183,180.05,183,4800
2024-06-13,182.3,183.9,180,183.9,16000
2024-06-14,186,186,178,181.3,20800
2024-06-18,185.9,186,178,179.1,20800
2024-06-19,178.3,178.3,165.75,177.55,14400
2024-06-20,178.05,180,176,176,16000
2024-06-21,179.95,180,179.95,180,3200
2024-06-24,176.05,176.05,173.5,174.05,9600
2024-06-25,175,175,167.15,167.15,9600
2024-06-26,170,172,167.2,167.2,33600
2024-06-27,171,171,164.05,169.7,160000
2024-06-28,165.1,167.5,164,166,33600
2024-07-01,166,166,157.1,160,14400
2024-07-02,160.5,164,160.2,163,16000
2024-07-03,179.5,187,174,184.65,56000
2024-07-04,188,189.95,178.15,183.95,14400
2024-07-05,182.7,184,182.7,184,6400
2024-07-08,177.1,177.1,172.8,174.25,41600
2024-07-09,172.8,180,171,180,81600
2024-07-10,181.9,181.9,170.15,172,20800
2024-07-11,170,170,170,170,3200
2024-07-12,165.2,175.15,164.6,168.45,62400
2024-07-15,179,179,172.05,172.05,12800
2024-07-16,183,183,174,174.75,113600
2024-07-18,174.75,174.75,172.5,172.5,4800
2024-07-19,172.5,172.5,165.25,169,84800
2024-07-22,166.05,169,165,168,16000
2024-07-23,166.1,166.1,164,164.15,9600
2024-07-24,170.9,176.9,170,174.05,30400
2024-07-25,175,175,175,175,1600
2024-07-26,169.75,169.75,167.1,167.1,4800
2024-07-29,165.55,169.9,165.1,169.9,9600
2024-07-30,168,168,166.5,166.5,8000
2024-08-01,164.1,164.1,164.1,164.1,1600
2024-08-02,160.25,160.25,152.3,160,12800
2024-08-05,161,161,155,155.15,9600
2024-08-06,155.05,156,150,154,11200
2024-08-07,150.6,155.75,150.6,152.5,4800
2024-08-08,159.95,167,159.95,164.75,25600
2024-08-09,168,168,162,165,6400
2024-08-12,165,165,161,161,3200
2024-08-13,161.25,161.25,159,161,16000
2024-08-14,160.25,172.1,160,161.05,24000
2024-08-16,170,170,166,166,12800
2024-08-19,166.25,169,162.6,169,4800
2024-08-20,161,161,160,160.65,9600
2024-08-21,160.3,161.8,156.1,160,35200
2024-08-22,161.25,162,159.25,159.25,11200
2024-08-23,158.55,160.95,158.3,160.7,9600
2024-08-26,158.05,158.05,156,156.15,4800
2024-08-27,158.9,167,157.9,165.05,73600
2024-08-28,166,167,161,161.2,17600
2024-08-29,160.05,160.05,160.05,160.05,1600
2024-08-30,155.25,167.1,155,164.7,14400
2024-09-02,160,160,158.5,158.5,3200
2024-09-03,153.6,161.9,153.6,160,4800
2024-09-05,157.75,159.85,157.75,159.8,9600
2024-09-06,155.05,157.5,155,157.5,8000
2024-09-09,151,151,151,151,1600
2024-09-10,158,165,158,162.3,22400
2024-09-11,165,177.8,165,171.15,68800
2024-09-12,173,173,167.05,170,12800
2024-09-13,170.2,175.5,168.5,173,33600
2024-09-16,173,173,165,167.05,27200
2024-09-17,161.5,167,160,167,27200
2024-09-18,166.95,166.95,157.5,159.65,24000
2024-09-19,162,162,155.3,155.3,16000
2024-09-20,160.95,161,160.95,161,4800
2024-09-23,161.9,161.9,161,161,3200
2024-09-24,161,161,160,161,6400
2024-09-25,158.05,158.05,155.25,157.45,83200
2024-09-26,156.8,173.9,155.6,167.3,126400
2024-09-27,184.4,200.75,184,200.75,380800
2024-09-30,218.8,231,214,225.2,726400
2024-10-01,228,228,217.1,223.1,163200
2024-10-03,217,219.95,205,212.15,113600
2024-10-04,221.95,221.95,197.3,201.8,107200
2024-10-07,210.9,212.9,191.1,197.75,72000
2024-10-08,200,207.2,199,207,33600
2024-10-09,209.8,211.5,207,209.2,14400
2024-10-10,206.1,208.5,199.25,200.45,51200
2024-10-11,209.85,209.85,199,200,14400
2024-10-14,200,200,190,193.1,51200
2024-10-15,191.2,196.8,190.5,194,24000
2024-10-16,194,224,190.05,220.45,160000
2024-10-17,223,224.95,206.25,219.1,94400
2024-10-18,222,222.95,202,221.3,83200
2024-10-21,225,226.95,220,223.65,176000
2024-10-22,223.4,225,210,212.1,73600
2024-10-23,216,216,210,210.5,27200
2024-10-24,221.9,221.9,212,212,24000
2024-10-25,212.55,212.65,197.4,200.15,30400
2024-10-28,197.4,202,197.4,200,16000
2024-10-29,200,200,195.5,196,12800
2024-10-30,203.5,214.95,200,210.7,100800
2024-10-31,210.7,214,209.95,213.95,10400
2024-11-01,213.95,215,209,212.75,8800
2024-11-04,206,210,197.4,204.15,20800
2024-11-05,207,207,199,206.45,16800
2024-11-06,203.3,209,203.1,208.95,14400
2024-11-07,224.7,225.7,205,207.25,20800
2024-11-08,207.25,214,205,208.95,36800
2024-11-11,209,209.8,203.25,203.75,12800
2024-11-12,203.1,205.05,198,202.15,12000
2024-11-13,197,201.45,192,194.6,17600
2024-11-14,198.5,199.95,193.4,193.4,4800
2024-11-18,204.35,204.35,191.05,194.55,11200
2024-11-19,200.9,204,200.2,201.25,20800
2024-11-21,200,204.95,197,200,12000
2024-11-22,197.05,197.05,190,192.75,24800
2024-11-25,194.5,195.95,192.15,193.25,24000
2024-11-26,191.8,195,186.5,188.3,33600
2024-11-27,188.3,204.4,184.1,203.15,63200
2024-11-28,205.9,205.9,197,197,7200
2024-11-29,203,207,194.5,198.95,58400
2024-12-02,198.95,199.65,190,191.6,26400
2024-12-03,191.7,195,191,193.25,16800
2024-12-04,192,194,190,191.35,12000
2024-12-05,191.4,191.4,184.15,186.1,22400
2024-12-06,187,190,187,188,5600
2024-12-09,193.5,196.4,192.05,192.05,16000
2024-12-10,190.05,190.05,186,186,7200
2024-12-11,186.2,189.95,186,189.9,6400
2024-12-13,190.95,190.95,183.1,186,6400
2024-12-16,195,195,185,185.6,14400
2024-12-17,186.15,186.5,173,179.3,38400
2024-12-18,179.3,181.65,176.8,181.4,7200
2024-12-19,176.05,176.5,174,176,15200
2024-12-20,182,184.2,174.05,174.05,19200
2024-12-23,174.05,179.95,174,174,3200
2024-12-24,174,174,166.75,168.65,4000
2024-12-26,168.65,170,168.6,169.3,2400
2024-12-27,177,177,169.4,169.4,2400
2024-12-30,168.1,168.1,168,168,8000
2024-12-31,168.4,170.4,168.4,170.4,1600
2025-01-01,173.4,175,173.4,175,6400
2025-01-02,177.95,186,170,185.15,52000
2025-01-03,183.1,190,183.1,188.65,23200
2025-01-06,185.3,185.5,171,173.1,11200
2025-01-07,177.25,189,171.25,181.25,32000
2025-01-08,178.5,180.05,178.5,179,3200
2025-01-09,174.55,175.5,171,171.1,12800
2025-01-10,174,177,173,175.5,14400
2025-01-13,169.1,169.1,165,165.45,5600
2025-01-14,166,169,166,169,2400
2025-01-15,172.9,173,169,171.75,6400
2025-01-16,173.8,173.8,173.8,173.8,800
2025-01-17,173.8,173.8,167.5,172.8,3200
2025-01-20,171,171.1,170.2,170.2,3200
2025-01-21,170.2,170.2,168.5,168.5,3200
2025-01-22,177,180,170.6,171.4,12000
2025-01-23,176.75,176.75,169.4,169.4,12800
2025-01-27,161.05,161.05,160.05,160.7,2400
2025-01-28,155,155,149.2,150.55,73600
2025-01-29,156.5,157,151.1,151.85,18400
2025-01-30,150,156.5,150,154,9600
2025-01-31,152,162,152,162,16800
2025-02-01,162,162,150.25,153.45,5600
2025-02-03,151,155,150.45,152.2,6400
2025-02-04,152,155.6,151.5,151.75,4800
2025-02-05,151.5,155.4,151.5,154.95,7200
2025-02-06,153.1,153.1,148,148.8,31200
2025-02-07,149.9,149.95,144,144,12000
2025-02-10,140,143.7,135.55,143.7,4800
2025-02-11,140,140,135,136.65,7200
2025-02-12,132,135,119,134.95,32000
2025-02-13,135,136,133,136,9600
2025-02-14,132,148,132,136.25,72800
2025-02-17,136.25,138.9,121.75,134.2,56800
