Date,Open,High,Low,Close,Volume
2015-09-07,5.9,6.65,5.15,6.55,525563
2015-09-08,6.75,7.1,6.5,6.65,378366
2015-09-09,6.75,7.05,6.5,6.9,257932
2015-09-10,6.8,7,6.45,6.9,54057
2015-09-11,6.8,6.95,6.65,6.8,154308
2015-09-14,7,7.05,6.75,7,112622
2015-09-15,6.85,7.25,6.85,7.15,165224
2015-09-16,6.95,7.2,6.95,7.15,109240
2015-09-18,7.35,7.35,6.95,7.25,191780
2015-09-21,7,7.3,6.95,7.05,72464
2015-09-22,7.05,7.2,6.95,7,86850
2015-09-23,6.9,7.1,6.9,7.05,33595
2015-09-24,6.9,7.25,6.9,7.2,45986
2015-09-28,7.2,7.2,6.9,6.95,57949
2015-09-29,6.85,7.1,6.65,6.75,96559
2015-09-30,6.7,6.95,6.6,6.65,71677
2015-10-01,6.7,6.8,6.1,6.6,123777
2015-10-05,6.5,6.65,6.4,6.55,208241
2015-10-06,6.55,6.8,6.4,6.5,247880
2015-10-07,6.5,6.75,6.4,6.45,116015
2015-10-08,6.5,6.6,6.3,6.4,150176
2015-10-09,6.6,6.6,6.2,6.25,136423
2015-10-12,6.25,6.45,6.25,6.4,121052
2015-10-13,6.7,6.7,6.3,6.4,77231
2015-10-14,6.4,6.6,6.4,6.5,50943
2015-10-15,6.45,6.55,6.4,6.4,200710
2015-10-16,6.4,6.6,6.4,6.5,125186
2015-10-19,6.4,6.65,6.4,6.45,105137
2015-10-20,6.45,6.6,6.45,6.45,33066
2015-10-21,6.45,6.75,6.45,6.6,205039
2015-10-23,6.75,6.75,6.3,6.35,121350
2015-10-26,6.55,6.55,6.25,6.3,31133
2015-10-27,6.4,6.4,6.25,6.35,10158
2015-10-28,6.1,6.4,6.1,6.25,38794
2015-10-29,6.25,6.5,6.2,6.45,85265
2015-10-30,6.35,6.75,6.2,6.35,157578
2015-11-02,6.2,6.5,6.15,6.15,55498
2015-11-03,6.2,6.25,6.05,6.15,64365
2015-11-04,6.15,6.25,6.05,6.2,71216
2015-11-05,6.1,6.25,6.05,6.15,43138
2015-11-06,6.2,6.2,5.85,6,40571
2015-11-09,5.9,5.9,5.05,5.65,117356
2015-11-10,5.7,5.9,5.65,5.7,30663
2015-11-11,5.85,5.9,5.8,5.85,9230
2015-11-13,5.95,5.95,5.6,5.65,34998
2015-11-16,5.85,5.95,5.6,5.8,71962
2015-11-17,5.8,6,5.6,5.7,46167
2015-11-18,5.7,6.6,5.65,6,145678
2015-11-19,6.4,6.4,5.85,5.95,82143
2015-11-20,6.05,6.1,5.9,5.95,40865
2015-11-23,5.95,6,5.8,5.8,101951
2015-11-24,5.75,6.15,5.75,6.1,106869
2015-11-26,6.8,6.8,6.1,6.15,110861
2015-11-27,6.3,6.4,6.15,6.35,62859
2015-11-30,6.35,6.6,6.2,6.3,65911
2015-12-01,6.35,6.45,6.2,6.35,50769
2015-12-02,6.35,6.4,6.25,6.3,37615
2015-12-03,6.2,6.75,6.1,6.35,180472
2015-12-04,6.15,6.7,6.15,6.5,81402
2015-12-07,6.4,6.7,6.3,6.55,75351
2015-12-08,6.6,7.2,6.45,6.5,315392
2015-12-09,6.45,6.55,6.2,6.25,92125
2015-12-10,6.25,6.5,6,6.15,89337
2015-12-11,6.05,6.2,5.9,5.95,118356
2015-12-16,6.3,6.3,6.1,6.15,62939
2015-12-17,6.15,6.2,6,6.15,55023
2015-12-18,6.15,6.2,6.1,6.15,17624
2015-12-21,6.2,6.5,6.1,6.25,303565
2015-12-22,6.3,6.5,6.05,6.15,313650
2015-12-23,6.15,6.6,6.15,6.35,142778
2015-12-24,6.35,6.5,6.25,6.3,49675
2015-12-28,6.35,6.45,6.25,6.35,137692
2015-12-29,6.4,6.55,6.15,6.2,171247
2015-12-30,6.2,7.15,6.2,6.8,956364
2015-12-31,7.1,7.1,6.5,6.7,192010
2016-01-01,6.8,6.8,6.55,6.6,87973
2016-01-04,6.7,6.95,6.45,6.5,220789
2016-01-05,6.45,7.1,6.45,7,379229
2016-01-06,7,7.2,6.75,6.9,265424
2016-01-07,6.8,6.9,6.4,6.5,220951
2016-01-08,6.8,6.85,6.5,6.6,128687
2016-01-11,6.6,6.75,6.45,6.7,125595
2016-01-12,6.75,6.95,6.45,6.5,179267
2016-01-13,6.6,6.6,5.5,6.15,172592
2016-01-14,6,6.15,5.65,5.9,66160
2016-01-15,6.05,6.05,5.6,5.7,121700
2016-01-18,5.8,5.8,5,5.15,125988
2016-01-19,5,5.6,5,5.35,130810
2016-01-20,5.1,5.45,4.95,5.2,126359
2016-01-21,5.45,5.45,5.1,5.15,48455
2016-01-22,5.2,5.5,5.2,5.35,67205
2016-01-25,5.6,5.6,5.45,5.5,89070
2016-01-27,5.5,5.8,5.5,5.6,72771
2016-01-28,5.6,5.7,5.45,5.5,67274
2016-01-29,5.75,5.75,5.4,5.55,94752
2016-02-01,5.5,5.75,5.45,5.5,56985
2016-02-02,5.5,5.7,5.25,5.25,110245
2016-02-03,5.25,5.3,5.1,5.15,40944
2016-02-04,5.2,5.3,5.05,5.15,40657
2016-02-05,5.1,5.25,5,5.15,136876
2016-02-08,5.1,5.3,5.1,5.15,56904
2016-02-09,5.1,5.2,4.95,5,143873
2016-02-10,5,5.15,4.9,4.95,177899
2016-02-11,5,5.1,4.5,4.6,69710
2016-02-12,4.65,4.85,4.2,4.7,81617
2016-02-15,4.55,5,4.55,4.85,22413
2016-02-16,5,5.15,4.7,5,75401
2016-02-17,4.85,5,4.8,4.95,23528
2016-02-18,4.85,5.05,4.8,4.85,52870
2016-02-19,4.9,4.95,4.8,4.9,12281
2016-02-22,4.9,4.95,4.75,4.8,43593
2016-02-23,4.8,4.85,4.6,4.6,58692
2016-02-24,4.65,4.85,4.05,4.55,106835
2016-02-25,4.6,4.75,4.45,4.6,39119
2016-02-26,4.6,4.75,4.2,4.4,58090
2016-02-29,4.5,4.85,4.3,4.8,38761
2016-03-01,4.65,5.05,4.6,4.85,78884
2016-03-02,5,5.05,4.8,4.95,46482
2016-03-03,5,5.5,5,5.15,33912
2016-03-04,5.35,5.45,4.95,5.05,69255
2016-03-08,5.05,5.25,4.8,4.95,75416
2016-03-09,5,5.1,4.8,4.95,44792
2016-03-10,4.9,5.15,4.9,5.05,60294
2016-03-11,4.9,5.05,4.9,5,33021
2016-03-14,5.1,5.1,4.7,4.8,66686
2016-03-15,4.8,4.9,4.7,4.8,27151
2016-03-16,4.8,4.95,4.75,4.9,16093
2016-03-17,5.05,5.05,4.8,4.85,26954
2016-03-18,4.9,5.1,4.75,4.8,197896
2016-03-21,4.8,4.95,4.65,4.75,87659
2016-03-22,4.85,5,4.85,5,88206
2016-03-23,5,5.15,4.85,5,364591
2016-03-28,4.9,5,4.8,4.85,89203
2016-03-29,4.85,4.9,4.65,4.7,87669
2016-03-30,4.75,5,4.75,4.95,107700
2016-03-31,4.85,4.95,4.7,4.75,22485
2016-04-01,4.95,4.95,4.75,4.95,7602
2016-04-04,5,5.05,4.85,4.9,66131
2016-04-05,4.9,4.95,4.75,4.85,24802
2016-04-06,4.85,4.9,4.7,4.8,67932
2016-04-07,4.9,4.9,4.7,4.8,55706
2016-04-08,4.75,5,4.55,5,250901
2016-04-11,4.95,4.95,4.8,4.95,7762
2016-04-12,4.95,4.95,4.75,4.8,71775
2016-04-13,4.95,4.95,4.8,4.8,34456
2016-04-18,4.75,4.9,4.75,4.75,31835
2016-04-20,4.85,4.85,4.7,4.7,33997
2016-04-21,4.7,5,4.7,4.85,86558
2016-04-22,4.75,4.85,4.75,4.75,14502
2016-04-25,4.9,4.9,4.7,4.7,19920
2016-04-26,4.65,4.8,4.65,4.75,18679
2016-04-27,4.7,4.9,4.7,4.75,34653
2016-04-28,4.75,4.8,4.6,4.6,34586
2016-04-29,4.65,4.75,4.65,4.7,13614
2016-05-02,4.75,4.8,4.6,4.65,39534
2016-05-03,4.7,4.75,4.6,4.65,24781
2016-05-04,4.65,4.65,4.5,4.6,25249
2016-05-05,4.7,5.35,4.7,4.9,241813
2016-05-06,4.95,5.15,4.65,4.75,24363
2016-05-09,4.75,5,4.75,4.85,70756
2016-05-10,4.95,4.95,4.8,4.8,56941
2016-05-11,4.8,4.85,4.7,4.7,33263
2016-05-12,4.75,4.9,4.7,4.85,47485
2016-05-13,4.85,4.9,4.7,4.9,67748
2016-05-16,4.75,4.8,4.7,4.75,21482
2016-05-17,4.75,4.8,4.7,4.8,34236
2016-05-18,4.75,4.85,4.7,4.75,31035
2016-05-19,4.8,4.85,4.75,4.8,26732
2016-05-20,4.8,4.85,4.7,4.7,25275
2016-05-23,4.8,4.85,4.6,4.7,78126
2016-05-24,4.75,4.75,4.2,4.5,129956
2016-05-25,4.6,4.6,4.4,4.55,60965
2016-05-26,4.5,4.55,4.4,4.4,43269
2016-05-27,4.5,5,4.4,4.75,103295
2016-05-30,4.75,4.9,4.7,4.8,104535
2016-05-31,4.7,4.7,4.45,4.5,57002
