Date,Open,High,Low,Close,Volume
2016-07-12,244.05,248.6,234.3,245.55,33526432
2016-07-13,245.5,247.7,225.5,228.3,5000422
2016-07-14,228.7,240.4,220.85,238.05,4878149
2016-07-15,237.7,243,231.9,239.9,2615496
2016-07-18,240.15,249.9,237.7,245,3086978
2016-07-19,245.2,247.65,239.15,241.65,1371696
2016-07-20,241.65,247.8,239.6,242.25,1549116
2016-07-21,242.55,243.8,237.4,238.15,680032
2016-07-22,239.15,240.55,234.75,235.65,674429
2016-07-25,237.15,241.65,231.9,235.25,607868
2016-07-26,237.15,242.55,235.65,239.1,730248
2016-07-27,241.45,259.6,239.7,255.65,3207850
2016-07-28,257.25,264.5,254.35,256.15,1599401
2016-07-29,257.15,258.95,248,249.05,611653
2016-08-01,252.55,295.25,251.85,289.4,7517884
2016-08-02,291.9,302.05,283.15,294.1,3859591
2016-08-03,293.85,294.2,281.25,287.15,1389541
2016-08-04,290.4,317.75,286.75,303.65,4689653
2016-08-05,305.55,308.5,299.35,303.25,975615
2016-08-08,305.45,305.45,271.5,272.85,3240876
2016-08-09,274.05,278.95,258.7,261.4,2817630
2016-08-10,263.45,271.4,261.75,268.6,2054437
2016-08-11,269.45,271.1,259.2,259.85,744026
2016-08-12,261.55,264.95,257.25,258.6,522338
2016-08-16,258.75,260.85,246.8,253.5,846178
2016-08-17,253.25,258.7,252.85,256.55,338475
2016-08-18,257.7,272.05,254.3,265.45,1002276
2016-08-19,265.95,273.8,261.8,264.8,626891
2016-08-22,266.7,280,265.5,277.95,1247190
2016-08-23,280.05,280.05,268.5,270.15,348076
2016-08-24,269.55,275.2,266.25,268.4,333538
2016-08-25,268.6,275.05,263.85,264.45,361299
2016-08-26,264.55,270.9,262.1,264.4,324638
2016-08-29,265.7,266.7,257.95,259.45,268799
2016-08-30,259.7,272.05,259.7,267.85,627998
2016-08-31,265.1,272.85,265.1,268.85,384171
2016-09-01,269.95,271.25,263.85,266.15,180376
2016-09-02,267.85,268.4,261.15,261.9,176716
2016-09-06,264.95,271.1,262.35,269.6,415292
2016-09-07,268.45,270.05,263.6,264.8,144010
2016-09-08,264.75,267.5,261.4,265.45,197815
2016-09-09,265.9,269.3,261.4,263.65,186360
2016-09-12,260.95,261,252.1,253.8,210177
2016-09-14,252.4,261.1,252.4,259.4,191332
2016-09-15,256.25,275.25,256.25,267.9,688164
2016-09-16,269.45,271.4,265.55,267.7,437880
2016-09-19,267.95,268.45,261.55,265.7,287637
2016-09-20,266.15,266.5,260.4,261.6,129816
2016-09-21,263.1,268.45,261.6,265.85,324679
2016-09-22,266.3,268.9,264.8,266.75,556530
2016-09-23,268.4,277.2,266.75,275.1,1059840
2016-09-26,275.75,277.85,266,268.25,306103
2016-09-27,267.8,276.35,265.05,270.95,329030
2016-09-28,275.85,277.45,266.2,267.6,446339
2016-09-29,268.45,280.9,248.95,271.75,848009
2016-09-30,269.55,280.5,264.25,272.9,384202
2016-10-03,273.8,289.15,273.8,284.55,908153
2016-10-04,285.2,292.85,282.2,289.6,524473
2016-10-05,287.85,302.1,287.85,296.35,1119033
2016-10-06,297.25,304.8,296.55,300.8,525450
2016-10-07,301.7,310.4,298,307.25,426388
2016-10-10,307.6,309.9,296.8,301.1,340206
2016-10-13,300.1,300.1,276.6,289.4,369994
2016-10-14,291.4,292.8,285.05,288.5,111412
2016-10-17,288.95,298.6,284.6,293.55,472258
2016-10-18,296.25,297.75,291,295.6,264570
2016-10-19,297.75,298.7,285.65,290.3,364120
2016-10-20,300.65,328,296.25,307.75,3942427
2016-10-21,308.95,311.8,301.15,305.55,490554
2016-10-24,306.05,306.9,293,295.1,339264
2016-10-25,297.25,298.25,288.85,289.85,224520
2016-10-26,288,297.25,284.2,286.5,347486
2016-10-27,288,290.05,279.75,286.55,209015
2016-10-28,287.95,297.75,285.55,291.45,325728
