Date,Open,High,Low,Close,Volume
2015-10-12,1.15,1.15,1.1,1.1,11
2015-10-15,1.05,1.05,1.05,1.05,300
2015-10-16,1,1,1,1,501
2015-10-19,0.95,1,0.95,1,1000
2015-10-20,1,1,1,1,8000
2015-10-21,1,1,1,1,650
2015-10-23,1,1,1,1,100
2015-10-27,1,1,1,1,200
2015-10-28,1,1,1,1,6000
2015-10-30,1,1,1,1,999
2015-11-02,0.95,1,0.95,1,9000
2015-11-03,0.95,0.95,0.95,0.95,4
2015-11-04,0.95,1,0.95,0.95,5100
2015-11-05,0.9,0.95,0.9,0.95,4102
2015-11-06,0.9,0.9,0.9,0.9,1460
2015-11-09,0.85,0.95,0.85,0.95,600
2015-11-10,0.9,0.9,0.9,0.9,125
2015-11-11,0.85,0.95,0.85,0.85,18194
2015-11-13,0.8,0.85,0.8,0.8,11127
2015-11-16,0.8,0.85,0.75,0.85,7185
2015-11-17,0.8,0.9,0.8,0.9,19212
2015-11-18,0.95,0.95,0.85,0.9,1414
2015-11-19,0.95,0.95,0.85,0.9,5825
2015-11-20,0.85,0.95,0.85,0.9,13847
2015-11-23,0.95,0.95,0.85,0.85,612
2015-11-24,0.9,0.9,0.8,0.9,3900
2015-11-26,0.95,0.95,0.85,0.9,5910
2015-11-27,0.85,0.95,0.85,0.85,11812
2015-11-30,0.9,0.9,0.85,0.85,2700
2015-12-01,0.9,0.9,0.9,0.9,4849
2015-12-03,0.95,0.95,0.95,0.95,8450
2015-12-04,1,1,1,1,7310
2015-12-07,1.05,1.05,1.05,1.05,5676
2015-12-08,1.1,1.1,1.1,1.1,1360
2015-12-09,1.15,1.15,1.15,1.15,300
2015-12-10,1.2,1.2,1.2,1.2,13697
2015-12-11,1.25,1.25,1.25,1.25,1253
2015-12-16,1.4,1.4,1.4,1.4,25
2015-12-17,1.45,1.45,1.45,1.45,1050
2015-12-18,1.5,1.5,1.5,1.5,3490
2015-12-21,1.55,1.55,1.55,1.55,1807
2015-12-22,1.6,1.6,1.6,1.6,2550
2015-12-23,1.65,1.65,1.65,1.65,10320
2015-12-24,1.7,1.7,1.7,1.7,1055
2015-12-28,1.75,1.75,1.75,1.75,1025
2015-12-29,1.8,1.8,1.8,1.8,6405
2015-12-30,1.85,1.85,1.75,1.85,32885
2015-12-31,1.9,1.9,1.8,1.9,28562
2016-01-01,1.95,1.95,1.9,1.95,16389
2016-01-04,2,2,2,2,2300
2016-03-09,1.9,1.9,1.9,1.9,4558
2016-03-10,1.9,1.9,1.85,1.85,2000
2016-03-11,1.85,1.85,1.85,1.85,267
