Date,Open,High,Low,Close,Volume
2020-10-05,1.1067,1.1067,1.1067,1.1067,180000
2020-10-06,1.1133,1.1156,1.1133,1.1133,360000
2020-10-08,1.12,1.1289,1.12,1.1289,540000
2020-10-09,1.1156,1.1156,1.1156,1.1156,180000
2020-10-13,1.1089,1.1356,1.1089,1.1356,540000
2020-10-14,1.1333,1.1378,1.1333,1.1378,540000
2020-10-15,1.1378,1.1511,1.1378,1.1511,720000
2020-10-16,1.1444,1.1511,1.1444,1.1511,360000
2020-10-19,1.1422,1.1733,1.1422,1.1733,720000
2020-10-20,1.1711,1.1711,1.1711,1.1711,180000
2020-10-21,1.1644,1.2356,1.1644,1.2356,1440000
2020-10-22,1.2289,1.2467,1.2289,1.24,540000
2020-10-23,1.2267,1.2489,1.2267,1.2489,360000
2020-10-26,1.2489,1.2689,1.2489,1.2689,360000
2020-10-27,1.2667,1.2711,1.2667,1.2711,360000
2020-10-28,1.2689,1.2822,1.2689,1.2822,360000
2020-10-29,1.2778,1.2889,1.2778,1.2889,360000
2020-10-30,1.2889,1.2889,1.2889,1.2889,180000
2020-11-03,1.2978,1.2978,1.28,1.28,540000
2020-11-04,1.2867,1.2867,1.2867,1.2867,180000
2020-11-05,1.2933,1.3,1.2933,1.3,360000
2020-11-09,1.2933,1.3356,1.2933,1.3356,540000
2020-11-10,1.3333,1.3578,1.3333,1.3578,360000
2020-11-11,1.3689,1.3689,1.3689,1.3689,180000
2020-11-12,1.3467,1.3489,1.3444,1.3444,540000
2020-11-13,1.3778,1.3778,1.3422,1.36,360000
2020-11-14,1.3622,1.3622,1.3622,1.3622,180000
2020-11-18,1.3711,1.3711,1.3711,1.3711,360000
2020-11-23,1.3333,1.3778,1.3333,1.3556,360000
2020-11-25,1.4422,1.4733,1.4422,1.4733,540000
2020-11-27,1.4444,1.4444,1.3844,1.3844,360000
2020-12-04,1.3356,1.3356,1.3356,1.3356,180000
2020-12-08,1.3244,1.3244,1.3244,1.3244,180000
2020-12-10,1.3333,1.3333,1.3311,1.3311,360000
2020-12-14,1.3333,1.3467,1.3333,1.34,360000
2020-12-16,1.3467,1.3467,1.3444,1.3444,360000
2020-12-21,1.3444,1.3444,1.3444,1.3444,180000
2020-12-23,1.34,1.34,1.3378,1.3378,360000
2020-12-29,1.3333,1.3333,1.3333,1.3333,180000
2020-12-31,1.3356,1.3356,1.3356,1.3356,180000
2021-01-04,1.3378,1.3378,1.3378,1.3378,180000
2021-01-06,1.3356,1.3356,1.3356,1.3356,180000
2021-01-08,1.3444,1.3444,1.3444,1.3444,180000
2021-01-13,1.3333,1.4667,1.3333,1.3511,900000
2021-01-14,1.32,1.3889,1.32,1.3889,360000
2021-01-22,1.3889,1.3889,1.3378,1.3689,540000
2021-01-27,1.3911,1.3911,1.3911,1.3911,180000
2021-01-28,1.3689,1.4022,1.3689,1.3844,360000
2021-02-03,1.4689,1.4689,1.4022,1.4022,540000
2021-02-04,1.3533,1.4467,1.3533,1.4178,720000
2021-02-11,1.3644,1.3911,1.3644,1.38,540000
2021-02-16,1.6556,1.6556,1.6556,1.6556,2580
2021-02-17,1.9867,1.9867,1.9867,1.9867,40500
2021-02-18,2.3822,2.3822,2.3822,2.3822,780
2021-02-19,2.62,2.62,2.62,2.62,550
2021-02-22,2.88,2.88,2.88,2.88,2350
2021-02-23,3.1667,3.1667,3.1667,3.1667,8200
2021-02-24,3.3244,3.3244,3.3244,3.3244,10
2021-02-25,3.4889,3.4889,3.4889,3.4889,4500
2021-02-26,3.6622,3.6622,3.6622,3.6622,4500
2021-03-02,3.8444,3.8444,3.8444,3.8444,11250
2021-03-03,4.0356,4.0356,4.0356,4.0356,13590
2021-03-04,4.2356,4.2356,4.0222,4.2333,488110
2021-03-05,4.4311,4.4444,4.0933,4.3022,503010
2021-03-08,4.5111,4.5111,4.1333,4.26,135240
2021-03-09,4.0489,4.3067,4.0489,4.0489,93870
2021-03-10,3.8467,4.1778,3.8467,3.9844,313740
2021-03-12,4.1822,4.1822,3.7867,3.9089,51540
2021-03-15,3.7822,4.0778,3.7822,4.0422,41370
2021-03-16,4.1578,4.1689,4.0422,4.0422,37260
2021-03-17,4.0422,4.0422,3.9333,3.96,9100
2021-03-18,3.9111,4.1156,3.8533,4.0044,45000
2021-03-19,3.9178,4.1244,3.9178,3.9778,56020
2021-03-22,3.9778,3.9778,3.9178,3.9644,20610
2021-03-23,3.92,3.92,3.8711,3.88,39640
2021-03-24,3.9111,3.9111,3.8622,3.8622,20920
2021-03-25,3.8244,3.8622,3.8244,3.8244,14230
2021-03-26,3.8222,3.8222,3.8178,3.8222,5460
2021-03-30,3.8267,3.9511,3.8267,3.9111,13830
2021-03-31,3.9111,3.9333,3.9067,3.9333,13560
2021-04-01,3.8578,3.8733,3.8578,3.8667,35790
2021-04-05,3.8667,3.9911,3.8667,3.9867,5190
2021-04-06,3.9556,4.0311,3.9556,3.9622,19090
2021-04-07,4.0422,4.0422,3.96,3.96,3480
2021-04-08,3.9556,3.9556,3.8667,3.9533,16870
2021-04-09,4.1111,4.1111,3.9067,3.9111,11530
2021-04-12,3.8222,3.8222,3.8222,3.8222,990
2021-04-13,3.8222,3.8222,3.7778,3.7778,3820
2021-04-15,3.8,3.9333,3.7778,3.8089,5670
2021-04-16,3.8044,3.8067,3.6444,3.6444,14620
2021-04-19,3.6889,3.8178,3.6889,3.8111,11310
2021-04-20,3.9467,3.9467,3.8,3.8,1710
2021-04-22,3.8222,3.8667,3.8222,3.8667,1230
2021-04-23,3.8667,3.9111,3.8444,3.9111,8430
2021-04-26,3.9111,3.9511,3.8889,3.9467,70080
2021-04-27,3.9556,4,3.9333,3.9667,80970
2021-04-28,3.9556,4.0444,3.9556,4.0089,92260
2021-04-29,3.9556,4.0844,3.9556,4.0356,84240
2021-04-30,4.1022,4.1089,4.0111,4.0222,164040
2021-05-03,4.0889,4.0889,4.0311,4.06,90940
2021-05-04,4.0889,4.1244,4.0489,4.1044,102150
2021-05-05,4.1244,4.1244,4.0889,4.1,62590
2021-05-06,4.1333,4.1333,4.0867,4.12,164080
2021-05-07,4.1333,4.1333,4.0444,4.1222,57250
2021-05-10,4.1333,4.2222,4.1333,4.22,114880
2021-05-11,4.1378,4.2978,4.1378,4.2067,66330
