Date,Open,High,Low,Close,Volume
2025-05-29,131,133.7,129.15,132.82,209806
2025-05-30,134.27,136.33,130,131.76,230873
2025-06-02,131.49,131.49,126,126.53,125318
2025-06-03,125.98,126.49,124,124.88,200604
2025-06-04,125,126.75,119,121.78,140716
2025-06-05,122.6,127.25,122.19,122.77,241453
2025-06-06,126.79,132.38,124.2,127.6,421543
2025-06-09,128.15,131.95,126,126.99,231463
2025-06-10,128.81,128.81,125.46,126.31,141502
2025-06-11,126.31,128.19,125.8,126.06,101075
2025-06-12,125.3,126.83,123.6,124.52,111174
2025-06-13,121.66,124.74,121.66,122.96,123928
2025-06-16,121.01,122.44,115.26,119.3,479021
2025-06-17,121.55,122.77,117.02,120.37,266891
2025-06-18,121.79,121.79,117.08,119.05,147337
2025-06-19,118.46,129.05,109.85,117.1,1174421
2025-06-20,118.22,120,115,117.11,259417
2025-06-23,114.7,116.79,114.7,115.72,130028
2025-06-24,115.72,117.48,113.5,114.24,206490
2025-06-25,114.25,117.32,113.9,116.39,199380
2025-06-26,116.98,117.5,115,115.84,202604
2025-06-27,115.85,125,115.71,120.82,562030
2025-06-30,123,123,108.73,109.18,1620709
2025-07-01,109.74,113.51,107.43,109.9,714435
2025-07-02,111.5,111.5,105.32,107.8,486431
2025-07-03,107.8,109.5,106.42,108.18,208779
2025-07-04,109.49,109.6,107,108.22,172706
2025-07-07,108.06,108.93,106.2,106.88,183076
2025-07-08,106.3,110.5,106.05,109.74,309453
2025-07-09,110.79,120.71,110.29,120.71,1796218
2025-07-10,124.45,128.16,121.1,124.62,1682615
2025-07-11,126,127.4,120,124.06,656863
2025-07-14,128.49,135.9,125.01,131.15,2968790
2025-07-15,137,144.26,136.2,143.33,3710329
2025-07-16,144.26,145.88,136.16,136.46,2065145
2025-07-17,133.2,134.48,129.63,130.05,1048303
2025-07-18,130,136.55,127.45,136.55,859013
2025-07-21,137,143.37,135.35,138.95,1148323
2025-07-22,136.11,137.67,132,133.54,855396
2025-07-23,135,135.89,126.86,126.86,747646
2025-07-24,120.51,120.51,120.51,120.51,558115
2025-07-25,114.48,114.48,114.48,114.48,268938
2025-07-28,108.75,113.13,108.75,108.75,7447596
2025-07-29,108.75,111.44,106.51,109.54,2250421
2025-07-30,109.54,111.95,107.7,111.2,1825009
2025-07-31,110,112.62,108.6,110.56,1363577
2025-08-01,110.56,111.34,106.8,107.76,607450
2025-08-04,107.51,109.19,106.57,106.97,552299
2025-08-05,108.69,108.69,105.83,107.58,709913
2025-08-06,108.5,108.7,106.02,107.04,711140
2025-08-07,106.96,106.96,101.7,102.91,706269
2025-08-08,103.25,103.79,101.5,102.45,327279
2025-08-11,102.45,103.55,100,101.51,412970
2025-08-12,98.09,102.99,98.09,101.04,538346
2025-08-13,103.49,103.49,100.17,101,331612
2025-08-14,101.5,102.8,100.99,102.56,574554
2025-08-18,103,104.52,101,101.63,413770
2025-08-19,103,103.75,101.71,103.16,274328
2025-08-20,103.16,108.31,103.1,107.87,1273585
2025-08-21,108.95,109.5,106.84,107.99,772503
2025-08-22,108.4,109.49,102.92,105.67,425102
2025-08-25,105.66,107.12,103.52,103.95,251948
2025-08-26,104.46,105.75,102.11,103.43,179601
2025-08-28,102.33,103.89,101,101.39,329259
2025-08-29,102.85,103,100,101.21,365015
2025-09-01,101.98,102.34,100.5,100.9,404950
2025-09-02,101.1,103.14,100.55,101.34,466210
2025-09-03,102,102.38,100.5,100.73,466245
