Date,Open,High,Low,Close,Volume
2015-09-07,398.3667,404.0333,398.3667,400.2333,9667
2015-09-08,400,405.9333,397.4,403.8667,6912
2015-09-09,409.9667,412,400.1,403.8,3972
2015-09-10,403.3333,403.3333,396.6667,398.3333,6502
2015-09-11,412.6667,412.6667,398.6667,402.7667,4557
2015-09-14,410,412.7333,402,406.6333,16158
2015-09-15,407.2667,411.6667,402.6667,405.6333,1870
2015-09-16,406.6667,411.6667,403.3333,403.3333,3504
2015-09-18,407.7333,411.8333,404.9333,406.3667,1858
2015-09-21,400.7,413.2667,400.6667,411.9333,4033
2015-09-22,413.3333,423.2667,410.0333,416.0667,61333
2015-09-23,420,420,407.3333,413.3667,5674
2015-09-24,413.3333,418.6333,412,413.7,3669
2015-09-28,419.2667,419.2667,406,408.1333,3243
2015-09-29,408,410.6667,406.6667,407.4333,3357
2015-09-30,407.3667,412,406.7333,410.3333,1596
2015-10-01,419.8667,426.5333,413.3333,420.2,6994
2015-10-05,419.3333,433.3333,414.7,430.0333,271567
2015-10-06,426.0333,437.9667,425.3333,437.2667,163594
2015-10-07,436.6667,458.9333,432,438.4,11530
2015-10-08,436.7,443.3333,433.3333,437.9667,3559
2015-10-09,434.0333,442,423.7667,427.6667,5731
2015-10-12,427.7,436.5667,420.7333,423.9,8076
2015-10-13,420.8667,426.6667,413.6667,426.6333,153987
2015-10-14,426.5667,430.2,421.3333,423.6667,2263
2015-10-15,418.0667,432.4667,418.0667,419.5333,3354
2015-10-16,421.7667,426.6667,419.3,424.2667,3027
2015-10-19,427.3,439.4,422,433.6,5479
2015-10-20,427.7333,436.6333,425.2333,430.2333,4867
2015-10-21,430.7667,436,425.3333,428,4236
2015-10-23,430.0333,435.3667,427,431.1333,4795
2015-10-26,434,441.2,429.8667,431.6,74820
2015-10-27,433.2667,433.2667,420,423.5333,6964
2015-10-28,424.0333,430.6667,424.0333,428.6333,4441
2015-10-29,432.6,432.6,410,424.1667,6597
2015-10-30,419.9667,428.7667,417.5333,427.7667,1887
2015-11-02,426.6667,430.6667,411,423.9667,4921
2015-11-03,431.9667,435.9333,420.7,434.7,92227
2015-11-04,439.2667,450.3333,430,438.1,55534
2015-11-05,420,420,403.3333,409.8667,65536
2015-11-06,419.2667,419.2667,393.3333,397.2,9867
2015-11-09,390.6667,403.2667,386.7333,397.6667,3097
2015-11-10,402,402,394,397.8,1605
2015-11-11,394.3333,401.9667,394.3333,397.0333,1183
2015-11-13,394.3,394.3,384,387.3667,5464
2015-11-16,387.3333,387.3333,371.6333,381.7,11071
2015-11-17,381.9667,386.2667,367.3333,380.3333,10201
2015-11-18,375.3667,389.9333,370,381.5667,7944
2015-11-19,385.9667,391.9667,380.3333,386.8,2835
2015-11-20,389.9333,399.3333,381.6333,391.7,5055
2015-11-23,390.2,393.3333,384,384.8,1786
2015-11-24,386.4667,386.4667,380,381.0667,2484
2015-11-26,373.6667,389.9,372,373.4333,7474
2015-11-27,377.3,379.8,370.0667,373.1667,6360
2015-11-30,380.6333,380.6333,370.6667,378.3,4080
2015-12-01,371.8,381.3333,371.8,374,10548
2015-12-02,374.4333,375.9667,370.6667,372.1667,2230
2015-12-03,370,378,370,376.1,5103
2015-12-04,378.4,378.5333,372,372.2,3355
2015-12-07,370,372,346.1333,349.7667,36099
2015-12-08,353.0667,353.0667,337,342.4333,28066
2015-12-09,342.1667,344.6667,336.6667,343.1667,6352
2015-12-10,352.6333,353.3333,340.3333,351.8667,4494
