Date,Open,High,Low,Close,Volume
2015-09-07,190.2534,191.5585,187.8589,189.1072,9357860
2015-09-08,189.7427,193.5898,187.2688,192.6025,11795320
2015-09-09,195.4169,199.4341,193.0337,198.3788,15855164
2015-09-10,195.4169,197.573,194.1686,196.7787,10125692
2015-09-11,197.9135,198.844,194.3274,195.4055,9723776
2015-09-14,195.5871,196.4836,193.3515,196.0637,7281812
2015-09-15,195.6438,197.4596,194.1913,197.0397,10523776
2015-09-16,197.9362,199.1277,196.3701,198.0383,12274744
2015-09-18,199.3774,204.155,199.0823,203.2245,31326368
2015-09-21,199.7292,201.5903,198.8327,199.298,11641456
2015-09-22,199.7292,200.8413,191.6719,192.4436,14396648
2015-09-23,191.3315,194.4636,190.6506,192.9997,13917296
2015-09-24,192.4663,192.4663,189.459,190.0491,26586036
2015-09-28,190.6052,190.8549,188.0859,189.3456,10628788
2015-09-29,188.3809,192.977,187.4958,190.8208,14495348
2015-09-30,193.1472,196.2793,190.3102,195.7119,15810660
2015-10-01,198.3561,198.3561,194.8721,196.2566,7921224
2015-10-05,195.8254,201.9989,195.6098,201.5449,14643416
2015-10-06,203.2812,204.382,201.0342,203.8259,11273992
2015-10-07,203.0656,208.3652,202.2258,207.4006,10528716
2015-10-08,207.6503,207.6503,201.1477,201.7946,9831956
2015-10-09,202.9181,205.5055,200.0696,201.3974,8528780
2015-10-12,201.5449,204.6316,201.5449,202.396,5680196
2015-10-13,200.8754,203.4287,200.3874,202.8159,5634632
2015-10-14,203.3152,205.4033,202.8954,204.938,7317028
2015-10-15,206.0161,206.7651,204.2912,205.1083,8273320
2015-10-16,205.2898,207.6276,205.1083,207.0261,13940772
2015-10-19,213.5741,219.1347,213.5741,218.6808,30635500
2015-10-20,219.0212,219.4071,216.2976,217.1374,16542012
2015-10-21,216.8651,221.2455,216.2976,216.7516,13170460
2015-10-23,218.7829,220.8483,213.6081,216.8991,11112272
2015-10-26,218.3176,218.5673,213.6422,213.994,10001680
2015-10-27,213.0747,215.2196,212.757,213.245,10607904
2015-10-28,212.6435,214.4592,211.0548,212.6549,10934256
2015-10-29,212.4392,214.4819,212.2009,213.5741,12142688
2015-10-30,213.8237,216.9558,213.3698,215.0947,12221300
2015-11-02,215.3898,218.2268,214.5273,217.841,6603352
2015-11-03,218.624,220.2582,218.1701,219.5205,10399184
2015-11-04,219.7021,221.2909,214.7543,215.9118,9173672
2015-11-05,215.3898,215.8437,211.7583,212.5754,9845036
2015-11-06,213.2223,216.6948,212.8705,216.1615,7650396
2015-11-09,211.8718,219.0212,209.5908,218.1701,15572640
2015-11-10,217.2055,217.7729,207.968,209.432,10502244
2015-11-11,210.4193,211.7243,210.4193,210.7257,1198044
2015-11-13,207.6843,213.018,207.5595,211.7697,12510196
2015-11-16,210.1696,213.801,209.8859,212.0534,14031852
2015-11-17,212.9045,213.0974,210.215,210.5668,7852420
2015-11-18,210.5327,211.3725,206.5268,206.9921,10285532
2015-11-19,208.5581,213.052,208.1836,212.1555,11139504
2015-11-20,211.9853,216.2523,210.0675,214.9018,10335860
2015-11-23,215.6167,217.4098,214.7543,216.4679,9600052
2015-11-24,216.2976,220.5192,215.8551,219.634,13537772
2015-11-26,220.383,225.1379,219.7589,224.3889,21766448
2015-11-27,224.4684,225.2628,221.0866,222.2101,9958788
2015-11-30,222.0853,223.4243,218.4084,219.2141,27356108
2015-12-01,218.7943,222.1533,218.1701,219.2255,11869300
2015-12-02,219.3049,222.3576,218.9077,221.9604,6924816
2015-12-03,221.2682,224.457,221.0866,221.7902,10388096
2015-12-04,220.6781,221.5632,218.2042,219.1234,12292004
2015-12-07,219.1234,220.8369,215.56,216.082,13243112
2015-12-08,215.3671,216.4338,212.4619,213.5514,6886904
2015-12-09,212.4846,214.1301,207.185,207.8772,8388472
2015-12-10,209.3752,216.4792,208.8078,215.6962,16999460
2015-12-11,216.0139,217.6594,214.0053,216.2863,16600180
2015-12-16,221.4951,224.1393,220.9504,222.1193,11060992
2015-12-17,222.437,230.3695,221.9718,229.1666,17709740
2015-12-18,227.8275,229.0077,224.6953,225.1266,14644080
2015-12-21,224.2187,226.738,223.413,225.172,11275340
2015-12-22,225.3309,227.5551,223.3336,224.0825,10587312
2015-12-23,225.1039,228.5311,224.6953,227.8275,11812692
2015-12-24,227.8502,228.5991,226.1252,227.0898,10882276
2015-12-28,227.1012,230.0858,226.965,229.3254,11782032
2015-12-29,229.3254,231.2092,228.5878,230.4603,13636240
2015-12-30,230.3695,230.5964,227.4189,227.9863,7453284
2015-12-31,227.7367,231.4362,226.7607,230.2787,16900264
2016-01-01,229.1893,231.2546,228.8261,230.4489,4952540
2016-01-04,228.0998,230.0971,223.9464,225.8983,27586284
2016-01-05,227.0331,229.2346,226.2841,228.1339,13665836
2016-01-06,228.6899,235.6805,227.0558,234.2733,24467420
2016-01-07,231.7426,233.32,228.7921,229.9723,18048876
2016-01-08,231.5043,234.4321,230.7553,232.8093,19487356
2016-01-11,230.5851,240.7645,229.4616,238.6764,26530684
2016-01-12,239.4481,241.8085,236.2933,237.2806,21371044
2016-01-13,239.0168,247.3351,237.6777,244.4073,65651244
2016-01-14,241.4567,245.3492,239.0055,240.9574,25439652
2016-01-15,242.7958,247.2784,241.8539,243.6015,26302900
2016-01-18,243.9874,246.0187,228.8034,230.7894,24919836
2016-01-19,233.547,238.2679,230.1652,236.8607,19648384
2016-01-20,234.8861,234.8861,224.6953,227.9977,41249412
2016-01-21,230.9482,232.8093,221.6767,223.379,29047088
2016-01-22,225.6146,229.4616,225.6146,227.9069,21653820
2016-01-25,229.2346,231.2206,226.965,227.8615,11977360
2016-01-27,228.8034,229.2346,226.2728,226.8175,15773180
2016-01-28,227.192,231.9128,226.3068,230.8007,21097892
2016-01-29,231.266,236.0436,231.0504,234.9996,17534308
2016-02-01,236.0323,236.4521,232.764,233.842,9069092
2016-02-02,233.842,234.4095,224.8088,227.226,13505864
2016-02-03,224.2414,225.6032,221.2909,222.7435,14347232
2016-02-04,224.2414,227.192,219.1801,220.8483,16644316
