Date,Open,High,Low,Close,Volume
2015-09-07,14.19,14.19,13.1,13.24,25010
2015-09-08,13.07,13.87,13.02,13.74,29145
2015-09-09,14,14.56,13.8,13.9,30080
2015-09-10,14.19,14.19,13.34,13.76,17575
2015-09-11,13.8,14.2,13.77,14.13,20655
2015-09-14,14,14.36,13.74,14.14,7340
2015-09-15,15.42,15.42,14,14.17,28305
2015-09-16,14.2,14.5,13.8,14.03,24865
2015-09-18,14.18,14.4,14.02,14.16,4845
2015-09-21,14.5,14.54,13.83,14.02,13290
2015-09-22,14.2,14.8,14.1,14.35,40450
2015-09-23,14.21,14.59,14.15,14.25,22505
2015-09-24,14.06,14.58,14.06,14.42,14390
2015-09-28,14.5,14.52,14.4,14.4,15450
2015-09-29,15.6,15.6,14.13,14.14,18460
2015-09-30,14.02,14.46,14.02,14.4,13625
2015-10-01,14.4,14.5,14.08,14.17,3520
2015-10-05,14.17,14.4,14.14,14.31,22310
2015-10-06,14.5,14.6,14.39,14.5,16165
2015-10-07,14.69,14.69,14.31,14.44,11425
2015-10-08,14.32,15.36,14.3,15.04,106825
2015-10-09,14.8,15.3,14.46,14.97,18515
2015-10-12,14.97,14.97,14.6,14.68,14145
2015-10-13,14.68,14.99,14.62,14.95,11160
2015-10-14,14.94,15.35,14.69,15.21,44620
2015-10-15,15.1,15.58,14.92,15.05,37240
2015-10-16,15.4,15.57,15.14,15.2,38355
2015-10-19,15.4,15.4,15.02,15.03,3335
2015-10-20,15,15.4,14.84,15.4,8465
2015-10-21,15.2,15.66,15.2,15.44,13625
2015-10-23,15.57,15.57,15.02,15.07,5060
2015-10-26,15.1,15.3,14.98,15.26,2105
2015-10-27,15.3,15.3,14.8,14.81,765
2015-10-28,14.82,15.2,14.82,14.82,2675
2015-10-29,14.8,15.19,14.64,15.1,8175
2015-10-30,15.5,15.58,14.7,14.84,9005
2015-11-02,15.8,17.8,15.8,17.8,696895
2015-11-03,18.26,18.84,16.6,17.62,744690
2015-11-04,18.3,21.14,17.76,20.99,1386340
2015-11-05,20.95,21.5,19.52,19.96,951410
2015-11-06,19.62,20.67,19.28,19.49,123990
2015-11-09,19.38,20,19,19.6,85905
2015-11-10,19.8,21.3,19.7,20.33,187625
2015-11-11,21.13,21.2,20.31,21.07,78475
2015-11-13,21.6,21.6,19.8,20.16,127325
2015-11-16,20,22.17,19.17,22.17,174935
2015-11-17,22.98,24.38,22.98,23.39,392620
2015-11-18,23.14,24.86,22.8,24.3,348115
2015-11-19,24.63,24.95,23.62,23.78,79620
2015-11-20,23.8,24.74,22.9,23.15,82070
2015-11-23,23.15,24.44,23.15,24.22,167710
2015-11-24,24.3,25,23.07,23.52,139725
2015-11-26,24.2,24.78,23.62,24.07,252435
2015-11-27,24.18,24.39,23.3,23.49,86340
2015-11-30,23.49,24.18,22.6,23.76,92995
2015-12-01,24.19,26.13,23.66,25.98,889995
2015-12-02,27,27.93,26.46,27,585500
2015-12-03,27,27.2,25.43,25.92,284070
2015-12-04,26,26.4,25.45,25.73,191925
2015-12-07,26.37,26.37,24.45,24.68,220245
2015-12-08,24.8,24.84,22.44,23.22,245660
2015-12-09,22.52,24.6,22.48,23.28,281580
2015-12-10,23.71,24,23,23.87,118060
2015-12-11,23.6,24,23.11,23.53,65570
2015-12-16,24.2,25.54,23.4,24.98,295575
2015-12-17,25.2,25.7,24.7,25.32,162265
2015-12-18,25.34,26.96,24.89,26.09,397480
2015-12-21,26.48,27.93,26.4,27.1,228225
2015-12-22,27.28,27.81,26.8,26.86,138715
2015-12-23,27.12,27.79,25.94,26.62,342010
2015-12-24,26.82,27.2,26.31,26.85,142250
2015-12-28,27.17,27.57,26.6,26.9,164035
2015-12-29,27.02,27.18,26.3,26.57,88560
2015-12-30,27,27.58,26.62,27.21,80655
2015-12-31,27.36,29.56,27.36,29.06,491380
2016-01-01,29.2,34.49,29.2,33.61,1591745
2016-01-04,33.94,35.96,33.64,35.43,885590
2016-01-05,35.6,36.85,34.66,34.88,444610
2016-01-06,35.02,35.69,31.23,33.65,403175
2016-01-07,33.6,33.6,31.6,31.7,282055
2016-01-08,32.62,32.9,31.86,32.51,119235
2016-01-11,32.7,32.7,30.15,31.06,138245
2016-01-12,31.02,32.28,30.4,31.58,110490
2016-01-13,31.58,33.8,26.22,29.48,484750
2016-01-14,29.34,30.9,26.02,29.98,154820
2016-01-15,29.98,31.5,27.6,27.84,139750
2016-01-18,26.13,27.34,24.4,25.68,275715
2016-01-19,27,28,25.12,27.65,135980
2016-01-20,27,27,25,25.99,202175
2016-01-21,26.4,27.6,25.98,26.93,102675
2016-01-22,27.6,29.03,27,28.09,98675
2016-01-25,28.41,30.56,28.4,29.13,91015
2016-01-27,29.4,30.66,28.81,29.57,49280
2016-01-28,29.2,30.6,29.2,29.98,48320
2016-01-29,29.98,30.99,29,29.51,47085
2016-02-01,29.4,30.2,29,29.16,37995
2016-02-02,29.2,29.6,27.61,28,51235
2016-02-03,27.4,28.32,26.6,27.19,103825
2016-02-04,28.82,29.38,26.45,26.74,72055
2016-02-05,26.72,28.4,26.59,27.68,39245
2016-02-08,28.4,28.4,25.43,25.67,176055
2016-02-09,25.42,26.4,24.68,26.06,122425
2016-02-10,25.93,26.36,24.33,25.65,60495
2016-02-11,25.22,25.5,23,23.59,59390
2016-02-12,22.8,23.56,20.76,22.71,104575
2016-02-15,23.21,25.2,23.2,24.83,70460
2016-02-16,24.82,25.7,23.62,24.85,96270
2016-02-17,25.09,25.09,22.4,24.2,53210
2016-02-18,24.7,25.14,24.6,24.62,30245
2016-02-19,24.6,25.22,22.75,24.79,16075
2016-02-22,26,28.35,25.61,26.74,226520
2016-02-23,26.8,27.38,26.08,26.77,57860
2016-02-24,26.61,27.18,26.04,26.25,39810
2016-02-25,26.5,26.58,25.92,26.04,46175
2016-02-26,27.09,27.16,25.4,25.88,39250
2016-02-29,26.49,26.59,24.83,25.17,61585
2016-03-01,25.6,26.4,25.31,25.61,17005
2016-03-02,26.9,26.9,25.64,26.03,70150
2016-03-03,26.4,26.4,25.6,25.98,26105
2016-03-04,26.38,26.38,25.24,25.92,13800
2016-03-08,27.16,27.16,25.62,26.77,70480
2016-03-09,27.16,27.16,25.81,25.99,21175
2016-03-10,25.71,26.6,24.3,24.89,157015
2016-03-11,24.91,25.98,24.41,25.27,49210
2016-03-14,25.8,25.8,25.2,25.41,17765
2016-03-15,25.8,26,24.6,24.81,16910
2016-03-16,25.2,26,24.61,25.4,32205
2016-03-17,26,26,24.96,25.67,9530
2016-03-18,26.07,26.07,24.95,25.05,52755
2016-03-21,25.56,26.4,25.06,25.64,64270
2016-03-22,26,26.62,25.4,25.75,129450
2016-03-23,25.97,26.87,25.84,26.21,109030
2016-03-28,25.83,26.6,25.02,25.2,12235
