Date,Open,High,Low,Close,Volume
2022-06-01,64,65,64,65,2000
2022-06-07,70,71,63,63,4000
2022-06-08,56,59.2,56,59.2,18000
2022-06-14,70,70,70,70,1000
2022-06-21,58.2,71.9,57.3,68,15000
2022-06-22,74.95,74.95,74.95,74.95,1000
2022-06-24,62.45,62.45,62.45,62.45,1000
2022-06-30,66,66,66,66,1000
2022-07-07,58.1,58.1,58.1,58.1,20000
2022-07-08,58.6,58.6,58.6,58.6,24000
2022-07-11,66.25,66.25,66.25,66.25,1000
2022-07-13,73,75.7,73,75.7,5000
2022-07-14,80,80,80,80,1000
2022-07-15,91,91,85,85,2000
2022-07-18,85,93.5,85,92.9,8000
2022-07-19,93,93,93,93,1000
2022-07-20,95,97,95,96,2000
2022-07-22,100,105.6,100,105.6,16000
2022-07-25,105,112.95,105,112.95,3000
2022-07-26,114,115,114,115,2000
2022-07-27,114,114,114,114,1000
2022-07-28,102.75,114,102.6,112.5,5000
2022-07-29,114.95,114.95,101.25,108.05,5000
2022-08-05,102.65,102.65,102.65,102.65,2000
2022-08-08,97.55,97.55,97.55,97.55,1000
2022-08-10,92.75,92.75,92.7,92.7,2000
2022-08-11,93.3,93.3,93.3,93.3,1000
2022-08-12,96.95,97.95,96.95,97.95,3000
2022-08-17,100,100,100,100,1000
2022-08-19,104.9,105,104.9,104.95,3000
2022-08-22,99.75,104.95,99.75,104.95,3000
2022-08-24,104.45,105,104.45,105,5000
2022-08-25,104,110.25,104,110.25,9000
2022-08-26,115.75,115.75,105.6,115,5000
2022-08-29,109.25,120.75,109.25,120.75,14000
2022-08-30,126.75,126.75,115,120,6000
2022-09-01,118,122,117.6,122,3000
2022-09-02,118.6,124,116.2,124,4000
2022-09-05,117.8,117.8,117.8,117.8,1000
2022-09-06,121.5,121.5,112,116.5,3000
2022-09-08,110.7,117.95,110.7,117.95,3000
2022-09-09,112.1,112.1,112.1,112.1,1000
2022-09-19,106.5,106.5,106.5,106.5,2000
2022-09-22,103,111.75,103,111.75,2000
2022-09-23,117.05,117.05,116.95,116.95,3000
2022-09-26,111.15,115.95,111.15,115.95,3000
2022-09-27,110.2,110.2,110.2,110.2,1000
2022-09-28,105,105,104.7,104.7,2000
2022-10-07,99.5,99.5,99.5,99.5,2000
2022-10-12,99.45,99.45,99.45,99.45,1000
2022-10-17,94.8,94.8,94.8,94.8,1000
2022-10-19,90.1,99.45,90.1,99.45,4000
2022-10-20,94.5,94.5,94.5,94.5,1000
2022-10-25,99.2,99.2,99,99,4000
2022-11-01,95,95,95,95,9000
2022-11-02,99.75,99.75,99.75,99.75,69000
2022-11-07,94.8,94.8,94.8,94.8,1000
2022-11-10,99,99.5,99,99.5,52000
2022-11-11,103.9,103.9,103.9,103.9,2000
2022-11-14,109.05,109.05,109.05,109.05,1000
2022-11-15,103.6,103.6,103.6,103.6,1000
2022-11-21,103.6,103.6,103.6,103.6,1000
2022-11-23,100,100,100,100,44000
2022-11-24,100,100,100,100,5000
2022-11-30,99,99,99,99,1000
2022-12-07,99,99,99,99,1000
2022-12-08,100,100.05,100,100.05,107000
2022-12-09,99,105.05,99,105.05,2000
2022-12-16,99.8,99.8,99.8,99.8,1000
2022-12-20,99.7,104.75,99.7,104.75,5000
2022-12-22,99.55,99.55,99.55,99.55,1000
2022-12-26,99.55,104.2,99.55,104.2,4000
2022-12-28,99,99,99,99,1000
2022-12-29,94.05,94.1,94.05,94.1,2000
2022-12-30,90.5,98.8,90.4,98.8,6000
2023-01-04,100.7,103.65,100.7,103.65,4000
2023-01-06,106.3,106.3,106.3,106.3,1000
2023-01-10,105,105,105,105,1000
2023-01-20,110.15,110.15,110.15,110.15,1000
2023-01-23,104.65,108,104.65,108,2000
2023-01-30,108,108,104,108,26000
2023-01-31,106,106,105,105,2000
2023-02-01,104,104,104,104,17000
2023-02-07,100,100,100,100,1000
2023-02-08,103.9,104.5,103.9,104.5,35000
2023-02-17,103,103,103,103,1000
2023-02-21,100,108,100,108,3000
2023-02-22,103,103,103,103,1000
2023-02-27,108,108,108,108,1000
2023-02-28,108,108,108,108,2000
2023-03-01,108,108,108,108,1000
2023-03-06,106,106,106,106,25000
2023-03-09,105,105,105,105,79000
2023-03-10,110,110,105,110,3000
2023-03-13,110.5,115.5,110.5,115,39000
2023-03-14,115,120.75,114,120.5,27000
2023-03-15,118,118,118,118,1000
2023-03-16,116,116,116,116,10000
2023-03-27,110.2,113,110.2,113,7000
2023-03-28,107.35,110,107.35,110,2000
2023-04-18,109,115.5,109,113.65,87000
2023-04-19,115,115,110,110,2000
2023-04-25,110,110,110,110,1000
2023-04-26,115.5,115.5,115.5,115.5,2000
2023-05-02,109.75,109.75,109.75,109.75,1000
2023-05-03,107,107,107,107,1000
2023-05-09,101.65,102,101.65,101.65,4000
2023-05-10,106.7,106.7,106.7,106.7,1000
2023-05-11,110,110,110,110,1000
2023-05-12,110,110,110,110,1000
2023-05-18,104.5,104.5,104.5,104.5,1000
2023-05-19,99.3,99.3,99.3,99.3,2000
2023-05-24,95,104.15,95,104.15,2000
2023-06-06,103.9,103.9,103.9,103.9,1000
2023-06-08,99,99,99,99,4000
2023-06-13,101,102,101,102,16000
2023-06-14,102,102,102,102,6000
2023-06-22,96.9,96.9,96.9,96.9,2000
2023-06-23,92.2,92.2,92.05,92.1,2000
2023-07-03,90,90,90,90,1000
2023-07-11,93.35,93.35,93.35,93.35,1000
2023-07-17,96,98,96,98,3000
2023-07-27,93.1,97.95,93.1,97.95,2000
2023-07-28,97.9,97.9,97.9,97.9,2000
2023-08-01,99,99.5,93,93,145000
2023-08-02,97,97,88.35,88.35,17000
2023-08-04,83.95,83.95,83.95,83.95,1000
2023-08-08,79.75,79.75,79.75,79.75,1000
2023-08-09,75.8,75.8,75.8,75.8,1000
2023-08-10,72.05,72.05,72.05,72.05,1000
2023-08-11,68.8,68.8,68.45,68.45,6000
2023-08-14,65.05,65.05,65.05,65.05,3000
2023-08-16,61.8,65,61.8,61.8,27000
2023-08-17,58.75,58.75,58.75,58.75,6000
2023-08-18,55.85,61.65,55.85,61.65,58000
2023-08-21,59,64.7,58.7,64.7,42000
2023-08-22,67.9,67.9,67.9,67.9,10000
2023-08-23,68,71.25,64.5,71.05,63000
2023-08-24,71.05,74.5,68,73.8,14000
2023-08-25,70.2,70.2,70.15,70.15,15000
2023-08-28,66.9,71.7,66.9,71.5,15000
2023-08-29,68.45,71.7,68.45,69.55,13000
2023-08-30,66.3,68,66.3,68,13000
2023-08-31,65.4,66.4,65.4,66.4,12000
2023-09-01,65.7,65.75,63.15,63.15,18000
2023-09-04,63.15,63.15,63.15,63.15,1000
2023-09-05,61.9,66.3,61.9,63.6,21000
2023-09-06,63.95,66,63.95,64.1,17000
2023-09-07,64.1,65.6,63.1,63.2,13000
2023-09-08,60.3,63.9,60.05,60.05,16000
2023-09-11,58,58.5,57.55,58.5,6000
2023-09-12,61.4,61.4,60.9,61.4,5000
2023-09-14,59.3,64.25,59.3,64.25,4000
2023-09-18,61.85,67.4,61.85,67.4,2000
2023-09-21,67,67,64.05,64.05,4000
2023-09-22,64.05,64.05,64.05,64.05,1000
2023-09-26,60.85,60.85,60.85,60.85,3000
2023-09-28,58.05,58.05,57.8,57.8,3000
2023-10-04,57.8,57.8,57.8,57.8,1000
2023-10-09,55,55,55,55,1000
2023-10-11,55,55,55,55,1000
2023-10-13,55.25,55.25,50.85,52,7000
2023-10-16,51,51,51,51,1000
2023-10-17,51.05,51.05,50,51,6000
2023-10-18,51,51,51,51,3000
2023-10-19,51.05,53.95,51,52.5,15000
2023-10-23,52.5,57.75,52.5,56.6,7000
2023-10-25,54,57,54,57,3000
2023-10-26,62.7,62.7,62.7,62.7,12000
2023-10-27,68.95,68.95,68.95,68.95,5000
2023-10-30,72.35,72.35,72.35,72.35,37000
2023-10-31,68.75,75.4,68.75,68.75,24000
2023-11-01,65.35,70.95,65.35,70.95,5000
2023-11-02,70,70,70,70,3000
2023-11-03,66.5,66.55,66.5,66.5,6000
2023-11-08,66.6,66.6,66.5,66.5,2000
2023-11-09,69.5,69.8,69.5,69.8,11000
2023-11-10,73.25,73.25,67.55,73.25,25000
2023-11-12,75.1,75.1,69.65,69.65,2000
2023-11-15,73.05,73.1,73.05,73.1,6000
2023-11-16,76.65,76.75,76.65,76.7,4000
2023-11-17,80.5,80.5,80.5,80.5,5000
2023-11-20,84.5,84.5,84.5,84.5,6000
2023-11-21,88.7,88.7,88.7,88.7,3000
2023-11-22,93.1,93.1,93.1,93.1,2000
2023-11-23,97.75,97.75,97.75,97.75,6000
2023-11-24,102.6,102.6,100,102.6,65000
2023-11-28,107.7,107.7,107,107.7,11000
2023-11-29,113.05,113.05,108,113.05,18000
2023-11-30,112.85,112.85,107.4,107.4,9000
2023-12-01,107,107,102.05,102.25,7000
2023-12-04,103,107.35,102.75,107.35,8000
2023-12-05,107.35,107.35,107.35,107.35,1000
2023-12-06,112.5,112.5,112.4,112.4,5000
2023-12-07,108.1,108.1,106.8,106.8,3000
2023-12-08,102,102,101.5,101.75,3000
2023-12-11,101.5,101.5,98.5,98.5,3000
2023-12-12,102.95,103.4,102.95,103.4,3000
2023-12-13,103.4,107.95,103.4,107.95,2000
2023-12-15,111.75,111.75,111.75,111.75,1000
2023-12-18,106.2,115,106.2,114,4000
2023-12-20,108.3,113.75,108.3,113.75,2000
2023-12-21,108.1,108.1,108.1,108.1,1000
2023-12-29,113,113,112,112,3000
2024-01-01,106.4,106.4,106.4,106.4,2000
2024-01-02,101.1,101.1,101.1,101.1,3000
2024-01-03,96.1,96.1,96.05,96.05,6000
2024-01-04,93,93,91.25,91.25,4000
2024-01-05,87,95.7,86.7,95.7,9000
2024-01-08,95,95,91,92.3,8000
2024-01-09,96.9,96.9,94.5,96.9,9000
2024-01-10,96.9,96.9,96.9,96.9,2000
2024-01-11,92.05,92.1,92.05,92.1,2000
2024-01-15,90.6,92.1,89,89,3000
2024-01-17,84.6,92.5,84.6,92.5,5000
2024-01-19,92.5,92.5,92.5,92.5,1000
2024-01-25,87.9,87.9,87.9,87.9,1000
2024-01-31,83.5,83.5,83.5,83.5,2000
2024-02-02,83.5,83.5,83.5,83.5,1000
2024-02-05,85.4,85.4,85.4,85.4,1000
2024-02-07,85.4,85.4,85.4,85.4,1000
2024-02-09,81.15,81.15,81.15,81.15,2000
2024-02-13,81,81,81,81,1000
2024-02-26,78,78,78,78,1000
2024-02-28,74.1,75,74.1,74.1,4000
2024-03-06,70.4,70.4,70.4,70.4,2000
2024-03-13,66.9,73.8,66.9,73.8,10000
2024-03-14,70.5,70.5,70.5,70.5,1000
2024-03-26,68,68,67,67.95,15000
2024-03-27,66,67.7,66,67.7,9000
2024-03-28,65,65.5,65,65.5,2000
2024-04-03,68.75,68.75,68.75,68.75,1000
2024-04-04,72.15,72.15,72.15,72.15,1000
2024-04-05,75.75,75.75,75.75,75.75,1000
2024-04-08,79.5,79.5,79.5,79.5,1000
2024-04-09,83.45,83.45,83.45,83.45,1000
2024-04-12,87.6,87.6,83.85,83.85,4000
2024-04-15,83.85,83.85,83.85,83.85,1000
2024-04-22,83.85,83.85,83.85,83.85,1000
2024-04-23,87.9,87.9,87.9,87.9,1000
2024-04-29,92.25,92.25,92.25,92.25,2000
2024-04-30,96.7,96.7,96.7,96.7,2000
2024-05-03,92.15,92.15,91.9,91.9,2000
2024-05-06,94.5,94.5,94.5,94.5,1000
2024-05-08,90,91.65,90,91.65,2000
2024-05-09,87.1,87.1,87.1,87.1,1000
2024-05-15,82.8,82.8,82.75,82.75,3000
2024-05-16,78.7,78.7,78.7,78.7,1000
2024-05-17,78.7,78.7,78.7,78.7,1000
2024-05-21,82.5,82.6,75,75,12000
2024-05-22,78.75,78.75,71.25,76.5,12000
2024-05-23,76.5,76.5,76.5,76.5,1000
2024-05-28,76.5,76.5,72.7,73,4000
2024-06-03,69.35,69.5,69.35,69.5,5000
2024-06-04,69,69,66.05,66.05,7000
2024-06-05,63,63,62.75,62.75,8000
2024-06-06,62.75,62.75,62,62,3000
2024-06-07,63.5,65,63,65,4000
2024-06-10,62,62,62,62,3000
2024-06-11,62,62,62,62,1000
2024-06-12,62,62,62,62,3000
2024-06-13,62,62,58.9,60,3000
2024-06-14,63,63,63,63,7000
2024-06-18,65,65,64,64.5,8000
2024-06-19,64.5,64.5,64.5,64.5,1000
2024-06-20,64,64,64,64,3000
2024-06-21,64,64,64,64,5000
2024-06-24,64,64,64,64,4000
2024-06-25,64,64,64,64,2000
2024-06-27,64,64,64,64,1000
2024-06-28,64,64,64,64,2000
2024-07-01,67.2,67.2,65,65,2000
2024-07-05,63.95,64,63.95,64,2000
2024-07-08,64,64,64,64,2000
2024-07-09,67.2,67.2,60.8,60.8,5000
2024-07-11,58,58,58,58,3000
2024-07-12,55.25,60.9,55.25,60.9,9000
2024-07-15,63.7,63.9,63.7,63.9,11000
2024-07-16,67,67.05,67,67.05,5000
2024-07-18,70.4,70.4,70.4,70.4,3000
2024-07-19,73.9,73.9,73.9,73.9,7000
2024-07-22,77.55,77.55,77,77,9000
2024-07-23,80.85,80.85,80.85,80.85,3000
2024-07-24,84.85,84.85,84.85,84.85,3000
2024-07-25,89.05,89.05,89.05,89.05,5000
2024-07-26,93.5,93.5,89.4,92,25000
2024-07-29,90,94.35,87.4,93.85,20000
2024-07-30,98.5,98.5,92,97.95,27000
2024-07-31,102,102.2,98.15,98.5,11000
2024-08-01,95,95,93.6,93.6,18000
2024-08-02,89.5,93.5,89.5,93.3,10000
2024-08-05,93.3,93.3,88.65,88.65,2000
2024-08-06,86,86,84.25,84.25,3000
2024-08-07,80.05,80.05,80.05,80.05,2000
2024-08-08,76.05,76.05,76.05,76.05,3000
2024-08-12,78,78,78,78,1000
2024-08-13,81.9,81.9,81.9,81.9,3000
2024-08-16,85,85.95,85,85.95,2000
2024-08-20,85.95,90.2,85.95,90.2,4000
2024-08-21,94.6,94.6,94.6,94.6,1000
2024-08-22,99.3,99.3,99.25,99.25,2000
2024-08-23,101.15,102,100.95,100.95,5000
2024-08-26,105,105.95,100,105.95,105000
2024-08-27,105.95,105.95,100.65,100.65,11000
2024-08-28,95.65,95.65,95.65,95.65,4000
2024-08-29,90.9,90.9,90.9,90.9,9000
2024-08-30,86.5,86.5,86.35,86.35,3000
2024-09-02,82.05,82.1,82.05,82.1,3000
2024-09-03,82.1,86.2,82.1,86.2,2000
2024-09-04,82,82,82,82,2000
2024-09-06,84,84,84,84,1000
2024-09-10,79.8,79.8,79.8,79.8,1000
2024-09-11,76,83.75,76,82,5000
2024-09-12,86.1,86.1,78.5,78.5,2000
2024-09-13,82.4,82.4,82,82,8000
2024-09-17,86,86.1,78.05,84.45,7000
2024-09-18,88.65,88.65,85,88.65,24000
2024-09-19,85,85,84.25,84.35,6000
2024-09-23,80.15,80.15,80.15,80.15,2000
2024-09-24,77,77,76.15,76.15,2000
2024-09-25,76.15,76.15,76.15,76.15,1000
2024-09-26,78.95,79.65,73.15,79.15,23000
2024-10-01,82.9,83.1,82.9,83.1,6000
2024-10-03,87.25,87.25,87.25,87.25,23000
2024-10-04,91.6,91.6,91.6,91.6,3000
2024-10-07,96.15,96.15,87.05,87.05,45000
2024-10-08,82.7,83,82.7,82.7,3000
2024-10-10,82.7,82.7,82.7,82.7,1000
2024-10-11,82.7,82.7,82.7,82.7,1000
2024-10-14,80,80,78.6,78.65,7000
2024-10-22,82.25,82.5,82.25,82.35,2000
2024-10-23,78.25,78.25,78.25,78.25,9000
2024-11-06,82.15,82.15,82.15,82.15,1000
2024-11-07,86.25,86.25,86.25,86.25,3000
2024-11-08,90.55,90.55,90.55,90.55,4000
2024-11-11,95.05,95.05,95.05,95.05,7000
2024-11-12,98.9,99.75,98.9,99,7000
2024-11-13,99,99,94.05,94.05,2000
2024-11-14,89.35,97.5,89.35,97.5,3000
2024-11-18,92.65,92.65,92.65,92.65,3000
2024-11-19,97.2,97.2,97.2,97.2,2000
2024-11-21,92.35,92.35,92.35,92.35,1000
2024-11-25,87.75,87.75,87.75,87.75,1000
2024-11-26,92,92,92,92,1000
2024-12-05,87.4,87.4,87.4,87.4,1000
2024-12-09,91.75,91.75,91.75,91.75,1000
2024-12-10,88,88,87.2,87.2,3000
2024-12-17,82.85,82.9,82.85,82.9,2000
2024-12-24,78.75,82.9,78.75,78.75,4000
2024-12-26,75,79.8,75,79.8,2000
2024-12-27,75.85,75.85,75.85,75.85,2000
2024-12-30,72.15,72.15,72.15,72.15,1000
2024-12-31,75.75,75.75,75.75,75.75,2000
2025-01-02,75,75,75,75,1000
2025-01-07,75,77,75,77,2000
2025-01-09,80.85,80.85,80.85,80.85,37000
2025-01-10,84.7,84.85,83,84.85,12000
2025-01-13,89.05,89.05,87.5,87.5,9000
2025-01-14,88,88,83.15,83.15,4000
