Date,Open,High,Low,Close,Volume
2023-11-16,135,141.75,135,141.75,2076800
2023-11-17,148.8,148.8,148.8,148.8,204800
2023-11-20,156.2,156.2,143.35,156.2,1166400
2023-11-21,159.95,164,154,164,1134400
2023-11-22,168.4,172.2,164,172.2,339200
2023-11-23,180.8,180.8,180.8,180.8,49600
2023-11-24,189.8,189.8,171.8,176.15,854400
2023-11-28,167.35,179.4,167.35,172.5,918400
2023-11-29,172.8,172.8,163.9,163.95,627200
2023-11-30,164.9,172.1,156.25,172.1,417600
2023-12-01,180,187,164.15,167.95,728000
2023-12-04,170,201.5,170,195.4,737600
2023-12-05,195,203.9,184.2,191.05,371200
2023-12-06,207.9,208,180,190.65,705600
2023-12-07,193.45,197.8,182,184.15,254400
2023-12-08,187.85,187.85,172.15,175.7,228800
2023-12-11,175.05,175.1,167,169.25,190400
2023-12-12,170.35,180.05,166,172.4,158400
2023-12-13,171.5,179,171.5,172.95,168000
2023-12-14,176.95,176.95,160,163.05,388800
2023-12-15,163,172.55,157,167.25,272000
2023-12-18,173,173,161,162.1,112000
2023-12-19,163.3,163.3,152.25,153.95,507200
2023-12-20,159.5,159.5,144,145.4,267200
2023-12-21,146,153,143,152.1,171200
2023-12-22,155.6,165,154,159.15,80000
2023-12-26,163.5,169.95,157.35,165.7,171200
2023-12-27,170,172,159.3,161.4,169600
2023-12-28,164,165,159.45,160.1,108800
2023-12-29,159,159,151.5,155.25,94400
2024-01-01,156,157.5,148.55,150.15,132800
2024-01-02,153.45,153.45,147.1,148.75,113600
2024-01-03,148.8,159.95,144.7,158.35,331200
2024-01-04,162,189.9,162,182.95,1041600
2024-01-05,188,191.35,181,184.45,608000
2024-01-08,186.9,191.4,177.05,178.45,227200
2024-01-09,178.05,179.95,170.1,172.3,201600
2024-01-10,175,178,170.2,176.2,118400
2024-01-11,176.2,181,170,170.75,156800
2024-01-12,170.8,175.5,159,161.25,668800
2024-01-15,162.5,168,162.5,167.9,134400
2024-01-16,167.5,169.7,162.05,164.75,88000
2024-01-17,163.45,166,160.1,164.95,73600
2024-01-18,163.75,163.95,156.65,160,177600
2024-01-19,163.6,168.5,161,161.55,126400
2024-01-20,161.75,164,160.2,161,96000
2024-01-23,162.1,162.35,155.2,155.65,139200
2024-01-24,155.65,159.9,153.5,154.2,100800
2024-01-25,153.3,156.95,151,152.25,78400
2024-01-29,153.55,156.95,148.3,149.45,129600
2024-01-30,153.4,154,146.7,152.5,110400
2024-01-31,155.9,162.8,153.5,159.2,195200
2024-02-01,161.95,164.95,154,158.25,112000
2024-02-02,157.7,159.95,152.55,153.85,92800
2024-02-05,159.5,159.9,150,150.5,144000
2024-02-06,150,155.8,150,155.4,35200
2024-02-07,158,158.95,152,155.85,196800
2024-02-08,158.75,158.75,154.3,154.95,60800
2024-02-09,155.1,156.5,151,155.05,62400
2024-02-12,157.75,157.75,150.8,154.25,104000
2024-02-13,145.8,148.9,138,141.75,216000
2024-02-14,142.6,143.7,140,140.95,105600
2024-02-15,143,144,138,138.35,100800
2024-02-16,138.8,140,135.2,139.55,121600
2024-02-19,144.3,144.3,139.65,142.25,104000
2024-02-20,143,143.9,136,138.3,131200
2024-02-21,139,140.9,132,132.75,179200
2024-02-22,132,152,127.5,147.6,366400
2024-02-23,151,151,142.4,142.95,179200
2024-02-26,145.4,146.75,139.1,144.15,123200
2024-02-27,144.5,145.3,143.25,143.25,84800
2024-02-28,145,145,135.05,136.2,56000
2024-02-29,139.95,139.95,130,131.65,91200
2024-03-01,135.5,140,130.1,132.65,244800
2024-03-02,133.3,136.35,133.3,134.75,19200
2024-03-04,133,133.45,129,130.2,147200
2024-03-05,132.6,132.6,126.05,127.6,67200
2024-03-06,126.25,126.25,118.25,124.15,168000
2024-03-07,123,132.75,117.3,128.35,150400
2024-03-11,130.95,130.95,116.05,118.85,128000
2024-03-12,116.05,116.05,105,107.25,168000
2024-03-13,107.95,114.65,102.05,103.7,198400
2024-03-14,101.7,113,101.3,111.65,190400
2024-03-15,111.65,111.95,106.35,110.5,73600
2024-03-18,114.45,127.8,113,119.1,190400
2024-03-19,123.2,126.9,120,121.15,108800
2024-03-20,125.9,125.9,116.8,117.8,76800
2024-03-21,119.1,122.65,115,116.35,110400
2024-03-22,117.95,117.95,113.9,114.6,108800
2024-03-26,114.1,114.1,103.1,105.8,243200
2024-03-27,106.5,110,101,102.8,198400
2024-03-28,102.9,104.95,100.15,101.1,185600
2024-04-01,106,110,105.95,108.9,118400
2024-04-02,109,109.9,108,108.95,56000
2024-04-03,108.95,121,108.95,117.65,104000
2024-04-04,118,119.75,114,115,72000
2024-04-05,112,116.9,112,113.3,35200
2024-04-08,119.15,119.15,113.05,113.15,52800
2024-04-09,115,115,112.5,112.8,68800
2024-04-10,112.8,114.7,112.8,113.3,38400
2024-04-12,114.7,114.7,110,114.6,28800
2024-04-15,108.2,112.45,108,111,35200
2024-04-16,109.05,111.4,108.25,109.2,91200
2024-04-18,109.3,127,109.3,121.2,515200
2024-04-19,118.95,128.95,116.05,127.45,187200
2024-04-22,131,131.4,124.1,124.65,100800
2024-04-23,129.3,133.65,125.55,132,180800
2024-04-24,133.65,134.85,126,127.45,65600
2024-04-25,128,128,122.1,123.55,120000
2024-04-26,123.6,123.6,116.9,118.3,115200
2024-04-29,121.95,124.4,120.6,122.9,113600
2024-04-30,125,125.95,123.05,124.4,49600
2024-05-02,124.4,138.5,124.4,133,259200
2024-05-03,137,139.2,131.1,132.55,161600
2024-05-06,132.55,132.55,124,126,134400
2024-05-07,126.6,126.7,121.05,122.15,192000
2024-05-08,121.05,146.55,121.05,146.55,825600
2024-05-09,147,154.5,140,145.35,340800
2024-05-10,146,146,135,138.35,118400
2024-05-13,142,142,132.6,135.9,105600
2024-05-14,136,139.4,132.25,138.65,97600
2024-05-15,138,141.75,135,136.15,89600
2024-05-16,137,152,133.05,144.7,254400
2024-05-17,147,149.35,144.35,145.75,110400
2024-05-18,145.75,150,145.5,149.3,30400
2024-05-21,149.65,154.5,145,145.6,118400
2024-05-22,147,147,142,142.6,68800
2024-05-23,144.5,144.95,138.65,139.05,68800
2024-05-24,137.2,137.85,135.1,135.55,64000
2024-05-27,138,141.95,136.6,136.6,78400
2024-05-28,139,139.9,129.05,130.3,73600
2024-05-29,129,134.9,129,132.6,68800
2024-05-30,134,144.45,133.5,142,120000
2024-05-31,133,135.7,121.5,125.2,382400
2024-06-03,128.15,128.75,119,120.15,243200
2024-06-04,117.05,117.95,106,107.75,235200
2024-06-05,106.4,117,106,116,105600
2024-06-06,118,120.6,116.05,119.75,60800
2024-06-07,120.3,122,118,121.1,86400
2024-06-10,123,126,119.2,122.25,60800
2024-06-11,121.8,126,119,119.75,112000
2024-06-12,120.1,124,118,120.1,56000
2024-06-13,124.95,124.95,120,120.8,20800
2024-06-14,123.9,124.4,121.3,122.45,41600
2024-06-18,123,132,123,128,164800
2024-06-19,131.45,137.45,125.5,134.5,270400
2024-06-20,137.2,140,135.5,137.5,102400
2024-06-21,138,141,132.05,136.7,99200
2024-06-24,136.7,136.7,131,134.6,70400
2024-06-25,134.6,136.55,133.5,134.5,78400
2024-06-26,134.55,137.8,133,133.4,72000
2024-06-27,133.4,135.95,128.4,128.85,110400
2024-06-28,130,132,129,129,38400
2024-07-01,134.7,134.7,129.5,130.3,88000
2024-07-02,131.95,131.95,124.25,125.15,86400
2024-07-03,128,139.65,128,134.1,260800
2024-07-04,138.5,138.85,131.3,132.15,100800
2024-07-05,136.2,144.75,134.7,140.25,300800
2024-07-08,146,152.35,141.5,142.95,211200
2024-07-09,143.3,143.3,136.5,139.5,83200
2024-07-10,137.15,137.15,128,133.3,94400
2024-07-11,134,141,134,140.6,134400
2024-07-12,141,141,137.6,138.5,89600
2024-07-15,137.05,142.95,135.95,141.35,92800
2024-07-16,140.55,140.55,135,135.6,52800
2024-07-18,135.6,136,130.5,131.1,97600
2024-07-19,128.7,131,126.6,130.95,52800
2024-07-22,130,130.5,125.2,127.15,68800
2024-07-23,127.25,129.35,124.2,128.8,32000
2024-07-24,128.5,131,127.15,127.8,22400
2024-07-25,127.4,132.95,127.4,131.7,52800
2024-07-26,132,134.4,130,131.65,78400
2024-07-29,134.55,134.55,131.2,131.55,46400
2024-07-30,131,132,130,131.85,33600
2024-07-31,131.85,131.95,129,129,46400
2024-08-01,130,133,129,129.45,51200
2024-08-02,126.1,127.45,125.7,126.2,38400
2024-08-05,123.7,124.75,117.65,119.15,123200
2024-08-06,121.3,124.9,121.3,122,68800
2024-08-07,125.45,126,111.05,120.05,94400
2024-08-08,122.95,123,120,120,25600
2024-08-09,122,124.2,120.05,120.8,40000
2024-08-12,122.9,123.55,120.2,122.45,30400
2024-08-13,125,125,118.8,119.5,30400
2024-08-14,122.85,122.95,117,118.2,104000
2024-08-16,121,137.35,121,134.1,264000
2024-08-19,135,138.5,133,134.6,102400
2024-08-20,133.2,133.2,127,129.05,67200
2024-08-21,129,132,128.15,131.15,32000
2024-08-22,131.2,134.5,127.2,127.6,65600
2024-08-23,129.45,131.5,127.05,129.2,35200
2024-08-26,131,132.75,127,127.25,56000
2024-08-27,129.8,130,125.5,126.4,48000
2024-08-28,127.95,128.7,125,126.35,41600
2024-08-29,127.75,127.75,122.15,124.75,43200
2024-08-30,124.75,129,122,127.05,76800
2024-09-02,128.1,129,126.1,126.9,52800
2024-09-03,123.25,127,122.1,122.9,118400
2024-09-04,121.5,125,121.5,124.2,62400
2024-09-05,122.6,124.4,121.75,123,73600
2024-09-06,122.95,122.95,121.1,122,25600
2024-09-09,122.9,126.8,121.4,125.25,51200
2024-09-10,125,125,121.55,121.85,72000
2024-09-11,120.05,124,120.05,121.7,17600
2024-09-12,123.5,123.5,121.7,122.3,20800
2024-09-13,121.45,122,114.65,116.75,276800
2024-09-16,119.5,123.25,119.5,122.2,68800
2024-09-17,122,122,118.55,120.9,35200
2024-09-18,122.65,122.65,118.25,118.25,20800
2024-09-19,118.4,120.2,113.3,114.55,62400
2024-09-20,117.95,118,115,115.7,24000
2024-09-23,117,119.95,116.85,119.35,40000
2024-09-24,121,122,119.05,120.45,59200
2024-09-25,117.6,119.45,117,119,36800
2024-09-26,119.1,120,116.6,116.8,32000
2024-09-27,121.6,121.6,117.7,118.8,41600
2024-09-30,118.7,118.7,115.9,116.55,22400
2024-10-01,117,117.8,116,116,24000
2024-10-03,114.7,116.6,112.2,113.5,62400
2024-10-04,113,116,113,114.4,43200
2024-10-07,114.4,114.4,107,109.15,52800
2024-10-08,106.3,112.8,106.3,112.3,41600
2024-10-09,114,117.6,114,115.45,49600
2024-10-10,116.3,118,114.75,114.75,6400
2024-10-11,116.75,117.45,115.1,116.75,24000
2024-10-14,115.45,116.8,112.15,114,12800
2024-10-15,114,114,111,111.2,22400
2024-10-16,113.2,114.35,112.05,112.85,24000
2024-10-17,112.4,112.4,108.65,109.8,52800
2024-10-18,107,111.55,106.5,110.8,27200
2024-10-21,108,109.5,107.25,108.15,56000
2024-10-22,108,109,105.35,105.5,32000
2024-10-23,106.85,107,103.8,106,36800
2024-10-24,105.05,112,105.05,109.5,24000
2024-10-25,112.55,115,107.1,107.7,99200
2024-10-28,108.05,109,106.2,106.2,30400
2024-10-29,107.7,107.7,106.2,106.85,11200
2024-10-30,109.6,110.6,107,108.25,36800
2024-10-31,109.4,111.5,108.6,108.6,19200
2024-11-01,109.9,111.3,108.8,110.7,17600
2024-11-04,111.3,113.4,110.3,111,25600
2024-11-05,112.75,114,108,110,51200
2024-11-06,112.95,127,110.6,124.25,318400
2024-11-07,128.5,128.5,120.45,123.6,86400
2024-11-08,124,126,120,121.6,59200
2024-11-11,121.9,122,117.6,120.2,48000
2024-11-12,119.9,119.9,115.1,115.25,40000
2024-11-13,113.5,113.5,108.65,110.65,67200
