Date,Open,High,Low,Close,Volume
2015-09-07,282.05,287.2,272.6,273.8,53242
2015-09-08,276,276,262.15,271.1,75881
2015-09-09,276,283,267.95,269.75,120325
2015-09-10,266.05,272,265,268.45,128526
2015-09-11,271.75,279.7,267.2,269,193777
2015-09-14,273.3,294.3,270,291,253552
2015-09-15,293.95,293.95,286.35,289.1,119527
2015-09-16,282.5,283.55,278.5,280.7,78082
2015-09-18,277,285.8,277,280.55,32368
2015-09-21,279,285,270,278.15,36947
2015-09-22,281.85,284.55,270,272.2,60731
2015-09-23,270,280.9,269.15,278.4,67489
2015-09-24,280.25,288.5,278.3,279.25,124752
2015-09-28,281.85,285.9,274,276.2,55945
2015-09-29,273,275.7,266.4,272.4,46445
2015-09-30,273.65,283,273.65,278.25,40721
2015-10-01,281.65,289.4,279,283.1,95705
2015-10-05,284.4,310,284.2,307.5,385711
2015-10-06,310.6,310.6,301.2,302.55,82017
2015-10-07,302.65,313.4,302,310.15,75624
2015-10-08,310.15,316.6,301.55,307.9,84595
2015-10-09,310.9,313.1,292.6,296.8,88816
2015-10-12,299.7,299.7,282.2,284.75,51415
2015-10-13,285,296.5,284.05,295.35,47922
2015-10-14,296,306.8,293.2,304.65,67366
2015-10-15,307,310,304,305,65135
2015-10-16,302,308.25,302,306.7,34031
2015-10-19,307,310,298.05,302.3,51669
2015-10-20,304,305,295.05,295.8,44337
2015-10-21,295,300.3,291.9,293.1,29077
2015-10-23,295.4,304.85,295.1,296.5,38996
2015-10-26,296.75,300,291.15,293.9,29510
2015-10-27,290.5,292.75,286.3,288.55,24316
2015-10-28,286.05,293,278.75,287.7,53302
2015-10-29,284,289.15,279.5,281.65,38015
2015-10-30,283,287,280.1,280.75,31608
2015-11-02,281,282.8,275.5,277.3,29161
2015-11-03,278.3,288,278.3,284,38168
2015-11-04,287.45,293.9,285,292.05,39826
2015-11-05,292.15,294.8,282.2,284.6,29927
2015-11-06,288.85,288.95,273.95,279.05,46107
2015-11-09,275,285,271.15,278.3,22584
2015-11-10,276.15,279.3,274.4,275.95,14574
2015-11-11,279,279,274.65,276.5,8765
2015-11-13,280.7,280.7,273.4,274.4,17769
2015-11-16,280,289,272.6,283.75,45741
2015-11-17,285.1,285.1,273.75,275.6,55199
2015-11-18,274,295.05,274,285.35,117048
2015-11-19,288.2,304.8,286.1,299.85,117119
2015-11-20,305,308.95,301.2,301.9,64051
2015-11-23,304.85,310.2,301.1,305.3,47705
2015-11-24,306,311.7,305.1,309.75,32502
2015-11-26,310.05,317.5,308.1,310.35,39290
2015-11-27,311.9,317.85,310.7,316.55,53848
2015-11-30,319.9,328,313.3,314.8,61892
2015-12-01,319,334.3,310,323.5,107502
2015-12-02,324.5,328.45,314.8,321.95,61222
2015-12-03,319,321.35,313.05,315.95,24828
2015-12-04,315,319.4,309.65,311.35,21644
2015-12-07,313,319,312.1,313.65,13040
2015-12-08,311.6,317.55,310,311.15,24363
2015-12-09,310,312.5,295,296.35,33154
2015-12-10,300.9,304.95,294.3,302.4,15010
2015-12-11,302.05,306,296.1,296.7,13241
2015-12-16,302.7,311.4,300,309.3,31481
2015-12-17,314.8,317.5,309.5,316.25,22653
2015-12-18,319,319,311,311.65,21016
2015-12-21,305.3,322.4,305.3,320.85,34881
2015-12-22,321.45,325,315.1,317.2,29419
2015-12-23,321.8,325.4,318.95,324.3,32554
2015-12-24,321.05,344.9,319.1,341.05,116292
2015-12-28,344.75,368.15,342.75,365.9,161898
2015-12-29,366.85,367,352.1,359.5,65278
2015-12-30,357.05,371.9,357.05,367.2,87815
2015-12-31,366.3,373.3,360.3,363.15,33660
2016-01-01,362.05,366.8,358,360.8,15318
2016-01-04,360.85,365,353.3,357.95,35548
