Date,Open,High,Low,Close,Volume
2015-09-07,69.8,70.3,68.05,68.6,15529
2015-09-08,67.7,69.95,66.5,67.2,25108
2015-09-09,70.4,70.85,67.6,68.4,26235
2015-09-10,68,69.95,65.8,67.2,13830
2015-09-11,65.6,70.2,65.6,68.9,11263
2015-09-14,69,69,67.2,68.55,6805
2015-09-15,67.55,69.9,67.05,69.4,8330
2015-09-16,70.4,70.4,68.25,68.5,3643
2015-09-18,69.05,70.9,67.55,69.8,7362
2015-09-21,69.5,70.9,68.5,69,8550
2015-09-22,69.05,69.95,68.3,68.55,5367
2015-09-23,69.5,69.5,68,68.7,8435
2015-09-24,68.2,70.85,68.15,69.1,12995
2015-09-28,68.65,70.2,68.2,69.3,9138
2015-09-29,69,70.8,65.75,68.65,10008
2015-09-30,69.9,70.45,69.35,69.95,6699
2015-10-01,69.55,71.15,69.5,69.65,7389
2015-10-05,70.05,75.9,68.25,73.55,19494
2015-10-06,75,76.5,69.8,71.5,30937
2015-10-07,71,72,69,70.1,17305
2015-10-08,70.8,71.75,70.5,70.75,4713
2015-10-09,72.4,72.45,70.5,71.25,9368
2015-10-12,72.45,73.25,70.5,71.9,16849
2015-10-13,71.45,73.5,71,72.05,8595
2015-10-14,73.1,77,73.1,75.85,44301
2015-10-15,77,77.7,72.65,74.65,16797
2015-10-16,76.6,76.95,73.05,74.05,16232
2015-10-19,74.9,75,73.85,74.25,6824
2015-10-20,76.55,78.3,74.55,77.55,34564
2015-10-21,77,80,77,78.15,26248
2015-10-23,78.25,80.05,77.5,78.9,37153
2015-10-26,80.3,80.35,76,77,18120
2015-10-27,77.55,79,77,78.7,13917
2015-10-28,78.95,84.95,78,81.55,74829
2015-10-29,82.9,82.9,78.95,79.4,47080
2015-10-30,79.1,82,71.9,72.2,81943
2015-11-02,75.95,75.95,69.15,70.1,41588
2015-11-03,71.9,72.75,69.7,70.55,27563
2015-11-04,74,74,68.5,69.2,38238
2015-11-05,68.25,69,66.2,66.9,26296
2015-11-06,68,68.65,66.7,67.3,19762
2015-11-09,71,71,65.5,67.65,20744
2015-11-10,70.05,70.05,66.5,66.75,18994
2015-11-11,70.7,70.7,67.15,67.75,10974
2015-11-13,67.8,69.5,66.55,67.05,26634
2015-11-16,67,69,66.15,67.95,21350
2015-11-17,68.7,68.7,66.7,67.35,14504
2015-11-18,67.3,67.95,66.3,66.75,17828
2015-11-19,67.35,68.95,67.3,67.85,9625
2015-11-20,68.85,68.85,67.25,67.95,8141
2015-11-23,66.65,69.7,66.5,66.65,12563
2015-11-24,67.85,68.85,67.1,67.35,14771
2015-11-26,67.35,69.85,67,68.7,22448
2015-11-27,69.8,69.9,68.55,69.4,10773
2015-11-30,71.5,73.25,70.55,72.2,33115
2015-12-01,73.75,74.4,70,71.7,21617
2015-12-02,72.15,72.95,70,70.9,13471
