Date,Open,High,Low,Close,Volume
2024-09-11,3250,3275,3087.5,3120.75,22162
2024-09-12,3250,3250,3020,3098.2,6373
2024-09-13,3100,3252,3099.9,3197.7,6659
2024-09-16,3210,3357.55,3210,3344.55,8413
2024-09-17,3510,3510,3300,3300.75,5002
2024-09-18,3444,3465.75,3444,3465.75,609
2024-09-19,3639,3639,3333,3540.35,16160
2024-09-20,3400,3600,3363.35,3365.8,4189
2024-09-23,3400,3470,3320,3365.85,1894
2024-09-24,3495,3495,3300,3316,1474
2024-09-25,3399.95,3670,3399.9,3559.45,15802
2024-09-26,3620,3620,3301.95,3402.4,3244
2024-09-27,3390,3424.3,3204.35,3358.85,7901
2024-09-30,3223,3325,2687.1,2687.1,53698
2024-10-01,2550,2630,2507,2569.35,44920
2024-10-03,2466.5,2552.35,2416,2501.45,16979
2024-10-04,2549.95,2565,2431,2438.3,6581
2024-10-07,2450.3,2497.45,2330,2356.3,4811
2024-10-08,2356.3,2375,2300,2371.45,1938
2024-10-09,2437.6,2490,2380,2479.95,1237
2024-10-10,2497.45,2525,2401,2424.15,1091
2024-10-11,2413.95,2495.85,2402.15,2464.55,1096
2024-10-14,2465.15,2619.45,2421.05,2439.25,1117
2024-10-15,2499,2499,2430,2447,598
2024-10-16,2487,2487,2348.05,2387.7,1167
2024-10-17,2448,2448,2292.95,2323.1,3244
2024-10-18,2276,2354,2201.5,2336.95,8877
2024-10-21,2336.95,2379.1,2228.55,2284.8,1735
2024-10-22,2271.15,2326.4,2150,2171.9,3136
2024-10-23,2187.15,2267.8,2170.75,2196.25,1679
2024-10-24,2299,2299,2171,2200.2,1205
2024-10-25,2273.7,2273.7,2076,2107.65,4591
2024-10-28,1960.05,2098,1925,2002.4,5889
2024-10-29,2029.3,2039.95,1964.55,2002.25,3021
2024-10-30,2023.8,2160,1974.1,2090.9,1963
2024-10-31,2169,2194.4,2012,2072,606
2024-11-01,2149.9,2175.6,2149.9,2162.4,489
2024-11-04,2249,2270.5,2151,2173.75,1210
2024-11-05,2235,2235,2127.8,2136.9,746
2024-11-06,2140,2200,2102,2126.5,710
2024-11-07,2219,2232.7,2150,2161.8,705
2024-11-08,2214.4,2220,2100,2153.95,499
2024-11-11,2050.1,2210,2046.25,2050.95,1229
2024-11-12,2050.95,2145,2050.95,2087.45,210
2024-11-13,2087.45,2087.45,1983.1,2000,777
2024-11-14,2000.05,2069.95,1900,1970.65,817
2024-11-18,1902,2000,1902,1995.1,178
2024-11-19,1945.25,1998,1945.25,1996.95,326
2024-11-21,1965.05,1994,1950.05,1958.55,575
2024-11-22,1960,1960,1875,1898.05,1438
2024-11-25,1939.95,1939.95,1810.15,1900.5,803
2024-11-26,1901,1919.95,1840,1852.95,1450
2024-11-27,1852.95,1940,1841.1,1884,2807
2024-11-28,1863,1926.9,1822.45,1897.7,1149
2024-11-29,1897.7,1897.7,1862.1,1862.1,391
2024-12-02,1837,1880,1820,1879.95,640
2024-12-03,1867.5,1899.95,1835,1841.7,1557
2024-12-04,1874.9,1933.75,1851.05,1933.75,1930
2024-12-05,2030,2030.4,1975,2030.4,1270
2024-12-06,2131.5,2131.9,2033.6,2110,1315
2024-12-09,2040.5,2107.9,2040.5,2081.45,210
2024-12-10,2080,2117.95,2034,2099.9,394
2024-12-11,2099.8,2124.95,2039,2082.85,728
2024-12-12,2082,2099.6,1978.7,2033.85,1324
2024-12-13,1980.05,2050,1932.15,2036.7,1266
2024-12-16,1953.2,2100,1953.05,2046.4,887
2024-12-17,2093.9,2095,2050.15,2062.6,341
2024-12-18,2094.95,2100,2031.65,2075.8,1392
2024-12-19,2099,2099,1982,2063.5,743
2024-12-20,2060.05,2098.9,2011.7,2047.2,1814
2024-12-23,2047.2,2148,2000.1,2027.25,1393
2024-12-24,2099.8,2100,1970,2064.2,635
2024-12-26,2098.5,2098.8,2000.1,2040.25,385
2024-12-27,2074,2090,1960.25,1997.3,1579
2024-12-30,2030.8,2065.5,1940,2053.05,591
2024-12-31,2020,2040,1980.05,1986.55,276
2025-01-01,1994.55,2025,1965.8,1970,1289
2025-01-02,1971,2013.85,1971,1996.1,549
2025-01-03,2000,2095.9,1985.1,2094.5,1521
2025-01-06,2050,2094.5,1989.8,1992.35,437
