Date,Open,High,Low,Close,Volume
2024-07-19,342,359.1,342,359.1,344800
2024-07-22,377.05,377.05,377.05,377.05,82400
2024-07-23,395.9,395.9,395.9,395.9,78400
2024-07-24,415.65,415.65,415.65,415.65,435200
2024-07-25,436.4,436.4,436.4,436.4,144800
2024-07-26,458.2,458.2,458.2,458.2,43200
2024-07-29,481.1,481.1,481.1,481.1,27200
2024-07-30,505.15,505.15,505.15,505.15,27200
2024-07-31,530.4,530.4,505.15,530.4,926400
2024-08-01,540,553.5,503.9,503.9,398400
2024-08-02,449,604.65,442,589.75,1387200
2024-08-05,614,690,585.35,635.6,745600
2024-08-06,669,713,563.35,588.75,511200
2024-08-07,610,635,566,606.6,262400
2024-08-08,608.95,618.95,588.05,597.95,123200
2024-08-09,601.05,618.7,575,580.8,88800
2024-08-12,580.8,580.8,535.75,552.05,169600
2024-08-13,563.2,587.75,540,544.5,148800
2024-08-14,558.95,653.4,548.25,653.4,300800
2024-08-16,729,764.7,678,714.2,368800
2024-08-19,714.2,771,705.3,718.2,240800
2024-08-20,738,745,660.15,672.25,134400
2024-08-21,667,674.35,628,640.55,216800
2024-08-22,640.55,705,640.55,683.55,211200
2024-08-23,694,694.1,651.05,666.75,194400
2024-08-26,691.95,692,663.5,681.85,48800
2024-08-27,681.85,790,666,742.6,280000
2024-08-28,756.95,757,692,708.15,117600
2024-08-29,710,714.85,679.1,696.5,51200
2024-08-30,705,735,695,699.95,73600
2024-09-02,700,712,678,683.45,64000
2024-09-03,672.05,689,670,681.55,55200
2024-09-04,681.8,685,666.55,672.65,64000
2024-09-05,681.9,681.9,654.5,658.65,81600
2024-09-06,661.3,668.9,598,614.3,155200
2024-09-09,618,634.5,586.25,589.9,128800
2024-09-10,598.9,602,565.1,578,108800
2024-09-11,599,599,550,564.7,88800
2024-09-12,569,666,569,632.25,173600
2024-09-13,642.9,663,630,648.65,121600
2024-09-16,666,720,666,706.65,176800
2024-09-17,705.85,705.85,648,670,80000
2024-09-18,665,675.5,640.05,664.2,49600
2024-09-19,666,684,620,657.2,56000
2024-09-20,660,690,653.05,665.25,48800
2024-09-23,666,710,666,678.15,124800
2024-09-24,677.8,680,650.05,652.65,32800
2024-09-25,652.25,669.4,633,635.35,58400
2024-09-26,646,649.5,606,618.6,47200
2024-09-27,620,657.4,600,632.35,85600
2024-09-30,632.35,644.5,612.2,641.15,33600
2024-10-01,635.1,640,625.2,629.25,39200
2024-10-03,622,625.2,595,599.2,72800
2024-10-04,607,638.95,600,616.7,132800
2024-10-07,620,629.95,575,580.3,72000
2024-10-08,594,628,580,605.95,50400
2024-10-09,605.95,610.2,590,609.6,24000
2024-10-10,610,630,597,627.15,23200
2024-10-11,625,625,602.5,609.25,26400
2024-10-14,615,620,594.5,599.7,36800
2024-10-15,594.5,598,577,587.05,21600
2024-10-16,600,610,590.25,603.5,20000
2024-10-17,596,610,585,596.95,26400
2024-10-18,577,591,577,581.95,25600
2024-10-21,594,594,560,563,31200
2024-10-22,562,562,534.85,534.85,50400
2024-10-23,527,544,508.1,525,48800
2024-10-24,530,535,514,519.4,24800
2024-10-25,496,518,493.45,495.75,138400
2024-10-28,517,517,472.1,502.8,44800
2024-10-29,512.9,527.9,492,527.9,40800
2024-10-30,537,554.25,501.5,506.5,126400
2024-10-31,500,521,481.2,518.3,85200
2024-11-01,532.55,535.6,496,519.35,24600
2024-11-04,520.05,521.45,500,514.05,31200
2024-11-05,506.8,539.75,504,539.75,45400
2024-11-06,566,566.7,541,566.7,28000
2024-11-07,595,595,575,595,60200
2024-11-08,588,610,570,586.45,32000
2024-11-11,570.1,600,561,572.85,23200
2024-11-12,572.85,574,545.1,548.85,23800
2024-11-13,545,549,521.4,522.05,25000
2024-11-14,503,539,496.1,521.5,29000
2024-11-18,518,538,500,530.7,23200
2024-11-19,518,531.9,505,508.75,48000
2024-11-21,523.6,523.6,500,504.2,25400
2024-11-22,509.7,519.5,499,501.85,19400
2024-11-25,516,519.9,496.35,507.45,39000
2024-11-26,518,518,500,507.5,11000
2024-11-27,501.5,512,494.5,500.25,27000
2024-11-28,500,500.25,490.1,495.4,23200
2024-11-29,498,504.9,493.5,501.7,27800
2024-12-02,526.75,526.75,520,526.75,41600
2024-12-03,553,553.05,540,552.15,66600
2024-12-04,552.15,571.1,525,536.45,50000
2024-12-05,515.55,544,515.55,538.45,18800
2024-12-06,550,550,531.1,537.5,8200
2024-12-09,535,547.05,532.5,537.2,15200
2024-12-10,546.95,546.95,527.25,530,20000
2024-12-11,540.4,540.45,516,521,11000
2024-12-12,504,529,504,517.8,15400
2024-12-13,518.15,527.95,505,515.5,12800
2024-12-16,500.55,534.9,500.55,513.9,21200
2024-12-17,514,539.55,508,539.3,58000
2024-12-18,538,559.95,520.3,540.05,36200
2024-12-19,530,540,515.55,537.6,20000
2024-12-20,551.55,551.55,528.5,529.75,54000
2024-12-23,538.6,538.6,510,518.45,15400
2024-12-24,518.45,526.55,510,524.05,8600
