Date,Open,High,Low,Close,Volume
2025-07-02,110,111,96.25,97.59,57089913
2025-07-03,99.27,104,99.27,101.53,20133000
2025-07-04,102.05,105.25,101.56,102.43,6797336
2025-07-07,102.89,103.79,98.5,99.39,3947379
2025-07-08,100,114.99,98.7,111.15,21327648
2025-07-09,116,125.9,112.14,120.78,73414272
2025-07-10,121,128.6,118.63,126.93,47873291
2025-07-11,124.39,127.66,121.35,124.86,17329003
2025-07-14,124.94,134.95,115.66,117.57,34533681
2025-07-15,119.99,125.84,119.71,122.83,15990137
2025-07-16,123.25,127.4,121.64,124.54,8546665
2025-07-17,125.39,132,123.42,125.93,15406464
2025-07-18,126.75,129.6,124.9,126.69,5446456
2025-07-21,127.8,132,125.67,128.96,7650249
2025-07-22,130.32,149.4,129.58,138.93,65032738
2025-07-23,141,144,135,139.7,21467788
2025-07-24,140,141.7,136.48,137.4,6311712
2025-07-25,141,146.45,128.67,132.64,20548173
2025-07-28,135.19,135.99,123.8,131.21,8899472
2025-07-29,131.15,135.48,128,134.59,4589771
2025-07-30,134.5,134.5,125.75,127.71,11143449
2025-07-31,125,129.69,125,127.71,3600860
2025-08-01,127.25,128.49,123,124.39,2500040
2025-08-04,124.6,126.7,122.41,124.63,2872623
2025-08-05,124.89,126.34,121.3,123.43,1665844
2025-08-06,124.01,124.64,119.1,119.92,2380681
2025-08-07,119.37,125.64,117.47,124.59,2746073
2025-08-08,124.85,124.88,119.23,120.35,3174370
2025-08-11,120.35,122.25,119.25,120.27,1614350
2025-08-12,120.5,121.47,120,120.7,1114822
2025-08-13,122,123.1,119.41,120.07,1279220
2025-08-14,120.9,122.16,116.56,120.31,1586342
2025-08-18,122.54,123,120.78,122.03,1102131
2025-08-19,122.45,126,121.4,125.5,1846848
2025-08-20,125.46,126.87,119.87,122.22,2633863
2025-08-21,123.5,125.01,120.24,121.74,2624366
2025-08-22,122.1,130.86,121.2,129.56,5284857
2025-08-25,130.45,131.79,125.1,125.49,2022753
2025-08-26,125.29,125.95,121.28,121.95,1206414
2025-08-28,123,124.59,120.51,122.54,1123681
2025-08-29,122.41,123,119.9,120.45,1012498
2025-09-01,120.99,123,119.16,122.43,1060282
2025-09-02,122.98,124.64,121.27,123.64,985626
2025-09-03,123.64,127.3,122.97,126.37,1498100
