Date,Open,High,Low,Close,Volume
2023-09-07,271.3333,275.025,262.2,266.1667,190518
2023-09-08,261.7,270,256.9917,259.3083,87216
2023-09-11,260.8333,263.1667,257.0417,261.7,177540
2023-09-12,263.2,263.3333,240.0083,247.1,168600
2023-09-13,248,252.7167,240.1833,247.5083,108858
2023-09-14,249.1667,268.4417,249.1667,261.075,317604
2023-09-15,264.6667,276.6667,258.3417,269.4333,279636
2023-09-18,270,276.3333,262.5,266.9833,266778
2023-09-20,263.3333,271.0667,260.8333,264.175,85644
2023-09-21,262.5,265.8333,257.0083,257.7,67482
2023-09-22,256.6667,260.7583,251.1667,255.15,83880
2023-09-25,255.1667,256.6417,246.9,248.525,101826
2023-09-26,248.4083,248.65,240.1833,241.3917,150306
2023-09-27,241.3917,247.925,238.2667,247.0917,159048
2023-09-28,248.3333,255.775,246.1833,251.225,95118
2023-09-29,252.6167,255.3917,249.8333,251.7583,78738
2023-10-03,248.5,256.7167,248.5,253.35,78186
2023-10-04,254.9833,256.6167,244.3583,246.9333,84174
2023-10-05,249.8417,255.6667,245.85,250.4917,100560
2023-10-06,252.45,254.4167,247.4167,252.4083,58752
2023-10-09,243.5083,263.225,243.5083,257.1,260976
2023-10-10,261.6083,270.8333,260.2,264.6583,312846
2023-10-11,265.8333,285.9917,263.175,283.1833,1296786
2023-10-12,287.3333,294.95,277.5167,282.1417,776484
2023-10-13,281.9917,287.4,278.15,279.9833,212124
2023-10-16,282.3333,284.1417,275,276.1333,119340
2023-10-17,279.9167,283.3333,271.6667,273.2083,157824
2023-10-18,274,279.4917,270.3667,274.3167,111150
2023-10-19,271.6667,279.1667,271.0083,274.65,117936
2023-10-20,273.3333,279.0583,267.9083,268.975,137874
2023-10-23,272.5,277.3833,249.8333,251.4083,379914
2023-10-25,252.5,258.1667,243.3333,250,242886
2023-10-26,250,253.3333,243.1917,251.025,162762
2023-10-27,252.9583,260.825,252.9583,254.3417,134712
2023-10-30,254.1667,257.075,250.8333,253.7333,64692
2023-10-31,254.8333,261.8167,253.3333,255.425,88800
2023-11-01,256.6417,257.9083,248.35,250.175,63072
2023-11-02,254.1333,255.1667,244.5083,247.075,149280
