Date,Open,High,Low,Close,Volume
2021-09-24,811.5,841.95,801,818.55,12520012
2021-09-27,847.95,860,832.3,846.8,3813046
2021-09-28,853.9,855,803.5,815.65,1071633
2021-09-29,814.85,814.85,795.1,802.3,489332
2021-09-30,801.5,816.55,800,806.1,307693
2021-10-01,800,821,792,810.45,359134
2021-10-04,807,816.25,803.1,806.3,205226
2021-10-05,806.3,809.4,796.35,804.25,187609
2021-10-06,801.1,809,785,795.3,189694
2021-10-07,805,806,791.5,804.65,219406
2021-10-08,801.3,814.6,798.15,804.9,147354
2021-10-11,803.6,810.85,797,799.05,198366
2021-10-12,796.1,799.85,787.05,790.85,104124
2021-10-13,792,832.9,791,820.95,419915
2021-10-14,825,829,801.5,810.3,98794
2021-10-18,804,820,802,803.6,107722
2021-10-19,803.65,824,800,810.9,185196
2021-10-20,802.1,809.4,779.1,789.9,134511
2021-10-21,790.05,809.45,771,775.05,266559
2021-10-22,784,784,735,746.6,128218
2021-10-25,753,753,709.05,730.95,149014
2021-10-26,730,758.25,724,753.05,208149
2021-10-27,753.05,759,732.65,743.1,47539
2021-10-28,738.1,745,723.25,740.3,74808
2021-10-29,728,741.15,682,707.4,187890
2021-11-01,695,717.2,694.65,715.1,71628
2021-11-02,719.5,740,713,735.4,43916
2021-11-03,748.8,748.8,718.4,725.4,34751
2021-11-04,725.4,738.95,725.4,733,8600
2021-11-08,733,734,715,725.65,44610
2021-11-09,731,735,722.25,724.45,26035
2021-11-10,725,735,715.1,720.3,83496
2021-11-11,774,815,774,801.95,964117
2021-11-12,793.5,825.5,793.5,820.4,346732
2021-11-15,820.1,835,797.6,818.05,191548
2021-11-16,807,829.9,803,825.6,126812
2021-11-17,814,889,814,845.8,562072
2021-11-18,854,881,820.25,850.7,313657
2021-11-22,864.5,864.5,782.6,795.2,211258
2021-11-23,795,804,771.9,792.65,185424
2021-11-24,794.1,828,787.05,796.25,323868
2021-11-25,799.95,808.9,786.35,788.7,52199
2021-11-26,789.95,815,763.55,776.8,116477
2021-11-29,791.75,812,748.8,793.45,149131
2021-11-30,793.45,805,761.5,784.4,160756
2021-12-01,800,814.1,761,775.75,176491
2021-12-02,775.75,807,775.75,792.6,151528
2021-12-03,797.95,805,773.25,783.6,76632
2021-12-06,783.6,796.85,760,762.7,108347
2021-12-07,782.4,782.4,762.5,770.45,143156
2021-12-08,778.75,778.8,751.5,763.95,138922
2021-12-09,773.85,780,762.1,776.1,152909
