Date,Open,High,Low,Close,Volume
2020-10-01,0.01,0.01,0.01,0.01,12132256
2020-10-05,0.01,0.01,0.01,0.01,15165320
2020-10-06,0.01,0.01,0.01,0.01,1516532
2020-10-07,0.01,0.01,0.01,0.01,3033064
2020-10-09,0.01,0.01,0.01,0.01,3033064
2020-10-12,0.01,0.01,0.01,0.01,4549596
2020-10-13,0.01,0.01,0.01,0.01,10615724
2020-10-14,0.01,0.01,0.01,0.01,12132256
2020-10-19,0.01,0.01,0.01,0.01,1516532
2020-10-20,0.01,0.01,0.01,0.01,3033064
2020-10-21,0.01,0.01,0.01,0.01,19714916
2020-10-22,0.01,0.01,0.01,0.01,25781044
2020-10-23,0.01,0.01,0.01,0.01,6066128
2020-10-26,0.01,0.01,0.01,0.01,6066128
2020-10-27,0.01,0.01,0.01,0.01,4549596
2020-10-28,0.01,0.01,0.01,0.01,3033064
2020-10-30,0.01,0.01,0.01,0.01,1516532
2020-11-02,0.01,0.01,0.01,0.01,6066128
2020-11-03,0.01,0.01,0.01,0.01,1516532
2020-11-05,0.01,0.01,0.01,0.01,1516532
2020-11-06,0.01,0.01,0.01,0.01,9099192
2020-11-09,0.01,0.01,0.01,0.01,1516532
2020-11-11,0.01,0.01,0.01,0.01,1516532
2020-11-12,0.01,0.01,0.01,0.01,1516532
2020-11-18,0.01,0.01,0.01,0.01,1516532
2020-11-19,0.01,0.01,0.01,0.01,1516532
2020-11-20,0.01,0.01,0.01,0.01,1516532
2020-11-24,0.01,0.01,0.01,0.01,3033064
2020-11-25,0.01,0.01,0.01,0.01,1516532
2020-11-26,0.01,0.01,0.01,0.01,1516532
2020-11-27,0.01,0.01,0.01,0.01,1516532
2020-12-01,0.01,0.01,0.01,0.01,6066128
2020-12-02,0.01,0.01,0.01,0.01,9099192
2020-12-03,0.01,0.01,0.01,0.01,7582660
2020-12-04,0.01,0.01,0.01,0.01,1516532
2020-12-09,0.01,0.01,0.01,0.01,12132256
2020-12-10,0.01,0.01,0.01,0.01,3033064
2020-12-15,0.01,0.01,0.01,0.01,6066128
2020-12-16,0.01,0.01,0.01,0.01,1516532
2020-12-22,0.01,0.01,0.01,0.01,1516532
2020-12-24,0.01,0.01,0.01,0.01,3033064
2020-12-28,0.01,0.01,0.01,0.01,12132256
2020-12-29,0.01,0.01,0.01,0.01,1516532
2020-12-30,0.01,0.01,0.01,0.01,4549596
2020-12-31,0.01,0.01,0.01,0.01,1516532
2021-01-01,0.01,0.01,0.01,0.01,10615724
2021-01-04,0.01,0.01,0.01,0.01,13648788
2021-01-05,0.01,0.02,0.01,0.01,10615724
2021-01-06,0.01,0.01,0.01,0.01,3033064
2021-01-08,0.01,0.01,0.01,0.01,3033064
2021-01-11,0.01,0.01,0.01,0.01,3033064
2021-01-12,0.01,0.01,0.01,0.01,3033064
2021-01-13,0.01,0.01,0.01,0.01,6066128
2021-01-14,0.01,0.01,0.01,0.01,3033064
2021-01-15,0.01,0.01,0.01,0.01,1516532
2021-01-18,0.01,0.01,0.01,0.01,24264512
2021-01-19,0.01,0.01,0.01,0.01,4549596
2021-01-21,0.01,0.01,0.01,0.01,3033064
2021-01-22,0.01,0.01,0.01,0.01,3033064
2021-01-25,0.01,0.01,0.01,0.01,10615724
2021-01-27,0.01,0.01,0.01,0.01,6066128
2021-01-28,0.01,0.01,0.01,0.01,4549596
2021-02-01,0.01,0.01,0.01,0.01,4549596
2021-02-02,0.01,0.01,0.01,0.01,18198384
2021-02-03,0.01,0.01,0.01,0.01,6066128
2021-02-04,0.01,0.01,0.01,0.01,3033064
2021-02-05,0.01,0.01,0.01,0.01,1516532
2021-02-08,0.01,0.01,0.01,0.01,24264512
2021-02-09,0.01,0.01,0.01,0.01,12132256
2021-02-10,0.01,0.01,0.01,0.01,4549596
2021-02-11,0.01,0.01,0.01,0.01,10615724
2021-02-12,0.01,0.01,0.01,0.01,3033064
2021-02-15,0.01,0.01,0.01,0.01,6066128
2021-02-16,0.01,0.01,0.01,0.01,4549596
2021-02-18,0.01,0.01,0.01,0.01,1516532
2021-02-22,0.01,0.01,0.01,0.01,6066128
2021-02-23,0.01,0.01,0.01,0.01,6066128
2021-02-24,0.01,0.01,0.01,0.01,1516532
2021-02-25,0.01,0.02,0.01,0.02,16681852
2021-02-26,0.02,0.02,0.02,0.02,10615724
2021-03-01,0.02,0.02,0.02,0.02,1516532
2021-03-02,0.02,0.02,0.02,0.02,4549596
2021-03-03,0.02,0.02,0.02,0.02,4549596
2021-03-05,0.02,0.02,0.02,0.02,3033064
2021-03-08,0.02,0.02,0.02,0.02,6066128
2021-03-09,0.02,0.02,0.02,0.02,6066128
2021-03-12,0.02,0.02,0.02,0.02,15165320
2021-03-15,0.02,0.02,0.02,0.02,6066128
2021-03-16,0.02,0.02,0.02,0.02,1516532
2021-03-18,0.02,0.02,0.02,0.02,1516532
2021-03-19,0.02,0.02,0.02,0.02,28814108
2021-03-22,0.02,0.02,0.02,0.02,7582660
2021-03-24,0.02,0.02,0.02,0.02,1516532
2021-03-25,0.02,0.02,0.02,0.02,1516532
2021-03-30,0.02,0.02,0.02,0.02,3033064
2021-03-31,0.03,0.03,0.02,0.02,57628216
2021-04-01,0.02,0.02,0.02,0.02,37913300
2021-04-05,0.03,0.03,0.02,0.03,19714916
2021-04-06,0.03,0.03,0.03,0.03,7582660
2021-04-07,0.03,0.03,0.03,0.03,24264512
2021-04-08,0.03,0.03,0.03,0.03,15165320
2021-04-09,0.03,0.03,0.03,0.03,15165320
2021-04-12,0.03,0.03,0.03,0.03,34880236
2021-04-13,0.03,0.03,0.03,0.03,16681852
2021-04-16,0.03,0.03,0.03,0.03,4549596
2021-04-20,0.03,0.03,0.03,0.03,21231448
2021-04-22,0.03,0.03,0.03,0.03,24264512
2021-04-23,0.03,0.03,0.03,0.03,22747980
2021-04-26,0.03,0.03,0.03,0.03,15165320
2021-04-27,0.04,0.04,0.03,0.04,28814108
2021-04-28,0.04,0.04,0.04,0.04,12132256
2021-04-29,0.04,0.04,0.04,0.04,47012492
2021-04-30,0.04,0.04,0.04,0.04,45495960
2021-05-03,0.04,0.04,0.04,0.04,7582660
2021-05-04,0.04,0.04,0.04,0.04,16681852
2021-05-05,0.03,0.03,0.03,0.03,9099192
2021-05-06,0.03,0.03,0.03,0.03,6066128
2021-05-07,0.03,0.03,0.03,0.03,10615724
2021-05-10,0.03,0.03,0.03,0.03,12132256
2021-05-12,0.03,0.03,0.03,0.03,3033064
2021-05-14,0.03,0.03,0.03,0.03,4549596
2021-05-18,0.03,0.03,0.03,0.03,3033064
2021-05-19,0.03,0.03,0.03,0.03,12132256
2021-05-20,0.03,0.03,0.03,0.03,1516532
2021-05-21,0.03,0.03,0.03,0.03,4549596
2021-05-24,0.03,0.03,0.03,0.03,10615724
2021-05-26,0.03,0.03,0.03,0.03,3033064
2021-05-27,0.03,0.03,0.03,0.03,12132256
2021-05-28,0.03,0.03,0.03,0.03,7582660
2021-05-31,0.03,0.03,0.03,0.03,1516532
2021-06-02,0.03,0.03,0.03,0.03,12132256
2021-06-03,0.03,0.03,0.03,0.03,6066128
2021-06-04,0.03,0.03,0.03,0.03,4549596
2021-06-07,0.03,0.03,0.03,0.03,10615724
2021-06-08,0.03,0.03,0.03,0.03,1516532
2021-06-09,0.03,0.03,0.03,0.03,16681852
2021-06-10,0.03,0.03,0.03,0.03,7582660
2021-06-11,0.03,0.03,0.03,0.03,12132256
2021-06-15,0.03,0.03,0.03,0.03,3033064
2021-06-16,0.03,0.03,0.03,0.03,12132256
2021-06-17,0.03,0.03,0.03,0.03,9099192
2021-06-18,0.03,0.03,0.03,0.03,1516532
2021-06-22,0.03,0.03,0.03,0.03,3033064
2021-06-23,0.03,0.03,0.03,0.03,6066128
2021-06-24,0.03,0.03,0.03,0.03,3033064
2021-06-29,0.03,0.03,0.03,0.03,12132256
2021-06-30,0.03,0.03,0.03,0.03,1516532
2021-07-02,0.03,0.03,0.03,0.03,1516532
2021-07-06,0.03,0.03,0.03,0.03,3033064
2021-07-08,0.03,0.03,0.03,0.03,1516532
2021-07-09,0.03,0.03,0.03,0.03,4549596
2021-07-15,0.03,0.03,0.03,0.03,3033064
2021-07-22,0.03,0.03,0.03,0.03,18198384
2021-07-23,0.03,0.03,0.03,0.03,4549596
2021-07-26,0.03,0.03,0.02,0.02,15165320
2021-07-27,0.02,0.02,0.02,0.02,3033064
2021-07-29,0.02,0.02,0.02,0.02,1516532
2021-07-30,0.02,0.02,0.02,0.02,6066128
2021-08-02,0.02,0.02,0.02,0.02,10615724
2021-08-03,0.02,0.02,0.02,0.02,19714916
2021-08-04,0.02,0.02,0.02,0.02,4549596
2021-08-05,0.02,0.02,0.02,0.02,6066128
2021-08-06,0.02,0.02,0.02,0.02,6066128
2021-08-09,0.02,0.02,0.02,0.02,7582660
2021-08-10,0.02,0.02,0.02,0.02,9099192
2021-08-11,0.02,0.02,0.02,0.02,7582660
2021-08-12,0.02,0.02,0.02,0.02,4549596
2021-08-13,0.02,0.02,0.02,0.02,4549596
2021-08-16,0.02,0.02,0.02,0.02,3033064
2021-08-17,0.02,0.02,0.02,0.02,6066128
2021-08-18,0.02,0.02,0.02,0.02,21231448
2021-08-20,0.02,0.02,0.02,0.02,1516532
2021-08-23,0.02,0.02,0.02,0.02,12132256
2021-08-24,0.02,0.02,0.02,0.02,7582660
2021-08-25,0.02,0.02,0.02,0.02,9099192
2021-08-26,0.02,0.02,0.02,0.02,25781044
2021-08-27,0.02,0.02,0.02,0.02,22747980
2021-08-30,0.02,0.02,0.02,0.02,7582660
2021-08-31,0.02,0.02,0.02,0.02,31847172
2021-09-01,0.02,0.02,0.02,0.02,4549596
2021-09-02,0.02,0.02,0.02,0.02,4549596
2021-09-03,0.02,0.02,0.02,0.02,9099192
2021-09-06,0.02,0.02,0.02,0.02,30330640
2021-09-07,0.02,0.02,0.02,0.02,21231448
2021-09-08,0.02,0.02,0.02,0.02,1516532
2021-09-09,0.02,0.02,0.02,0.02,19714916
2021-09-13,0.02,0.02,0.02,0.02,13648788
2021-09-14,0.02,0.02,0.02,0.02,21231448
2021-09-15,0.02,0.02,0.02,0.02,10615724
2021-09-16,0.03,0.03,0.03,0.03,7582660
2021-09-17,0.03,0.03,0.03,0.03,12132256
2021-09-20,0.03,0.03,0.03,0.03,45495960
2021-09-21,0.03,0.03,0.03,0.03,33363704
2021-09-22,0.03,0.03,0.03,0.03,1516532
2021-09-23,0.03,0.03,0.03,0.03,4549596
2021-09-24,0.03,0.03,0.03,0.03,3033064
2021-09-27,0.03,0.03,0.03,0.03,4549596
2021-09-28,0.03,0.03,0.03,0.03,10615724
2021-09-29,0.03,0.03,0.02,0.02,25781044
