Date,Open,High,Low,Close,Volume
2015-09-10,158.2,158.2,158.2,158.2,1400
2015-09-11,174,174,174,174,803
2015-09-14,191.4,191.4,191.4,191.4,721
2015-09-15,200.95,200.95,200.95,200.95,22600
2015-09-16,210.95,210.95,210.95,210.95,2690
2015-09-18,221.45,221.45,221.45,221.45,7650
2015-09-21,232.5,232.5,211.55,222.65,93376
2015-09-22,229,229,211.55,211.75,15007
2015-09-23,202.1,210,201.2,201.2,26145
2015-09-24,202.9,202.9,191.15,191.15,14637
2015-09-28,199,200.7,183.1,198.65,34467
2015-09-29,199,208.55,189.05,208.35,14214
2015-09-30,215,218.75,204.1,218.7,26222
2015-10-01,229.6,229.6,225.55,229.05,23780
2015-10-05,273,273.65,241,262.15,13083
2015-10-06,270,304.95,260,285.6,18511
2015-10-07,286,292,275,282.35,6016
2015-10-08,309,324.95,286.55,301.45,8022
2015-10-09,315.9,315.9,261.55,288,5666
2015-10-12,285.2,302,276.75,281.8,5087
2015-10-13,288,298,285.3,285.7,6519
2015-10-14,295,299,275,281.15,7563
2015-10-15,285.95,288.95,281,285.2,2086
2015-10-16,289.85,297,272.5,279,9173
2015-10-19,288.7,308,282.4,296.85,9627
2015-10-20,310.75,350,297.1,342.25,20364
2015-10-21,363,410.7,350,405.15,41335
2015-10-23,410,432.7,364.65,364.65,52051
2015-10-26,328.2,357,328.2,333.85,33788
2015-10-27,339,350,320.1,343.9,10045
2015-10-28,343,353.95,326.9,330.1,5604
2015-10-29,321.5,327,305,309.75,12891
2015-10-30,320.85,325.2,309.55,325.2,10217
2015-11-02,312.15,331.9,308.95,308.95,3803
2015-11-03,305,315,301,306.45,4208
2015-11-04,305.55,321.75,305.55,321.7,6092
2015-11-05,337.75,337.75,337.75,337.75,1782
2015-11-06,349,354.6,349,354.6,4278
2015-11-09,360.9,372.3,337,372.3,10123
2015-11-10,388,390.9,353.7,362.65,13002
2015-11-11,370,380.6,350,377.8,4695
2015-11-13,380,390,362.1,369.15,2230
2015-11-16,362.55,381,362.55,368.6,3029
2015-11-17,368,373,360.1,363.35,5133
2015-11-18,370.95,370.95,351.1,354.05,3887
2015-11-19,365,365,341.2,350.4,3513
2015-11-20,351.05,358,348,351.15,2740
2015-11-23,365,365,335,340.85,6163
2015-11-24,341,350,336.5,341.45,3115
2015-11-26,355.5,358.5,351,358.5,16318
2015-11-27,374,376.4,355,359.45,7868
2015-11-30,365,377.4,364.75,370.15,88017
2015-12-01,369.7,385,360,362.65,3658
2015-12-02,365.15,365.15,345,354.95,3370
2015-12-03,360,372.45,352.5,366.3,18958
2015-12-04,398,398,351.1,355.8,2918
2015-12-07,375,383,365,376.8,10079
2015-12-08,383.2,452.15,380,444.25,49952
2015-12-09,450,488,380.15,397.3,98354
2015-12-10,425,440,376,384.85,63530
2015-12-11,414,414,358.95,378.95,56059
2015-12-16,377,386,355,375.1,33354
2015-12-17,390,394.9,371.05,377.7,18957
2015-12-18,388,388,372.35,376.75,6307
2015-12-21,376.1,401,375.1,386.9,9208
2015-12-22,389.2,390.05,365.5,377.9,40130
2015-12-23,377.95,383.9,360.05,362.3,35305
2015-12-24,365.55,378.95,363.1,375.35,9384
2015-12-28,377.5,381.5,371.15,376,8131
2015-12-29,372.7,379,364.05,370.75,21359
2015-12-30,366,377.5,366,374.2,5372
2015-12-31,377.45,385,360,367,25630
2016-01-01,373.8,396.5,364,394.1,42097
2016-01-04,395,425,375,413.1,66240
2016-01-05,424.95,436.5,383.25,396.45,117077
2016-01-06,401.8,401.8,375.15,378.85,33189
2016-01-07,375,379,365,367.7,26923
2016-01-08,382.4,400,370.1,391.65,19644
2016-01-11,376.5,390,367.35,385.7,17439
2016-01-12,396,396,378.5,384.6,12260
2016-01-13,386.5,388.85,351.15,372.8,47446
2016-01-14,362,382,352,372.4,21065
2016-01-15,378,378,361,365.7,9837
2016-01-18,316,364,316,340.65,13462
2016-01-19,373,373,341.15,352.5,19228
2016-01-20,342,352.5,326.1,335.25,20828
2016-01-21,344.7,357,338,351.45,15480
2016-01-22,352.5,368.9,352,359.4,43198
2016-01-25,360,368.4,357.5,359.6,10033
2016-01-27,359.05,363.8,351.1,355.55,12118
2016-01-28,365,378.85,357,373.25,25485
2016-01-29,373.05,397.45,366,390.05,37885
2016-02-01,391,396,382,391.05,30307
2016-02-02,403.95,412.95,385,389.1,12241
2016-02-03,389.45,389.9,373.05,376.15,10847
2016-02-04,382,395,368,371.25,10739
2016-02-05,374.95,384.85,365,379.3,6870
2016-02-08,380.05,399,376.1,387.95,19518
2016-02-09,380.2,393.8,378,380.6,11980
2016-02-10,376.05,390,372,377.4,16823
2016-02-11,383.7,383.7,335.15,346.5,42938
2016-02-12,347.1,362,277.25,329.4,45482
2016-02-15,344,355,332.3,345.25,8872
2016-02-16,347,352,321.3,326,21239
2016-02-17,328.8,328.8,300,324.35,12591
2016-02-18,320.05,342,320.05,333.6,8578
2016-02-19,334,336.8,326,330.4,8651
2016-02-22,340,340,326.2,332.35,2838
2016-02-23,332.3,335.5,310.3,317.05,4954
2016-02-24,313.9,315,305.7,309.45,5576
2016-02-25,310.5,315,294,296.1,16630
2016-02-26,300,301,245,267.75,33011
2016-02-29,279.5,291.95,256.35,279.45,30178
2016-03-01,278,325,278,311.95,20107
2016-03-02,325.7,327.8,300.5,312.85,15692
2016-03-03,320,323.8,310,319.9,20107
2016-03-04,313.8,329.8,313.8,323.6,8230
2016-03-08,323.05,328.6,310.1,314.95,7854
2016-03-09,312,313.95,292.2,310.6,6061
2016-03-10,310.15,315,305.15,308.4,6183
2016-03-11,305.55,310,305.1,307.75,4385
2016-03-14,320,329.8,302,305.85,7574
2016-03-15,304.05,306.95,302.15,303.4,2604
2016-03-16,308,308,296,302.95,8220
2016-03-17,303.1,316,301,303.7,5418
2016-03-18,305.3,305.35,301.1,302.7,8582
2016-03-21,300,306.7,295.15,296.4,12221
2016-03-22,297,308,296.4,298.7,10560
2016-03-23,298,301.75,291.4,299.35,15767
2016-03-28,302,304,288.25,292.3,5577
2016-03-29,294,294.35,283.4,290.05,17341
2016-03-30,291,325,290.3,310.25,8891
2016-03-31,318.95,333,312,327.15,13281
2016-04-01,337.65,337.65,320.5,325.75,2252
2016-04-04,326.05,333.9,313,315.2,5448
2016-04-05,316,324,315,315.7,3316
2016-04-06,306.15,317.8,302.05,307,8319
2016-04-07,301,314.5,300,304.9,23805
2016-04-08,300.05,312,300.05,305.15,7974
2016-04-11,310,319,303.05,308.5,9698
2016-04-12,307,319,307,310.95,21319
2016-04-13,320,329.85,311,326.15,17817
2016-04-18,320.1,339.5,320.1,332.8,19422
2016-04-20,332.8,339.85,322.25,339.3,11229
2016-04-21,339,348,316,322.5,25761
2016-04-22,330,330,310,312.6,5754
2016-04-25,308,321.1,297.1,313.15,20570
2016-04-26,313,338.9,313,322.2,5723
2016-04-27,322.15,328,318.5,320.95,3966
2016-04-28,318.25,321.9,310,316.3,3300
2016-04-29,310,327,307.75,319.3,7800
2016-05-02,322.25,324.95,313,314.85,5345
2016-05-03,318,324.95,308,309.6,11492
2016-05-04,314.95,318.7,305.25,307.65,3011
2016-05-05,311.95,328,310.35,315.35,7582
2016-05-06,312.5,324.9,310,315.85,11280
2016-05-09,320,324.9,314.05,317,4342
2016-05-10,318.6,322.8,311.05,313.65,4953
2016-05-11,310,319.75,310,314.75,5894
2016-05-12,315.1,319.95,311,312.05,4739
2016-05-13,312,314.9,301.9,304.9,5084
2016-05-16,305.3,310,299,308.45,22633
2016-05-17,301.05,312.3,301.05,310.7,4100
2016-05-18,311.45,311.45,303,306.95,5054
2016-05-19,309.1,313.4,302.45,306.45,5448
2016-05-20,301.5,309.85,301.05,303.55,3553
2016-05-23,306.7,323.85,306.7,311.5,15330
2016-05-24,314.65,322.8,310.15,320,9006
2016-05-25,322.5,348.5,322.5,342.5,23452
2016-05-26,345.9,359.8,333,336.1,20348
