Date,Open,High,Low,Close,Volume
2025-07-28,136.5,143.3,136.5,143.3,3229200
2025-07-29,136.15,146.45,136.15,139.8,1094400
2025-07-30,136,139.8,132.85,135.4,398400
2025-07-31,135.9,142.15,135.9,142.15,285600
2025-08-01,141.2,149.25,138,148.35,244800
2025-08-04,149.5,152,144,145.8,139200
2025-08-05,147.5,147.5,140.05,141.9,56400
2025-08-06,142,142,136.05,139.95,60000
2025-08-07,136.25,139.15,136.25,138.1,22800
2025-08-08,138.1,139,135.1,137.2,32400
2025-08-11,140,147.2,139.25,142.5,85200
2025-08-12,142.5,142.5,136.5,137.75,32400
2025-08-13,142,142,135.2,135.85,57600
2025-08-14,135.5,138.8,133.9,135.5,28800
2025-08-18,136.55,139,136,136.3,31200
2025-08-19,134.55,138.85,133.25,137.95,32400
2025-08-20,139.45,139.45,136.1,138.7,4800
2025-08-21,136.1,137.8,132.25,136.35,48000
2025-08-22,136.2,138,136.05,137.25,51600
2025-08-25,138.05,139.95,134,136,319200
2025-08-26,134,136,134,135.55,39600
2025-08-28,135,136.95,134.1,136.05,44400
2025-08-29,135,136.95,134,136.75,189600
2025-09-01,138,138,136.55,137.45,15600
2025-09-02,138.35,141.8,136.1,140.05,86400
2025-09-03,140.2,140.5,138.25,139.5,14400
