Date,Open,High,Low,Close,Volume
2025-08-14,228,239.4,216.6,239.4,1810800
2025-08-18,227.5,251.35,227.45,251.35,88800
2025-08-19,259,259,238.8,245.65,69600
2025-08-20,246,246,233.6,236.6,34800
2025-08-21,230,230,226,227.6,25200
2025-08-22,227.05,230,220.05,229.25,26400
2025-08-25,226,234.8,220.9,232.85,56400
2025-08-26,231,240,231,238.05,43200
2025-08-28,239,249.95,238,242.1,139200
2025-08-29,247.7,254.2,246.6,254.2,39600
2025-09-01,267.1,301,239.9,242.75,356400
2025-09-02,240,258.8,240,241.15,192000
2025-09-03,250,254,242,247.9,140400
